Date,Open,High,Low,Close,Volume,Change
2023-04-04,7250,7580,7250,7410,7731,0.0095367847411445
2023-04-05,7410,7600,7390,7470,11823,0.0080971659919029
2023-04-06,7450,7480,7390,7450,5703,-0.0026773761713521
2023-04-07,7470,7470,7340,7430,14321,-0.0026845637583892
2023-04-10,7370,7450,7220,7400,10710,-0.0040376850605652
2023-04-11,7390,7620,7200,7610,17927,0.0283783783783784
2023-04-12,7550,7700,7330,7330,34263,-0.0367936925098554
2023-04-13,7330,7560,7250,7340,10667,0.0013642564802183
2023-04-14,7340,7610,7340,7400,20243,0.0081743869209809
2023-04-17,7390,7530,7300,7470,10357,0.0094594594594594
2023-04-18,7460,7550,7400,7410,8049,-0.0080321285140562
2023-04-19,7420,7500,7410,7420,9891,0.001349527665317
2023-04-20,7420,7590,7340,7450,11180,0.0040431266846361
2023-04-21,7390,7580,7370,7570,9790,0.0161073825503355
2023-04-24,7630,7960,7630,7930,59190,0.0475561426684281
2023-04-25,7900,7940,7480,7720,32721,-0.0264817150063051
2023-04-26,7710,8140,7570,8140,43585,0.0544041450777201
2023-04-27,8200,8280,7950,8250,37640,0.0135135135135135
2023-04-28,8200,8410,8020,8250,22522,0.0
2023-05-02,8200,8490,8120,8380,20008,0.0157575757575758
2023-05-03,8380,8380,8000,8000,31725,-0.045346062052506
2023-05-04,8000,8120,7980,8100,15217,0.0124999999999999
2023-05-08,8070,8350,8030,8300,12055,0.0246913580246914
2023-05-09,8280,8440,8280,8410,11671,0.0132530120481928
2023-05-10,8500,8730,8330,8700,53007,0.0344827586206897
2023-05-11,8710,8820,8480,8600,46236,-0.0114942528735632
2023-05-12,8600,8740,8380,8380,17853,-0.0255813953488371
2023-05-15,8340,8830,8090,8400,26700,0.0023866348448686
2023-05-16,8290,8490,8080,8180,13807,-0.0261904761904762
2023-05-17,8150,8430,7980,8150,12325,-0.0036674816625916
2023-05-18,8100,8240,7780,7940,20874,-0.0257668711656441
2023-05-19,7910,8090,7780,8020,14327,0.0100755667506298
2023-05-22,8020,8100,7940,8020,4741,0.0
2023-05-23,7960,8290,7950,8000,5393,-0.0024937655860348
2023-05-24,8040,8040,7900,7910,6065,-0.0112499999999999
2023-05-25,7910,7950,7700,7930,12695,0.0025284450063212
2023-05-26,7860,8100,7860,8010,9487,0.0100882723833544
2023-05-30,8450,8470,7970,8200,79044,0.0237203495630462
2023-05-31,8200,8390,8200,8260,23364,0.0073170731707317
2023-06-01,8400,8480,8120,8340,19066,0.0096852300242131
2023-06-02,8380,8960,8340,8900,117398,0.0671462829736211
2023-06-05,8920,8940,8750,8930,25799,0.0033707865168539
2023-06-07,8860,9000,8610,8790,37242,-0.0156774916013437
2023-06-08,8790,8970,8570,8680,23763,-0.012514220705347
2023-06-09,8680,8910,8670,8780,29825,0.0115207373271888
2023-06-12,8860,8900,8780,8840,3789,0.0068337129840547
2023-06-13,8790,8900,8580,8630,28919,-0.0237556561085973
2023-06-14,8700,8820,8650,8660,17835,0.0034762456546928
2023-06-15,8660,8800,8660,8780,6380,0.0138568129330254
2023-06-16,8800,8990,8770,8950,60502,0.0193621867881548
2023-06-19,8950,8950,8690,8750,14962,-0.0223463687150837
2023-06-20,8670,8670,8350,8390,29292,-0.0411428571428571
2023-06-21,8310,8380,8230,8300,5888,-0.0107270560190703
2023-06-22,8280,8330,8100,8150,7172,-0.0180722891566265
2023-06-23,8140,8140,7830,7870,33726,-0.0343558282208589
2023-06-26,7910,7990,7790,7970,3655,0.0127064803049554
2023-06-27,7960,7960,7790,7790,4512,-0.0225846925972396
2023-06-28,7780,8170,7700,8160,15096,0.0474967907573813
2023-06-29,8160,8240,8020,8100,7593,-0.0073529411764705
2023-06-30,8060,8180,7950,8010,2905,-0.011111111111111
2023-07-03,8090,8250,8000,8170,10179,0.0199750312109863
2023-07-04,8170,8200,8110,8120,8002,-0.0061199510403916
2023-07-05,8120,8300,8110,8110,7701,-0.001231527093596
2023-07-06,8110,8150,8000,8150,9997,0.0049321824907522
2023-07-07,8250,8250,7920,7960,16942,-0.0233128834355828
2023-07-10,7870,8020,7870,8010,2348,0.0062814070351759
2023-07-11,8090,8120,7890,7940,9450,-0.0087390761548065
2023-07-12,7980,8020,7780,7980,18623,0.0050377833753147
2023-07-13,7950,7970,7880,7930,7106,-0.0062656641604009
2023-07-14,7900,8090,7810,7950,8275,0.0025220680958386
2023-07-17,7950,7990,7780,7790,7864,-0.020125786163522
2023-07-18,7800,7840,7750,7800,13818,0.0012836970474967
2023-07-19,7880,7950,7750,7750,14911,-0.0064102564102563
2023-07-20,7820,7960,7650,7960,10685,0.0270967741935483
2023-07-21,7890,7930,7760,7850,8548,-0.0138190954773869
2023-07-24,7840,7840,7530,7560,20948,-0.0369426751592356
2023-07-25,7560,7710,7260,7260,34360,-0.0396825396825396
2023-07-26,7280,7280,7000,7000,29704,-0.0358126721763085
2023-07-27,6860,7420,6860,7390,16426,0.0557142857142856
2023-07-28,7390,7680,7190,7670,14457,0.0378890392422193
2023-07-31,7600,7960,7450,7600,26992,-0.0091264667535854
2023-08-01,7840,8000,7500,8000,14591,0.0526315789473683
2023-08-02,8000,8080,7690,7700,6546,-0.0374999999999999
2023-08-03,7700,7780,7560,7720,8366,0.0025974025974024
2023-08-04,7670,8000,7570,7780,6524,0.0077720207253886
2023-08-07,8000,8000,7550,7790,12937,0.0012853470437017
2023-08-08,8000,8000,7700,7800,6760,0.0012836970474967
2023-08-09,8050,8050,7720,7830,2848,0.0038461538461538
2023-08-10,7830,8040,7780,7880,1522,0.0063856960408683
2023-08-11,7890,8000,7760,8000,5933,0.015228426395939
2023-08-14,8000,8090,7850,7970,11732,-0.00375
2023-08-16,7690,7940,7570,7670,13147,-0.0376411543287327
2023-08-17,7650,7700,7410,7500,5935,-0.0221642764015644
2023-08-18,7500,7710,7450,7540,14269,0.0053333333333334
2023-08-21,7540,7550,7400,7400,9162,-0.0185676392572944
2023-08-22,7500,7500,7270,7280,9549,-0.0162162162162161
2023-08-23,7280,7300,6910,6910,15733,-0.0508241758241758
2023-08-24,6910,7690,6910,7520,40071,0.0882778581765557
2023-08-25,7700,7750,7140,7180,28197,-0.0452127659574468
2023-08-28,7250,7250,7080,7250,3563,0.0097493036211699
2023-08-29,7180,7360,7180,7220,10442,-0.0041379310344827
2023-08-30,7270,7350,7200,7260,6795,0.005540166204986
2023-08-31,7320,7320,7210,7220,3162,-0.0055096418732781
2023-09-01,7220,8160,7100,7550,61419,0.0457063711911356
2023-09-04,7580,7970,7560,7700,25771,0.0198675496688742
2023-09-05,7670,7940,7580,7700,9290,0.0
