Date,Open,High,Low,Close,Volume,Change
2013-09-16,16019,16019,15346,15431,20816,
2013-09-17,15430,15809,15346,15389,16157,-0.0027217937917179
2013-09-23,15767,15767,15178,15221,15349,-0.0109168886867242
2013-09-24,15221,15514,15010,15053,14766,-0.0110373825635634
2013-09-25,15136,15514,15094,15263,31940,0.0139507075001661
2013-09-26,15178,15514,15178,15263,21177,0.0
2013-09-27,15388,15388,15010,15095,30359,-0.0110070104173491
2013-09-30,15053,15094,14295,14843,63502,-0.0166942696257038
2013-10-01,14589,14884,14127,14296,55073,-0.0368523883311998
2013-10-02,14421,14674,14127,14170,42334,-0.0088136541689983
2013-10-04,14043,14211,13370,13875,55519,-0.020818630910374
2013-10-07,13917,14127,13496,13539,42110,-0.0242162162162161
2013-10-08,13328,14464,13244,13413,147455,-0.0093064480389984
2013-10-10,13539,13622,13160,13371,52882,-0.0031312905390292
2013-10-11,13496,13875,13496,13707,37154,0.0251290105452097
2013-10-14,13706,13958,13706,13875,31641,0.012256511271613
2013-10-15,13917,14548,13875,14212,64916,0.0242882882882882
2013-10-16,14127,14169,13622,13791,46694,-0.0296228539262595
2013-10-17,13959,14127,13538,13623,21611,-0.0121818577333043
2013-10-18,13623,13874,13412,13623,26263,0.0
2013-10-21,13580,13707,13412,13497,25544,-0.0092490640828011
2013-10-22,13453,14085,13453,13875,49703,0.0280062236052456
2013-10-23,13832,14085,13664,13875,40262,0.0
2013-10-24,13707,13875,13623,13750,33139,-0.009009009009009
2013-10-25,13790,14338,13790,14170,77880,0.0305454545454546
2013-10-28,14169,14294,13874,14001,32284,-0.0119266055045871
2013-10-29,13918,14380,13750,13750,82000,-0.0179272909077923
2013-10-30,13833,13958,13622,13665,52178,-0.0061818181818181
2013-10-31,13623,13748,13455,13455,30121,-0.0153677277716794
2013-11-01,13455,13580,13202,13455,53492,0.0
2013-11-04,13412,13580,13328,13455,36226,0.0
2013-11-05,13454,13581,13286,13413,23755,-0.0031215161649944
2013-11-06,13412,13538,13328,13455,26745,0.0031312905390292
2013-11-07,13706,14295,13538,13623,188533,0.0124860646599778
2013-11-08,13581,13959,13496,13918,67593,0.0216545547970343
2013-11-11,14000,14253,13580,13707,80585,-0.0151602241701394
2013-11-12,13665,14128,13623,14128,45972,0.0307142336032684
2013-11-13,14043,14421,13833,14170,94462,0.0029728199320497
2013-11-14,14253,14421,13916,14043,44465,-0.0089625970359915
2013-11-15,14042,14505,13959,14464,98374,0.0299793491419213
2013-11-18,14380,14380,14000,14380,62848,-0.0058075221238937
2013-11-19,14337,14337,13286,13539,121024,-0.0584840055632823
2013-11-20,13454,13623,12572,12572,155778,-0.071423295664377
2013-11-21,12570,13328,12402,12992,123961,0.0334075723830735
2013-11-22,13245,13245,12908,13035,27280,0.0033097290640393
2013-11-25,12992,13371,12867,12867,44362,-0.0128883774453394
2013-11-26,12950,13035,12698,12867,43702,0.0
2013-11-27,12823,13244,12613,12698,121709,-0.0131343747571306
2013-11-28,12782,13076,12698,13035,62197,0.0265396125374075
2013-11-29,12950,13118,12865,12950,23768,-0.0065209052550824
2013-12-02,12907,13118,12782,12782,31169,-0.0129729729729729
2013-12-03,12865,12948,12444,12487,50242,-0.0230793303082459
2013-12-04,12193,12487,12024,12404,75507,-0.0066469127893008
2013-12-05,12319,13580,12277,13287,263222,0.0711867139632376
2013-12-06,13244,13286,12613,12656,72251,-0.0474900278467674
2013-12-09,12697,12992,12529,12782,44996,0.0099557522123894
2013-12-10,12656,12824,11815,12026,126691,-0.0591456736035049
2013-12-11,11814,12067,11730,12067,63417,0.0034092798935638
2013-12-12,11899,12151,11773,12026,69664,-0.0033976961962376
2013-12-13,11814,11897,11393,11436,77769,-0.0490603692000665
2013-12-16,11520,11814,11352,11521,54966,0.0074326687653025
2013-12-17,11521,11689,11226,11353,53630,-0.0145820675288603
2013-12-18,11267,11309,10889,11016,78005,-0.0296837840218444
2013-12-19,11142,11394,10679,10806,96703,-0.0190631808278867
2013-12-20,10804,10973,10048,10343,174986,-0.0428465667221913
2013-12-23,10385,11394,10385,10722,280444,0.0366431402881175
2013-12-24,11436,12067,10848,10848,612261,0.0117515388919977
2013-12-26,10889,11058,10637,10638,69281,-0.0193584070796459
2013-12-27,10553,10680,10385,10470,92208,-0.0157924421883812
2013-12-30,10553,10637,10385,10512,75595,0.0040114613180515
2014-01-02,10637,10721,10427,10638,53303,0.0119863013698631
2014-01-03,10595,10678,10468,10595,40129,-0.004042113179169
2014-01-06,10721,10889,10595,10848,68769,0.0238791882963662
2014-01-07,10805,11141,10805,11100,73232,0.0232300884955751
2014-01-08,11351,11561,11099,11310,106365,0.0189189189189189
2014-01-09,11310,11435,11099,11310,37070,0.0
2014-01-10,11436,11436,10973,11016,32769,-0.0259946949602122
2014-01-13,11057,11141,10889,11100,40128,0.0076252723311547
2014-01-14,10973,11310,10973,11142,33605,0.0037837837837837
2014-01-15,11183,11309,11099,11226,27246,0.007539041464728
2014-01-16,11267,11477,11141,11436,57905,0.0187065740245857
2014-01-17,11521,11646,11142,11353,49581,-0.007257782441413
