Date,Open,High,Low,Close,Volume,Change
2023-04-04,359,365,357,364,497811,0.013927576601671321
2023-04-05,364,371,356,367,345536,0.008241758241758212
2023-04-06,367,373,352,355,487192,-0.032697547683923744
2023-04-07,360,363,353,360,341275,0.014084507042253502
2023-04-10,361,361,351,352,184753,-0.022222222222222254
2023-04-11,352,368,351,361,297983,0.02556818181818188
2023-04-12,363,363,352,362,268862,0.0027700831024930483
2023-04-13,362,470,359,470,5439045,0.298342541436464
2023-04-14,611,611,558,611,14450641,0.30000000000000004
2023-04-17,633,710,534,605,91428580,-0.009819967266775809
2023-04-18,593,620,540,540,18867830,-0.1074380165289256
2023-04-19,548,578,514,527,14187190,-0.024074074074074026
2023-04-20,526,526,493,510,3434323,-0.032258064516129004
2023-04-21,495,510,479,500,1959022,-0.019607843137254943
2023-04-24,486,492,456,473,1959171,-0.05400000000000005
2023-04-25,471,471,440,442,1893340,-0.06553911205073992
2023-04-26,442,457,419,424,1710431,-0.040723981900452455
2023-04-27,418,434,394,425,1215876,0.002358490566037652
2023-04-28,418,423,395,414,1451022,-0.025882352941176467
2023-05-02,416,447,411,422,1536383,0.019323671497584627
2023-05-03,421,430,408,417,636789,-0.011848341232227444
2023-05-04,417,417,405,407,430841,-0.023980815347721784
2023-05-08,408,418,407,418,328505,0.027027027027026973
2023-05-09,418,422,401,406,476819,-0.028708133971291905
2023-05-10,406,411,401,405,226755,-0.0024630541871921707
2023-05-11,405,418,400,400,329463,-0.012345679012345734
2023-05-12,413,413,399,403,336139,0.007500000000000062
2023-05-15,405,406,391,393,308568,-0.02481389578163773
2023-05-16,392,393,360,364,687361,-0.07379134860050895
2023-05-17,364,379,364,372,262101,0.0219780219780219
2023-05-18,374,378,371,374,207356,0.005376344086021501
2023-05-19,379,379,370,378,257229,0.010695187165775444
2023-05-22,388,417,370,394,1023289,0.042328042328042326
2023-05-23,395,412,394,404,340104,0.025380710659898442
2023-05-24,404,407,393,406,415856,0.004950495049504955
2023-05-25,411,411,393,400,182971,-0.014778325123152691
