Date,Open,High,Low,Close,Volume,Change
2019-06-18,45000,47200,44350,45100,238578,0.00445434298440972
2019-06-19,45300,47400,45300,46500,132967,0.03104212860310418
2019-06-20,47450,50500,47000,50000,197364,0.07526881720430101
2019-06-21,50600,50800,47950,47950,116096,-0.041000000000000036
2019-06-24,48400,49700,47500,48900,44241,0.019812304483837417
2019-06-25,48950,50300,47500,48100,51328,-0.01635991820040905
2019-06-26,48100,49600,47400,48700,44909,0.012474012474012364
2019-06-27,49350,49350,44300,44900,111164,-0.07802874743326493
2019-06-28,44550,45500,44000,44250,100423,-0.014476614699331813
2019-07-01,44350,50200,44350,47900,117850,0.0824858757062148
2019-07-02,47900,48800,47200,47800,40207,-0.0020876826722338038
2019-07-03,48200,48250,47050,47850,27006,0.0010460251046024993
2019-07-04,47050,47400,45350,46000,58987,-0.03866248693834906
2019-07-05,46450,48500,45800,48400,44480,0.05217391304347818
2019-07-08,48200,48600,45800,46050,49988,-0.04855371900826444
2019-07-09,46100,46800,43850,44200,73234,-0.04017372421281218
2019-07-10,44200,46650,43800,45000,64767,0.018099547511312153
2019-07-11,45950,46200,44550,46000,33719,0.022222222222222143
2019-07-12,46050,47000,45200,46300,29279,0.006521739130434856
2019-07-15,46350,46350,44550,44800,32585,-0.03239740820734338
2019-07-16,44550,46400,44550,45500,51531,0.015625
2019-07-17,46950,49950,45850,48950,205605,0.07582417582417578
2019-07-18,47850,48800,45800,45850,119952,-0.06332992849846786
2019-07-19,46050,47000,44950,46750,71819,0.019629225736095934
2019-07-22,46650,47400,45800,45900,41039,-0.018181818181818188
2019-07-23,45950,46350,44700,45200,56230,-0.015250544662309351
2019-07-24,46400,46800,44300,44550,70684,-0.014380530973451378
2019-07-25,44300,44750,41000,41900,146531,-0.05948372615039277
2019-07-26,41500,42200,40050,40200,90221,-0.04057279236276845
2019-07-29,39950,40000,38350,38350,87455,-0.04601990049751248
2019-07-30,38650,41200,38650,39700,95925,0.03520208604954367
2019-07-31,39800,41500,38500,41250,106084,0.03904282115869018
2019-08-01,42100,42650,39600,39650,154375,-0.038787878787878816
2019-08-02,38050,40100,37000,38900,80547,-0.018915510718789386
2019-08-05,38900,38900,31650,31800,186949,-0.18251928020565555
2019-08-06,30100,33650,29900,30800,199175,-0.03144654088050314
2019-08-07,32000,33450,30750,32800,129850,0.06493506493506485
2019-08-08,33000,34500,32550,34500,90736,0.05182926829268286
2019-08-09,34950,35300,33150,33500,66583,-0.02898550724637683
2019-08-12,33300,34400,32550,33800,40416,0.008955223880596996
2019-08-13,33400,33400,32400,32450,54286,-0.0399408284023669
2019-08-14,33000,33700,32650,33350,42582,0.027734976887519247
2019-08-16,32700,33500,32250,32750,41565,-0.01799100449775115
2019-08-19,33000,34400,32950,34100,43030,0.04122137404580162
2019-08-20,34150,35850,33750,35450,78776,0.03958944281524923
2019-08-21,35400,40750,34950,39600,159812,0.11706629055007056
2019-08-22,39600,43000,39150,39950,171362,0.008838383838383868
2019-08-23,39500,40650,38400,38400,72525,-0.038798498122653347
2019-08-26,36500,37500,35150,35150,97717,-0.08463541666666663
2019-08-27,36000,36750,35350,35700,53650,0.01564722617354186
2019-08-28,35600,39300,35250,39000,118236,0.09243697478991586
2019-08-29,39000,40000,37750,38700,89926,-0.007692307692307665
2019-08-30,39800,40800,39300,40200,79222,0.03875968992248069
2019-09-02,40400,41800,39400,41500,75358,0.03233830845771135
2019-09-03,41000,41800,40700,40950,48932,-0.013253012048192736
2019-09-04,41000,41600,40550,41600,36625,0.015873015873015817
2019-09-05,41800,42300,40950,41100,69617,-0.012019230769230727
2019-09-06,41500,41700,40750,40950,36760,-0.0036496350364964014
2019-09-09,41500,44000,41200,42000,87360,0.02564102564102555
2019-09-10,42400,42950,40700,40800,47112,-0.02857142857142858
2019-09-11,40600,42400,40500,41700,57316,0.022058823529411686
2019-09-16,42200,42950,41050,42850,54448,0.027577937649880147
2019-09-17,42350,44300,41950,42950,83866,0.002333722287047868
2019-09-18,43100,43100,42150,42250,47912,-0.016298020954598424
2019-09-19,42150,43200,41400,41550,52761,-0.016568047337278125
2019-09-20,41300,42450,41150,41150,35891,-0.009626955475330878
2019-09-23,41150,41600,40750,41000,33488,-0.0036452004860266785
2019-09-24,39000,42750,38900,40800,64934,-0.004878048780487809
2019-09-25,40850,41450,39000,39100,80457,-0.04166666666666663
2019-09-26,39400,41350,39150,39950,64315,0.021739130434782705
2019-09-27,39850,40500,37800,38500,70852,-0.03629536921151444
2019-09-30,39050,39950,38000,38650,50918,0.003896103896103842
2019-10-01,38700,41350,38600,41350,87731,0.06985769728331181
2019-10-02,40300,41250,40050,40050,41093,-0.03143893591293834
2019-10-04,40100,42700,39200,41300,83641,0.03121098626716612
2019-10-07,42550,44950,42000,44950,180037,0.08837772397094423
2019-10-08,45100,45600,42100,42650,171900,-0.05116796440489435
2019-10-10,42200,42400,41350,42000,67508,-0.015240328253223967
2019-10-11,42150,43300,41750,41750,70609,-0.005952380952380931
2019-10-14,42750,43250,42100,42400,82906,0.015568862275449069
2019-10-15,42650,43050,41900,41950,66254,-0.010613207547169767
2019-10-16,42150,43100,41850,42250,59501,0.007151370679380209
2019-10-17,42400,42750,40650,41050,66819,-0.028402366863905293
2019-10-18,41250,41600,39950,40250,54531,-0.01948842874543244
2019-10-21,40700,40750,40050,40150,41889,-0.00248447204968949
2019-10-22,40200,48000,40150,44800,469596,0.11581569115815693
2019-10-23,45350,52600,45100,51300,725612,0.1450892857142858
2019-10-24,52400,52700,48300,51100,294009,-0.003898635477582846
2019-10-25,50500,51100,48300,48400,154905,-0.052837573385518644
2019-10-28,47950,50600,47950,48000,126167,-0.008264462809917328
2019-10-29,48750,48900,47200,47200,80265,-0.01666666666666672
2019-10-30,47600,49050,46200,47050,95083,-0.0031779661016949623
2019-10-31,47250,49400,47250,48350,110025,0.02763018065887346
2019-11-01,48650,49500,47250,49500,81141,0.02378490175801451
2019-11-04,49950,50500,49150,49300,116874,-0.004040404040404066
2019-11-05,49300,52600,49300,52000,204313,0.05476673427991896
2019-11-06,52600,54200,50900,51900,148126,-0.0019230769230769162
2019-11-07,52000,53200,51200,51500,102432,-0.0077071290944122905
2019-11-08,51800,52200,49450,49600,97163,-0.03689320388349515
2019-11-11,49400,50200,48100,48250,68808,-0.027217741935483875
2019-11-12,48000,48450,45700,47050,140170,-0.024870466321243567
2019-11-13,47500,47500,44550,44650,120620,-0.05100956429330494
2019-11-14,44650,46100,44600,44650,108463,0.0
2019-11-15,44300,47000,43950,47000,128016,0.05263157894736836
2019-11-18,47100,47350,45650,46350,78528,-0.013829787234042601
2019-11-19,46050,46450,44700,45000,73215,-0.029126213592232997
2019-11-20,44550,46100,43700,43800,71769,-0.026666666666666616
2019-11-21,43650,44350,41300,41550,100035,-0.05136986301369861
