Date,Open,High,Low,Close,Volume,Change
2019-06-18,3510,3535,3430,3455,345506,-0.019858156028368823
2019-06-19,3465,3520,3455,3505,206232,0.01447178002894356
2019-06-20,3475,3590,3475,3535,307974,0.008559201141226769
2019-06-21,3530,3735,3530,3695,1345159,0.04526166902404527
2019-06-24,3725,3780,3570,3600,1194183,-0.025710419485791558
2019-06-25,3630,3770,3610,3675,2073149,0.02083333333333326
2019-06-26,3620,3665,3520,3535,721696,-0.03809523809523807
2019-06-27,3520,3565,3390,3415,584217,-0.0339462517680339
2019-06-28,3405,3440,3275,3310,510301,-0.030746705710102518
2019-07-01,3350,3580,3350,3400,912746,0.027190332326284095
2019-07-02,3340,3475,3340,3445,320912,0.013235294117647012
2019-07-03,3455,3520,3400,3400,248065,-0.013062409288824406
2019-07-04,3415,3450,3340,3375,164780,-0.007352941176470562
2019-07-05,3365,3400,3350,3380,124733,0.001481481481481417
2019-07-08,3400,3400,3130,3130,638836,-0.07396449704142016
2019-07-09,3100,3240,3085,3110,312411,-0.006389776357827448
2019-07-10,3115,3230,3100,3165,280870,0.01768488745980701
2019-07-11,3165,3225,3100,3220,363358,0.017377567140600236
2019-07-12,3205,3245,3175,3225,147590,0.0015527950310558758
2019-07-15,3255,3275,3155,3155,155016,-0.02170542635658912
2019-07-16,3145,3205,3100,3160,226782,0.0015847860538826808
2019-07-17,3135,3190,3080,3135,223149,-0.007911392405063333
2019-07-18,3120,3215,3115,3160,210560,0.00797448165869219
2019-07-19,3150,3235,3150,3190,199975,0.009493670886076
2019-07-22,3180,3230,3175,3210,151320,0.006269592476489061
2019-07-23,3195,3230,3130,3155,193888,-0.01713395638629278
2019-07-24,3120,3195,3080,3080,267619,-0.023771790808240878
2019-07-25,3105,3175,2975,3075,575130,-0.0016233766233766378
2019-07-26,3020,3060,2980,3000,307757,-0.024390243902439046
2019-07-29,3000,3020,2830,2840,368809,-0.053333333333333344
2019-07-30,2780,3025,2780,2915,429846,0.02640845070422526
2019-07-31,2875,3025,2870,2950,229511,0.012006861063464935
2019-08-01,2950,3110,2950,2985,280342,0.011864406779660941
2019-08-02,2920,3060,2885,3025,223363,0.01340033500837512
2019-08-05,2990,3025,2710,2775,763341,-0.0826446280991735
2019-08-06,2605,2850,2445,2630,1930765,-0.052252252252252274
2019-08-07,2590,2730,2590,2660,513969,0.011406844106463865
2019-08-08,2680,2820,2680,2795,429181,0.050751879699248104
2019-08-09,2795,2920,2795,2875,327822,0.028622540250447193
2019-08-12,2885,3050,2885,2975,418857,0.034782608695652195
2019-08-13,2960,3020,2870,2935,263682,-0.013445378151260456
2019-08-14,2945,2980,2905,2905,254554,-0.010221465076660996
2019-08-16,2890,2995,2880,2910,197616,0.001721170395869276
2019-08-19,2915,2965,2910,2965,179555,0.018900343642611617
2019-08-20,2965,3050,2960,3025,378263,0.02023608768971341
2019-08-21,3025,3065,3010,3025,272502,0.0
2019-08-22,3030,3055,3005,3010,211312,-0.0049586776859503745
2019-08-23,2980,3020,2930,2945,263970,-0.021594684385382035
2019-08-26,2860,2920,2755,2765,472519,-0.06112054329371819
2019-08-27,2805,2870,2775,2800,249788,0.012658227848101333
2019-08-28,2815,3025,2800,2930,607107,0.046428571428571486
