Date,Open,High,Low,Close,Volume,Change
2019-06-18,7250,8010,7200,7800,711566,0.09396914446002813
2019-06-19,7830,8420,7820,8230,484196,0.055128205128205154
2019-06-20,8250,8460,8180,8260,161800,0.0036452004860267895
2019-06-21,8260,8460,8180,8460,130701,0.02421307506053272
2019-06-24,8480,8880,8220,8800,234292,0.04018912529550822
2019-06-25,8770,8820,8030,8050,331852,-0.08522727272727271
2019-06-26,8050,8510,7950,8020,127790,-0.003726708074534124
2019-06-27,8020,8250,7950,8150,76973,0.016209476309226867
2019-06-28,8030,8490,7980,8280,72060,0.01595092024539868
2019-07-01,8290,8290,8100,8220,65248,-0.007246376811594235
2019-07-02,8360,8640,8130,8450,71966,0.027980535279805263
2019-07-03,8550,8900,8320,8700,155710,0.029585798816567976
2019-07-04,8730,8730,7970,8010,219504,-0.07931034482758625
2019-07-05,8010,8660,8010,8450,112839,0.05493133583021215
2019-07-08,8450,8680,8110,8200,62179,-0.029585798816568087
2019-07-09,8050,8440,8050,8220,45492,0.0024390243902439046
2019-07-10,8160,8970,8160,8730,237994,0.06204379562043805
2019-07-11,8690,9460,8690,9270,401815,0.061855670103092786
2019-07-12,9300,9430,8990,9350,166683,0.008629989212513456
2019-07-15,9310,9890,9150,9340,223540,-0.0010695187165775666
2019-07-16,9340,9670,9250,9320,126799,-0.0021413276231263545
2019-07-17,9350,9350,8870,9050,123354,-0.02896995708154504
2019-07-18,8930,9120,8930,9030,56222,-0.0022099447513812542
2019-07-19,9180,9180,8870,8970,50030,-0.006644518272425293
2019-07-22,8930,9130,8840,8990,58880,0.0022296544035673715
2019-07-23,8990,9750,8990,9150,191756,0.017797552836484876
2019-07-24,9220,9300,9030,9070,32424,-0.008743169398907069
2019-07-25,9000,9250,9000,9100,27574,0.00330760749724357
2019-07-26,9200,9200,8800,8970,46183,-0.014285714285714235
2019-07-29,9130,9130,7590,7600,307007,-0.15273132664437017
2019-07-30,7270,8300,7270,8170,70995,0.07499999999999996
2019-07-31,8120,8780,7830,8310,60446,0.017135862913096656
2019-08-01,8300,8650,8210,8310,51809,0.0
2019-08-02,8390,8500,8050,8320,62403,0.001203369434416457
2019-08-05,8310,8400,7800,7940,58710,-0.04567307692307687
2019-08-06,7630,7900,7300,7340,81774,-0.07556675062972296
2019-08-07,7340,8070,7340,8070,59718,0.09945504087193457
2019-08-08,8070,8570,8070,8560,36004,0.060718711276332105
2019-08-09,8690,8970,8610,8790,47239,0.026869158878504606
2019-08-12,8940,8990,8610,8640,17985,-0.017064846416382284
2019-08-13,8610,8890,8580,8740,30757,0.011574074074074181
2019-08-14,8740,8970,8590,8740,37545,0.0
2019-08-16,8740,8830,8590,8700,43701,-0.004576659038901587
2019-08-19,8970,8970,8160,8330,69929,-0.042528735632183956
2019-08-20,8420,8460,8280,8360,28780,0.0036014405762305746
2019-08-21,8370,8640,8360,8400,46037,0.004784688995215225
2019-08-22,8560,8570,8370,8430,24977,0.0035714285714285587
2019-08-23,8360,8480,8310,8430,16649,0.0
2019-08-26,8490,8510,8140,8190,41474,-0.028469750889679735
2019-08-27,8230,8390,8230,8300,9338,0.013431013431013383
2019-08-28,8400,8550,8320,8550,14460,0.030120481927710774
2019-08-29,8590,8590,8420,8550,21582,0.0
2019-08-30,8590,9560,8500,9500,139914,0.11111111111111116
2019-09-02,9510,9770,9490,9630,75391,0.013684210526315743
2019-09-03,9650,9700,9430,9530,23805,-0.010384215991692591
2019-09-04,9580,9580,9180,9320,41643,-0.022035676810073457
2019-09-05,9210,9610,9210,9450,25011,0.013948497854077146
2019-09-06,9500,11750,9490,10550,727236,0.1164021164021165
2019-09-09,10550,11000,10400,10700,144447,0.014218009478673022
2019-09-10,10700,11350,10700,10850,186051,0.014018691588784993
2019-09-11,10900,11300,10850,10950,55733,0.009216589861751112
2019-09-16,11000,11250,10550,11200,56869,0.022831050228310446
2019-09-17,10850,11050,10800,10950,63914,-0.022321428571428603
2019-09-18,10800,11700,10700,11700,103922,0.06849315068493156
2019-09-19,11650,12250,10300,10900,264241,-0.06837606837606836
2019-09-20,11000,11150,10750,11000,34161,0.00917431192660545
2019-09-23,11100,11100,10750,10950,18247,-0.004545454545454519
2019-09-24,11050,11050,10450,10800,46809,-0.013698630136986356
2019-09-25,10950,12000,10650,11100,197003,0.02777777777777768
2019-09-26,11100,13000,11100,12700,354411,0.14414414414414423
2019-09-27,12600,13800,12400,13100,293761,0.03149606299212593
2019-09-30,13100,13750,13000,13700,106321,0.04580152671755733
2019-10-01,13500,13950,13400,13800,101725,0.007299270072992803
2019-10-02,13700,15300,13500,14950,304051,0.08333333333333326
2019-10-04,14800,15200,13950,14300,180033,-0.04347826086956519
2019-10-07,14200,14800,13850,14550,84501,0.0174825174825175
2019-10-08,14850,16200,14400,15800,278871,0.08591065292096212
2019-10-10,15900,16700,12750,12950,911151,-0.180379746835443
2019-10-11,12950,13100,11250,11650,682930,-0.10038610038610041
2019-10-14,11700,12000,11400,11450,199410,-0.01716738197424894
2019-10-15,11550,11800,11150,11500,133918,0.004366812227074135
2019-10-16,11500,12250,11500,11750,199647,0.021739130434782705
2019-10-17,11700,11700,10050,10300,424891,-0.12340425531914889
2019-10-18,10300,10300,8570,9100,1502529,-0.11650485436893199
2019-10-21,9240,9320,9020,9240,220556,0.01538461538461533
2019-10-22,9250,9330,9100,9220,149994,-0.0021645021645021467
2019-10-23,9200,9660,8790,9500,459104,0.030368763557483636
2019-10-24,9350,10050,9310,9710,277494,0.022105263157894628
