Date,Open,High,Low,Close,Volume,Change
2019-06-18,3815,3830,3725,3800,16444,-0.003931847968545177
2019-06-19,3765,3885,3765,3815,13823,0.003947368421052699
2019-06-20,3800,3870,3785,3825,7586,0.002621231979030192
2019-06-21,3890,3890,3790,3800,9226,-0.006535947712418277
2019-06-24,3800,3860,3800,3800,3397,0.0
2019-06-25,3775,3880,3775,3880,14877,0.021052631578947434
2019-06-26,3875,3910,3865,3895,20779,0.0038659793814432852
2019-06-27,3890,3895,3860,3870,8440,-0.006418485237484006
2019-06-28,3850,3895,3840,3885,2479,0.003875968992248069
2019-07-01,3900,3970,3875,3970,19798,0.02187902187902191
2019-07-02,3970,4100,3955,4090,47872,0.030226700251889227
2019-07-03,4080,4100,4000,4090,18759,0.0
2019-07-04,4085,4110,4035,4085,25824,-0.0012224938875305957
2019-07-05,4080,4105,4015,4030,20150,-0.01346389228886169
2019-07-08,4030,4030,3920,3945,31771,-0.021091811414392092
2019-07-09,3950,4005,3895,3950,12911,0.0012674271229404788
2019-07-10,3920,4055,3920,4055,20311,0.026582278481012578
2019-07-11,4055,4055,3950,4030,8862,-0.006165228113440224
2019-07-12,4000,4045,4000,4040,17349,0.002481389578163684
2019-07-15,4040,4055,4020,4050,7000,0.0024752475247524774
2019-07-16,4090,4090,4020,4045,3401,-0.0012345679012345512
2019-07-17,4040,4055,3985,4010,10228,-0.008652657601977753
2019-07-18,4005,4045,3990,4025,5554,0.0037406483790523026
2019-07-19,4065,4065,3975,4015,19901,-0.00248447204968949
2019-07-22,4015,4015,3845,3900,41936,-0.028642590286425906
2019-07-23,3900,3940,3865,3940,11146,0.01025641025641022
2019-07-24,3900,3985,3865,3870,27127,-0.017766497461928932
2019-07-25,3870,3890,3800,3835,28161,-0.009043927648578864
2019-07-26,3855,3870,3800,3810,34527,-0.006518904823989535
2019-07-29,3805,3875,3745,3750,67041,-0.015748031496062964
2019-07-30,3750,3790,3700,3730,117317,-0.005333333333333301
2019-07-31,3730,3740,3690,3740,27745,0.002680965147453085
2019-08-01,3740,3770,3690,3720,11634,-0.005347593582887722
2019-08-02,3720,3750,3700,3715,12632,-0.0013440860215053752
2019-08-05,3725,3750,3600,3600,76105,-0.030955585464333746
2019-08-06,3580,3735,3550,3640,22758,0.011111111111111072
2019-08-07,3605,3700,3605,3640,6240,0.0
2019-08-08,3675,3690,3630,3680,3209,0.01098901098901095
2019-08-09,3680,3700,3655,3690,5473,0.0027173913043478937
2019-08-12,3690,3700,3665,3690,6057,0.0
2019-08-13,3725,3760,3660,3685,16241,-0.0013550135501354532
2019-08-14,3720,3750,3690,3730,7165,0.012211668928086894
2019-08-16,3730,3850,3680,3780,139068,0.013404825737265424
2019-08-19,3780,3980,3780,3930,55785,0.039682539682539764
2019-08-20,3880,3950,3880,3950,11746,0.0050890585241729624
2019-08-21,3905,3950,3870,3950,9777,0.0
2019-08-22,3950,3950,3880,3915,8764,-0.008860759493670933
2019-08-23,3930,3950,3855,3900,17967,-0.003831417624521105
2019-08-26,3860,3895,3780,3860,16186,-0.01025641025641022
2019-08-27,3875,3880,3805,3860,12144,0.0
2019-08-28,3860,3870,3805,3865,2534,0.0012953367875647714
2019-08-29,3940,3970,3865,3865,21814,0.0
2019-08-30,3865,3920,3845,3865,32365,0.0
2019-09-02,3865,3875,3840,3865,11613,0.0
2019-09-03,3865,3875,3800,3870,8620,0.001293661060802087
2019-09-04,3870,3870,3830,3870,2049,0.0
2019-09-05,3900,3900,3850,3855,5374,-0.003875968992248069
2019-09-06,3900,3900,3850,3885,3484,0.0077821011673151474
2019-09-09,3875,3895,3725,3770,80927,-0.029601029601029616
2019-09-10,3795,3820,3780,3810,1998,0.010610079575596787
2019-09-11,3810,3820,3800,3810,5602,0.0
2019-09-16,3790,3830,3770,3830,9111,0.005249343832020914
2019-09-17,3830,3850,3795,3820,6686,-0.0026109660574412663
2019-09-18,3800,3840,3800,3840,2821,0.005235602094240788
2019-09-19,3840,3840,3810,3840,1537,0.0
2019-09-20,3810,3860,3805,3845,9528,0.0013020833333332593
2019-09-23,3840,3840,3830,3840,1992,-0.0013003901170350884
2019-09-24,3855,3855,3730,3780,28302,-0.015625
2019-09-25,3755,3780,3685,3730,58075,-0.013227513227513255
2019-09-26,3740,3755,3705,3710,15726,-0.00536193029490617
2019-09-27,3665,3780,3665,3700,10072,-0.0026954177897574594
2019-09-30,3730,3730,3665,3715,20389,0.004054054054054124
2019-10-01,3720,3725,3680,3725,16380,0.0026917900403768957
2019-10-02,3725,3730,3700,3730,5507,0.0013422818791946067
2019-10-04,3735,3750,3705,3735,1346,0.0013404825737264314
2019-10-07,3730,3740,3705,3720,5468,-0.004016064257028162
2019-10-08,3720,3725,3670,3720,11683,0.0
2019-10-10,3770,3770,3690,3700,5884,-0.005376344086021501
2019-10-11,3675,3710,3675,3695,5106,-0.0013513513513513375
2019-10-14,3685,3705,3670,3690,9637,-0.0013531799729363803
2019-10-15,3700,3700,3670,3690,3917,0.0
2019-10-16,3680,3720,3665,3690,5698,0.0
2019-10-17,3680,3730,3670,3680,7894,-0.0027100271002710175
2019-10-18,3675,3800,3665,3725,12392,0.012228260869565188
2019-10-21,3720,3725,3680,3680,4821,-0.012080536912751683
2019-10-22,3665,3700,3665,3695,9525,0.0040760869565217295
2019-10-23,3695,3695,3665,3680,17197,-0.004059539918809252
2019-10-24,3670,3730,3655,3695,22447,0.0040760869565217295
2019-10-25,3665,3695,3645,3695,12189,0.0
2019-10-28,3655,3710,3645,3700,3780,0.0013531799729364913
2019-10-29,3675,3800,3670,3710,10670,0.002702702702702675
2019-10-30,3710,3710,3670,3690,7009,-0.005390835579514808
2019-10-31,3690,3725,3685,3705,12970,0.004065040650406582
2019-11-01,3705,3730,3680,3715,5718,0.0026990553306343035
2019-11-04,3715,3730,3675,3695,6442,-0.0053835800807536804
2019-11-05,3695,3710,3685,3700,6464,0.0013531799729364913
2019-11-06,3705,3715,3655,3700,15290,0.0
2019-11-07,3695,3720,3680,3680,12888,-0.00540540540540535
2019-11-08,3675,3720,3670,3680,12080,0.0
2019-11-11,3705,3705,3670,3680,8158,0.0
2019-11-12,3665,3725,3665,3700,15875,0.005434782608695565
2019-11-13,3700,3705,3675,3675,13781,-0.006756756756756799
2019-11-14,3680,3705,3665,3690,7741,0.004081632653061273
2019-11-15,3690,3705,3670,3700,6622,0.0027100271002709064
2019-11-18,3700,3720,3695,3720,14421,0.00540540540540535
2019-11-19,3720,3725,3675,3715,6809,-0.0013440860215053752
2019-11-20,3705,3715,3650,3680,13924,-0.009421265141319024
2019-11-21,3680,3695,3655,3680,7753,0.0
2019-11-22,3705,3705,3640,3700,18410,0.005434782608695565
2019-11-25,3700,3715,3680,3680,2341,-0.00540540540540535
2019-11-26,3710,3715,3675,3690,1013,0.0027173913043478937
2019-11-27,3675,3700,3675,3695,1494,0.0013550135501354532
2019-11-28,3675,3705,3665,3695,6169,0.0
2019-11-29,3695,3700,3665,3695,6702,0.0
2019-12-02,3695,3695,3665,3690,7172,-0.0013531799729363803
2019-12-03,3710,3710,3655,3690,12658,0.0
2019-12-04,3690,3690,3660,3685,4890,-0.0013550135501354532
2019-12-05,3665,3715,3630,3650,42711,-0.009497964721845276
2019-12-06,3640,3685,3635,3685,5841,0.009589041095890316
2019-12-09,3685,3685,3645,3650,2864,-0.009497964721845276
2019-12-10,3680,3680,3650,3675,2863,0.006849315068493178
2019-12-11,3650,3720,3650,3695,3604,0.0054421768707482165
2019-12-12,3690,3730,3665,3700,7852,0.0013531799729364913
2019-12-13,3675,3730,3675,3710,2151,0.002702702702702675
2019-12-16,3710,3710,3665,3695,4928,-0.0040431266846361336
2019-12-17,3695,3700,3655,3655,8019,-0.010825439783491153
2019-12-18,3655,3690,3640,3690,9223,0.009575923392612928
2019-12-19,3690,3690,3670,3670,2785,-0.005420054200542035
2019-12-20,3650,3705,3650,3705,10672,0.0095367847411445
2019-12-23,3690,3710,3690,3710,3193,0.0013495276653170407
2019-12-24,3710,3725,3695,3720,15706,0.0026954177897573484
2019-12-26,3715,3765,3695,3765,39309,0.012096774193548487
2019-12-27,3730,3750,3685,3685,7557,-0.021248339973439556
2019-12-30,3685,3740,3630,3740,7719,0.014925373134328401
2020-01-02,3730,3740,3650,3665,23622,-0.020053475935828846
2020-01-03,3670,3700,3650,3670,11287,0.0013642564802183177
2020-01-06,3700,3700,3640,3670,6844,0.0
2020-01-07,3670,3685,3650,3675,5828,0.0013623978201635634
2020-01-08,3675,3675,3640,3655,11828,-0.0054421768707483276
2020-01-09,3660,3700,3630,3655,13488,0.0
2020-01-10,3670,3690,3650,3665,4326,0.002735978112175186
2020-01-13,3665,3685,3650,3675,2343,0.0027285129604366354
2020-01-14,3660,3700,3655,3670,11274,-0.0013605442176870541
2020-01-15,3670,3690,3650,3655,9327,-0.004087193460490468
2020-01-16,3700,3700,3655,3690,6954,0.009575923392612928
2020-01-17,3690,3690,3630,3690,8327,0.0
2020-01-20,3690,3690,3660,3680,7338,-0.0027100271002710175
2020-01-21,3620,3680,3620,3665,20008,-0.0040760869565217295
2020-01-22,3685,3690,3630,3655,6488,-0.0027285129604365244
2020-01-23,3655,3680,3635,3650,21687,-0.001367989056087593
2020-01-28,3580,3650,3535,3535,47566,-0.03150684931506853
2020-01-29,3560,3615,3535,3550,47720,0.004243281471004279
2020-01-30,3570,3595,3525,3530,25557,-0.005633802816901401
2020-01-31,3540,3570,3530,3560,23906,0.008498583569405138
2020-02-03,3530,3565,3510,3565,7469,0.001404494382022392
2020-02-04,3535,3590,3525,3590,18415,0.007012622720897532
2020-02-05,3615,3650,3540,3580,16076,-0.0027855153203342198
2020-02-06,3610,3610,3515,3565,39255,-0.0041899441340782495
2020-02-07,3565,3585,3555,3580,22475,0.004207573632538653
2020-02-10,3540,3620,3535,3590,16510,0.0027932960893854997
2020-02-11,3590,3660,3575,3625,14729,0.009749303621169991
2020-02-12,3625,3645,3585,3615,5682,-0.0027586206896551557
2020-02-13,3615,3645,3590,3605,13512,-0.0027662517289073207
2020-02-14,3605,3645,3600,3610,5242,0.001386962552011095
2020-02-17,3610,3640,3550,3600,32445,-0.0027700831024930483
2020-02-18,3600,3630,3585,3600,7286,0.0
2020-02-19,3600,3620,3575,3600,12076,0.0
2020-02-20,3600,3625,3565,3575,15262,-0.00694444444444442
2020-02-21,3600,3610,3555,3575,13293,0.0
2020-02-24,3575,3585,3510,3565,14369,-0.002797202797202747
2020-02-25,3565,3625,3515,3530,36136,-0.009817671809256634
2020-02-26,3530,3605,3515,3535,21935,0.0014164305949009304
2020-02-27,3550,3605,3490,3535,28112,0.0
2020-02-28,3535,3535,3340,3495,69214,-0.011315417256011262
2020-03-02,3555,3555,3395,3445,22261,-0.014306151645207432
2020-03-03,3550,3550,3415,3455,27585,0.002902757619738683
2020-03-04,3495,3495,3400,3490,22421,0.01013024602026058
2020-03-05,3540,3540,3470,3495,17731,0.0014326647564470996
2020-03-06,3535,3535,3470,3495,10776,0.0
2020-03-09,3525,3530,3360,3360,17622,-0.03862660944206009
2020-03-10,3340,3425,3190,3420,65929,0.017857142857142794
2020-03-11,3420,3425,3310,3310,39165,-0.032163742690058506
