Date,Open,High,Low,Close,Volume,Change
2019-06-18,4765,4870,4754,4792,260692,0.0056663168940189745
2019-06-19,4833,4891,4801,4823,196844,0.006469115191986674
2019-06-20,4843,4880,4828,4855,153440,0.006634874559402926
2019-06-21,4870,4917,4838,4849,181972,-0.0012358393408856694
2019-06-24,4854,4864,4796,4823,161850,-0.00536193029490617
2019-06-25,4896,5017,4817,4886,360918,0.013062409288824295
2019-06-26,4859,4917,4801,4828,146468,-0.01187065083913219
2019-06-27,4828,5017,4828,4839,337056,0.002278376139188021
2019-06-28,4880,4917,4754,4881,195906,0.008679479231246123
2019-07-01,4875,4969,4849,4944,185532,0.012907191149354569
2019-07-02,4922,5180,4891,5149,491806,0.041464401294498465
2019-07-03,5117,5248,4917,4944,412006,-0.039813556030297126
2019-07-04,4938,4985,4723,4771,357786,-0.03499190938511332
2019-07-05,4833,4833,4617,4692,204578,-0.016558373506602386
2019-07-08,4707,4707,4439,4471,257474,-0.047101449275362306
2019-07-09,4428,4591,4371,4377,196618,-0.021024379333482446
2019-07-10,4323,4523,4323,4440,170456,0.014393420150788261
2019-07-11,4465,4502,4423,4461,107890,0.004729729729729737
2019-07-12,4460,4491,4402,4424,104132,-0.00829410446088319
2019-07-15,4413,4439,4318,4334,184174,-0.020343580470162714
2019-07-16,4360,4392,4292,4324,154406,-0.00230733733271804
2019-07-17,4313,4328,4166,4203,193712,-0.02798334875115638
2019-07-18,4202,4318,4176,4250,110430,0.011182488698548765
2019-07-19,4234,4307,4213,4292,79216,0.009882352941176453
2019-07-22,4292,4302,4202,4250,65652,-0.009785647716682222
2019-07-23,4250,4297,4229,4235,84568,-0.003529411764705892
2019-07-24,4244,4271,4197,4198,129784,-0.008736717827626972
2019-07-25,4176,4307,3976,4124,451442,-0.01762744163887564
2019-07-26,4166,4176,4029,4109,134706,-0.003637245392822508
2019-07-29,4092,4097,3818,3820,210272,-0.070333414456072
2019-07-30,3793,4108,3793,3972,176718,0.039790575916230475
2019-07-31,3971,4066,3861,4040,121910,0.017119838872104776
2019-08-01,4040,4082,3961,3961,66230,-0.019554455445544572
2019-08-02,3929,3992,3835,3935,135844,-0.00656399899015403
2019-08-05,3861,3918,3466,3468,405270,-0.11867852604828466
2019-08-06,3209,3546,3157,3189,433148,-0.08044982698961933
2019-08-07,2705,3351,2705,3210,1461500,0.0065851364063969076
2019-08-08,3246,3714,3246,3552,405710,0.1065420560747663
2019-08-09,3551,3651,3467,3541,173392,-0.003096846846846857
2019-08-12,3504,3672,3504,3625,106570,0.023722112397627892
2019-08-13,3603,3730,3603,3725,190570,0.02758620689655178
2019-08-14,3840,3882,3635,3715,168210,-0.0026845637583892135
2019-08-16,3656,3688,3614,3646,96798,-0.01857335127860027
2019-08-19,3682,3714,3646,3688,107642,0.011519473395501967
2019-08-20,3682,3772,3667,3757,121346,0.01870932754880683
2019-08-21,3724,3824,3719,3804,120316,0.012509981368112877
2019-08-22,3808,3840,3761,3772,73190,-0.008412197686645584
2019-08-23,3772,3787,3682,3736,119678,-0.009544008483563071
2019-08-26,3672,3672,3514,3525,133462,-0.05647751605995721
2019-08-27,3556,3625,3525,3541,68754,0.004539007092198677
2019-08-28,3525,3614,3519,3583,46170,0.011861056198813946
2019-08-29,3598,3614,3467,3520,70892,-0.01758303097962599
2019-08-30,3546,3714,3546,3699,75472,0.05085227272727266
2019-09-02,3719,3829,3698,3788,106098,0.024060556907272268
2019-09-03,3840,3840,3766,3783,77244,-0.0013199577613516311
2019-09-04,3777,3866,3766,3830,70734,0.01242400211472372
2019-09-05,3840,3856,3808,3835,58832,0.0013054830287206887
2019-09-06,3835,3845,3766,3783,62292,-0.013559322033898313
2019-09-09,3808,3808,3677,3741,70094,-0.011102299762093537
