Date,Open,High,Low,Close,Volume,Change
2013-09-16,48050,48800,47000,47250,10008,
2013-09-17,47900,48200,47300,47850,5853,0.0126984126984126
2013-09-23,48200,49000,47850,48850,9116,0.0208986415882967
2013-09-24,48500,49000,48000,48650,7133,-0.0040941658137154
2013-09-25,49000,50700,48550,50200,26829,0.0318602261048304
2013-09-26,50600,50600,49500,49900,14966,-0.0059760956175298
2013-09-27,49900,50900,49650,49950,14547,0.001002004008016
2013-09-30,50700,56900,50000,52400,106626,0.0490490490490489
2013-10-01,52500,55800,52500,53000,68560,0.0114503816793893
2013-10-02,53500,54400,52000,52600,20739,-0.0075471698113207
2013-10-04,52800,52800,51000,51200,16302,-0.026615969581749
2013-10-07,51000,52800,50900,51200,16355,0.0
2013-10-08,50900,51600,49950,50900,10550,-0.005859375
2013-10-10,51000,52700,50700,52000,16177,0.0216110019646365
2013-10-11,52500,53200,51700,51800,13664,-0.0038461538461538
2013-10-14,52100,52400,51200,51900,14085,0.001930501930502
2013-10-15,52300,52600,51200,51500,9546,-0.0077071290944122
2013-10-16,51300,51900,50700,51800,13921,0.0058252427184466
2013-10-17,51500,51900,51100,51900,8924,0.001930501930502
2013-10-18,52100,52900,50700,50700,21977,-0.0231213872832369
2013-10-21,50700,51300,49200,50100,16894,-0.0118343195266271
2013-10-22,50100,51000,49500,50300,14531,0.0039920159680639
2013-10-23,50300,50400,49500,49550,10384,-0.014910536779324
2013-10-24,50200,50400,49300,50000,9472,0.0090817356205852
2013-10-25,50100,50300,49600,50000,5184,0.0
2013-10-28,50300,50300,49000,49750,9920,-0.005
2013-10-29,49700,50200,49300,49700,7383,-0.0010050251256281
2013-10-30,49750,49750,49000,49000,8143,-0.0140845070422535
2013-10-31,49350,49350,48300,48350,8553,-0.013265306122449
2013-11-01,47850,49800,47850,49600,8322,0.0258531540847983
2013-11-04,49500,50000,49250,49800,7386,0.0040322580645162
2013-11-05,49600,50100,49100,49850,6574,0.001004016064257
2013-11-06,49950,50000,49250,49700,3081,-0.0030090270812437
2013-11-07,49700,49900,48400,48600,11522,-0.0221327967806841
2013-11-08,48500,48750,47800,47900,6910,-0.0144032921810699
2013-11-11,47850,48300,46000,46000,6804,-0.0396659707724426
2013-11-12,45200,47900,45200,47100,5768,0.0239130434782608
2013-11-13,47450,47750,46800,47100,5374,0.0
2013-11-14,47700,47700,46750,47150,2633,0.0010615711252655
2013-11-15,47400,47450,46850,47200,5457,0.0010604453870626
2013-11-18,47350,47350,46550,46900,5705,-0.0063559322033898
2013-11-19,47200,47200,45200,46250,18661,-0.0138592750533048
2013-11-20,46300,46450,45100,45750,7727,-0.0108108108108108
2013-11-21,45500,45850,45250,45250,7134,-0.0109289617486338
2013-11-22,45450,47250,45350,45450,6738,0.0044198895027625
2013-11-25,45450,46350,45000,45850,4904,0.0088008800880088
2013-11-26,45650,46150,44900,45200,8917,-0.0141766630316249
2013-11-27,45750,45750,44150,44150,9266,-0.0232300884955751
2013-11-28,44700,45200,44100,44850,11686,0.0158550396375991
2013-11-29,44850,45100,43900,43900,11955,-0.0211817168338906
2013-12-02,44000,45400,44000,44300,5943,0.0091116173120728
2013-12-03,44100,44700,44100,44150,3903,-0.0033860045146726
2013-12-04,44500,44850,43800,43850,7713,-0.0067950169875424
2013-12-05,44050,44100,43400,43850,7110,0.0
2013-12-06,43900,44450,43650,43800,5906,-0.001140250855188
2013-12-09,44100,44250,43650,43750,4842,-0.0011415525114155
2013-12-10,44050,44200,42850,43000,6923,-0.0171428571428571
2013-12-11,43350,43350,42450,43000,4428,0.0
2013-12-12,42250,43550,42250,43450,4866,0.0104651162790698
2013-12-13,42850,43650,42750,43450,4807,0.0
2013-12-16,44100,45850,43600,45000,17382,0.0356731875719218
2013-12-17,45400,46800,44700,45700,8067,0.0155555555555555
2013-12-18,46150,46150,45400,45500,3959,-0.0043763676148796
2013-12-19,45950,45950,44100,45400,9011,-0.0021978021978021
2013-12-20,45650,45650,43200,45050,10960,-0.0077092511013215
2013-12-23,45100,45100,44250,44700,4344,-0.0077691453940066
2013-12-24,45250,45300,44250,45200,3682,0.0111856823266218
2013-12-26,44600,45400,44300,45150,9616,-0.0011061946902655
2013-12-27,44700,45350,44700,45200,4447,0.0011074197120708
2013-12-30,45500,45550,44500,45200,4862,0.0
2014-01-02,45000,45400,44500,44500,4401,-0.0154867256637167
2014-01-03,43650,44950,43650,44500,4044,0.0
2014-01-06,44800,45000,44200,44300,6573,-0.0044943820224718
2014-01-07,44900,45050,44000,44900,5245,0.0135440180586907
2014-01-08,45300,45300,44550,44650,3982,-0.0055679287305122
2014-01-09,45150,45150,44050,44500,3954,-0.0033594624860022
2014-01-10,44950,44950,44100,44300,2635,-0.0044943820224718
2014-01-13,44000,44500,43500,44500,6123,0.0045146726862301
2014-01-14,44500,44650,43950,44400,3101,-0.0022471910112359
2014-01-15,44000,44500,43800,44400,5125,0.0
2014-01-16,44700,45950,44100,45800,13590,0.0315315315315314
2014-01-17,46000,46250,45050,45800,8295,0.0
2014-01-20,45650,45650,44750,45000,11918,-0.0174672489082969
2014-01-21,44750,45150,43700,45000,8522,0.0
2014-01-22,45000,45150,44400,45150,4959,0.0033333333333334
2014-01-23,44550,45500,44550,45250,12666,0.0022148394241416
2014-01-24,45000,45700,45000,45450,8814,0.0044198895027625
2014-01-27,45300,45300,40500,44950,10357,-0.0110011001100109
2014-01-28,44950,45300,44200,44450,5029,-0.0111234705228031
2014-01-29,44750,44750,44000,44400,7314,-0.0011248593925758
2014-02-03,44550,44550,43600,44500,8113,0.0022522522522523
2014-02-04,43650,44550,43600,44550,8450,0.0011235955056179
2014-02-05,44200,44900,44200,44600,3016,0.0011223344556678
2014-02-06,44800,45550,44600,45000,7112,0.0089686098654708
2014-02-07,44800,46800,44800,46250,14322,0.0277777777777776
2014-02-10,46300,46900,45600,45850,7296,-0.0086486486486486
2014-02-11,45900,45950,45050,45850,4279,0.0
2014-02-12,45950,45950,45000,45100,9663,-0.0163576881134133
2014-02-13,45100,45350,45000,45050,4079,-0.0011086474501108
2014-02-14,45050,45400,44950,45350,5329,0.0066592674805772
2014-02-17,45400,45600,45350,45500,5263,0.0033076074972435
2014-02-18,45700,45700,44900,45350,5353,-0.0032967032967032
2014-02-19,44200,45200,44200,44650,8291,-0.0154355016538036
2014-02-20,44650,45300,44250,44650,6204,0.0
2014-02-21,44650,46850,44650,45250,12711,0.0134378499440088
2014-02-24,45950,45950,44800,44800,6544,-0.0099447513812154
2014-02-25,44750,45550,44650,44850,6211,0.0011160714285713
2014-02-26,45000,46350,45000,46200,9953,0.0301003344481605
2014-02-27,46200,46650,45400,46500,8132,0.0064935064935065
2014-02-28,46700,47100,46150,46850,10163,0.0075268817204301
2014-03-03,46850,47200,46000,46600,8310,-0.0053361792956243
2014-03-04,46800,49300,46800,47600,22195,0.0214592274678111
2014-03-05,48500,48800,47600,48500,16966,0.01890756302521
2014-03-06,48450,49050,47900,48400,12624,-0.002061855670103
2014-03-07,48600,48600,47500,47500,10968,-0.018595041322314
2014-03-10,47750,47800,46650,46900,9238,-0.0126315789473684
2014-03-11,46550,46950,45900,46000,26305,-0.0191897654584222
2014-03-12,46000,46300,45550,46050,11639,0.001086956521739
2014-03-13,46600,46600,45400,45950,9471,-0.002171552660152
2014-03-14,45900,46900,45650,46350,7950,0.0087051142546246
2014-03-17,46450,46500,45650,46050,5605,-0.0064724919093851
2014-03-18,45700,46050,45150,45400,10975,-0.014115092290988
2014-03-19,45500,45850,45300,45400,5095,0.0
2014-03-20,45750,46100,44850,45100,10370,-0.0066079295154185
2014-03-21,45100,45100,44500,44750,6696,-0.0077605321507761
2014-03-24,45100,45500,44500,45450,7061,0.0156424581005587
2014-03-25,45250,45500,44600,44800,7881,-0.0143014301430143
2014-03-26,44800,45950,44800,45400,9264,0.0133928571428572
2014-03-27,45850,45850,44650,44800,6369,-0.0132158590308369
2014-03-28,44650,45400,44650,45050,4951,0.0055803571428572
2014-03-31,45950,49900,45500,48100,70673,0.0677025527192007
2014-04-01,48500,48950,46950,47350,23161,-0.0155925155925156
2014-04-02,47750,47750,46600,47050,11824,-0.0063357972544878
2014-04-03,47750,49800,47350,49000,64071,0.0414452709883104
2014-04-04,49200,51000,48800,49000,56755,0.0
2014-04-07,49500,50500,48700,49400,35434,0.0081632653061225
2014-04-08,49400,50000,48650,49350,15454,-0.0010121457489878
2014-04-09,49400,49400,48700,48700,16228,-0.0131712259371833
2014-04-10,49000,49400,48600,48800,13876,0.002053388090349
2014-04-11,49000,49000,48300,48700,9520,-0.0020491803278688
2014-04-14,48750,50300,48500,49900,34703,0.0246406570841888
2014-04-15,50300,50400,49600,49850,16220,-0.0010020040080159
2014-04-16,49900,50000,49350,50000,18098,0.0030090270812437
2014-04-17,49900,50100,49000,49100,13849,-0.018
2014-04-18,49600,49650,48950,49200,8244,0.0020366598778003
2014-04-21,48800,49000,48000,48100,13190,-0.0223577235772357
2014-04-22,47650,49800,47650,48350,19566,0.0051975051975052
2014-04-23,48750,48850,47850,48200,11762,-0.0031023784901758
2014-04-24,48200,48500,47400,47450,10671,-0.0155601659751036
2014-04-25,47300,47700,46450,46700,11766,-0.0158061116965226
2014-04-28,46750,46950,46000,46550,11400,-0.0032119914346895
2014-04-29,46600,47400,46300,47300,7945,0.0161117078410311
2014-04-30,47650,48000,47250,47450,7511,0.0031712473572937
2014-05-02,47450,48000,47150,47900,6557,0.0094836670179137
2014-05-07,47900,47900,47050,47100,4397,-0.0167014613778705
2014-05-08,49100,54100,48500,54100,191980,0.1486199575371549
2014-05-09,61900,62200,59200,62000,979347,0.1460258780036969
2014-05-12,67000,69900,62000,69900,862315,0.1274193548387097
2014-05-13,67800,71200,66100,69800,522205,-0.0014306151645206
2014-05-14,70800,71800,68800,68900,347817,-0.0128939828080228
2014-05-15,67200,79200,66500,79200,766272,0.1494920174165457
2014-05-16,0,0,0,79200,0,0.0
2014-05-19,78600,89100,78600,86000,235471,0.0858585858585858
2014-05-20,87900,90500,80000,80000,172018,-0.0697674418604651
2014-05-21,83600,84500,81100,82600,157834,0.0324999999999999
2014-05-22,80400,86000,75100,82900,654460,0.0036319612590798
2014-05-23,83700,84300,77000,77000,412973,-0.0711700844390832
2014-05-26,76400,78000,71700,73500,452255,-0.0454545454545454
2014-05-27,74200,76700,72700,74000,331962,0.0068027210884353
2014-05-28,73300,76700,72500,73400,242398,-0.0081081081081081
2014-05-29,73800,74200,70500,71500,227209,-0.0258855585831062
2014-05-30,71800,74000,71000,72000,273079,0.006993006993007
2014-06-02,71100,71400,65200,66300,264012,-0.0791666666666667
2014-06-03,72000,74300,66000,66000,654032,-0.004524886877828
2014-06-05,64000,68800,63400,63500,198101,-0.0378787878787878
2014-06-09,64500,65000,61000,62100,150754,-0.0220472440944882
2014-06-10,62600,65700,61500,64500,228694,0.038647342995169
2014-06-11,64700,67700,62600,63300,244510,-0.0186046511627907
2014-06-12,63800,64400,62600,64400,79295,0.0173775671406002
2014-06-13,64300,64400,62500,62700,85147,-0.0263975155279503
2014-06-16,62700,63100,61400,61400,69717,-0.0207336523125997
2014-06-17,62100,64000,61700,62400,128184,0.01628664495114
2014-06-18,62900,62900,59600,59600,105916,-0.0448717948717948
2014-06-19,60200,61300,59700,60000,86842,0.0067114093959732
2014-06-20,60200,62300,60100,61000,98165,0.0166666666666666
2014-06-23,61100,61600,59800,60000,69632,-0.0163934426229508
2014-06-24,60000,63400,60000,62100,99570,0.0349999999999999
2014-06-25,62000,64300,61100,61100,122008,-0.0161030595813204
2014-06-26,61800,67000,61400,67000,227604,0.0965630114566284
2014-06-27,66000,67800,64800,66800,215964,-0.0029850746268657
2014-06-30,66200,67600,65200,67500,112748,0.0104790419161677
2014-07-01,67400,67800,66200,66200,75405,-0.0192592592592593
2014-07-02,66300,67600,65800,65900,83361,-0.0045317220543806
2014-07-03,65700,67200,65100,65900,73929,0.0
2014-07-04,67200,71700,67100,69000,330500,0.0470409711684369
2014-07-07,69200,69400,67200,67300,83387,-0.0246376811594203
2014-07-08,68400,69100,66000,66000,99767,-0.0193164933135215
2014-07-09,65200,67400,64800,66200,83043,0.0030303030303029
2014-07-10,66800,67400,66000,66200,48176,0.0
2014-07-11,66100,66600,64500,65000,61699,-0.0181268882175226
2014-07-14,64100,72000,63700,69200,401789,0.0646153846153845
2014-07-15,69200,71300,68100,70300,145481,0.0158959537572254
2014-07-16,71200,73300,69800,70300,136953,0.0
2014-07-17,70300,72200,70300,70400,98180,0.0014224751066855
2014-07-18,70500,73300,69200,71500,186203,0.015625
2014-07-21,73000,74900,72200,72200,144588,0.0097902097902098
2014-07-22,72300,72600,71400,71700,61360,-0.0069252077562327
2014-07-23,71900,73000,70400,73000,84493,0.0181311018131102
2014-07-24,73700,73700,72200,72200,70900,-0.0109589041095889
2014-07-25,72400,73500,72100,72500,48942,0.0041551246537396
2014-07-28,72200,72800,70700,71000,60139,-0.0206896551724138
2014-07-29,71200,75000,70400,74400,200472,0.0478873239436619
2014-07-30,73600,75000,72700,73100,116868,-0.0174731182795698
2014-07-31,74300,75400,72800,73900,114282,0.0109439124487005
2014-08-01,72300,74300,72300,73700,52191,-0.0027063599458727
2014-08-04,73700,73900,73000,73300,45599,-0.005427408412483
2014-08-05,73500,73500,72100,72600,56298,-0.009549795361528
2014-08-06,72600,74400,72300,73000,79856,0.0055096418732782
2014-08-07,72500,73600,71700,71900,68062,-0.0150684931506849
2014-08-08,72100,72300,70200,71000,62566,-0.0125173852573018
2014-08-11,71400,79500,71000,76300,429606,0.0746478873239435
2014-08-12,76600,78400,75000,77800,172630,0.0196592398427259
2014-08-13,78900,79800,77200,77600,132583,-0.0025706940874036
2014-08-14,77300,78800,77200,77400,71206,-0.0025773195876288
2014-08-18,77400,79600,77000,78200,91902,0.0103359173126615
2014-08-19,78600,79100,77300,77900,60177,-0.0038363171355498
2014-08-20,78000,85300,78000,82600,371483,0.0603337612323491
2014-08-21,83600,84300,82300,82800,96752,0.0024213075060532
2014-08-22,83000,86900,81900,83700,195828,0.0108695652173913
2014-08-25,83800,85000,83100,83700,86490,0.0
2014-08-26,85000,85200,78100,78100,245465,-0.0669056152927121
2014-08-27,78300,79600,74000,75300,171075,-0.0358514724711908
2014-08-28,77200,79000,75900,76000,118255,0.0092961487383798
2014-08-29,73800,77400,73300,75900,93210,-0.0013157894736841
2014-09-01,76500,80500,76300,78000,103246,0.0276679841897233
2014-09-02,78000,78400,75600,76700,47203,-0.0166666666666667
2014-09-03,76000,78500,75600,76600,53149,-0.0013037809647978
2014-09-04,76400,77200,74600,74600,56154,-0.0261096605744125
2014-09-05,74800,75900,74600,75100,29406,0.0067024128686326
2014-09-11,76700,79200,75800,76500,92512,0.0186418109187749
2014-09-12,76000,76500,74900,75100,41958,-0.0183006535947712
2014-09-15,75500,76600,74600,74700,34763,-0.0053262316910785
2014-09-16,73600,75000,73600,74000,47016,-0.0093708165997322
2014-09-17,74900,75500,73900,74500,33903,0.0067567567567567
2014-09-18,74200,77200,74200,74400,67297,-0.0013422818791946
2014-09-19,74500,75500,74000,75500,30972,0.0147849462365592
2014-09-22,76300,76400,75200,75400,39225,-0.0013245033112583
2014-09-23,75400,77500,75400,76500,84217,0.0145888594164456
2014-09-24,76600,77300,76100,76700,46499,0.0026143790849673
2014-09-25,77300,77500,70200,71000,185269,-0.0743155149934811
2014-09-26,70100,71200,65300,67900,135095,-0.0436619718309859
2014-09-29,67900,69200,64400,65000,76082,-0.0427098674521354
2014-09-30,65100,68100,64500,65500,63702,0.0076923076923076
2014-10-01,65800,67000,64900,65300,41272,-0.0030534351145038
2014-10-02,66000,66700,65100,65900,27080,0.0091883614088821
2014-10-06,65300,66500,61400,61600,74367,-0.0652503793626707
2014-10-07,61500,62800,60700,60900,36612,-0.0113636363636363
2014-10-08,60100,63300,60100,62300,49044,0.0229885057471264
2014-10-10,61400,62300,61200,61600,24971,-0.0112359550561798
2014-10-13,60900,61400,59000,59200,43157,-0.0389610389610389
2014-10-14,58400,61300,58200,60800,33782,0.0270270270270269
2014-10-15,60800,66500,60800,63900,40898,0.050986842105263
2014-10-16,63900,65200,62200,62200,37929,-0.02660406885759
2014-10-17,63100,63500,62200,63100,24409,0.0144694533762057
2014-10-20,62800,65900,62800,63900,33079,0.0126782884310618
2014-10-21,64000,64300,62800,62800,19142,-0.0172143974960876
2014-10-22,63500,64100,62800,63400,29291,0.0095541401273886
2014-10-23,63400,64600,63400,63800,21484,0.0063091482649841
2014-10-24,64100,67700,63900,67600,93371,0.0595611285266457
2014-10-27,68200,72000,67300,71500,150132,0.0576923076923077
2014-10-28,71800,71800,69700,70500,41645,-0.0139860139860139
2014-10-29,70300,73800,69900,71500,66658,0.0141843971631205
2014-10-30,72000,74300,71500,73300,75406,0.0251748251748251
2014-10-31,74600,75500,72200,72200,64590,-0.015006821282401
2014-11-03,74900,75600,73500,74000,64025,0.0249307479224376
2014-11-04,74900,74900,73000,73400,48444,-0.0081081081081081
2014-11-05,73300,74000,70100,70600,61262,-0.0381471389645776
2014-11-06,70200,71800,68100,70800,42996,0.0028328611898016
2014-11-07,71900,72500,70800,71800,35997,0.0141242937853107
2014-11-10,72300,72800,71000,71400,29776,-0.0055710306406685
2014-11-11,71800,73000,69500,73000,56598,0.022408963585434
2014-11-12,74000,78000,73600,74900,126014,0.026027397260274
2014-11-13,77300,77500,74900,76800,132003,0.0253671562082777
2014-11-14,77900,78500,65600,66400,238071,-0.1354166666666666
2014-11-17,65500,67100,63000,63000,139640,-0.0512048192771084
2014-11-18,61400,66700,61400,63900,99843,0.0142857142857142
2014-11-19,63700,64000,62000,62100,60301,-0.028169014084507
2014-11-20,61600,62900,60000,60100,63784,-0.0322061191626409
2014-11-21,61100,61900,60400,61400,35947,0.0216306156405989
2014-11-24,61600,62300,60600,61200,45799,-0.003257328990228
2014-11-25,61600,61700,60600,61400,28475,0.0032679738562091
2014-11-26,61100,62800,61000,62000,29106,0.009771986970684
2014-11-27,62400,65000,62400,63000,54596,0.0161290322580645
2014-11-28,63100,63500,60800,60900,36343,-0.0333333333333333
2014-12-01,60200,60900,58000,60200,36819,-0.0114942528735632
2014-12-02,59500,61000,59500,60200,16583,0.0
2014-12-03,59800,60700,59800,60300,12449,0.0016611295681063
2014-12-04,60100,60900,60000,60300,17282,0.0
2014-12-05,60300,61200,60200,60400,12980,0.0016583747927032
2014-12-08,60100,60700,59000,59300,19078,-0.0182119205298013
2014-12-09,60000,60000,55500,55500,53405,-0.0640809443507588
2014-12-10,55100,56000,54200,55200,23434,-0.0054054054054053
2014-12-11,54600,56500,54600,56000,17906,0.0144927536231884
2014-12-12,55300,56900,55100,56400,13373,0.0071428571428571
2014-12-15,55700,56100,54300,55400,18170,-0.0177304964539006
2014-12-16,55600,55600,52700,53000,36927,-0.0433212996389891
2014-12-17,52500,54400,52500,53700,19836,0.0132075471698114
2014-12-18,53600,54300,50200,51300,45640,-0.0446927374301675
