Date,Open,High,Low,Close,Volume,Change
2023-04-04,8760,9450,8760,9290,54894,0.0497175141242938
2023-04-05,9450,10040,9290,9690,105449,0.0430570505920344
2023-04-06,9790,9990,9620,9740,22387,0.0051599587203301
2023-04-07,9900,9900,9270,9520,31812,-0.0225872689938397
2023-04-10,9520,10400,8950,9140,126961,-0.0399159663865545
2023-04-11,9160,9990,9070,9820,188022,0.074398249452954
2023-04-12,9990,9990,9440,9620,28387,-0.020366598778004
2023-04-13,9820,9820,9360,9610,9443,-0.001039501039501
2023-04-14,9660,10230,9570,10120,93334,0.0530697190426638
2023-04-17,13150,13150,13150,13150,228195,0.2994071146245058
2023-04-18,16000,17090,15720,17090,518165,0.2996197718631179
2023-04-19,19400,20750,15370,15620,3103906,-0.0860152135751901
2023-04-20,15380,16680,14500,14640,1097884,-0.0627400768245838
2023-04-21,14500,14880,13000,13100,382757,-0.105191256830601
2023-04-24,13300,13660,12660,13310,301597,0.016030534351145
2023-04-25,12920,13190,12040,12320,226995,-0.0743801652892561
2023-04-26,12110,12330,11580,11650,161382,-0.0543831168831169
2023-04-27,11660,13870,11490,12250,1205829,0.0515021459227467
2023-04-28,12120,12500,11740,11900,165232,-0.0285714285714285
2023-05-02,11990,12250,11620,12180,94918,0.0235294117647058
2023-05-03,12210,13430,12060,12750,447693,0.0467980295566503
2023-05-04,12800,14000,12480,13370,457527,0.0486274509803921
2023-05-08,13280,13480,12590,12800,160156,-0.0426327599102468
2023-05-09,12700,12720,11740,11950,129430,-0.06640625
2023-05-10,12220,12240,11760,12020,41680,0.005857740585774
2023-05-11,12000,12500,11960,12040,46924,0.0016638935108153
2023-05-12,12040,12170,11650,11800,40714,-0.0199335548172757
2023-05-15,12130,12130,11080,11330,51292,-0.0398305084745762
2023-05-16,11150,11520,11150,11210,23000,-0.0105913503971756
2023-05-17,11750,11960,11270,11650,34804,0.039250669045495
2023-05-18,11700,12140,11690,11900,28617,0.0214592274678111
2023-05-19,12080,12080,11720,11980,23263,0.0067226890756302
2023-05-22,11980,12770,11810,12500,59044,0.0434056761268781
2023-05-23,12540,12770,12280,12370,23957,-0.0103999999999999
2023-05-24,12640,12640,11960,11960,23518,-0.0331447049312854
2023-05-25,11850,12260,11710,11860,20677,-0.0083612040133779
2023-05-26,12010,12160,11450,11560,38889,-0.0252951096121416
2023-05-30,11440,11560,11260,11380,21971,-0.0155709342560553
2023-05-31,11380,11590,11240,11240,19892,-0.0123022847100175
2023-06-01,11250,12490,11120,11760,164374,0.0462633451957295
2023-06-02,11760,11980,11570,11770,43870,0.0008503401360544
2023-06-05,11690,12280,11690,12000,31594,0.0195412064570943
2023-06-07,12240,12240,11780,11960,21084,-0.0033333333333332
2023-06-08,12100,14500,11920,12490,640003,0.044314381270903
2023-06-09,12370,12630,12220,12570,60677,0.0064051240992795
2023-06-12,12400,12640,12220,12220,70432,-0.0278440731901352
2023-06-13,12130,12470,12050,12140,44048,-0.0065466448445171
2023-06-14,12140,12890,12060,12440,108793,0.0247116968698517
2023-06-15,12300,12500,12120,12270,49802,-0.0136655948553054
2023-06-16,12130,12400,12130,12260,36467,-0.0008149959250203
2023-06-19,12260,12680,12150,12400,37767,0.0114192495921696
2023-06-20,12420,12640,12290,12620,26909,0.017741935483871
2023-06-21,12630,12630,12210,12290,34040,-0.026148969889065
2023-06-22,12200,12200,11400,11880,47378,-0.0333604556550041
2023-06-23,12000,12170,11650,11650,21684,-0.0193602693602693
2023-06-26,12030,12160,11700,11720,26526,0.0060085836909871
2023-06-27,11720,11830,11540,11600,14470,-0.0102389078498293
2023-06-28,11550,11730,11130,11240,27588,-0.0310344827586206
2023-06-29,11070,11390,10630,10830,56363,-0.0364768683274021
2023-06-30,10790,10990,10390,10700,32753,-0.0120036934441366
2023-07-03,10600,10890,10350,10350,39851,-0.0327102803738317
2023-07-04,10350,10580,10270,10340,12553,-0.0009661835748792
2023-07-05,10300,10450,10100,10340,19857,0.0
2023-07-06,10280,10380,9950,10150,26158,-0.0183752417794971
2023-07-07,10000,10350,9910,10200,20365,0.0049261083743843
2023-07-10,10220,10290,9980,10250,18385,0.0049019607843137
2023-07-11,10280,10380,9660,10000,26450,-0.024390243902439
2023-07-12,10060,10200,9760,10110,45029,0.0109999999999998
2023-07-13,10190,10270,10020,10210,13720,0.0098911968348169
2023-07-14,10210,10300,9900,10170,28989,-0.0039177277179236
2023-07-17,10040,10150,9730,9730,28249,-0.0432645034414945
2023-07-18,9740,9970,9510,9510,25864,-0.0226104830421377
2023-07-19,9650,9800,9280,9700,32741,0.0199789695057834
2023-07-20,9780,9790,9510,9750,7280,0.0051546391752577
2023-07-21,9600,9850,9590,9770,13298,0.0020512820512821
