Date,Open,High,Low,Close,Volume,Change
2023-04-04,8200,8290,8130,8250,50915,0.0085574572127138
2023-04-05,8350,8380,8230,8320,50394,0.0084848484848485
2023-04-06,8310,8310,8050,8120,105981,-0.0240384615384615
2023-04-07,8130,8230,8050,8090,48995,-0.0036945812807881
2023-04-10,8090,8090,7960,8040,62862,-0.0061804697156984
2023-04-11,8020,8100,7950,8040,41698,0.0
2023-04-12,8050,8210,8050,8150,46369,0.013681592039801
2023-04-13,8150,8200,8090,8190,24277,0.0049079754601226
2023-04-14,8200,8270,8150,8210,38881,0.0024420024420024
2023-04-17,8240,8240,8090,8230,42908,0.0024360535931791
2023-04-18,8230,8230,8110,8170,41925,-0.0072904009720534
2023-04-19,8200,8330,8110,8300,61783,0.0159118727050182
2023-04-20,8330,8450,8120,8170,104788,-0.0156626506024096
2023-04-21,8170,8170,8050,8100,57309,-0.0085679314565483
2023-04-24,8110,8140,7990,8080,92864,-0.0024691358024691
2023-04-25,8020,8080,7870,7960,112884,-0.0148514851485148
2023-04-26,7940,8040,7880,8020,30481,0.0075376884422111
2023-04-27,8020,8020,7860,7910,46390,-0.0137157107231919
2023-04-28,7940,7940,7880,7900,34598,-0.0012642225031606
2023-05-02,7930,8100,7900,8090,27291,0.0240506329113923
2023-05-03,8050,8140,8040,8090,26566,0.0
2023-05-04,8100,8180,8080,8180,27535,0.011124845488257
2023-05-08,8230,8250,8150,8190,36192,0.0012224938875304
2023-05-09,8230,8280,8190,8240,46366,0.006105006105006
2023-05-10,8240,8290,8190,8230,22641,-0.0012135922330097
2023-05-11,8210,8310,8200,8240,40307,0.0012150668286756
2023-05-12,8240,8270,8180,8210,34070,-0.0036407766990291
2023-05-15,8210,8230,8080,8150,31427,-0.0073081607795371
2023-05-16,8160,8280,8060,8180,54612,0.003680981595092
2023-05-17,8140,8240,8140,8170,20635,-0.0012224938875305
2023-05-18,8220,8300,8180,8200,33528,0.0036719706242349
2023-05-19,8260,8300,8180,8300,36769,0.0121951219512195
2023-05-22,8330,8450,8280,8380,48753,0.0096385542168675
2023-05-23,8380,8430,8350,8420,28484,0.0047732696897375
2023-05-24,8350,8420,8340,8340,23285,-0.009501187648456
2023-05-25,8340,8400,8190,8230,57025,-0.013189448441247
2023-05-26,8250,8260,8090,8110,51881,-0.0145808019441069
2023-05-30,8140,8330,8140,8330,47064,0.0271270036991368
2023-05-31,8350,8430,8300,8360,34243,0.0036014405762305
2023-06-01,8420,8420,8310,8340,29975,-0.0023923444976076
2023-06-02,8320,8440,8310,8360,35125,0.0023980815347721
2023-06-05,8420,8420,8330,8390,23675,0.0035885167464115
2023-06-07,8360,8460,8360,8410,34438,0.00238379022646
2023-06-08,8470,8470,8370,8390,29080,-0.0023781212841854
2023-06-09,8440,8440,8340,8390,30866,0.0
2023-06-12,8400,8450,8350,8370,26870,-0.00238379022646
2023-06-13,8440,8440,8360,8390,24196,0.002389486260454
2023-06-14,8430,8430,8180,8300,49256,-0.0107270560190703
2023-06-15,8300,8340,8150,8220,34698,-0.0096385542168674
2023-06-16,8250,8320,8220,8260,13604,0.0048661800486617
2023-06-19,8260,8430,8260,8340,54267,0.0096852300242131
2023-06-20,8370,8440,8320,8340,47148,0.0
2023-06-21,8460,8790,8400,8660,276024,0.0383693045563549
2023-06-22,8650,8700,8520,8590,63393,-0.0080831408775982
2023-06-23,8690,8880,8590,8830,204457,0.0279394644935973
2023-06-26,8910,8910,8580,8640,130341,-0.0215175537938845
2023-06-27,8670,8670,8450,8540,71244,-0.011574074074074
2023-06-28,8600,8770,8550,8650,88825,0.0128805620608898
2023-06-29,8770,8870,8650,8760,116554,0.0127167630057802
2023-06-30,8760,8760,8520,8700,42901,-0.0068493150684931
2023-07-03,8740,8740,8530,8670,69494,-0.0034482758620689
2023-07-04,8700,8720,8570,8690,46771,0.0023068050749712
2023-07-05,8630,8950,8570,8890,195943,0.0230149597238205
2023-07-06,8890,8890,8680,8790,115807,-0.0112485939257592
2023-07-07,8790,8790,8490,8640,97627,-0.0170648464163822
2023-07-10,8640,8980,8530,8980,118343,0.0393518518518518
2023-07-11,8990,9540,8930,9530,506885,0.0612472160356347
2023-07-12,9610,9940,9520,9750,471242,0.0230849947534101
2023-07-13,9760,9940,9710,9850,170195,0.0102564102564102
2023-07-14,9920,9930,9470,9560,141996,-0.0294416243654822
2023-07-17,9990,9990,9590,9640,211812,0.0083682008368199
2023-07-18,9690,9690,9060,9230,185574,-0.0425311203319501
2023-07-19,9180,9300,9040,9080,85455,-0.0162513542795232
2023-07-20,9050,9200,9050,9150,39039,0.0077092511013214
2023-07-21,9090,9090,8710,8850,135738,-0.0327868852459016
2023-07-24,8750,9250,8560,9130,193882,0.031638418079096
2023-07-25,9160,9180,8820,8880,94284,-0.0273822562979189
2023-07-26,8840,8870,8350,8620,125646,-0.0292792792792793
2023-07-27,8550,8910,8250,8500,132513,-0.0139211136890951
2023-07-28,8580,9320,8330,9310,170738,0.0952941176470587
2023-07-31,9500,10750,9440,10450,1277103,0.1224489795918366
2023-08-01,10350,10540,10170,10480,340044,0.0028708133971291
2023-08-02,10210,10680,10190,10490,264233,0.0009541984732823
2023-08-03,10460,12200,10330,11930,1776749,0.1372735938989513
2023-08-04,11700,11860,10820,11510,663909,-0.0352053646269907
2023-08-07,11420,11630,10490,10650,383705,-0.0747176368375326
2023-08-08,10640,10710,10100,10100,398399,-0.0516431924882628
