Date,Open,High,Low,Close,Volume,Change
2013-09-16,6125,6208,6083,6108,21010,
2013-09-17,6125,6174,6074,6125,18269,0.0027832351015062
2013-09-23,6066,6158,6041,6058,23086,-0.010938775510204
2013-09-24,6024,6091,5983,6075,20343,0.0028062066688676
2013-09-25,6075,6150,5966,6017,42517,-0.0095473251028807
2013-09-26,5958,6108,5958,6025,14648,0.0013295662290178
2013-09-27,6000,6175,5975,6067,34731,0.0069709543568465
2013-09-30,6083,6100,6008,6100,19937,0.0054392615790341
2013-10-01,6150,6166,6000,6067,25656,-0.0054098360655737
2013-10-02,6041,6125,6041,6058,11309,-0.0014834349761002
2013-10-04,6050,6100,5975,6075,17984,0.0028062066688676
2013-10-07,6025,6241,6025,6083,11262,0.0013168724279835
2013-10-08,6083,6083,6000,6075,9096,-0.0013151405556468
2013-10-10,6075,6100,6016,6017,10471,-0.0095473251028807
2013-10-11,6041,6108,6016,6033,8681,0.0026591324580356
2013-10-14,6033,6100,5975,6000,10858,-0.0054699154649427
2013-10-15,6075,6183,6033,6183,22462,0.0304999999999999
2013-10-16,6208,6208,6058,6150,7081,-0.0053372149442018
2013-10-17,6150,6150,5966,6033,22678,-0.0190243902439024
2013-10-18,6033,6050,5975,6017,9122,-0.0026520802254268
2013-10-21,6016,6058,5983,6008,13384,-0.001495762007645
2013-10-22,5975,6041,5941,5983,21099,-0.004161118508655
2013-10-23,5983,5983,5666,5667,60547,-0.0528163128865117
2013-10-24,5691,5750,5641,5700,28463,0.0058231868713605
2013-10-25,5741,5800,5674,5792,21499,0.0161403508771929
2013-10-28,5675,5858,5675,5750,11770,-0.0072513812154696
2013-10-29,5841,5841,5733,5800,7060,0.0086956521739129
2013-10-30,5708,5841,5708,5842,7056,0.0072413793103447
2013-10-31,5866,5875,5758,5858,5087,0.0027387880862719
2013-11-01,5800,5900,5758,5883,11443,0.0042676681461248
2013-11-04,5908,5908,5766,5892,19966,0.001529831718511
2013-11-05,5950,5950,5775,5808,13519,-0.0142566191446028
2013-11-06,5866,5866,5750,5808,10426,0.0
2013-11-07,5808,5866,5750,5800,8633,-0.0013774104683195
2013-11-08,5666,5775,5666,5775,9353,-0.0043103448275861
2013-11-11,5750,5750,5250,5458,46615,-0.0548917748917748
2013-11-12,5458,5458,5408,5450,16613,-0.0014657383657017
2013-11-13,5450,5450,5341,5442,11818,-0.0014678899082568
2013-11-14,5400,5441,5333,5417,12125,-0.0045938993017272
2013-11-15,5416,5466,5358,5375,8136,-0.0077533690234447
2013-11-18,5266,5358,5250,5308,18778,-0.0124651162790697
2013-11-19,5308,5333,5191,5333,5891,0.0047098718914846
2013-11-20,5333,5391,5208,5333,10311,0.0
2013-11-21,5333,5333,5166,5250,13149,-0.0155634727170448
2013-11-22,5375,5375,5166,5233,5636,-0.0032380952380952
2013-11-25,5233,5300,5166,5233,9439,0.0
2013-11-26,5216,5366,5166,5333,28539,0.0191094974202179
2013-11-27,5333,5358,5200,5358,4756,0.0046877929870616
2013-11-28,5375,5375,5258,5333,10204,-0.0046659201194475
2013-11-29,5333,5333,5266,5283,5761,-0.0093755859741233
2013-12-02,5283,5308,5141,5217,13896,-0.0124929017603634
2013-12-03,5183,5333,5166,5325,12770,0.0207015526164462
2013-12-04,5324,5324,5191,5292,7654,-0.0061971830985915
2013-12-05,5258,5325,5183,5208,2958,-0.0158730158730159
2013-12-06,5208,5291,5175,5250,7063,0.0080645161290322
2013-12-09,5250,5366,5250,5358,5062,0.0205714285714284
2013-12-10,5374,5374,5166,5342,5828,-0.0029861888764464
2013-12-11,5366,5366,5224,5242,10956,-0.0187195806813927
2013-12-12,5241,5250,5141,5175,12105,-0.0127813811522319
2013-12-13,5174,5174,4958,5117,8171,-0.011207729468599
2013-12-16,5116,5116,5016,5100,4669,-0.0033222591362126
2013-12-17,5066,5066,4858,4892,14837,-0.0407843137254901
2013-12-18,4716,4891,4708,4792,23529,-0.0204415372035977
2013-12-19,4791,4875,4766,4767,11789,-0.0052170283806344
2013-12-20,4766,4958,4741,4958,8765,0.040067128172855
2013-12-23,5000,5008,4816,4975,4414,0.0034288019362647
