Date,Open,High,Low,Close,Volume,Change
2023-04-04,1871,1894,1821,1890,257627,0.010695187165775444
2023-04-05,1927,1930,1852,1878,267764,-0.006349206349206327
2023-04-06,1878,1920,1871,1890,172621,0.006389776357827559
2023-04-07,1899,1900,1785,1862,237625,-0.014814814814814836
2023-04-10,1820,1868,1815,1860,130250,-0.0010741138560687036
2023-04-11,1840,1909,1840,1880,228711,0.010752688172043001
2023-04-12,1880,1953,1872,1914,288618,0.018085106382978777
2023-04-13,1950,2300,1921,2190,3623900,0.14420062695924774
2023-04-14,2175,2250,2050,2225,695296,0.015981735159817267
2023-04-17,2220,2250,2085,2120,412853,-0.04719101123595504
2023-04-18,2155,2165,2005,2070,363823,-0.02358490566037741
2023-04-19,2070,2090,2005,2080,191854,0.004830917874396157
2023-04-20,2080,2080,2005,2020,141884,-0.028846153846153855
2023-04-21,2020,2090,1996,2040,174391,0.00990099009900991
2023-04-24,2030,2070,1998,2055,141873,0.007352941176470562
2023-04-25,2045,2065,2000,2055,121726,0.0
2023-04-26,2050,2055,1999,2005,111524,-0.024330900243308973
2023-04-27,2005,2050,1915,1915,204497,-0.04488778054862841
2023-04-28,1949,1949,1851,1933,115911,0.009399477806788514
2023-05-02,1911,1997,1904,1941,87746,0.0041386445938955685
2023-05-03,1910,1941,1910,1929,65681,-0.0061823802163832875
2023-05-04,1922,1971,1909,1950,74244,0.010886469673405896
2023-05-08,1951,1989,1918,1927,89113,-0.01179487179487182
2023-05-09,1977,1977,1872,1881,83918,-0.023871302542812667
2023-05-10,2090,2430,2015,2140,3509693,0.13769271664008498
2023-05-11,2150,2175,2020,2170,459900,0.014018691588784993
2023-05-12,2145,2150,2070,2115,230331,-0.025345622119815614
2023-05-15,2115,2140,2025,2115,121747,0.0
2023-05-16,2115,2130,2055,2100,159079,-0.007092198581560294
2023-05-17,2050,2105,2040,2095,124452,-0.0023809523809523725
2023-05-18,2095,2180,2075,2115,135643,0.009546539379474916
2023-05-19,2115,2160,2040,2050,151234,-0.030732860520094607
2023-05-22,2050,2095,2025,2070,110443,0.009756097560975618
2023-05-23,2070,2160,2060,2110,142523,0.019323671497584627
2023-05-24,2170,2170,2030,2125,209227,0.007109004739336511
2023-05-25,2110,2160,2095,2120,110314,-0.0023529411764705577
2023-05-26,2155,2325,2130,2290,960187,0.08018867924528306
2023-05-30,2355,2360,2190,2250,496937,-0.017467248908296984
2023-05-31,2250,2250,2130,2165,250665,-0.0377777777777778
2023-06-01,2130,2245,2130,2185,135673,0.009237875288683695
2023-06-02,2165,2340,2165,2285,489390,0.04576659038901609
2023-06-05,2320,2325,2220,2270,198764,-0.006564551422319487
2023-06-07,2270,2295,2110,2220,196659,-0.022026431718061623
2023-06-08,2220,2260,2170,2190,135138,-0.013513513513513487
2023-06-09,2190,2235,2180,2200,92870,0.004566210045662045
2023-06-12,2200,2200,2135,2135,140316,-0.02954545454545454
2023-06-13,2135,2170,2100,2100,80318,-0.016393442622950838
2023-06-14,2095,2130,2055,2060,132322,-0.01904761904761909
2023-06-15,2060,2135,2030,2105,107292,0.02184466019417486
2023-06-16,2075,2140,2070,2090,82102,-0.0071258907363420665
2023-06-19,2100,2105,2010,2030,92765,-0.028708133971291905
2023-06-20,2030,2045,1995,2035,64747,0.0024630541871921707
2023-06-21,2005,2025,1980,1990,123712,-0.02211302211302213
2023-06-22,1990,1995,1950,1950,65240,-0.02010050251256279
2023-06-23,1951,1963,1822,1938,110582,-0.006153846153846176
2023-06-26,1938,1947,1876,1947,57118,0.004643962848297267
2023-06-27,1950,1992,1927,1930,79108,-0.008731381612737565
2023-06-28,1930,1985,1870,1943,72240,0.006735751295336767
2023-06-29,1943,1980,1850,1879,97711,-0.03293875450334538
2023-06-30,1879,1884,1839,1882,42730,0.0015965939329429801
2023-07-03,1899,1899,1849,1849,107955,-0.017534537725823585
2023-07-04,1870,2090,1851,1895,671688,0.02487831260140627
2023-07-05,1865,1886,1845,1847,91121,-0.025329815303430037
2023-07-06,1800,1869,1750,1750,133699,-0.052517596101786634
2023-07-07,1750,1759,1713,1720,67851,-0.017142857142857126
2023-07-10,1700,1761,1700,1750,70410,0.01744186046511631
2023-07-11,1750,1805,1730,1752,56618,0.0011428571428571122
2023-07-12,1753,1768,1720,1735,48448,-0.009703196347031984
2023-07-13,1735,1788,1720,1757,75808,0.012680115273775217
2023-07-14,1758,1785,1707,1743,117306,-0.007968127490039834
2023-07-17,1743,1744,1691,1730,86184,-0.007458405048766492
2023-07-18,1730,1730,1687,1687,111837,-0.02485549132947973
2023-07-19,1679,1705,1647,1651,81427,-0.021339656194428014
2023-07-20,1651,1685,1600,1644,96783,-0.004239854633555473
2023-07-21,1644,1683,1634,1683,120990,0.02372262773722622
2023-07-24,1683,1698,1575,1590,245116,-0.05525846702317294
2023-07-25,1590,1608,1540,1547,143474,-0.0270440251572327
2023-07-26,1547,1547,1470,1479,252438,-0.04395604395604391
2023-07-27,1432,1537,1432,1499,122884,0.013522650439486084
2023-07-28,1469,1530,1464,1513,104506,0.009339559706470935
2023-07-31,1522,1580,1513,1532,77880,0.012557832121612655
2023-08-01,1542,1615,1537,1611,126796,0.05156657963446465
2023-08-02,1611,1637,1557,1564,133293,-0.02917442582247054
2023-08-03,1564,1659,1537,1601,181452,0.02365728900255748
2023-08-04,1601,1650,1567,1578,84083,-0.014366021236727033
2023-08-07,1590,1590,1540,1570,30195,-0.005069708491761693
2023-08-08,1560,1575,1524,1535,102037,-0.022292993630573243
2023-08-09,1530,1597,1524,1590,101255,0.03583061889250816
2023-08-10,1600,1665,1589,1640,110925,0.03144654088050314
2023-08-11,1624,1662,1617,1650,63569,0.0060975609756097615
2023-08-14,1642,1694,1601,1660,95940,0.0060606060606061
2023-08-16,1661,1747,1645,1650,343222,-0.0060240963855421326
2023-08-17,1649,1700,1608,1663,106536,0.007878787878787818
2023-08-18,1655,1670,1570,1659,85768,-0.0024052916416115178
2023-08-21,1660,1660,1619,1635,50889,-0.01446654611211573
2023-08-22,1663,1718,1623,1678,163021,0.02629969418960254
2023-08-23,1695,1700,1624,1624,79562,-0.03218116805721094
