Date,Open,High,Low,Close,Volume,Change
2013-09-16,6283,6486,6196,6335,17839,
2013-09-17,6247,6371,6247,6372,11729,0.0058405682715074
2013-09-23,6371,6523,6349,6437,21529,0.0102008788449465
2013-09-24,6537,6537,6342,6451,13126,0.0021749262078607
2013-09-25,6399,6595,6399,6596,16391,0.0224771353278561
2013-09-26,6595,6632,6537,6632,16351,0.0054578532443905
2013-09-27,6704,6813,6617,6770,24431,0.0208082026537996
2013-09-30,6733,6870,6704,6712,19956,-0.0085672082717872
2013-10-01,6733,6798,6522,6560,36496,-0.0226460071513706
2013-10-02,6530,6879,6523,6814,80303,0.038719512195122
2013-10-04,6935,6935,6740,6777,62078,-0.0054299970648664
2013-10-07,6913,6929,6718,6733,40368,-0.0064925483252176
2013-10-08,6558,6747,6558,6726,18365,-0.0010396554284866
2013-10-10,6776,7430,6668,7430,173820,0.1046684507879869
2013-10-11,7429,7719,7393,7611,89488,0.0243606998654104
2013-10-14,7682,7682,7247,7611,37021,0.0
2013-10-15,7610,7900,7465,7865,56412,0.0333727499671527
2013-10-16,7899,7899,7610,7611,32278,-0.0322949777495231
2013-10-17,7719,7755,7501,7502,34948,-0.014321376954408
2013-10-18,7682,7899,7392,7828,57723,0.0434550786456944
2013-10-21,7755,8226,7682,8009,90260,0.0231221257026059
2013-10-22,8081,8081,7827,7828,13472,-0.0225995754775877
2013-10-23,7899,7936,7464,7611,59908,-0.0277210015329586
2013-10-24,7537,7610,7320,7466,130044,-0.0190513730127447
2013-10-25,7573,7899,7356,7828,121217,0.048486472006429
2013-10-28,7899,7936,7573,7611,64272,-0.0277210015329586
2013-10-29,7537,7755,7465,7683,36015,0.0094599921166731
2013-10-30,7682,7682,7464,7611,58403,-0.0093713393205778
2013-10-31,7465,7610,7393,7539,46750,-0.0094599921166732
2013-11-01,7465,7683,7465,7647,34611,0.014325507361719
2013-11-04,7755,7755,7247,7611,30666,-0.0047077285209886
2013-11-05,7465,7683,7429,7647,41889,0.0047299960583366
2013-11-06,7537,7791,7537,7792,22253,0.0189616843206485
2013-11-07,7864,7864,7646,7756,12161,-0.0046201232032854
2013-11-08,7755,7755,7501,7683,34266,-0.0094120680763279
2013-11-11,7719,7719,7501,7611,13340,-0.0093713393205778
2013-11-12,7610,7647,7501,7539,15112,-0.0094599921166732
2013-11-13,7538,7574,7357,7539,19509,0.0
2013-11-14,7683,7827,7320,7539,39767,0.0
2013-11-15,7573,7755,7501,7719,23239,0.0238758456028651
2013-11-18,7864,7864,7501,7539,12035,-0.0233190827827438
2013-11-19,7538,7610,7429,7539,9114,0.0
