Date,Open,High,Low,Close,Volume,Change
2023-04-04,1800,1885,1760,1785,112477,0.0194174757281553
2023-04-05,1800,1860,1787,1800,78739,0.0084033613445377
2023-04-06,1804,1850,1773,1807,68051,0.0038888888888888
2023-04-07,1807,1819,1775,1808,30505,0.0005534034311012
2023-04-10,1808,1826,1733,1735,29763,-0.0403761061946902
2023-04-11,1735,1735,1684,1721,46864,-0.0080691642651297
2023-04-12,1725,1729,1675,1699,69050,-0.0127832655432887
2023-04-13,1699,1715,1682,1710,40647,0.0064743967039435
2023-04-14,1710,1725,1703,1720,15725,0.0058479532163742
2023-04-17,1720,1734,1676,1719,33667,-0.0005813953488371
2023-04-18,1719,1726,1694,1706,36276,-0.0075625363583479
2023-04-19,1706,1723,1689,1709,31016,0.0017584994138335
2023-04-20,1709,1720,1690,1706,46173,-0.0017554125219426
2023-04-21,1692,1695,1652,1674,82287,-0.0187573270808909
2023-04-24,1658,1665,1625,1631,25571,-0.0256869772998805
2023-04-25,1614,1631,1595,1606,37932,-0.015328019619865
2023-04-26,1599,1610,1599,1604,40967,-0.0012453300124533
2023-04-27,1587,1603,1570,1578,50629,-0.0162094763092269
2023-04-28,1586,1735,1578,1671,59531,0.05893536121673
2023-05-02,1687,1756,1640,1644,54101,-0.0161579892280071
2023-05-03,1644,1679,1618,1626,29982,-0.010948905109489
2023-05-04,1617,1678,1608,1656,43645,0.0184501845018449
2023-05-08,1639,1680,1630,1656,33882,0.0
2023-05-09,1656,1699,1630,1638,34181,-0.0108695652173913
2023-05-10,1651,1651,1623,1625,18952,-0.0079365079365079
2023-05-11,1625,1641,1610,1623,10950,-0.0012307692307692
2023-05-12,1623,1633,1607,1607,13121,-0.0098582871226124
2023-05-15,1607,1616,1591,1603,47340,-0.0024891101431238
2023-05-16,1630,1645,1591,1601,22185,-0.0012476606363068
2023-05-17,1601,1616,1597,1610,27438,0.0056214865708932
2023-05-18,1610,1689,1610,1657,44792,0.0291925465838509
2023-05-19,1665,1695,1650,1654,60390,-0.0018105009052504
2023-05-22,1654,1692,1654,1667,30139,0.0078597339782344
2023-05-23,1668,1715,1662,1666,12008,-0.0005998800239952
2023-05-24,1666,1672,1656,1666,12392,0.0
2023-05-25,1664,1670,1650,1670,21848,0.0024009603841537
2023-05-26,1670,1737,1647,1707,61099,0.0221556886227545
2023-05-30,1707,1794,1684,1725,115874,0.0105448154657292
2023-05-31,1742,1795,1725,1761,68615,0.0208695652173913
2023-06-01,1826,1829,1744,1748,108751,-0.0073821692220329
2023-06-02,1748,1798,1731,1798,43286,0.0286041189931349
2023-06-05,1798,1815,1767,1806,44563,0.0044493882091212
2023-06-07,1806,1806,1770,1771,18056,-0.0193798449612403
