Date,Open,High,Low,Close,Volume,Change
2013-09-16,2839,2870,2786,2858,13465,
2013-09-17,2855,2895,2811,2862,9102,0.0013995801259623
2013-09-23,2873,2901,2786,2849,26269,-0.0045422781271837
2013-09-24,2907,2907,2767,2862,20070,0.0045630045630045
2013-09-25,2892,2892,2783,2840,19270,-0.007686932215234
2013-09-26,2861,2861,2767,2777,28714,-0.0221830985915493
2013-09-27,2786,2808,2670,2686,40583,-0.0327691753691034
2013-09-30,2699,2717,2602,2656,40645,-0.011169024571854
2013-10-01,2655,2705,2636,2674,16291,0.0067771084337349
2013-10-02,2677,2832,2651,2771,73397,0.0362752430815258
2013-10-04,2770,2873,2727,2787,49085,0.0057740887766148
2013-10-07,2792,2826,2720,2721,22349,-0.0236813778256189
2013-10-08,2695,2776,2655,2771,15514,0.0183755972069092
2013-10-10,2774,2832,2736,2768,45677,-0.0010826416456153
2013-10-11,2804,2867,2752,2808,41738,0.0144508670520231
2013-10-14,2817,2935,2814,2824,68417,0.0056980056980056
2013-10-15,2802,2851,2770,2821,43485,-0.0010623229461755
2013-10-16,2826,2920,2655,2686,37065,-0.0478553704360156
2013-10-17,2699,2767,2639,2686,26108,0.0
2013-10-18,2729,2729,2580,2624,80446,-0.0230826507818316
2013-10-21,2608,2673,2561,2562,71184,-0.0236280487804878
2013-10-22,2552,2598,2464,2486,92423,-0.0296643247462919
2013-10-23,2492,2514,2342,2371,132943,-0.0462590506838294
2013-10-24,2351,2424,2351,2424,43814,0.022353437368199
2013-10-25,2436,2436,2389,2396,15841,-0.0115511551155115
2013-10-28,2392,2458,2392,2437,27009,0.0171118530884808
2013-10-29,2436,2548,2424,2493,97401,0.0229790726302832
2013-10-30,2529,2623,2517,2593,246288,0.0401123144805455
2013-10-31,2598,2673,2542,2674,125042,0.0312379483224065
2013-11-01,2705,2774,2623,2749,230989,0.0280478683620044
2013-11-04,2748,2767,2673,2724,49085,-0.009094216078574
2013-11-05,2705,2727,2645,2696,70791,-0.0102790014684287
2013-11-06,2689,2736,2583,2624,80972,-0.0267062314540059
2013-11-07,2598,3017,2592,2999,597146,0.1429115853658535
2013-11-08,2883,2986,2661,2686,249856,-0.1043681227075692
2013-11-11,2755,2755,2471,2480,187291,-0.0766939687267311
2013-11-12,2473,2564,2461,2549,52773,0.0278225806451613
2013-11-13,2523,2542,2414,2415,88639,-0.0525696351510396
2013-11-14,2458,2774,2458,2774,444765,0.1486542443064182
2013-11-15,2870,3186,2830,2937,1342392,0.058759913482336
2013-11-18,2933,2998,2883,2989,406987,0.0177051413006468
2013-11-19,3002,3008,2798,2812,286456,-0.0592171294747406
2013-11-20,2770,2851,2736,2796,140686,-0.0056899004267425
2013-11-21,2817,2826,2727,2749,124180,-0.0168097281831187
2013-11-22,2767,2851,2623,2693,261618,-0.0203710440160058
2013-11-25,2748,2842,2683,2843,241016,0.0556999628666914
2013-11-26,2917,2933,2795,2818,298381,-0.0087935279634189
2013-11-27,2836,2911,2836,2865,173847,0.0166784953867991
2013-11-28,2861,2964,2855,2912,162140,0.0164048865619546
2013-11-29,2898,2898,2786,2830,110408,-0.0281593406593406
2013-12-02,2798,2830,2780,2808,64012,-0.007773851590106
