Date,Open,High,Low,Close,Volume,Change
2013-09-16,91500,92000,90900,91700,19135,
2013-09-17,91700,92000,90800,92000,12925,0.0032715376226826
2013-09-23,92900,94200,92400,93700,23886,0.0184782608695652
2013-09-24,93700,96100,93700,96100,35005,0.0256136606189967
2013-09-25,96500,98500,96200,98100,43129,0.0208116545265348
2013-09-26,98600,98600,95800,97800,68115,-0.0030581039755351
2013-09-27,97600,98400,96400,98200,18552,0.0040899795501021
2013-09-30,98200,98900,96800,98900,13802,0.0071283095723013
2013-10-01,98100,98800,97700,98400,26475,-0.0050556117290192
2013-10-02,98400,98600,97700,98300,17740,-0.0010162601626015
2013-10-04,98300,98300,96800,96800,10900,-0.0152594099694811
2013-10-07,96100,97900,95800,97900,14126,0.0113636363636364
2013-10-08,97000,98000,97000,98000,10263,0.0010214504596526
2013-10-10,98700,98700,95900,96100,19492,-0.0193877551020408
2013-10-11,97300,97900,96300,97200,14088,0.0114464099895941
2013-10-14,96500,102000,96500,101000,51815,0.0390946502057614
2013-10-15,101500,102000,99500,99500,23657,-0.0148514851485148
2013-10-16,100000,107500,100000,104500,43142,0.050251256281407
2013-10-17,104500,106000,100500,105000,45846,0.0047846889952152
2013-10-18,104000,104500,102000,102000,16130,-0.0285714285714285
2013-10-21,101500,101500,98600,99500,30577,-0.0245098039215686
2013-10-22,99100,99800,97800,98200,28402,-0.0130653266331658
2013-10-23,98800,98800,96400,98500,28585,0.0030549898167007
2013-10-24,97400,98900,97400,98500,10239,0.0
2013-10-25,99000,99000,97400,97800,7699,-0.0071065989847716
2013-10-28,98000,98500,96500,98200,11018,0.0040899795501021
2013-10-29,98200,99800,97400,99800,14400,0.0162932790224032
2013-10-30,99400,100000,99000,99600,9342,-0.002004008016032
2013-10-31,99800,99800,98100,99200,9789,-0.0040160642570281
2013-11-01,99700,101500,99200,100500,11143,0.0131048387096774
2013-11-04,100500,100500,98000,98500,12028,-0.0199004975124378
2013-11-05,98100,99800,98000,99600,11176,0.0111675126903554
2013-11-06,99600,100000,99100,99800,10960,0.002008032128514
2013-11-07,100500,100500,99500,99600,12129,-0.002004008016032
2013-11-08,96100,96500,89500,91000,59661,-0.0863453815261043
2013-11-11,92400,92400,88400,89500,21367,-0.0164835164835165
2013-11-12,89600,90900,88900,89000,13449,-0.0055865921787709
2013-11-13,88500,89800,88100,89200,8824,0.002247191011236
2013-11-14,89200,91600,89200,91400,10024,0.0246636771300448
