Date,Open,High,Low,Close,Volume,Change
2014-05-27,10371,10731,8838,8838,5112945,
2014-05-28,8639,9244,8594,9199,2602142,0.0408463453269971
2014-05-29,9153,9288,8838,8838,955228,-0.0392433960213066
2014-05-30,9108,10146,9018,9605,5326588,0.0867843403484951
2014-06-02,9785,10957,9244,10552,2873009,0.0985944820406039
2014-06-03,10371,11273,9965,10146,2198311,-0.0384761182714177
2014-06-05,10326,10506,9920,10236,913894,0.0088704908338261
2014-06-09,10326,10507,9009,9064,1220958,-0.1144978507229386
2014-06-10,9108,9920,8892,9605,819888,0.0596866725507503
2014-06-11,9469,9604,9243,9469,536859,-0.0141592920353982
2014-06-12,9514,9739,9288,9334,379189,-0.0142570493188298
2014-06-13,9379,9424,9063,9199,373298,-0.0144632526248125
2014-06-16,9334,9379,9009,9244,237729,0.0048918360691379
2014-06-17,9199,9199,8964,9019,279979,-0.0243401125054089
2014-06-18,9153,9739,9108,9469,796518,0.0498946668145026
2014-06-19,9559,9650,9289,9605,307296,0.014362657091562
2014-06-20,9559,9964,9423,9469,458223,-0.0141592920353982
2014-06-23,9650,9740,9018,9064,368931,-0.0427711479564896
2014-06-24,9198,9469,9108,9289,314181,0.0248234774933804
2014-06-25,9334,9379,9108,9199,185320,-0.0096888793196253
2014-06-26,9334,10281,9334,9560,1993802,0.0392433960213065
2014-06-27,9018,9334,9018,9109,1527679,-0.0471757322175732
2014-06-30,9109,9199,9018,9109,690782,0.0
2014-07-01,9154,9424,8919,9109,1102124,0.0
2014-07-02,9154,9199,8991,9109,346443,0.0
2014-07-03,9108,9424,9009,9334,743002,0.0247008453178174
2014-07-04,9334,9830,9334,9650,1213168,0.033854724662524
2014-07-07,9650,9785,9469,9560,417057,-0.0093264248704663
2014-07-08,9605,10011,9560,10011,937807,0.0471757322175732
2014-07-09,9920,10191,9785,10056,512674,0.004495055439017
2014-07-10,10011,10146,9740,10011,757651,-0.0044749403341288
2014-07-11,9965,9965,9469,9650,1657594,-0.0360603336330036
2014-07-14,9784,10326,9694,10326,1412926,0.0700518134715026
2014-07-15,10281,10416,10100,10191,575871,-0.0130737943056362
2014-07-16,10371,10371,9649,9830,765859,-0.035423412815229
2014-07-17,9830,9920,9694,9785,413197,-0.0045778229908443
2014-07-18,9650,9785,9379,9515,504074,-0.0275932549821155
2014-07-21,9559,9694,9378,9424,302087,-0.0095638465580661
2014-07-22,9514,9604,9378,9424,235711,0.0
2014-07-23,9469,9559,9108,9154,589750,-0.0286502546689303
2014-07-24,9154,9199,9018,9154,354100,0.0
2014-07-25,9199,9244,9063,9199,142358,0.0049158837666594
2014-07-28,9244,9514,9109,9109,461710,-0.0097836721382759
2014-07-29,9244,9334,7846,8117,1194466,-0.1089032824678889
2014-07-30,8116,8116,7313,7575,864585,-0.0667734384624861
2014-07-31,7485,7936,7485,7729,435359,0.0203300330033002
2014-08-01,7602,7981,7584,7747,188579,0.0023288911890282
2014-08-04,7828,8225,7783,8180,305496,0.0558926035884859
2014-08-05,8179,8242,7945,7945,221579,-0.0287286063569681
2014-08-06,7945,8207,7909,8135,174851,0.0239144115796097
2014-08-07,8107,8143,7665,7783,249635,-0.0432698217578365
2014-08-08,7737,8017,7575,7972,185293,0.0242836952332006
2014-08-11,8053,8062,7782,7792,126707,-0.0225790265930757
2014-08-12,7791,7936,7620,7819,133143,0.0034650924024641
2014-08-13,7936,7954,7728,7747,144219,-0.009208338662233
2014-08-14,7827,7936,7665,7900,217535,0.0197495804827674
2014-08-18,7936,7936,7746,7792,131477,-0.0136708860759493
2014-08-19,7818,7818,7457,7530,270734,-0.0336242299794661
2014-08-20,7494,7494,6818,6818,1106956,-0.094555112881806
2014-08-21,6827,6926,6764,6764,237743,-0.0079202112056321
2014-08-22,6772,6826,6438,6556,575157,-0.0307510348905972
2014-08-25,6619,7412,6619,7079,1190963,0.0797742525930444
2014-08-26,7485,7485,7223,7350,519852,0.0382822432546969
2014-08-27,7305,7305,7061,7197,392797,-0.0208163265306122
2014-08-28,7223,7539,7133,7422,325913,0.0312630262609421
2014-08-29,7368,7476,7214,7278,185405,-0.0194017784963621
2014-09-01,7340,7349,7088,7088,168947,-0.0261060730970046
2014-09-02,7151,7332,6980,7269,165924,0.0255361173814898
2014-09-03,7287,8026,7287,7738,961979,0.06452056679048
2014-09-04,7692,7728,7421,7512,377609,-0.029206513310933
2014-09-05,7520,7656,7502,7530,120878,0.0023961661341853
2014-09-11,7530,7593,7403,7440,109886,-0.0119521912350597
2014-09-12,7485,7485,7161,7161,224849,-0.0374999999999999
