Date,Open,High,Low,Close,Volume,Change
2019-06-18,19500,19750,19000,19100,160035,-0.02051282051282055
2019-06-19,19350,19400,19050,19100,111285,0.0
2019-06-20,19250,19300,19000,19250,113519,0.007853403141361293
2019-06-21,19250,19450,19000,19100,88861,-0.007792207792207795
2019-06-24,19050,19050,18150,18650,188956,-0.023560209424083767
2019-06-25,18450,19150,18450,18850,115774,0.01072386058981234
2019-06-26,18600,19050,18600,18750,70116,-0.0053050397877983935
2019-06-27,18650,18900,18350,18400,163999,-0.01866666666666672
2019-06-28,18400,18650,18250,18450,77720,0.0027173913043478937
2019-07-01,18400,18950,18400,18800,117053,0.01897018970189701
2019-07-02,18700,18950,18500,18950,64174,0.007978723404255428
2019-07-03,18900,19450,18450,19200,141032,0.013192612137203241
2019-07-04,19200,19650,19100,19600,146365,0.02083333333333326
2019-07-05,19400,19750,19300,19650,72466,0.0025510204081633514
2019-07-08,19450,19600,19050,19500,127923,-0.007633587786259555
2019-07-09,19350,21250,19100,20800,375882,0.06666666666666665
2019-07-10,20900,21050,20500,20850,225133,0.0024038461538462563
2019-07-11,20550,20850,20200,20300,102710,-0.026378896882493952
2019-07-12,20300,20800,20050,20400,87626,0.0049261083743843415
2019-07-15,20400,21450,20400,21400,256359,0.0490196078431373
2019-07-16,21400,21850,21200,21700,134035,0.014018691588784993
2019-07-17,21600,21900,21550,21900,110417,0.009216589861751112
2019-07-18,21950,21950,18750,19800,524341,-0.09589041095890416
2019-07-19,19750,20300,19300,20150,199988,0.017676767676767735
2019-07-22,20200,20200,19550,19550,86061,-0.02977667493796521
2019-07-23,19450,20000,19300,19450,56788,-0.005115089514066473
2019-07-24,19300,19650,18650,18700,250162,-0.03856041131105403
2019-07-25,18500,18850,18350,18350,107092,-0.018716577540106916
2019-07-26,18150,19050,18150,18550,101207,0.01089918256130784
2019-07-29,18150,18400,17100,17100,301346,-0.07816711590296499
2019-07-30,16700,17450,16700,17000,184738,-0.005847953216374324
2019-07-31,16700,17700,16650,17550,114258,0.032352941176470695
2019-08-01,17300,17800,17050,17250,63971,-0.017094017094017144
2019-08-02,17150,17800,17000,17650,69271,0.023188405797101463
2019-08-05,17400,17650,16500,17100,127840,-0.031161473087818692
2019-08-06,16400,17100,15750,15900,176294,-0.07017543859649122
2019-08-07,15750,16600,15750,16300,134431,0.02515723270440251
2019-08-08,16300,17000,16300,16900,63926,0.036809815950920255
2019-08-09,16850,17150,16850,17050,60633,0.008875739644970349
2019-08-12,16900,17400,16900,17300,28356,0.014662756598240456
2019-08-13,17200,17300,17000,17100,26133,-0.011560693641618491
2019-08-14,17400,17500,17100,17300,45803,0.011695906432748648
2019-08-16,16950,17300,16900,17250,44219,-0.0028901734104046506
2019-08-19,17250,17450,17150,17350,35034,0.005797101449275255
2019-08-20,17400,17800,17200,17700,67789,0.020172910662824117
2019-08-21,17500,17850,17450,17750,36714,0.0028248587570620654
2019-08-22,17750,17750,17400,17400,42683,-0.019718309859154903
2019-08-23,17250,17650,17150,17550,41384,0.008620689655172376
2019-08-26,17300,17400,16800,17050,54016,-0.028490028490028463
2019-08-27,17350,17350,16950,17050,38040,0.0
2019-08-28,17150,17500,16950,17400,31575,0.02052785923753664
2019-08-29,17400,18250,17400,17600,87745,0.011494252873563315
2019-08-30,17650,17900,17600,17700,78733,0.005681818181818121
2019-09-02,17700,18450,17700,18200,122148,0.02824858757062154
2019-09-03,18400,18950,18150,18900,122674,0.03846153846153855
2019-09-04,18750,19100,18500,18800,97258,-0.005291005291005346
2019-09-05,18800,19450,18800,18950,108920,0.007978723404255428
2019-09-06,19100,19600,18800,19400,107201,0.0237467018469657
2019-09-09,19500,19600,19150,19400,89691,0.0
2019-09-10,19550,21500,19500,21250,685375,0.09536082474226815
2019-09-11,23050,23050,19300,19300,1147390,-0.09176470588235297
2019-09-16,19550,19650,19100,19100,238469,-0.010362694300518172
2019-09-17,23850,23850,21250,22500,4475057,0.17801047120418856
2019-09-18,22500,22850,20600,20700,2339490,-0.07999999999999996
2019-09-19,20350,20450,19300,19350,717218,-0.06521739130434778
2019-09-20,19450,20500,19350,19700,755529,0.01808785529715773
2019-09-23,19350,19450,19000,19100,396079,-0.030456852791878153
2019-09-24,19700,19950,19100,19100,592152,0.0
2019-09-25,19300,21200,18800,20950,1871317,0.09685863874345557
2019-09-26,20700,20850,19550,19950,1032230,-0.04773269689737469
2019-09-27,20150,20700,19350,19400,502384,-0.027568922305764465
2019-09-30,19000,19250,18600,18650,350805,-0.03865979381443296
2019-10-01,18400,19200,18400,18750,305906,0.00536193029490617
2019-10-02,18850,19000,18600,18950,183607,0.010666666666666602
2019-10-04,19550,20200,18750,18750,580645,-0.01055408970976257
2019-10-07,18500,18700,18150,18200,187013,-0.029333333333333322
2019-10-08,18000,18500,18000,18200,152528,0.0
2019-10-10,18300,18400,18000,18000,124021,-0.01098901098901095
2019-10-11,18150,18500,17800,18200,143588,0.011111111111111072
2019-10-14,18400,18950,18300,18650,184978,0.024725274725274637
2019-10-15,18500,18800,18450,18750,91216,0.00536193029490617
2019-10-16,18800,19100,18600,19050,120690,0.016000000000000014
2019-10-17,19050,19050,18650,18700,109891,-0.018372703412073532
2019-10-18,18850,19000,18700,18850,63339,0.008021390374331583
2019-10-21,19300,19450,18950,19100,187861,0.013262599469495928
2019-10-22,18900,19050,18700,18700,110401,-0.020942408376963373
2019-10-23,18600,18850,18300,18350,128005,-0.018716577540106916
2019-10-24,18400,18550,18200,18400,82125,0.0027247956403269047
2019-10-25,18400,18450,18050,18100,125388,-0.016304347826086918
2019-10-28,18300,18550,18150,18200,110124,0.005524861878453136
