Date,Open,High,Low,Close,Volume,Change
2013-11-06,24893,26013,21161,21868,3269318,
2013-11-07,22147,23648,21669,22696,874061,0.0378635449057984
2013-11-08,22825,23267,22342,22347,255793,-0.0153771589707437
2013-11-11,22054,22630,20269,20976,213566,-0.061350516847899
2013-11-12,21385,21831,20873,20976,115902,0.0
2013-11-13,21383,21416,20138,20431,63116,-0.0259820747520976
2013-11-14,20487,22472,20139,21134,141543,0.0344084968919777
2013-11-15,21515,21515,20943,21264,63486,0.0061512255133906
2013-11-18,21320,21320,19600,19633,104950,-0.0767024078254327
2013-11-19,20111,20752,19827,20274,72973,0.0326491111903428
2013-11-20,20268,20361,19087,19376,116165,-0.04429318338759
2013-11-21,19180,19343,18478,18739,119869,-0.0328757225433525
2013-11-22,18897,19120,17689,17689,100459,-0.0560328726186029
2013-11-25,17777,18353,17358,18228,59034,0.0304709141274237
2013-11-26,18195,20111,18037,19158,211107,0.0510204081632652
2013-11-27,19180,19501,18924,19185,45678,0.0014093329157531
2013-11-28,19278,19371,18892,19218,35224,0.0017200938232995
2013-11-29,19311,21389,19311,20529,162021,0.0682172962847331
2013-12-02,20519,20579,19241,19311,94746,-0.0593307029080812
2013-12-03,19273,19273,18442,18577,58115,-0.038009424680234
2013-12-04,18377,18762,18316,18577,27253,0.0
2013-12-05,18665,19302,18414,18833,36978,0.0137804812402433
2013-12-06,18702,19056,17843,18452,158106,-0.0202304465565762
2013-12-09,18539,18632,18088,18098,45949,-0.019184912204639
2013-12-10,18098,18870,17336,17880,91306,-0.0120455298928058
2013-12-11,17935,18799,17902,18549,109975,0.0374161073825503
2013-12-12,18576,19855,18483,19158,109602,0.0328319585961507
2013-12-13,19279,19279,18609,18898,52130,-0.0135713540035494
2013-12-16,18888,18920,18126,18289,73894,-0.0322256323420467
2013-12-17,18730,19302,18061,18387,124553,0.0053584121603149
2013-12-18,18423,18930,18163,18870,75617,0.0262685593082068
2013-12-19,19152,19306,18158,18163,105928,-0.0374668786433491
2013-12-20,18065,18381,17744,17940,96530,-0.0122777074271871
2013-12-23,18061,18860,18061,18577,87019,0.0355072463768115
2013-12-24,19692,20138,18734,18772,452096,0.0104968509447165
2013-12-26,19018,19246,18865,19251,136410,0.0255167270402727
2013-12-27,19213,20524,19055,20241,241907,0.051425899953249
2013-12-30,20269,21510,20171,20911,174409,0.0331011313670273
2014-01-02,20776,21031,19948,20144,169211,-0.0366792597197647
2014-01-03,20013,20775,19888,20720,90420,0.0285941223193011
2014-01-06,20905,21705,20873,20878,211059,0.0076254826254826
2014-01-07,20682,20905,20171,20655,106261,-0.0106810997221956
2014-01-08,20715,20813,19888,20144,147158,-0.0247397724521907
2014-01-09,20236,21319,20013,21101,186043,0.0475079428117553
2014-01-10,21640,21673,20460,20846,109850,-0.0120847353206009
2014-01-13,20714,20905,20333,20366,54835,-0.0230260001918833
2014-01-14,20297,21548,20204,21390,149623,0.0502798782284199
2014-01-15,21226,21422,20910,21199,99440,-0.0089294062646095
2014-01-16,21352,22114,21157,21515,333169,0.0149063635077126
2014-01-17,21607,21705,21129,21710,96990,0.0090634441087613
2014-01-20,21803,22956,21645,22766,315111,0.0486411791801013
2014-01-21,22858,22890,22346,22477,150251,-0.0126943687955723
2014-01-22,22408,23207,22408,22859,153794,0.0169951505983894
2014-01-23,22947,23012,21952,21962,152425,-0.0392405617043615
2014-01-24,21960,22123,21133,21933,120948,-0.0013204626172479
2014-01-27,21296,21389,20562,20562,121072,-0.0625085487621393
2014-01-28,20264,20998,20199,20590,78655,0.0013617352397625
2014-01-29,20747,20905,20427,20655,57936,0.0031568722680912
2014-02-03,20456,21315,20232,21325,62396,0.0324376664245944
2014-02-04,21060,22147,20869,21771,156370,0.0209144196951933
2014-02-05,22053,22053,21417,21710,69854,-0.0028018924257039
2014-02-06,21705,22309,21640,22124,98066,0.0190695532012896
2014-02-07,22244,22500,21928,22412,94327,0.0130175375158199
2014-02-10,22565,22663,22184,22505,62181,0.0041495627342496
2014-02-11,22826,22826,22152,22157,80388,-0.0154632303932459
2014-02-12,22500,22825,21993,22347,118800,0.0085751681184276
2014-02-13,22309,22532,22054,22347,82964,0.0
2014-02-14,22566,23017,22375,22636,161443,0.0129323846601332
2014-02-17,22830,22890,22030,22096,105964,-0.0238558049125287
2014-02-18,22184,23141,22026,23049,144762,0.0431299782766112
2014-02-19,23267,23523,22886,23305,136014,0.0111067725280922
2014-02-20,23332,23713,23141,23625,82288,0.0137309590216692
2014-02-21,23904,24132,23267,23305,91125,-0.0135449735449735
2014-02-24,23360,23518,22180,22696,115527,-0.026131731388114
2014-02-25,22728,22853,22309,22505,84430,-0.0084155798378569
2014-02-26,22691,22886,22500,22603,64380,0.0043545878693622
2014-02-27,23430,23657,22890,22956,215974,0.0156173959208953
2014-02-28,23016,23141,22054,22189,121324,-0.0334117442063077
2014-03-03,22114,22560,21858,22249,62472,0.0027040425436026
2014-03-04,21989,22402,21506,21771,216294,-0.0214841116454672
2014-03-05,23114,23272,22570,22668,347041,0.0412015984566624
2014-03-06,22789,23332,22663,23305,182687,0.0281012881595199
2014-03-07,23686,24895,23686,24584,480743,0.0548809268397338
2014-03-10,24894,24894,24131,24360,205891,-0.0091116173120728
2014-03-11,24448,24768,23713,23816,169054,-0.0223316912972085
2014-03-12,23942,24035,23017,23338,185833,-0.0200705408128989
2014-03-13,23588,23877,23110,23338,103745,0.0
2014-03-14,23076,23332,22825,23049,116675,-0.0123832376381866
2014-03-17,23021,23719,23021,23468,164362,0.0181786628487135
2014-03-18,23626,23626,23147,23501,81461,0.0014061701039713
2014-03-19,23588,23621,22728,22859,114840,-0.0273179864686609
2014-03-20,22831,22984,22477,22831,55237,-0.0012249004768362
2014-03-21,23653,23779,23142,23305,143899,0.0207612456747405
2014-03-24,23170,23523,22691,23305,120454,0.0
2014-03-25,23467,24327,23467,24137,254359,0.0357004934563398
2014-03-26,24128,24156,23682,23910,83543,-0.0094046484650122
2014-03-27,23900,24350,23681,24165,144404,0.0106649937264742
2014-03-28,24285,24890,23616,23719,130670,-0.0184564452720877
2014-03-31,23881,23908,22830,23212,135262,-0.0213752687718706
2014-04-01,23462,23462,22979,23114,88660,-0.0042219541616405
2014-04-02,23272,26341,23240,26341,667645,0.1396123561477893
2014-04-03,26977,27233,26113,27173,497272,0.0315857408602557
2014-04-04,26935,27957,26619,27772,273592,0.0220439406764068
2014-04-07,27581,27935,27200,27619,151159,-0.0055091459023476
2014-04-08,27517,27707,26364,26597,206430,-0.0370035120750208
2014-04-09,26655,26911,25987,26085,148804,-0.0192502913862465
2014-04-10,26238,27005,26015,27010,100271,0.0354609929078013
2014-04-11,26294,26935,26266,26657,79438,-0.0130692336171788
2014-04-14,27362,28892,27075,28479,316623,0.0683497767940879
2014-04-15,28735,28892,28223,28289,155938,-0.0066715825696126
2014-04-16,28405,30929,28373,30711,477262,0.0856163172964756
2014-04-17,30264,30683,29758,29758,207645,-0.0310312265963336
2014-04-18,29882,30203,29594,30013,73222,0.0085691242691041
2014-04-21,30618,32407,29758,29758,500963,-0.0084963182620864
