Date,Open,High,Low,Close,Volume,Change
2023-04-04,12950,13670,12800,13150,191590,0.010760953112989968
2023-04-05,13090,13260,12910,12950,28446,-0.01520912547528519
2023-04-06,12970,13200,12780,12890,34249,-0.004633204633204602
2023-04-07,12910,12910,12700,12700,33876,-0.014740108611326574
2023-04-10,12700,12740,12520,12590,34718,-0.008661417322834652
2023-04-11,12620,12730,12400,12540,30446,-0.003971405877680745
2023-04-12,12500,12860,12500,12640,21056,0.00797448165869219
2023-04-13,12650,12730,12450,12700,26306,0.004746835443038
2023-04-14,12680,13080,12680,12980,33300,0.022047244094488105
2023-04-17,12980,13490,12970,13350,83776,0.028505392912172578
2023-04-18,13320,13320,12950,13120,33547,-0.017228464419475675
2023-04-19,12950,13410,12950,13360,40793,0.018292682926829285
2023-04-20,13400,14180,13190,13480,458636,0.008982035928143617
2023-04-21,13650,13650,12850,13470,112268,-0.0007418397626113293
2023-04-24,13590,13590,13050,13060,52444,-0.03043801039346694
2023-04-25,13060,16080,13060,13510,2728223,0.034456355283307705
2023-04-26,13500,14700,12800,13210,805252,-0.022205773501110304
2023-04-27,13000,13200,12700,12910,195749,-0.022710068130204375
2023-04-28,12880,13410,12730,12730,152808,-0.013942680092951187
2023-05-02,12740,13000,12700,12860,62036,0.01021209740769824
2023-05-03,13160,13270,12710,12740,130741,-0.009331259720062213
2023-05-04,12710,12920,12690,12730,41915,-0.0007849293563578774
2023-05-08,12750,13070,12750,12860,47424,0.01021209740769824
2023-05-09,12760,13300,12760,12880,77951,0.0015552099533437946
2023-05-10,12870,13300,12870,13030,53741,0.01164596273291929
2023-05-11,12940,13220,12940,13150,33807,0.009209516500383819
2023-05-12,13240,13240,12930,12930,37895,-0.016730038022813698
2023-05-15,12910,13000,12830,12890,23970,-0.0030935808197989356
2023-05-16,12880,12990,12700,12700,36039,-0.014740108611326574
2023-05-17,12610,12900,12600,12800,21409,0.007874015748031482
2023-05-18,12800,12890,12770,12770,14722,-0.002343749999999978
2023-05-19,12890,12890,12720,12750,13579,-0.001566170712607673
2023-05-22,12810,13210,12580,13210,83047,0.03607843137254907
2023-05-23,13350,13610,13220,13500,143505,0.02195306585919754
2023-05-24,14150,14250,13570,13690,309577,0.014074074074074128
2023-05-25,13700,13910,13200,13440,63403,-0.018261504747991264
2023-05-26,13430,13430,13050,13100,56104,-0.02529761904761907
2023-05-30,13100,13290,13020,13190,30636,0.006870229007633677
2023-05-31,13150,13300,12950,12950,37463,-0.0181956027293404
2023-06-01,12880,13030,12880,12920,24301,-0.0023166023166023564
2023-06-02,13030,13610,13020,13550,82901,0.04876160990712064
2023-06-05,13690,14100,13610,13920,123900,0.0273062730627307
2023-06-07,14060,14220,13780,13990,111890,0.005028735632183867
2023-06-08,13990,14250,13860,13860,55417,-0.009292351679771271
2023-06-09,14140,14150,13700,13740,43995,-0.008658008658008698
2023-06-12,13760,14940,13550,14070,155857,0.024017467248908186
2023-06-13,14080,14700,13720,13770,331565,-0.021321961620469065
2023-06-14,14020,14110,13710,13930,74417,0.01161946259985469
2023-06-15,14150,14150,13830,13850,53776,-0.005743000717875035
2023-06-16,14000,14450,13850,14360,137044,0.03682310469314087
2023-06-19,14280,14710,14280,14600,100778,0.01671309192200554
