Date,Open,High,Low,Close,Volume,Change
2013-09-16,11500,11500,11150,11200,135643,
2013-09-17,11200,11350,11050,11300,92825,0.0089285714285713
2013-09-23,11300,11400,11250,11300,73783,0.0
2013-09-24,11300,11500,11150,11350,118768,0.0044247787610618
2013-09-25,11350,11400,11100,11250,175341,-0.0088105726872246
2013-09-26,11200,11250,11100,11250,110918,0.0
2013-09-27,11300,11400,11250,11350,103121,0.0088888888888889
2013-09-30,11300,11350,11150,11300,108256,-0.0044052863436123
2013-10-01,11300,11350,11150,11200,100908,-0.0088495575221239
2013-10-02,11250,11300,10950,11050,181561,-0.013392857142857
2013-10-04,11000,11000,10750,10800,121415,-0.0226244343891403
2013-10-07,10800,10950,10650,10900,86612,0.0092592592592593
2013-10-08,10900,10900,10700,10850,65290,-0.0045871559633027
2013-10-10,10800,10900,10550,10700,155430,-0.0138248847926267
2013-10-11,10750,10850,10700,10800,104050,0.0093457943925232
2013-10-14,10800,10850,10600,10700,149475,-0.0092592592592593
2013-10-15,10650,10800,10550,10600,131545,-0.0093457943925233
2013-10-16,10600,10700,10600,10700,100768,0.009433962264151
2013-10-17,10750,10850,10550,10600,141382,-0.0093457943925233
2013-10-18,10600,10650,10550,10550,77857,-0.0047169811320755
2013-10-21,10600,10700,10500,10700,115226,0.014218009478673
2013-10-22,10650,10800,10650,10750,91614,0.0046728971962617
2013-10-23,10750,10850,10400,10450,247334,-0.027906976744186
2013-10-24,10450,10550,10250,10350,243077,-0.0095693779904306
2013-10-25,10400,10450,10200,10250,109043,-0.0096618357487923
2013-10-28,10350,10350,10200,10300,71821,0.0048780487804878
2013-10-29,10300,10450,10250,10400,112247,0.0097087378640776
2013-10-30,10350,10500,10300,10450,143758,0.0048076923076922
2013-10-31,10450,10450,10200,10250,178625,-0.0191387559808612
2013-11-01,10300,10450,10250,10350,134240,0.0097560975609756
2013-11-04,10400,10400,10200,10350,125423,0.0
2013-11-05,10300,10350,10050,10050,142961,-0.0289855072463768
2013-11-06,10100,10200,10050,10200,86656,0.0149253731343284
2013-11-07,10200,10200,9960,10000,96521,-0.0196078431372549
2013-11-08,9950,10100,9950,10000,103730,0.0
2013-11-11,10000,10150,9980,9990,100763,-0.001
2013-11-12,9960,10200,9960,10200,51972,0.0210210210210211
2013-11-13,10150,10200,9950,9950,101890,-0.0245098039215686
2013-11-14,10000,10050,9810,9830,233315,-0.0120603015075376
2013-11-15,9830,10050,9800,10050,80116,0.022380467955239
2013-11-18,9980,10200,9870,9900,93496,-0.0149253731343284
2013-11-19,9870,9980,9800,9920,97142,0.002020202020202
2013-11-20,9840,9900,9640,9670,142446,-0.0252016129032257
2013-11-21,9710,9710,9400,9480,175280,-0.0196483971044467
2013-11-22,9450,9820,9450,9800,107536,0.0337552742616034
2013-11-25,9840,9980,9840,9970,77751,0.0173469387755103
2013-11-26,9830,10150,9820,10000,140820,0.0030090270812437
2013-11-27,10000,10150,10000,10150,111461,0.0149999999999999
2013-11-28,10100,10250,10000,10250,129221,0.0098522167487684
2013-11-29,10200,10250,10100,10250,32881,0.0
2013-12-02,10200,10300,10150,10300,92470,0.0048780487804878
2013-12-03,10250,10400,10200,10400,124648,0.0097087378640776
2013-12-04,10300,10400,10300,10350,100246,-0.0048076923076922
2013-12-05,10300,10450,10300,10450,101911,0.0096618357487923
2013-12-06,10400,10650,10400,10500,137480,0.0047846889952152
2013-12-09,10550,10650,10500,10600,74443,0.0095238095238094
2013-12-10,10550,10550,10450,10500,62870,-0.0094339622641509
2013-12-11,10450,10550,10400,10450,66954,-0.0047619047619047
2013-12-12,10400,10450,10300,10350,45848,-0.0095693779904306
2013-12-13,10350,11000,10300,10700,175192,0.0338164251207728
2013-12-16,10650,10750,10450,10500,74278,-0.0186915887850467
2013-12-17,10550,10600,10450,10550,50712,0.0047619047619047
2013-12-18,10550,10600,10500,10500,40937,-0.004739336492891
2013-12-19,10600,10600,10300,10350,150340,-0.0142857142857142
2013-12-20,10350,10550,10350,10500,52333,0.0144927536231884
2013-12-23,10500,10650,10500,10600,55541,0.0095238095238094
2013-12-24,10600,10700,10500,10650,111810,0.0047169811320755
2013-12-26,10650,10750,10550,10650,91522,0.0
2013-12-27,10550,10600,10400,10450,120393,-0.0187793427230047
