Date,Open,High,Low,Close,Volume,Change
2013-09-16,3640,3640,3450,3545,193989,
2013-09-17,3555,3635,3520,3585,47382,0.0112834978843441
2013-09-23,3615,3745,3580,3660,99502,0.0209205020920502
2013-09-24,3600,3690,3575,3640,42001,-0.0054644808743169
2013-09-25,3600,3640,3560,3600,47164,-0.0109890109890109
2013-09-26,3600,3625,3500,3580,138511,-0.0055555555555555
2013-09-27,3580,3830,3580,3765,190000,0.0516759776536313
2013-09-30,3770,3930,3770,3850,149494,0.0225763612217795
2013-10-01,3840,3840,3690,3695,123634,-0.0402597402597402
2013-10-02,3705,3755,3645,3705,88397,0.0027063599458727
2013-10-04,3705,3810,3675,3735,61936,0.0080971659919029
2013-10-07,3720,3880,3720,3860,135261,0.0334672021419009
2013-10-08,3995,4180,3900,3965,213263,0.0272020725388602
2013-10-10,3910,4045,3900,3995,83620,0.0075662042875157
2013-10-11,4125,4125,3965,4055,71933,0.0150187734668334
2013-10-14,4025,4230,4005,4190,141188,0.033292231812577
2013-10-15,4200,4310,4125,4275,96384,0.0202863961813841
2013-10-16,4250,4390,4150,4260,90587,-0.0035087719298245
2013-10-17,4295,4565,4295,4460,153705,0.0469483568075117
2013-10-18,4420,4570,4420,4515,105335,0.0123318385650224
2013-10-21,4580,4620,4460,4615,107406,0.0221483942414175
2013-10-22,4590,4950,4590,4910,373587,0.0639219934994583
2013-10-23,4950,5490,4950,5000,870690,0.0183299389002036
2013-10-24,5120,5290,5020,5210,239546,0.042
2013-10-25,5270,5310,5120,5200,189732,-0.0019193857965451
2013-10-28,5200,5390,5170,5200,166873,0.0
2013-10-29,5100,5190,4600,4875,321659,-0.0625
2013-10-30,4965,5070,4880,5020,163330,0.0297435897435898
2013-10-31,5120,5120,4950,4960,77444,-0.0119521912350597
2013-11-01,5100,5100,4765,4765,123347,-0.0393145161290322
2013-11-04,4765,4940,4710,4900,56813,0.0283315844700944
2013-11-05,4850,4915,4825,4855,33730,-0.0091836734693877
2013-11-06,4815,5000,4815,4920,31975,0.0133882595262615
2013-11-07,4920,4980,4740,4890,41621,-0.0060975609756097
2013-11-08,4890,4900,4300,4300,324811,-0.1206543967280163
2013-11-11,4335,4460,4280,4350,83747,0.0116279069767442
2013-11-12,4470,4470,4265,4285,89637,-0.0149425287356321
2013-11-13,4300,4640,4300,4400,50069,0.0268378063010501
2013-11-14,4400,4690,4400,4610,107370,0.0477272727272726
2013-11-15,4610,4880,4610,4800,116044,0.0412147505422992
2013-11-18,4790,4895,4645,4750,64771,-0.0104166666666666
2013-11-19,4750,4790,4615,4635,47891,-0.0242105263157894
2013-11-20,4700,4700,4505,4530,48219,-0.0226537216828478
2013-11-21,4465,4630,4425,4480,49340,-0.0110375275938189
2013-11-22,4460,4590,4200,4310,146448,-0.0379464285714286
2013-11-25,4270,4500,4255,4400,60655,0.0208816705336427
2013-11-26,4395,4600,4395,4460,54139,0.0136363636363636
2013-11-27,4385,4500,4385,4460,57693,0.0
2013-11-28,4530,4550,4450,4475,37074,0.0033632286995515
2013-11-29,4500,4550,4400,4480,56696,0.0011173184357542
2013-12-02,4435,4515,4350,4450,43292,-0.0066964285714286
2013-12-03,4450,4475,4245,4310,44250,-0.0314606741573033
2013-12-04,4250,4520,4250,4410,78370,0.0232018561484919
2013-12-05,4350,4400,4290,4320,31041,-0.0204081632653061
2013-12-06,4320,4400,4230,4235,36813,-0.0196759259259259
2013-12-09,4215,4240,3960,4150,154617,-0.0200708382526564
2013-12-10,4150,4230,4045,4205,103100,0.0132530120481928
2013-12-11,4265,4270,4045,4240,49166,0.0083234244946492
2013-12-12,4175,4335,4055,4120,31802,-0.0283018867924528
2013-12-13,4120,4290,4000,4040,39220,-0.0194174757281553
2013-12-16,4055,4145,4050,4080,44865,0.0099009900990099
2013-12-17,4080,4150,4030,4060,33128,-0.0049019607843137
2013-12-18,4055,4100,3810,3900,111788,-0.0394088669950738
2013-12-19,3815,4040,3810,4040,42347,0.0358974358974359
2013-12-20,4000,4120,3940,3970,41537,-0.0173267326732673
2013-12-23,3975,4050,3815,3850,62893,-0.0302267002518891
2013-12-24,3595,3940,3570,3840,206122,-0.0025974025974025
2013-12-26,3850,3980,3820,3880,36523,0.0104166666666667
2013-12-27,3850,3890,3780,3885,56797,0.0012886597938144
2013-12-30,3865,3930,3860,3930,17433,0.0115830115830115
2014-01-02,3990,4000,3850,3995,36062,0.0165394402035623
2014-01-03,3940,4075,3930,4055,66656,0.0150187734668334
2014-01-06,4140,4210,4070,4200,64247,0.0357583230579532
2014-01-07,4200,4380,4200,4300,81857,0.0238095238095237
2014-01-08,4390,4390,4220,4260,60647,-0.0093023255813953
2014-01-09,4180,4295,4180,4260,18058,0.0
2014-01-10,4205,4295,4205,4230,18392,-0.0070422535211267
2014-01-13,4300,4300,4150,4240,23276,0.0023640661938533
2014-01-14,4190,4260,4155,4210,37964,-0.0070754716981131
2014-01-15,4290,4290,4160,4220,34828,0.002375296912114
2014-01-16,4345,4345,4205,4255,29689,0.0082938388625593
2014-01-17,4335,4335,4190,4260,25058,0.0011750881316099
2014-01-20,4345,4345,4020,4150,90197,-0.0258215962441314
2014-01-21,4150,4190,4000,4130,59842,-0.0048192771084337
2014-01-22,4165,4165,3825,3975,45297,-0.0375302663438256
2014-01-23,3955,4050,3895,3900,60383,-0.0188679245283018
2014-01-24,3860,4010,3860,3925,52535,0.0064102564102563
2014-01-27,3950,3950,3760,3900,104503,-0.0063694267515923
2014-01-28,4035,4035,3900,3990,22857,0.0230769230769229
2014-01-29,3950,4010,3950,3990,14270,0.0
2014-02-03,4030,4030,3895,3980,34214,-0.0025062656641604
2014-02-04,3980,3980,3850,3925,25118,-0.0138190954773869
2014-02-05,3905,3970,3830,3880,28166,-0.0114649681528662
2014-02-06,3970,3970,3865,3930,13896,0.0128865979381442
2014-02-07,3900,3940,3800,3820,46105,-0.0279898218829516
2014-02-10,3830,3970,3800,3850,36696,0.0078534031413612
2014-02-11,3900,4030,3820,4000,29208,0.0389610389610388
2014-02-12,4085,4085,3965,3995,20203,-0.0012499999999999
2014-02-13,4045,4045,3990,3990,11820,-0.0012515644555695
2014-02-14,3930,4020,3930,3995,33636,0.0012531328320801
2014-02-17,4045,4045,3930,3930,15571,-0.0162703379224029
2014-02-18,3945,4025,3895,3995,46256,0.0165394402035623
2014-02-19,4020,4020,3830,3965,33949,-0.0075093867334167
2014-02-20,4020,4020,3870,3930,16005,-0.008827238335435
2014-02-21,3990,4050,3780,3900,76819,-0.0076335877862595
2014-02-24,3890,3950,3805,3950,39314,0.0128205128205127
2014-02-25,3990,3990,3875,3940,38712,-0.0025316455696202
2014-02-26,3935,3945,3840,3890,22663,-0.0126903553299492
2014-02-27,3855,3885,3795,3885,59984,-0.0012853470437017
2014-02-28,3915,3915,3810,3870,35601,-0.0038610038610038
2014-03-03,3790,3870,3775,3860,25281,-0.0025839793281653
2014-03-04,3845,3930,3770,3860,2682,0.0
2014-03-05,3860,3930,3800,3825,29353,-0.0090673575129534
2014-03-06,3800,3850,3750,3810,39446,-0.0039215686274509
2014-03-07,3840,3840,3765,3795,12402,-0.0039370078740157
2014-03-10,3835,3885,3740,3795,29569,0.0
2014-03-11,3775,3830,3675,3760,41221,-0.0092226613965744
2014-03-12,3740,3740,3550,3710,75763,-0.0132978723404255
2014-03-13,3675,3730,3630,3690,23230,-0.0053908355795148
2014-03-14,3675,3830,3660,3760,52966,0.018970189701897
2014-03-17,3745,3810,3700,3745,17854,-0.0039893617021277
2014-03-18,3700,3755,3660,3705,20744,-0.0106809078771695
2014-03-19,3790,3790,3680,3730,7883,0.0067476383265856
2014-03-20,3780,3780,3680,3700,14849,-0.0080428954423592
2014-03-21,3700,3745,3635,3725,33999,0.0067567567567567
2014-03-24,3750,3750,3600,3675,35869,-0.0134228187919462
2014-03-25,3650,3700,3545,3660,75150,-0.0040816326530612
2014-03-26,3690,3690,3550,3580,19287,-0.0218579234972677
2014-03-27,3535,3580,3325,3360,290482,-0.0614525139664804
2014-03-28,3450,3450,3300,3430,61223,0.0208333333333332
2014-03-31,3400,3515,3385,3435,30710,0.0014577259475219
2014-04-01,3335,3830,3335,3745,267747,0.0902474526928676
2014-04-02,3740,3785,3675,3730,39595,-0.0040053404539386
2014-04-03,3810,3810,3605,3650,53129,-0.0214477211796246
2014-04-04,3650,3675,3465,3600,65826,-0.0136986301369863
2014-04-07,3600,3660,3560,3610,28672,0.0027777777777777
2014-04-08,3570,3680,3550,3550,24311,-0.0166204986149584
2014-04-09,3620,3655,3475,3600,54330,0.0140845070422535
2014-04-10,3680,3680,3500,3590,24985,-0.0027777777777777
2014-04-11,3630,3630,3485,3485,57281,-0.0292479108635097
2014-04-14,3550,3570,3510,3510,33865,0.007173601147776
2014-04-15,3510,3595,3460,3575,24325,0.0185185185185186
2014-04-16,3600,3650,3550,3630,28959,0.0153846153846153
2014-04-17,3645,4000,3645,3990,279490,0.0991735537190081
2014-04-18,3995,4250,3900,3965,265958,-0.0062656641604009
2014-04-21,3925,4030,3875,3875,76467,-0.0226986128625472
2014-04-22,3915,4100,3915,4020,145942,0.0374193548387096
2014-04-23,4030,4090,3780,3900,112166,-0.0298507462686566
2014-04-24,3940,3955,3735,3840,129497,-0.0153846153846153
2014-04-25,3870,4050,3840,3910,174465,0.0182291666666667
2014-04-28,3935,3945,3840,3850,64181,-0.0153452685421995
2014-04-29,3855,3940,3755,3755,64498,-0.0246753246753246
2014-04-30,3745,3845,3715,3760,49275,0.0013315579227697
