Date,Open,High,Low,Close,Volume,Change
2019-06-18,8360,8680,8350,8420,1437262,0.014457831325301207
2019-06-19,8480,8520,7910,8000,1055704,-0.049881235154394354
2019-06-20,8010,8110,7650,8010,621229,0.0012499999999999734
2019-06-21,8150,8450,8050,8340,1093246,0.04119850187265928
2019-06-24,8450,8690,8350,8520,1034702,0.021582733812949728
2019-06-25,8620,8800,8410,8500,783881,-0.0023474178403756207
2019-06-26,8420,8600,8260,8550,473183,0.00588235294117645
2019-06-27,8550,8700,8110,8130,849492,-0.0491228070175439
2019-06-28,8150,8270,7900,8220,432400,0.011070110701107083
2019-07-01,8170,8290,7490,7610,1087015,-0.07420924574209242
2019-07-02,7530,7780,7530,7730,525780,0.01576872536136653
2019-07-03,7740,7780,7020,7170,1361244,-0.07244501940491588
2019-07-04,7130,7360,6950,7210,714404,0.00557880055788007
2019-07-05,7200,7210,6820,6910,706877,-0.04160887656033285
2019-07-08,6910,6910,6450,6530,1003691,-0.05499276410998555
2019-07-09,6520,6670,6360,6440,699724,-0.013782542113323082
2019-07-10,6520,6580,6400,6440,431633,0.0
2019-07-11,6510,6510,6310,6390,359423,-0.00776397515527949
2019-07-12,6450,6680,6300,6530,637119,0.021909233176838905
2019-07-15,6550,6560,5930,6050,1012379,-0.0735068912710567
2019-07-16,6050,6220,6010,6140,409251,0.014876033057851235
2019-07-17,6150,6160,5980,6050,265929,-0.014657980456026065
2019-07-18,6000,6240,6000,6050,407499,0.0
2019-07-19,6080,6180,6030,6090,187891,0.006611570247933907
2019-07-22,6090,6240,5920,6140,260240,0.008210180623973828
2019-07-23,6170,6330,6000,6080,391997,-0.009771986970684043
2019-07-24,6100,6100,5690,5880,553231,-0.03289473684210531
2019-07-25,5860,5990,5770,5880,310031,0.0
2019-07-26,5880,5920,5740,5860,280631,-0.003401360544217691
2019-07-29,5870,5890,5560,5560,324765,-0.05119453924914674
2019-07-30,5500,5890,5500,5730,554653,0.030575539568345356
2019-07-31,5740,5910,5550,5910,265694,0.03141361256544495
2019-08-01,5880,5950,5610,5630,262055,-0.04737732656514382
2019-08-02,5470,5980,5400,5920,462627,0.051509769094138624
2019-08-05,5900,6090,5370,5410,678116,-0.08614864864864868
2019-08-06,5110,5480,5000,5080,920991,-0.060998151571164505
2019-08-07,5170,5370,5160,5350,399357,0.053149606299212504
2019-08-08,5530,5950,5430,5930,795762,0.108411214953271
2019-08-09,6030,6130,5860,6010,760748,0.013490725126475533
2019-08-12,6000,6070,5840,6050,296693,0.006655574043261225
2019-08-13,6040,6240,5950,5980,577125,-0.011570247933884281
2019-08-14,6120,6160,5990,6040,567092,0.010033444816053505
2019-08-16,5990,6060,5810,5810,411586,-0.038079470198675525
2019-08-19,5860,6160,5840,6030,540329,0.03786574870912229
2019-08-20,6060,6140,5970,6110,354388,0.013266998341625147
2019-08-21,6110,6140,6010,6040,295945,-0.011456628477905073
2019-08-22,6100,6100,5950,5950,182254,-0.01490066225165565
2019-08-23,5850,5950,5700,5700,690202,-0.04201680672268904
2019-08-26,5380,5570,5280,5440,504821,-0.04561403508771933
2019-08-27,5640,5660,5380,5430,268629,-0.0018382352941176405
2019-08-28,5410,5590,5410,5500,176281,0.012891344383057168
2019-08-29,5540,5540,5320,5410,282683,-0.016363636363636358
2019-08-30,5500,5630,5450,5570,345168,0.02957486136783727
2019-09-02,5550,5680,5450,5560,222154,-0.0017953321364452268
2019-09-03,5570,5750,5540,5600,250082,0.007194244604316502
2019-09-04,5560,5980,5550,5940,489671,0.06071428571428572
2019-09-05,6040,6070,5850,5900,466239,-0.006734006734006703
2019-09-06,6000,6000,5750,5750,300171,-0.025423728813559365
2019-09-09,5750,5880,5670,5670,230074,-0.013913043478260834
2019-09-10,5670,5790,5650,5770,133311,0.01763668430335108
2019-09-11,5780,5870,5720,5810,226997,0.006932409012131657
2019-09-16,5830,5870,5730,5830,132882,0.0034423407917383297
2019-09-17,5830,5840,5750,5800,184230,-0.005145797598627766
2019-09-18,5800,6080,5780,6050,418697,0.0431034482758621
2019-09-19,6050,6130,5940,6030,287022,-0.0033057851239669533
2019-09-20,6040,6300,6010,6240,534771,0.03482587064676612
2019-09-23,6300,6300,6140,6260,337346,0.0032051282051281937
2019-09-24,6270,6300,6170,6250,247396,-0.0015974440894568342
2019-09-25,6240,6240,6040,6050,360276,-0.03200000000000003
2019-09-26,6140,6390,6060,6150,653789,0.016528925619834656
2019-09-27,6140,6200,6060,6060,244711,-0.014634146341463428
2019-09-30,6060,6220,6030,6160,338718,0.01650165016501659
2019-10-01,6190,6200,5940,5980,443189,-0.02922077922077926
2019-10-02,5920,6000,5710,5840,372575,-0.02341137123745818
2019-10-04,5780,5820,5640,5700,309227,-0.023972602739726012
2019-10-07,5680,5800,5600,5610,225193,-0.015789473684210575
2019-10-08,5620,5820,5620,5810,178692,0.035650623885918
2019-10-10,5760,5820,5700,5760,88410,-0.008605851979345935
2019-10-11,5780,5860,5740,5780,98496,0.003472222222222321
2019-10-14,5900,5900,5770,5790,133320,0.0017301038062282892
2019-10-15,5800,5900,5750,5890,157283,0.017271157167530138
2019-10-16,5920,6070,5870,5910,352467,0.00339558573853993
2019-10-17,5910,5950,5710,5830,222315,-0.013536379018612488
2019-10-18,5880,6040,5830,5950,292256,0.020583190394511064
2019-10-21,6030,6030,5820,5820,217586,-0.021848739495798353
2019-10-22,5850,5880,5730,5760,228893,-0.010309278350515427
2019-10-23,5760,5880,5700,5700,187380,-0.01041666666666663
2019-10-24,5720,5780,5690,5700,134524,0.0
2019-10-25,5720,5830,5700,5760,152299,0.010526315789473717
2019-10-28,5800,5860,5690,5850,194698,0.015625
2019-10-29,5860,5930,5760,5780,196402,-0.011965811965811923
2019-10-30,5800,5850,5610,5710,159978,-0.01211072664359858
2019-10-31,5720,5750,5630,5670,128880,-0.007005253940455369
2019-11-01,5670,5890,5630,5840,245930,0.029982363315696592
2019-11-04,5900,5930,5840,5900,159881,0.010273972602739656
2019-11-05,5920,5970,5830,5880,228320,-0.003389830508474523
2019-11-06,5850,6150,5840,6070,747565,0.03231292517006801
2019-11-07,6040,6050,5810,5860,441060,-0.034596375617792385
2019-11-08,5900,5940,5850,5900,135028,0.006825938566553003
2019-11-11,5940,5980,5850,5910,195914,0.0016949152542373724
2019-11-12,5920,5960,5850,5900,83467,-0.0016920473773265332
2019-11-13,5920,6150,5890,6050,631561,0.025423728813559254
2019-11-14,6160,6180,6040,6050,404455,0.0
2019-11-15,6110,6630,6050,6610,1699584,0.09256198347107447
2019-11-18,6780,7460,6700,7310,4203561,0.10590015128593033
2019-11-19,7340,7610,7160,7470,1958146,0.02188782489740082
2019-11-20,7440,7670,7280,7470,993213,0.0
2019-11-21,7480,7800,7320,7550,1053697,0.010709504685408211
2019-11-22,7590,7750,7320,7640,998917,0.01192052980132452
2019-11-25,7790,7910,7590,7620,617825,-0.002617801047120394
2019-11-26,7680,7890,7460,7790,832953,0.022309711286089273
2019-11-27,7790,7890,7650,7830,553411,0.005134788189987249
2019-11-28,7780,7990,7740,7860,602710,0.003831417624521105
2019-11-29,7920,8040,7690,7800,469296,-0.007633587786259555
2019-12-02,7800,7920,7570,7600,629619,-0.02564102564102566
2019-12-03,7580,8090,7480,7930,1529514,0.04342105263157903
2019-12-04,7830,7870,7160,7210,1302179,-0.09079445145018916
2019-12-05,7370,7480,7210,7380,537093,0.023578363384188616
2019-12-06,7390,7880,7380,7830,794406,0.060975609756097615
2019-12-09,8030,8030,7670,7950,754363,0.015325670498084198
2019-12-10,7900,7940,7620,7770,500564,-0.02264150943396226
2019-12-11,7900,8050,7690,7750,661653,-0.002574002574002532
2019-12-12,7800,8290,7270,7460,3148166,-0.03741935483870973
2019-12-13,7520,7520,7110,7110,1310137,-0.046916890080428986
2019-12-16,7170,7240,6820,6950,1183468,-0.02250351617440227
2019-12-17,6990,7370,6910,7330,1565149,0.054676258992805815
2019-12-18,7300,7320,7050,7070,661458,-0.03547066848567526
2019-12-19,7070,7160,6900,6990,508992,-0.011315417256011262
2019-12-20,6920,7120,6920,7090,487318,0.014306151645207432
2019-12-23,7090,7140,6780,6820,511334,-0.03808180535966155
2019-12-24,6800,6940,6800,6840,244877,0.0029325513196480912
2019-12-26,6890,7100,6870,7100,337635,0.03801169590643272
2019-12-27,7140,7290,7050,7190,450911,0.012676056338028152
2019-12-30,7230,7450,7100,7400,536189,0.029207232267037586
2020-01-02,7370,7480,7290,7450,408000,0.006756756756756799
2020-01-03,7490,7600,7290,7340,503198,-0.014765100671140896
2020-01-06,7200,7520,7100,7500,702046,0.021798365122615904
2020-01-07,7590,7710,7380,7490,841463,-0.0013333333333332975
2020-01-08,7360,7490,7060,7310,752951,-0.024032042723631464
2020-01-09,7550,7730,7450,7720,784869,0.05608755129958953
2020-01-10,7780,7780,7440,7490,606331,-0.029792746113989632
2020-01-13,7490,7500,7250,7360,470629,-0.01735647530040052
2020-01-14,7360,7640,7360,7480,703630,0.016304347826086918
2020-01-15,7480,7680,7460,7570,459851,0.012032085561497263
2020-01-16,7570,7920,7550,7810,1241591,0.031704095112285335
2020-01-17,7980,8000,7620,7650,1180603,-0.020486555697823317
2020-01-20,7750,7770,7430,7530,862998,-0.015686274509803977
2020-01-21,7440,7550,7390,7430,291431,-0.013280212483399723
2020-01-22,7480,7550,7290,7540,454975,0.014804845222072593
2020-01-23,7540,7540,7390,7460,321464,-0.010610079575596787
2020-01-28,7000,7170,6940,7110,632836,-0.046916890080428986
2020-01-29,7210,7230,7060,7070,247241,-0.005625879043600568
2020-01-30,7040,7100,6650,6700,562920,-0.052333804809052364
2020-01-31,6710,6800,6370,6430,553448,-0.040298507462686595
2020-02-03,6200,6580,6200,6540,460260,0.01710730948678063
2020-02-04,6560,6700,6470,6690,351002,0.022935779816513735
2020-02-05,6720,6820,6590,6600,359018,-0.013452914798206317
2020-02-06,6690,6770,6640,6690,228260,0.013636363636363669
2020-02-07,6700,6750,6520,6610,255504,-0.01195814648729443
2020-02-10,6650,6900,6610,6860,818021,0.03782148260211793
2020-02-11,6850,6850,6650,6820,518747,-0.005830903790087438
2020-02-12,6860,6960,6760,6910,516571,0.01319648093841641
2020-02-13,7030,7090,6840,6880,516102,-0.00434153400868309
2020-02-14,6900,7440,6900,7440,1368777,0.08139534883720922
2020-02-17,7670,7800,7480,7710,2318954,0.03629032258064524
2020-02-18,7710,7770,7470,7580,984242,-0.016861219195849597
2020-02-19,7600,7640,7090,7350,1478648,-0.03034300791556732
2020-02-20,7430,7450,7090,7190,886205,-0.0217687074829932
2020-02-21,7020,7180,6950,6950,621469,-0.033379694019471495
2020-02-24,6670,6840,6450,6490,805723,-0.06618705035971229
