Date,Open,High,Low,Close,Volume,Change
2013-09-16,10425,10425,10250,10250,17868,
2013-09-17,10350,11000,10300,10500,31232,0.024390243902439
2013-09-23,10550,10750,10325,10375,26297,-0.0119047619047618
2013-09-24,10375,10500,10225,10375,24004,0.0
2013-09-25,10275,10550,10100,10275,27557,-0.0096385542168674
2013-09-26,9850,10700,9850,10500,50406,0.0218978102189781
2013-09-27,10600,10675,10400,10550,22096,0.0047619047619047
2013-09-30,10650,10650,10275,10375,18902,-0.0165876777251184
2013-10-01,9950,10525,9950,10275,16243,-0.0096385542168674
2013-10-02,10400,10500,10200,10300,24738,0.002433090024331
2013-10-04,10300,10475,10175,10350,20999,0.0048543689320388
2013-10-07,10425,10425,9950,10250,21050,-0.0096618357487923
2013-10-08,10100,10225,9900,9950,39910,-0.0292682926829268
2013-10-10,9900,10075,9375,9500,53760,-0.0452261306532663
2013-10-11,9600,9700,9375,9600,41189,0.0105263157894737
2013-10-14,9650,10000,9524,9925,32852,0.0338541666666667
2013-10-15,10050,10050,9850,10025,10003,0.0100755667506298
2013-10-16,10000,10175,9900,10025,31832,0.0
2013-10-17,10224,10224,9500,9825,24179,-0.0199501246882792
2013-10-18,9850,9925,9574,9875,17213,0.0050890585241729
2013-10-21,9950,9950,9825,9875,11914,0.0
2013-10-22,9900,9950,9700,9775,18648,-0.010126582278481
2013-10-23,9774,9850,9474,9675,32469,-0.0102301790281329
2013-10-24,9675,9725,9400,9500,25732,-0.0180878552971576
2013-10-25,9325,9550,9325,9500,21881,0.0
2013-10-28,9500,9625,9450,9475,17075,-0.0026315789473684
2013-10-29,9475,10050,9450,9750,58107,0.029023746701847
2013-10-30,9774,9874,9625,9775,25629,0.0025641025641025
2013-10-31,9775,9950,9725,9950,23830,0.0179028132992327
2013-11-01,10000,10400,9950,10250,59668,0.0301507537688441
2013-11-04,10250,10400,10150,10325,33405,0.0073170731707317
2013-11-05,10325,10350,10000,10175,43343,-0.0145278450363196
2013-11-06,10075,10200,9900,10025,25336,-0.0147420147420147
2013-11-07,10025,10125,9400,9750,21793,-0.0274314214463839
2013-11-08,9650,9650,8675,8925,58166,-0.0846153846153846
2013-11-11,8525,8600,7625,7900,228674,-0.1148459383753501
2013-11-12,7900,8325,7875,8325,52881,0.0537974683544304
2013-11-13,8400,8400,8100,8325,25252,0.0
2013-11-14,8325,8500,8000,8500,35826,0.0210210210210211
2013-11-15,8575,8775,8425,8750,24371,0.0294117647058822
2013-11-18,8750,8750,8375,8575,21716,-0.02
2013-11-19,8650,8650,7950,8500,15885,-0.0087463556851311
2013-11-20,8500,8575,8225,8375,11446,-0.0147058823529411
2013-11-21,8075,8325,8000,8300,21480,-0.0089552238805969
2013-11-22,8400,8450,8150,8150,10015,-0.0180722891566265
2013-11-25,8150,8225,8000,8225,24957,0.00920245398773
2013-11-26,8300,8400,8175,8200,15625,-0.0030395136778115
2013-11-27,8400,8400,8175,8300,21059,0.0121951219512195
2013-11-28,8375,8700,8350,8450,24488,0.0180722891566265
2013-11-29,8650,9350,8550,8550,86629,0.0118343195266272
2013-12-02,8475,8675,8250,8500,35731,-0.0058479532163743
2013-12-03,8525,8575,8275,8500,14225,0.0
2013-12-04,8550,9075,8475,8900,42332,0.0470588235294118
2013-12-05,8900,9000,8750,8950,21341,0.0056179775280897
2013-12-06,8875,9175,8875,9025,18736,0.0083798882681564
2013-12-09,9025,9200,8850,8975,21910,-0.005540166204986
2013-12-10,8975,8975,8600,8950,17488,-0.0027855153203342
2013-12-11,8950,9000,8675,8925,13727,-0.0027932960893854
2013-12-12,8925,8925,8725,8875,8483,-0.0056022408963585
2013-12-13,8800,9000,8750,8875,12305,0.0
2013-12-16,8850,8850,8450,8575,29002,-0.0338028169014084
2013-12-17,8625,8625,8250,8375,18052,-0.0233236151603498
2013-12-18,8375,8575,8200,8525,15128,0.0179104477611939
2013-12-19,8600,8675,8350,8400,7462,-0.0146627565982404
2013-12-20,8475,8900,8300,8725,26305,0.0386904761904762
2013-12-23,8675,8725,8500,8700,14151,-0.0028653295128939
2013-12-24,8750,8825,8525,8725,19883,0.0028735632183907
2013-12-26,8650,8750,8475,8650,21552,-0.0085959885386819
2013-12-27,8675,8775,8575,8775,19735,0.0144508670520231
2013-12-30,9525,10074,9350,10075,111756,0.1481481481481481
2014-01-02,11575,11575,11400,11575,209033,0.1488833746898263
2014-01-03,11825,13075,11775,12675,1388232,0.0950323974082072
2014-01-06,12750,14575,12525,13900,1039495,0.096646942800789
2014-01-07,13650,14375,13500,14050,535586,0.0107913669064747
2014-01-08,13750,13900,13300,13800,302265,-0.0177935943060498
2014-01-09,13675,14075,13549,13875,271637,0.0054347826086955
2014-01-10,13724,13875,13050,13450,237039,-0.0306306306306306
2014-01-13,13600,13650,13250,13550,140309,0.0074349442379182
2014-01-14,13525,13925,13350,13900,267996,0.0258302583025831
2014-01-15,13800,13900,13349,13675,172856,-0.0161870503597122
2014-01-16,13650,14000,13424,13650,162857,-0.0018281535648994
2014-01-17,13450,14000,13400,13900,211873,0.0183150183150182
2014-01-20,14100,15200,13825,14375,403243,0.0341726618705036
2014-01-21,14375,14900,13824,14850,225806,0.0330434782608695
2014-01-22,14500,14950,14400,14850,191732,0.0
2014-01-23,14850,15150,14100,14350,186292,-0.0336700336700336
2014-01-24,14325,14650,13475,13500,159718,-0.0592334494773518
2014-01-27,13150,13675,12775,13250,122148,-0.0185185185185184
2014-01-28,13200,13350,12850,12850,88096,-0.030188679245283
2014-01-29,12900,13300,12825,12850,77044,0.0
2014-02-03,13150,13150,12525,13000,60611,0.0116731517509727
2014-02-04,12750,14000,12550,13200,258920,0.0153846153846153
2014-02-05,13350,13350,12300,12475,98647,-0.0549242424242424
2014-02-06,12475,12825,12150,12525,77724,0.0040080160320641
2014-02-07,12650,12800,12350,12550,29767,0.0019960079840319
2014-02-10,12775,12800,12525,12750,27048,0.0159362549800796
2014-02-11,12625,12875,12525,12550,37588,-0.0156862745098039
2014-02-12,13000,13000,12025,12200,72334,-0.0278884462151394
2014-02-13,12125,12150,11525,11600,169812,-0.0491803278688525
2014-02-14,11675,12100,11650,11700,117039,0.0086206896551723
2014-02-17,11700,11875,11525,11800,40053,0.0085470085470085
2014-02-18,11825,12200,11725,12100,57531,0.0254237288135592
2014-02-19,12225,12225,11875,11975,31401,-0.0103305785123967
2014-02-20,11925,11925,11550,11625,29914,-0.0292275574112734
2014-02-21,11400,11450,10800,10850,131671,-0.0666666666666666
2014-02-24,10900,11375,10650,11125,54753,0.0253456221198156
2014-02-25,11300,11975,11300,11575,97730,0.0404494382022471
2014-02-26,11550,11625,11200,11300,34162,-0.0237580993520518
2014-02-27,11375,11375,10775,10925,62222,-0.0331858407079646
2014-02-28,11000,11025,10600,10675,46811,-0.022883295194508
2014-03-03,10650,11775,10325,11050,80949,0.0351288056206089
2014-03-04,11050,11450,10900,11175,50099,0.01131221719457
2014-03-05,11225,11350,11075,11350,33131,0.0156599552572707
2014-03-06,11350,11475,11175,11250,21352,-0.0088105726872246
2014-03-07,11200,11575,11200,11500,52937,0.0222222222222221
2014-03-10,11575,12100,11100,11500,147440,0.0
2014-03-11,11750,11750,11475,11550,35132,0.0043478260869564
2014-03-12,11600,11725,11075,11225,59703,-0.0281385281385281
2014-03-13,11175,11225,10875,11225,36978,0.0
2014-03-14,10950,11725,10950,11500,72615,0.0244988864142539
2014-03-17,11625,11625,11250,11250,37075,-0.0217391304347825
2014-03-18,11300,11500,11175,11400,34556,0.0133333333333334
2014-03-19,11400,11675,11325,11600,43129,0.0175438596491228
2014-03-20,11600,11600,11175,11250,31945,-0.0301724137931034
2014-03-21,11400,11450,11175,11325,23976,0.0066666666666665
2014-03-24,11275,11500,11275,11275,18894,-0.0044150110375276
2014-03-25,11275,11375,10975,11150,32671,-0.0110864745011086
2014-03-26,11150,11250,10775,10925,34071,-0.0201793721973093
2014-03-27,10925,10925,10575,10725,27953,-0.0183066361556064
2014-03-28,10775,11125,10650,11000,20565,0.0256410256410255
2014-03-31,11050,11200,10450,10700,21995,-0.0272727272727272
2014-04-01,10750,11150,10750,11075,37865,0.0350467289719627
2014-04-02,11250,11250,10950,11000,28649,-0.0067720090293453
2014-04-03,11200,11200,10850,10950,16218,-0.0045454545454545
2014-04-04,10950,11475,10950,11350,63319,0.0365296803652968
2014-04-07,11275,11700,11225,11550,54896,0.0176211453744492
2014-04-08,11550,11550,11175,11350,22723,-0.0173160173160172
2014-04-09,11550,11550,11000,11100,23409,-0.0220264317180616
2014-04-10,11250,11250,10825,10975,45530,-0.0112612612612612
2014-04-11,10850,11175,10775,11025,17511,0.0045558086560364
2014-04-14,10875,11100,10850,10925,16676,-0.0090702947845805
2014-04-15,10950,11000,10725,10750,30825,-0.0160183066361555
2014-04-16,10900,11075,10550,10975,31060,0.0209302325581395
2014-04-17,10975,11250,10975,11225,30883,0.0227790432801822
2014-04-18,11225,12300,11100,11300,173547,0.0066815144766148
2014-04-21,11325,11450,11100,11300,42065,0.0
2014-04-22,11350,11350,11150,11200,25703,-0.0088495575221239
2014-04-23,11200,11350,11050,11050,33349,-0.013392857142857
2014-04-24,11000,12000,10850,10850,270599,-0.0180995475113122
2014-04-25,11000,11175,10825,11050,36572,0.0184331797235022
2014-04-28,11050,11150,10600,10700,55946,-0.0316742081447963
2014-04-29,10700,10875,10100,10300,75274,-0.0373831775700934
2014-04-30,10375,10375,10100,10225,40784,-0.0072815533980582
2014-05-02,10250,10275,10100,10125,24669,-0.0097799511002445
2014-05-07,10150,10225,10025,10100,22469,-0.0024691358024691
2014-05-08,10275,10275,9475,9600,41760,-0.0495049504950495
2014-05-09,9675,9925,9675,9850,18729,0.0260416666666667
2014-05-12,10075,10075,9850,9900,9137,0.0050761421319796
2014-05-13,9900,10050,9800,9975,21151,0.0075757575757575
2014-05-14,10000,10074,9750,9975,12196,0.0
2014-05-15,10050,10050,9750,9800,11830,-0.0175438596491228
2014-05-16,9825,9825,9250,9500,31133,-0.0306122448979592
2014-05-19,9600,9700,9450,9600,32343,0.0105263157894737
2014-05-20,9550,9700,9500,9525,14978,-0.0078125
2014-05-21,9550,9750,9550,9750,13783,0.0236220472440944
2014-05-22,9775,9850,9575,9725,15437,-0.0025641025641025
2014-05-23,9800,9800,9650,9700,7049,-0.0025706940874036
