Date,Open,High,Low,Close,Volume,Change
2013-09-16,5240,5290,5090,5140,110601,
2013-09-17,5130,5250,5110,5240,69200,0.0194552529182878
2013-09-23,5240,5360,5230,5260,108159,0.0038167938931297
2013-09-24,5340,5340,5130,5190,64741,-0.0133079847908744
2013-09-25,5200,5260,5150,5230,52870,0.0077071290944124
2013-09-26,5220,5250,5160,5240,83096,0.0019120458891013
2013-09-27,5240,5300,5220,5300,77239,0.0114503816793893
2013-09-30,5270,5420,5270,5350,212784,0.009433962264151
2013-10-01,5350,5400,5200,5240,90919,-0.0205607476635514
2013-10-02,5280,5320,5120,5120,128378,-0.0229007633587786
2013-10-04,5100,5120,4950,4980,284120,-0.02734375
2013-10-07,5000,5040,4980,4985,76893,0.001004016064257
2013-10-08,5060,5130,5010,5030,87569,0.0090270812437311
2013-10-10,5070,5210,5070,5210,136809,0.0357852882703777
2013-10-11,5280,5350,5220,5220,139199,0.0019193857965451
2013-10-14,5220,5250,5150,5160,62042,-0.0114942528735632
2013-10-15,5180,5230,5120,5150,66431,-0.001937984496124
2013-10-16,5140,5190,4990,5000,179531,-0.0291262135922329
2013-10-17,5040,5060,4900,4900,159855,-0.02
2013-10-18,4900,4965,4900,4925,62651,0.0051020408163264
2013-10-21,4930,5000,4915,4920,70814,-0.0010152284263958
2013-10-22,4955,4990,4905,4960,59901,0.0081300813008129
2013-10-23,5000,5050,4950,4955,73060,-0.001008064516129
2013-10-24,4955,5050,4950,5050,42902,0.0191725529767912
2013-10-25,5080,5110,4970,5000,51515,-0.0099009900990099
2013-10-28,4250,4330,4250,4250,425273,-0.15
2013-10-29,3915,4000,3760,3805,1282894,-0.1047058823529412
2013-10-30,3800,3995,3800,3900,609574,0.0249671484888305
2013-10-31,3940,3975,3810,3910,205128,0.0025641025641025
2013-11-01,3895,3990,3855,3950,215676,0.0102301790281329
2013-11-04,3980,3980,3890,3895,153573,-0.0139240506329113
2013-11-05,3895,3990,3840,3890,238239,-0.0012836970474967
2013-11-06,3875,3915,3860,3890,162647,0.0
2013-11-07,3900,3920,3785,3790,131454,-0.025706940874036
2013-11-08,3790,3890,3595,3595,232802,-0.0514511873350923
2013-11-11,3640,3655,3380,3415,278880,-0.0500695410292072
2013-11-12,3400,3640,3400,3640,152094,0.0658857979502196
2013-11-13,3690,3700,3570,3605,112250,-0.0096153846153845
2013-11-14,3655,3680,3550,3680,114863,0.0208044382801664
