Date,Open,High,Low,Close,Volume,Change
2023-04-04,2585,2715,2575,2705,1350086,0.0464216634429399
2023-04-05,2725,3375,2685,3235,26860148,0.1959334565619224
2023-04-06,3300,3380,3150,3165,7358596,-0.0216383307573415
2023-04-07,3165,3220,3015,3075,2351586,-0.0284360189573459
2023-04-10,3080,3115,2955,3050,1667224,-0.008130081300813
2023-04-11,3045,3070,2960,3000,1063704,-0.0163934426229508
2023-04-12,2995,3270,2985,3175,5411778,0.0583333333333333
2023-04-13,3175,3215,3060,3120,1499014,-0.0173228346456693
2023-04-14,3170,3650,3135,3405,17794712,0.0913461538461537
2023-04-17,3460,3625,3350,3510,9665622,0.0308370044052863
2023-04-18,3470,3560,3360,3515,4639902,0.0014245014245013
2023-04-19,3475,3480,3380,3395,1672210,-0.0341394025604552
2023-04-20,3385,3420,3235,3250,1554144,-0.0427098674521354
2023-04-21,3225,3330,3135,3145,926264,-0.0323076923076922
2023-04-24,3145,3455,3110,3150,3005010,0.0015898251192367
2023-04-25,3105,3155,2985,3040,1057926,-0.0349206349206349
2023-04-26,2995,3060,2940,2970,577678,-0.0230263157894736
2023-04-27,2970,3085,2970,3010,562332,0.0134680134680134
2023-04-28,3010,3080,2930,2965,848920,-0.0149501661129568
2023-05-02,2970,3065,2950,3040,555354,0.0252951096121416
2023-05-03,2980,3095,2980,3040,686560,0.0
2023-05-04,3075,3155,3045,3075,777350,0.0115131578947369
2023-05-08,3080,3125,3035,3050,615204,-0.008130081300813
2023-05-09,3070,3095,2960,2970,493762,-0.0262295081967213
2023-05-10,2945,3000,2865,2870,681802,-0.0336700336700336
2023-05-11,2840,2920,2805,2825,598998,-0.0156794425087107
2023-05-12,2825,2845,2760,2810,377866,-0.0053097345132743
2023-05-15,2765,2800,2730,2765,309378,-0.0160142348754448
2023-05-16,2815,2945,2810,2860,723444,0.0343580470162747
2023-05-17,2850,2890,2850,2875,306776,0.0052447552447552
2023-05-18,2860,2940,2815,2815,404958,-0.0208695652173912
2023-05-19,2820,2845,2795,2820,351336,0.0017761989342806
2023-05-22,2835,2900,2820,2885,378980,0.0230496453900708
2023-05-23,2885,3280,2860,3110,8220024,0.0779896013864818
2023-05-24,3155,3200,3075,3140,2032168,0.0096463022508037
2023-05-25,3155,3185,3065,3065,1224716,-0.0238853503184713
2023-05-26,3065,3090,3000,3000,653950,-0.0212071778140293
2023-05-30,3000,3030,2960,3000,473282,0.0
2023-05-31,2965,3020,2965,2985,413530,-0.005
2023-06-01,3000,3105,2990,3040,886812,0.0184254606365159
2023-06-02,3050,3110,3025,3075,703626,0.0115131578947369
2023-06-05,3075,3110,3035,3095,471926,0.0065040650406504
2023-06-07,3095,3115,3015,3035,470934,-0.0193861066235864
2023-06-08,3025,3035,2990,2995,297960,-0.0131795716639209
2023-06-09,2995,3100,2995,3085,512912,0.0300500834724541
2023-06-12,3095,3115,3050,3090,431800,0.0016207455429497
2023-06-13,3090,3165,3075,3135,782014,0.0145631067961164
2023-06-14,3140,3145,3025,3050,429698,-0.0271132376395534
2023-06-15,3075,3085,3010,3035,275988,-0.0049180327868852
2023-06-16,3040,3110,3040,3050,328262,0.0049423393739702
2023-06-19,3070,3095,3025,3095,314372,0.0147540983606557
2023-06-20,3095,3150,3075,3145,535160,0.0161550888529886
2023-06-21,3175,3395,3155,3200,3339348,0.0174880763116056
2023-06-22,3180,3280,3135,3270,937814,0.021875
2023-06-23,3300,3445,3250,3320,1662470,0.0152905198776758
2023-06-26,3330,3455,3300,3420,1641138,0.0301204819277107
2023-06-27,3470,3600,3355,3425,3343160,0.0014619883040936
2023-06-28,3450,3595,3395,3570,2998786,0.0423357664233576
2023-06-29,3535,3600,3480,3540,1324750,-0.0084033613445377
2023-06-30,3510,3610,3510,3575,1261498,0.0098870056497175
2023-07-03,3565,3620,3410,3550,2065342,-0.0069930069930069
2023-07-04,3550,3550,3420,3435,981060,-0.032394366197183
2023-07-05,3420,3485,3405,3445,734888,0.0029112081513829
2023-07-06,3450,3860,3450,3660,12355114,0.0624092888243832
2023-07-07,3720,4225,3690,4100,21522010,0.1202185792349725
2023-07-10,4025,4234,4005,4095,5800688,-0.0012195121951219
2023-07-11,4140,4430,4105,4250,7267268,0.0378510378510379
2023-07-12,4250,4400,4210,4320,3912384,0.016470588235294
2023-07-13,4370,4390,4175,4250,2654690,-0.0162037037037037
2023-07-14,4305,4450,4260,4395,3196370,0.0341176470588235
2023-07-17,4390,4430,4070,4165,3060752,-0.0523321956769056
2023-07-18,4135,4260,4105,4175,2053608,0.0024009603841537
2023-07-19,4275,4630,4200,4515,12683262,0.0814371257485029
2023-07-20,4450,4625,4300,4535,4515298,0.0044296788482836
2023-07-21,4500,4870,4500,4780,9150460,0.054024255788313
2023-07-24,4795,4940,4540,4915,5672810,0.0282426778242677
2023-07-25,4830,5250,4645,4945,10352784,0.0061037639877925
2023-07-26,4830,4855,4350,4750,5955070,-0.0394337714863498
2023-07-27,4730,4820,4260,4300,6541768,-0.0947368421052631
2023-07-28,4295,4810,4295,4610,5851390,0.0720930232558139
2023-07-31,4625,4710,4425,4460,2370724,-0.0325379609544468
2023-08-01,4525,4585,4435,4475,1936462,0.0033632286995515
2023-08-02,4540,4780,4435,4460,3647766,-0.0033519553072626
2023-08-03,4460,5335,4365,4965,26478078,0.1132286995515694
2023-08-04,5105,5195,4490,4495,10483376,-0.094662638469285
2023-08-07,4940,5270,4470,4480,6434962,-0.0033370411568409
2023-08-08,4485,4975,4475,4780,4385357,0.0669642857142858
2023-08-09,4805,6180,4805,6050,24126639,0.2656903765690377
2023-08-10,5930,6050,5560,5600,4550925,-0.0743801652892561
2023-08-11,5600,5810,5400,5420,3488842,-0.0321428571428571
2023-08-14,5420,5510,5240,5360,1780357,-0.0110701107011069
2023-08-16,5420,5800,5420,5680,5471249,0.0597014925373133
2023-08-17,5710,5790,5230,5280,2198207,-0.0704225352112676
2023-08-18,5360,5440,4945,5060,2424152,-0.0416666666666666
2023-08-21,5060,5220,4990,5020,1041649,-0.0079051383399209
2023-08-22,5060,5400,4995,5240,2989844,0.043824701195219
2023-08-23,6020,6500,5240,5270,24017663,0.0057251908396946
2023-08-24,5020,5370,5020,5070,4860898,-0.0379506641366224
2023-08-25,5020,5130,4765,4830,2808958,-0.0473372781065088
2023-08-28,4700,5090,4545,4980,7498607,0.0310559006211179
2023-08-29,4985,5480,4925,5290,11159561,0.0622489959839358
2023-08-30,5800,5900,5370,5400,14244107,0.0207939508506616
2023-08-31,5400,6120,5350,5780,30158925,0.0703703703703704
2023-09-01,5680,5850,5530,5790,5804358,0.0017301038062282
2023-09-04,5890,5940,5630,5730,3649007,-0.0103626943005181
2023-09-05,5790,5860,5520,5790,3881863,0.0104712041884815
2023-09-06,5800,6440,5700,6100,31160526,0.0535405872193437
2023-09-07,5960,6270,5890,5950,5994399,-0.0245901639344262
2023-09-08,5910,5950,5550,5590,8524662,-0.0605042016806722
2023-09-11,5810,6000,5730,5830,5991502,0.0429338103756709
2023-09-12,5840,5850,5290,5500,4846607,-0.0566037735849056
2023-09-13,5400,6280,5220,5350,26862464,-0.0272727272727272
2023-09-14,5480,5510,5310,5380,3118360,0.005607476635514
2023-09-15,5540,5790,5470,5540,7370318,0.0297397769516729
2023-09-18,5490,5610,5390,5450,2272193,-0.0162454873646209
2023-09-19,5450,5530,5330,5410,2032722,-0.0073394495412844
2023-09-20,5410,5420,5030,5080,3087304,-0.0609981515711645
2023-09-21,5150,5400,4900,4920,3744578,-0.031496062992126
2023-09-22,4830,5040,4830,4830,2145490,-0.0182926829268292
2023-09-25,4810,4845,4600,4630,2105115,-0.041407867494824
2023-09-26,4690,4735,4500,4540,1892433,-0.019438444924406
2023-09-27,4510,4700,4450,4645,2247726,0.0231277533039646
2023-10-04,4605,4620,4430,4445,1432816,-0.0430570505920344
2023-10-05,4515,4565,4335,4385,1157616,-0.0134983127109111
2023-10-06,4300,4525,4300,4450,1149742,0.0148232611174459
2023-10-10,4460,4540,4230,4245,1260395,-0.0460674157303371
2023-10-11,4295,4425,4260,4295,1474957,0.0117785630153122
2023-10-12,4280,4455,4275,4380,1293654,0.019790454016298
2023-10-13,4375,4375,4240,4325,1110153,-0.0125570776255707
2023-10-16,4250,4250,3960,4085,2982134,-0.0554913294797687
2023-10-17,4090,4170,3970,4020,2020527,-0.0159118727050183
2023-10-18,3975,4090,3880,3915,1549954,-0.0261194029850746
2023-10-19,3850,3905,3650,3670,2405728,-0.0625798212005108
2023-10-20,3655,3700,3445,3520,2661909,-0.0408719346049046
2023-10-23,3470,3605,3470,3485,1575596,-0.0099431818181817
2023-10-24,3525,3565,3345,3515,1659468,0.0086083213773313
2023-10-25,3610,3650,3455,3520,1271737,0.0014224751066855
2023-10-26,3400,3480,3315,3325,1298697,-0.0553977272727272
2023-10-27,3360,3645,3290,3430,4576539,0.0315789473684211
2023-10-30,3385,3550,3365,3435,1401887,0.0014577259475219
2023-10-31,3455,3480,3280,3280,1091025,-0.0451237263464338
2023-11-01,3315,3605,3315,3495,3772454,0.0655487804878047
2023-11-02,3740,3740,3510,3615,3759293,0.0343347639484978
2023-11-03,3645,3650,3505,3555,1220812,-0.016597510373444
2023-11-06,3610,3685,3525,3685,1931247,0.0365682137834035
2023-11-07,3820,4200,3655,3655,15542211,-0.0081411126187245
2023-11-08,3640,3670,3460,3475,2625619,-0.0492476060191519
2023-11-09,3485,3510,3385,3395,1435573,-0.0230215827338129
2023-11-10,3385,3440,3365,3375,1017822,-0.0058910162002945
2023-11-13,3400,3445,3220,3220,1574512,-0.0459259259259259
2023-11-14,3220,3375,3220,3345,1204493,0.0388198757763975
2023-11-15,3385,3560,3385,3530,1844640,0.0553064275037369
2023-11-16,3590,3630,3515,3605,1363819,0.0212464589235128
2023-11-17,3625,3775,3510,3650,2547608,0.0124826629680998
2023-11-20,3640,4105,3565,3835,10277889,0.0506849315068493
2023-11-21,3795,4080,3735,4050,9178682,0.0560625814863102
2023-11-22,4000,4220,3915,4040,9532536,-0.0024691358024691
2023-11-23,3985,4050,3925,3950,2312459,-0.0222772277227722
2023-11-24,4080,4160,3960,4130,5275592,0.0455696202531645
2023-11-27,4115,4115,3940,3950,2230700,-0.0435835351089588
2023-11-28,3900,4015,3890,3945,1338981,-0.0012658227848101
2023-11-29,3955,4000,3815,3885,1666962,-0.0152091254752851
2023-11-30,3930,4075,3920,4075,2723582,0.0489060489060488
2023-12-01,4090,4255,3990,4060,4862214,-0.003680981595092
2023-12-04,4060,4110,3915,3930,1665886,-0.0320197044334975
