Date,Open,High,Low,Close,Volume,Change
2013-09-16,7280,7480,7240,7300,36101,
2013-09-17,7320,7410,7250,7370,13400,0.0095890410958903
2013-09-23,7300,7530,7300,7450,26094,0.010854816824966
2013-09-24,7500,7680,7450,7680,30763,0.0308724832214766
2013-09-25,7700,7700,7530,7620,16046,-0.0078125
2013-09-26,7620,7650,7550,7630,21460,0.0013123359580051
2013-09-27,7800,7800,7560,7670,15274,0.0052424639580603
2013-09-30,7680,7680,7470,7620,23371,-0.0065189048239895
2013-10-01,7700,7700,7470,7600,37237,-0.0026246719160104
2013-10-02,7640,7760,7540,7740,28489,0.0184210526315788
2013-10-04,7740,7740,7570,7680,12101,-0.0077519379844961
2013-10-07,7730,7730,7450,7510,19503,-0.0221354166666666
2013-10-08,7650,7650,7390,7450,23940,-0.0079893475366178
2013-10-10,7550,7550,7340,7350,22400,-0.0134228187919462
2013-10-11,7480,7480,7290,7350,19532,0.0
2013-10-14,7450,7450,7240,7300,9551,-0.0068027210884353
2013-10-15,7300,7450,7170,7210,20560,-0.0123287671232876
2013-10-16,7210,7220,7080,7080,23731,-0.0180305131761442
2013-10-17,7150,7190,6910,6990,219578,-0.0127118644067796
2013-10-18,7050,7180,6970,7000,54142,0.0014306151645206
2013-10-21,7050,7070,6980,7000,19581,0.0
2013-10-22,7000,7200,7000,7190,9040,0.0271428571428571
2013-10-23,7150,7300,7070,7280,16731,0.0125173852573017
2013-10-24,7170,7300,7170,7230,26690,-0.0068681318681318
2013-10-25,7230,7340,7170,7210,32372,-0.0027662517289073
2013-10-28,7270,7270,7170,7200,23220,-0.001386962552011
2013-10-29,7200,7350,7200,7350,43942,0.0208333333333332
2013-10-30,7300,7470,7250,7470,27149,0.0163265306122448
2013-10-31,7440,7500,7350,7470,37963,0.0
2013-11-01,7360,7510,7360,7450,26662,-0.0026773761713521
2013-11-04,7500,7540,7360,7500,22143,0.0067114093959732
2013-11-05,7400,7550,7380,7500,18944,0.0
2013-11-06,7500,7550,7410,7500,14078,0.0
2013-11-07,7430,7500,7410,7480,13957,-0.0026666666666667
2013-11-08,7500,7500,7320,7380,15980,-0.0133689839572193
2013-11-11,7340,7420,7150,7240,26920,-0.018970189701897
2013-11-12,7220,7290,7180,7240,6030,0.0
2013-11-13,7240,7300,7180,7300,9057,0.0082872928176795
2013-11-14,7200,7300,7200,7210,7570,-0.0123287671232876
2013-11-15,7300,7300,7180,7210,18410,0.0
2013-11-18,7200,7450,7200,7390,40921,0.0249653259361997
2013-11-19,7430,7580,7370,7450,42640,0.0081190798376185
2013-11-20,7410,7540,7350,7500,63040,0.0067114093959732
2013-11-21,7510,7510,7390,7500,23420,0.0
2013-11-22,7510,7680,7500,7650,24541,0.02
2013-11-25,7650,7710,7590,7600,12030,-0.0065359477124182
2013-11-26,7550,7690,7500,7580,29480,-0.0026315789473684
2013-11-27,7510,7610,7510,7600,13570,0.0026385224274405
2013-11-28,7510,7700,7510,7700,22547,0.013157894736842
2013-11-29,7700,7900,7690,7900,50054,0.0259740259740259
2013-12-02,7950,7970,7790,7850,28020,-0.0063291139240506
2013-12-03,7860,7860,7700,7750,14930,-0.0127388535031847
2013-12-04,7660,7890,7660,7850,11040,0.0129032258064516
2013-12-05,7850,7910,7700,7900,20060,0.0063694267515923
2013-12-06,7810,7910,7810,7890,12340,-0.0012658227848101
2013-12-09,7830,8070,7830,8010,28972,0.015209125475285
2013-12-10,8010,8040,7870,7950,8710,-0.0074906367041198
2013-12-11,7950,8100,7900,7980,34546,0.0037735849056603
2013-12-12,7890,8040,7870,8000,9430,0.0025062656641603
2013-12-13,8000,8070,7900,7950,15860,-0.0062499999999999
2013-12-16,8050,8110,7950,8000,38380,0.0062893081761006
2013-12-17,8050,8270,8030,8160,53081,0.02
2013-12-18,8170,8310,8100,8260,29008,0.0122549019607842
2013-12-19,8280,8340,8180,8180,16860,-0.009685230024213
2013-12-20,8280,8450,8230,8440,31769,0.0317848410757946
2013-12-23,8490,8540,8330,8350,22842,-0.0106635071090047
2013-12-24,8500,8500,8360,8360,11730,0.0011976047904191
2013-12-26,8400,8400,8180,8220,17878,-0.0167464114832536
2013-12-27,8150,8490,8150,8400,16571,0.0218978102189781
2013-12-30,8550,8550,8280,8320,9440,-0.0095238095238094
2014-01-02,8310,8450,8230,8300,9911,-0.0024038461538461
2014-01-03,8250,8390,8250,8360,8603,0.0072289156626506
2014-01-06,8370,8370,8180,8220,8060,-0.0167464114832536
2014-01-07,8250,8250,8100,8100,15495,-0.0145985401459853
2014-01-08,8230,8230,8050,8150,7140,0.0061728395061728
2014-01-09,8050,8170,8050,8170,15560,0.0024539877300613
2014-01-10,8190,8230,8060,8170,6835,0.0
2014-01-13,8240,8250,8100,8150,17080,-0.0024479804161566
2014-01-14,8250,8290,8150,8180,9430,0.003680981595092
2014-01-15,8290,8310,8100,8230,28150,0.0061124694376528
2014-01-16,8140,8250,8100,8250,14674,0.0024301336573511
2014-01-17,8210,8210,8020,8130,33551,-0.0145454545454545
2014-01-20,8130,8230,8000,8130,7525,0.0
2014-01-21,8220,8220,8020,8110,11555,-0.0024600246002459
2014-01-22,8140,8150,7990,8090,25382,-0.0024660912453761
2014-01-23,8090,8200,7980,8070,14971,-0.0024721878862793
2014-01-24,8070,8170,7990,8070,13791,0.0
2014-01-27,8010,8010,7830,7980,9510,-0.0111524163568773
2014-01-28,7950,8000,7850,7980,7011,0.0
2014-01-29,8000,8150,7950,8070,18161,0.0112781954887217
2014-02-03,8050,8220,7950,8110,37291,0.0049566294919454
2014-02-04,8080,8190,8000,8120,40222,0.0012330456226881
2014-02-05,8090,8200,8090,8170,14548,0.0061576354679802
2014-02-06,8270,8270,8140,8240,20698,0.0085679314565483
2014-02-07,8280,8750,8160,8720,43954,0.0582524271844659
2014-02-10,8910,8910,8650,8730,32727,0.0011467889908256
2014-02-11,8690,8750,8610,8700,19820,-0.0034364261168384
2014-02-12,8600,8860,8600,8770,10750,0.0080459770114942
2014-02-13,8720,8790,8700,8780,8978,0.001140250855188
2014-02-14,8780,8780,8560,8690,7260,-0.010250569476082
2014-02-17,8600,8810,8600,8640,26943,-0.005753739930955
2014-02-18,8640,9150,8500,9000,78378,0.0416666666666667
2014-02-19,9010,9500,8910,9460,72313,0.0511111111111111
2014-02-20,9460,9690,9330,9550,66799,0.0095137420718816
2014-02-21,9600,9600,9200,9200,40486,-0.0366492146596858
2014-02-24,9200,9210,8950,8950,30200,-0.0271739130434782
2014-02-25,9000,9100,8870,8960,7518,0.0011173184357542
2014-02-26,8940,9010,8660,8730,44020,-0.0256696428571429
2014-02-27,8730,8880,8670,8870,26525,0.0160366552119128
2014-02-28,8830,8960,8680,8850,22584,-0.0022547914317925
2014-03-03,8850,8850,8500,8650,21166,-0.0225988700564971
2014-03-04,8580,8620,8410,8510,21947,-0.0161849710982658
2014-03-05,8540,8610,8420,8600,23001,0.0105757931844887
2014-03-06,8600,9890,8580,9700,165964,0.127906976744186
2014-03-07,9600,10250,9350,9380,265199,-0.0329896907216494
2014-03-10,9500,10050,9320,9650,260508,0.0287846481876332
2014-03-11,9700,11050,9510,10900,689690,0.1295336787564767
2014-03-12,10700,11300,10600,10950,334848,0.0045871559633028
