Date,Open,High,Low,Close,Volume,Change
2019-06-18,2350,2350,2255,2290,94540,-0.023454157782516027
2019-06-19,2305,2365,2280,2295,45338,0.0021834061135370675
2019-06-20,2330,2920,2300,2635,11722465,0.14814814814814814
2019-06-21,2595,2615,2520,2585,1376831,-0.018975332068311146
2019-06-24,2570,2585,2465,2490,654397,-0.03675048355899424
2019-06-25,2450,2475,2400,2475,477726,-0.0060240963855421326
2019-06-26,2435,2475,2435,2450,158830,-0.010101010101010055
2019-06-27,2420,2450,2370,2370,201238,-0.03265306122448974
2019-06-28,2370,2600,2365,2375,1720901,0.0021097046413502962
2019-07-01,2355,2410,2330,2335,235777,-0.01684210526315788
2019-07-02,2320,2420,2275,2395,195606,0.025695931477516032
2019-07-03,2380,2520,2365,2480,432238,0.035490605427974886
2019-07-04,2480,2540,2440,2490,256918,0.0040322580645162365
2019-07-05,2485,2530,2440,2490,144805,0.0
2019-07-08,2525,2695,2330,2350,1464115,-0.05622489959839361
2019-07-09,2335,2380,2210,2215,303412,-0.057446808510638325
2019-07-10,2210,2330,2210,2275,118692,0.02708803611738153
2019-07-11,2320,2335,2275,2315,84362,0.01758241758241752
2019-07-12,2315,2390,2285,2345,83816,0.012958963282937441
2019-07-15,2345,2345,2265,2310,72217,-0.014925373134328401
2019-07-16,2315,2340,2225,2295,89074,-0.00649350649350644
2019-07-17,2275,2320,2240,2280,75125,-0.006535947712418277
2019-07-18,2270,2395,2250,2345,111355,0.028508771929824483
2019-07-19,2390,2470,2370,2400,264842,0.023454157782516027
2019-07-22,2455,2455,2385,2410,48333,0.004166666666666652
2019-07-23,2390,2460,2360,2380,82603,-0.012448132780082943
2019-07-24,2380,2395,2295,2320,71387,-0.025210084033613467
2019-07-25,2295,2340,2195,2270,98320,-0.02155172413793105
2019-07-26,2250,2260,2150,2200,67494,-0.03083700440528636
2019-07-29,2180,2195,2050,2050,104331,-0.06818181818181823
2019-07-30,2000,2115,2000,2080,54037,0.014634146341463428
2019-07-31,2045,2130,2040,2125,35116,0.02163461538461542
2019-08-01,2125,2175,2085,2110,44777,-0.007058823529411784
2019-08-02,2110,2155,2045,2070,42853,-0.018957345971563955
2019-08-05,2090,2100,1795,1900,180304,-0.08212560386473433
2019-08-06,1800,1920,1775,1800,137056,-0.052631578947368474
2019-08-07,1750,1870,1750,1830,115040,0.016666666666666607
2019-08-08,1880,1970,1845,1955,86578,0.06830601092896171
2019-08-09,1980,2020,1965,2005,32128,0.025575447570332477
2019-08-12,1975,2050,1975,2025,21964,0.009975062344139696
2019-08-13,2040,2050,1990,2025,66507,0.0
2019-08-14,2050,2055,1980,1990,99975,-0.01728395061728394
2019-08-16,1990,1990,1835,1900,121288,-0.045226130653266305
2019-08-19,1895,1960,1895,1950,28401,0.026315789473684292
2019-08-20,1960,2010,1950,2000,31616,0.02564102564102555
2019-08-21,2015,2035,1955,2035,29689,0.01750000000000007
2019-08-22,2035,2035,1975,2005,34654,-0.014742014742014753
2019-08-23,2025,2025,1945,1980,50165,-0.012468827930174564
2019-08-26,1900,2010,1820,1830,156889,-0.0757575757575758
2019-08-27,1830,1920,1830,1830,43941,0.0
2019-08-28,1830,1915,1830,1915,37737,0.04644808743169393
2019-08-29,1930,1930,1860,1890,19787,-0.01305483028720622
2019-08-30,1930,1960,1890,1940,35524,0.02645502645502651
2019-09-02,1965,1985,1920,1970,40495,0.015463917525773141
2019-09-03,1970,2045,1960,2045,88417,0.038071065989847774
2019-09-04,2010,2025,1980,2000,61969,-0.022004889975550168
2019-09-05,2010,2060,2000,2020,61021,0.010000000000000009
2019-09-06,2045,2075,1985,2025,49219,0.0024752475247524774
2019-09-09,1990,2025,1965,1980,27928,-0.022222222222222254
2019-09-10,1980,2025,1950,1970,42259,-0.005050505050505083
2019-09-11,1970,2000,1965,2000,74517,0.015228426395939021
2019-09-16,2020,2030,1985,2005,57371,0.0024999999999999467
2019-09-17,2250,2280,2090,2090,1185954,0.04239401496259343
2019-09-18,2065,2150,2060,2080,161209,-0.004784688995215336
2019-09-19,2095,2130,2070,2110,125948,0.014423076923076872
2019-09-20,2100,2130,2085,2090,48413,-0.009478672985781977
2019-09-23,2130,2130,2065,2095,45124,0.0023923444976077235
2019-09-24,2080,2125,2060,2090,66519,-0.0023866348448687846
2019-09-25,2090,2105,2015,2035,64214,-0.02631578947368418
2019-09-26,2055,2085,1960,1985,75216,-0.02457002457002455
2019-09-27,2010,2010,1925,1965,40453,-0.010075566750629705
2019-09-30,1965,1985,1895,1910,38271,-0.027989821882951627
2019-10-01,1890,1930,1880,1905,28464,-0.002617801047120394
2019-10-02,1890,1910,1865,1900,41027,-0.002624671916010457
2019-10-04,1890,1900,1835,1890,58111,-0.0052631578947368585
2019-10-07,1890,1890,1840,1865,43834,-0.013227513227513255
2019-10-08,1835,1875,1820,1870,46185,0.002680965147453085
2019-10-10,1855,1875,1840,1865,24539,-0.002673796791443861
2019-10-11,1860,2420,1835,2045,6822259,0.09651474530831106
2019-10-14,2000,2080,1970,2030,868738,-0.007334963325183352
2019-10-15,2015,2060,1955,1985,857204,-0.022167487684729092
2019-10-16,2450,2580,2145,2160,11375005,0.08816120906801017
2019-10-17,2115,2150,2050,2125,1491501,-0.01620370370370372
2019-10-18,2370,2575,2150,2205,11406312,0.03764705882352937
2019-10-21,2170,2525,2140,2355,5506604,0.06802721088435382
2019-10-22,2330,2400,2270,2355,1027869,0.0
2019-10-23,2315,2445,2310,2420,1412779,0.027600849256900206
2019-10-24,2400,2450,2335,2340,855151,-0.03305785123966942
2019-10-25,2335,2370,2275,2280,317976,-0.02564102564102566
2019-10-28,2320,2320,2245,2260,275073,-0.00877192982456143
2019-10-29,2250,2295,2215,2295,178288,0.015486725663716783
2019-10-30,2285,2385,2260,2265,282988,-0.013071895424836555
2019-10-31,2285,2315,2235,2290,132271,0.011037527593819041
2019-11-01,2270,2290,2210,2210,267521,-0.03493449781659386
2019-11-04,2220,2330,2220,2325,229723,0.05203619909502266
2019-11-05,2320,2350,2245,2300,254510,-0.010752688172043001
2019-11-06,2295,2355,2295,2340,186129,0.017391304347825987
2019-11-07,2320,2350,2290,2290,123201,-0.021367521367521403
2019-11-08,2320,2320,2260,2260,166023,-0.013100436681222738
2019-11-11,2295,2310,2250,2305,87882,0.019911504424778848
2019-11-12,2270,2300,2255,2265,110991,-0.017353579175705014
2019-11-13,2285,2295,2255,2265,62810,0.0
2019-11-14,2245,2285,2195,2220,147948,-0.019867549668874163
2019-11-15,2245,2255,2175,2175,143370,-0.020270270270270285
2019-11-18,2200,2260,2150,2250,86800,0.034482758620689724
2019-11-19,2250,2260,2215,2215,44243,-0.015555555555555545
2019-11-20,2215,2240,2150,2175,105744,-0.018058690744920947
2019-11-21,2160,2205,2050,2050,308237,-0.05747126436781613
2019-11-22,2035,2110,2035,2040,90498,-0.004878048780487809
2019-11-25,2040,2100,2040,2095,28055,0.026960784313725394
2019-11-26,2095,2140,2080,2130,55083,0.01670644391408116
2019-11-27,2145,2230,2125,2150,61688,0.009389671361502261
2019-11-28,2140,2175,2095,2100,38797,-0.023255813953488413
2019-11-29,2100,2135,2060,2060,75369,-0.01904761904761909
2019-12-02,2085,2120,2050,2055,23301,-0.0024271844660194164
2019-12-03,2030,2120,1980,2040,35039,-0.007299270072992692
2019-12-04,2035,2070,1980,2005,59399,-0.01715686274509809
2019-12-05,2010,2035,1905,1905,106561,-0.04987531172069826
2019-12-06,1885,2005,1885,2000,77646,0.04986876640419946
2019-12-09,1990,2010,1960,1990,27687,-0.0050000000000000044
2019-12-10,1995,2015,1950,1980,43469,-0.005025125628140725
2019-12-11,2015,2070,1930,1955,50167,-0.012626262626262652
2019-12-12,1955,2025,1955,2015,26514,0.03069053708439906
2019-12-13,2035,2065,1995,2060,29327,0.022332506203474045
2019-12-16,2075,2080,2025,2060,44754,0.0
2019-12-17,2065,2095,2040,2050,1292066,-0.004854368932038833
2019-12-18,2050,2100,1990,2005,66662,-0.02195121951219514
2019-12-19,2015,2030,1990,2010,25874,0.0024937655860348684
2019-12-20,2010,2050,1970,2050,91488,0.01990049751243772
2019-12-23,2050,2050,1990,2000,35995,-0.024390243902439046
2019-12-24,2000,2035,1965,1970,37956,-0.015000000000000013
2019-12-26,1910,1990,1910,1960,55022,-0.005076142131979711
2019-12-27,1960,1980,1920,1950,66287,-0.005102040816326481
2019-12-30,1950,2030,1940,2010,56778,0.03076923076923066
2020-01-02,1990,2100,1985,2070,73472,0.029850746268656803
2020-01-03,2015,2060,2015,2020,111923,-0.024154589371980673
2020-01-06,1980,2090,1945,1970,83141,-0.024752475247524774
2020-01-07,1960,2020,1960,2010,39324,0.020304568527918843
2020-01-08,2010,2030,1900,1910,143784,-0.04975124378109452
2020-01-09,1930,1990,1915,1945,91399,0.018324607329842868
2020-01-10,1910,1945,1895,1925,297322,-0.010282776349614386
2020-01-13,1925,1945,1910,1925,53296,0.0
2020-01-14,1905,1950,1905,1930,60899,0.0025974025974024872
2020-01-15,1930,2175,1915,2010,664340,0.041450777202072464
2020-01-16,2010,2105,1980,2040,350145,0.014925373134328401
2020-01-17,2045,2085,2010,2050,63891,0.004901960784313708
2020-01-20,2045,2080,2005,2025,67462,-0.012195121951219523
2020-01-21,1940,2020,1940,1990,129528,-0.01728395061728394
2020-01-22,1990,2030,1980,2020,69958,0.015075376884422065
2020-01-23,2020,2020,1975,2010,36705,-0.004950495049504955
2020-01-28,1920,1985,1905,1965,63763,-0.02238805970149249
2020-01-29,1950,1970,1915,1920,48216,-0.022900763358778664
2020-01-30,1865,1920,1800,1870,316419,-0.02604166666666663
2020-01-31,1845,1865,1805,1830,93703,-0.021390374331550777
2020-02-03,1795,1900,1790,1825,51195,-0.002732240437158473
2020-02-04,1750,1860,1750,1845,71488,0.010958904109588996
2020-02-05,1870,1870,1835,1855,24153,0.005420054200542035
2020-02-06,1835,1920,1835,1880,40344,0.013477088948786964
2020-02-07,1885,1915,1860,1885,23933,0.0026595744680850686
2020-02-10,1930,1930,1860,1870,9943,-0.007957559681697646
2020-02-11,1870,1880,1835,1865,36109,-0.002673796791443861
2020-02-12,1865,1915,1845,1875,57738,0.00536193029490617
2020-02-13,1835,1885,1835,1870,35874,-0.002666666666666706
2020-02-14,1870,1920,1800,1860,106045,-0.005347593582887722
2020-02-17,1840,1875,1810,1840,55940,-0.010752688172043001
2020-02-18,1815,1825,1785,1805,61934,-0.01902173913043481
2020-02-19,1785,1820,1760,1805,44019,0.0
2020-02-20,1845,1845,1775,1800,34646,-0.0027700831024930483
2020-02-21,1795,1830,1735,1830,46440,0.016666666666666607
2020-02-24,1725,1800,1725,1730,85638,-0.05464480874316935
2020-02-25,1720,1780,1720,1760,35771,0.01734104046242768
2020-02-26,1720,1745,1690,1720,42839,-0.022727272727272707
2020-02-27,1720,1730,1615,1650,84331,-0.04069767441860461
2020-02-28,1600,1645,1470,1505,153911,-0.08787878787878789
2020-03-02,1460,1485,1395,1410,222011,-0.06312292358803984
2020-03-03,1400,1440,1375,1405,219008,-0.0035460992907800915
2020-03-04,1395,1430,1360,1385,226473,-0.014234875444839812
2020-03-05,1395,1445,1380,1445,137251,0.04332129963898912
2020-03-06,1430,1445,1385,1410,40788,-0.02422145328719727
2020-03-09,1385,1400,1295,1310,106864,-0.07092198581560283
2020-03-10,1300,1355,1260,1315,63996,0.003816793893129722
2020-03-11,1355,1355,1255,1265,85386,-0.03802281368821292
2020-03-12,1250,1260,1160,1240,114191,-0.01976284584980237
2020-03-13,992,1125,992,1095,213814,-0.11693548387096775
2020-03-16,1085,1145,981,1020,89191,-0.06849315068493156
2020-03-17,901,1035,901,1010,104422,-0.009803921568627416
2020-03-18,1005,1060,877,877,134340,-0.1316831683168317
2020-03-19,877,945,660,697,182268,-0.20524515393386544
2020-03-20,628,765,628,765,474277,0.09756097560975618
2020-03-23,677,724,640,670,194786,-0.12418300653594772
2020-03-24,672,718,670,695,167327,0.03731343283582089
2020-03-25,715,758,700,750,176133,0.07913669064748197
2020-03-26,756,827,733,820,150614,0.09333333333333327
2020-03-27,836,920,834,884,153638,0.07804878048780495
2020-03-30,866,880,825,880,65275,-0.004524886877828038
2020-03-31,890,944,880,939,91907,0.06704545454545463
2020-04-01,939,1020,921,973,147117,0.03620873269435565
2020-04-02,975,995,950,986,26513,0.013360739979445091
2020-04-03,987,1045,980,1040,98916,0.05476673427991896
2020-04-06,1040,1050,998,1030,131146,-0.009615384615384581
2020-04-07,1085,1085,1035,1070,80135,0.03883495145631066
2020-04-08,1065,1140,1040,1125,101374,0.051401869158878455
2020-04-09,1125,1310,1125,1140,368383,0.01333333333333342
2020-04-10,1155,1190,1070,1180,90529,0.03508771929824572
2020-04-13,1180,1215,1140,1150,71608,-0.025423728813559365
2020-04-14,1150,1200,1150,1170,43561,0.017391304347825987
2020-04-16,1170,1195,1135,1160,53191,-0.008547008547008517
2020-04-17,1215,1215,1155,1175,75905,0.012931034482758674
2020-04-20,1175,1215,1145,1200,136976,0.02127659574468077
2020-04-21,1205,1245,1110,1195,135287,-0.004166666666666652
2020-04-22,1185,1200,1150,1200,46611,0.004184100418409997
2020-04-23,1220,1260,1190,1250,144426,0.04166666666666674
2020-04-24,1250,1260,1205,1220,88418,-0.02400000000000002
2020-04-27,1225,1265,1225,1230,57936,0.008196721311475308
2020-04-28,1250,1270,1230,1260,47509,0.024390243902439046
2020-04-29,1265,1280,1240,1240,57105,-0.015873015873015928
2020-05-04,1240,1260,1220,1255,27498,0.012096774193548487
2020-05-06,1260,1285,1235,1245,90475,-0.007968127490039834
2020-05-07,1260,1300,1250,1265,65124,0.016064257028112428
2020-05-08,1265,1320,1255,1290,69161,0.01976284584980248
2020-05-11,1290,1345,1275,1285,115251,-0.003875968992248069
2020-05-12,1300,1640,1255,1385,7488817,0.0778210116731517
2020-05-13,1395,1440,1355,1420,1033326,0.025270758122743597
2020-05-14,1385,1400,1350,1350,299814,-0.04929577464788737
2020-05-15,1340,1365,1280,1305,309890,-0.033333333333333326
2020-05-18,1305,1305,1250,1290,107391,-0.011494252873563204
2020-05-19,1305,1315,1270,1305,89767,0.011627906976744207
2020-05-20,1305,1380,1305,1365,288270,0.04597701149425282
