Date,Open,High,Low,Close,Volume,Change
2013-09-16,5080,5090,5050,5090,2056,
2013-09-17,5110,5110,5000,5100,3168,0.0019646365422396
2013-09-23,5100,5100,4995,5060,1201,-0.0078431372549019
2013-09-24,5060,5100,5000,5100,5077,0.0079051383399209
2013-09-25,5100,5120,5030,5080,4808,-0.0039215686274509
2013-09-26,5100,5100,4995,5010,7553,-0.013779527559055
2013-09-27,5100,5100,4995,5070,3992,0.0119760479041917
2013-09-30,5120,5120,4990,5060,2749,-0.0019723865877712
2013-10-01,5060,5060,4985,4985,1934,-0.0148221343873518
2013-10-02,5080,5080,4975,5030,4966,0.0090270812437311
2013-10-04,5070,5100,4985,5080,6287,0.0099403578528827
2013-10-07,5090,5380,5010,5380,84624,0.0590551181102361
2013-10-08,5330,5910,5250,5340,477669,-0.0074349442379182
2013-10-10,5510,5680,5200,5600,384821,0.0486891385767789
2013-10-11,5650,5690,5440,5490,73282,-0.0196428571428571
2013-10-14,5550,5550,5300,5330,94538,-0.0291438979963569
2013-10-15,5450,5720,5330,5710,105820,0.0712945590994371
2013-10-16,5600,5640,5350,5420,563155,-0.0507880910683011
2013-10-17,5580,5750,5500,5650,252821,0.0424354243542435
2013-10-18,5640,5640,5410,5480,81753,-0.0300884955752211
2013-10-21,5550,5600,5330,5400,65291,-0.0145985401459853
2013-10-22,5380,5420,5320,5400,38811,0.0
2013-10-23,5400,5480,5330,5400,51403,0.0
2013-10-24,5420,5420,5270,5320,65814,-0.0148148148148148
2013-10-25,5320,5350,5220,5230,53510,-0.0169172932330826
2013-10-28,5230,5350,5160,5320,40098,0.0172084130019121
2013-10-29,5320,5330,5200,5290,25254,-0.0056390977443608
2013-10-30,5260,5340,5180,5260,49843,-0.0056710775047259
2013-10-31,5270,5300,5160,5160,31989,-0.0190114068441065
2013-11-01,5230,5270,5160,5260,21197,0.0193798449612403
2013-11-04,5290,5290,5190,5210,55161,-0.0095057034220532
2013-11-05,5220,5240,5100,5100,36032,-0.0211132437619961
2013-11-06,5130,5160,5090,5160,20734,0.0117647058823529
2013-11-07,5250,5260,5050,5250,40820,0.0174418604651163
2013-11-08,5240,5290,5120,5120,36590,-0.0247619047619047
2013-11-11,4900,4960,4695,4750,190458,-0.072265625
2013-11-12,4800,4845,4730,4810,46779,0.0126315789473683
2013-11-13,4830,4845,4700,4740,50800,-0.0145530145530144
2013-11-14,4780,4810,4685,4690,37947,-0.010548523206751
2013-11-15,4690,4760,4660,4705,27112,0.0031982942430703
2013-11-18,4710,4835,4710,4770,26944,0.0138150903294367
2013-11-19,4770,4840,4720,4760,13869,-0.0020964360587002
2013-11-20,4760,4800,4700,4750,30368,-0.0021008403361344
2013-11-21,4750,4815,4680,4700,18958,-0.0105263157894737
2013-11-22,4655,4780,4630,4645,22692,-0.0117021276595744
2013-11-25,4700,4700,4605,4675,11063,0.0064585575888052
2013-11-26,4710,4710,4650,4705,10838,0.0064171122994651
2013-11-27,4750,4760,4650,4725,14993,0.004250797024442
2013-11-28,4745,4820,4650,4790,25293,0.0137566137566138
