Date,Open,High,Low,Close,Volume,Change
2013-09-16,1157,1158,1115,1116,798024,
2013-09-17,1104,1125,1095,1110,222788,-0.0053763440860215
2013-09-23,1115,1137,1110,1135,734066,0.0225225225225225
2013-09-24,1133,1166,1129,1148,923934,0.0114537444933919
2013-09-25,1147,1206,1147,1189,2154931,0.0357142857142858
2013-09-26,1194,1208,1170,1185,595195,-0.0033641715727502
2013-09-27,1177,1205,1177,1182,684811,-0.0025316455696202
2013-09-30,1176,1219,1169,1219,678134,0.0313028764805414
2013-10-01,1208,1211,1171,1182,815522,-0.0303527481542247
2013-10-02,1182,1196,1141,1184,956706,0.0016920473773265
2013-10-04,1156,1180,1147,1162,690601,-0.018581081081081
2013-10-07,1162,1198,1156,1182,485157,0.0172117039586918
2013-10-08,1166,1182,1157,1178,395225,-0.0033840947546531
2013-10-10,1148,1171,1148,1153,241732,-0.0212224108658743
2013-10-11,1168,1177,1159,1161,252547,0.0069384215091066
2013-10-14,1170,1171,1154,1172,205234,0.0094745908699396
2013-10-15,1143,1175,1143,1149,178742,-0.0196245733788396
2013-10-16,1164,1164,1129,1133,381535,-0.0139251523063533
2013-10-17,1131,1179,1086,1172,1012194,0.0344218887908207
2013-10-18,1170,1213,1158,1204,775008,0.0273037542662115
2013-10-21,1203,1281,1172,1215,1808007,0.0091362126245846
2013-10-22,1225,1225,1192,1193,450907,-0.0181069958847737
2013-10-23,1203,1203,1141,1149,417615,-0.0368818105616094
2013-10-24,1144,1165,1140,1146,218934,-0.0026109660574412
2013-10-25,1141,1151,1127,1149,237543,0.0026178010471205
2013-10-28,1148,1148,1132,1133,121857,-0.0139251523063533
2013-10-29,1139,1139,1125,1131,276879,-0.0017652250661959
2013-10-30,1130,1165,1125,1165,326628,0.0300618921308577
2013-10-31,1167,1167,1088,1137,1781733,-0.0240343347639484
2013-11-01,1136,1146,1116,1141,265350,0.0035180299032542
2013-11-04,1147,1147,1119,1120,199292,-0.0184049079754601
2013-11-05,1122,1134,1098,1118,432319,-0.0017857142857142
2013-11-06,1116,1118,1088,1108,484392,-0.0089445438282647
2013-11-07,1095,1106,1072,1091,366694,-0.0153429602888086
2013-11-08,1088,1088,1053,1058,385011,-0.0302474793767185
2013-11-11,1055,1072,1030,1051,341766,-0.0066162570888468
2013-11-12,1040,1071,1040,1048,139777,-0.0028544243577545
2013-11-13,1041,1063,1028,1045,84906,-0.0028625954198473
2013-11-14,1045,1068,1028,1048,209434,0.0028708133971291
2013-11-15,1045,1060,1040,1042,161341,-0.0057251908396946
2013-11-18,1042,1052,1002,1049,390923,0.0067178502879079
2013-11-19,1029,1041,1002,1030,361225,-0.0181124880838894
2013-11-20,1028,1034,1012,1027,241686,-0.0029126213592233
2013-11-21,1010,1044,1006,1012,304886,-0.0146056475170399
2013-11-22,1013,1078,1010,1079,858370,0.0662055335968379
2013-11-25,1078,1083,1053,1079,313606,0.0
2013-11-26,1085,1085,1047,1079,184210,0.0
2013-11-27,1072,1082,1062,1079,185734,0.0
2013-11-28,1084,1095,1066,1072,301695,-0.0064874884151993
2013-11-29,1078,1080,1060,1077,174160,0.0046641791044776
2013-12-02,1072,1091,1061,1077,187151,0.0
2013-12-03,1066,1086,1062,1079,128717,0.0018570102135562
2013-12-04,1100,1107,1069,1086,429159,0.0064874884151993
2013-12-05,1068,1086,1068,1086,138223,0.0
2013-12-06,1090,1094,1061,1074,260330,-0.011049723756906
2013-12-09,1072,1078,1051,1056,173558,-0.0167597765363128
2013-12-10,1031,1074,1022,1044,209516,-0.0113636363636363
2013-12-11,1029,1043,1017,1018,170424,-0.0249042145593869
2013-12-12,1003,1021,990,1008,222370,-0.0098231827111984
2013-12-13,1002,1015,972,980,314784,-0.0277777777777777
2013-12-16,969,978,915,918,692395,-0.0632653061224489
2013-12-17,907,926,829,833,1213153,-0.0925925925925925
2013-12-18,831,876,830,857,630021,0.0288115246098439
2013-12-19,849,875,846,849,308127,-0.0093348891481913
2013-12-20,835,856,823,835,451376,-0.0164899882214369
2013-12-23,827,840,791,819,864776,-0.0191616766467065
