Date,Open,High,Low,Close,Volume,Change
2023-04-04,3350,3425,3345,3345,438211,0.0
2023-04-05,3330,3345,3285,3315,416489,-0.008968609865470878
2023-04-06,3395,3430,3270,3300,760079,-0.004524886877828038
2023-04-07,3315,3415,3310,3395,599256,0.028787878787878807
2023-04-10,3420,3420,3195,3235,1065906,-0.04712812960235646
2023-04-11,3200,3275,3120,3265,567837,0.009273570324574987
2023-04-12,3300,3530,3300,3430,2524192,0.050535987748851374
2023-04-13,3465,3530,3365,3495,1197656,0.01895043731778423
2023-04-14,3520,3530,3410,3440,800459,-0.01573676680972813
2023-04-17,3530,3585,3390,3390,1246179,-0.014534883720930258
2023-04-18,3380,3410,3300,3350,487871,-0.01179941002949858
2023-04-19,3385,3405,3320,3345,288111,-0.0014925373134327957
2023-04-20,3340,3345,3235,3240,593075,-0.03139013452914796
2023-04-21,3240,3295,3165,3180,706131,-0.01851851851851849
2023-04-24,3160,3175,3065,3075,460273,-0.03301886792452835
2023-04-25,3075,3110,2980,3035,251766,-0.013008130081300862
2023-04-26,3070,3175,3045,3090,335794,0.01812191103789118
2023-04-27,3090,3090,3000,3055,142605,-0.01132686084142398
2023-04-28,3070,3090,3000,3050,179817,-0.0016366612111292644
2023-05-02,3050,3075,3020,3060,123771,0.003278688524590123
2023-05-03,3060,3090,3020,3050,124977,-0.0032679738562091387
2023-05-04,3035,3070,3010,3070,114042,0.006557377049180246
2023-05-08,3140,3185,3100,3150,340105,0.026058631921824116
2023-05-09,3205,3500,3160,3355,4594484,0.06507936507936507
2023-05-10,3270,3405,3260,3310,1211168,-0.01341281669150518
2023-05-11,3350,3350,3270,3305,542849,-0.0015105740181269312
2023-05-12,3360,3375,3240,3300,657259,-0.001512859304084735
2023-05-15,3285,3300,3170,3195,377683,-0.03181818181818186
2023-05-16,3140,3200,3055,3090,314368,-0.032863849765258246
2023-05-17,3055,3145,3045,3130,173842,0.012944983818770295
2023-05-18,3150,3220,3130,3200,254031,0.022364217252396124
2023-05-19,3285,3300,3205,3230,482428,0.009374999999999911
2023-05-22,3265,3310,3245,3265,228538,0.010835913312693402
2023-05-23,3310,3360,3295,3300,633865,0.010719754977029039
2023-05-24,3275,3320,3230,3265,209678,-0.010606060606060619
2023-05-25,3265,3315,3200,3250,240729,-0.004594180704441064
2023-05-26,3225,3305,3210,3230,363559,-0.006153846153846176
2023-05-30,3255,3380,3255,3325,674650,0.02941176470588225
2023-05-31,3360,3375,3280,3305,325958,-0.006015037593984918
2023-06-01,3345,3370,3270,3285,544719,-0.006051437216338829
2023-06-02,3325,3335,3260,3275,286713,-0.0030441400304414
