Date,Open,High,Low,Close,Volume,Change
2023-04-04,36400,36500,34650,34750,398936,-0.05442176870748294
2023-04-05,34700,35600,33650,35200,208122,0.012949640287769792
2023-04-06,34500,35700,34200,34850,135602,-0.009943181818181768
2023-04-07,35850,45300,35850,44250,2930522,0.26972740315638455
2023-04-10,43750,55000,43000,49200,2209032,0.11186440677966103
2023-04-11,48800,49650,45300,48900,586252,-0.0060975609756097615
2023-04-12,47600,51300,45700,46250,576573,-0.05419222903885479
2023-04-13,44600,47550,44050,45550,419486,-0.015135135135135092
2023-04-14,46250,49000,45200,49000,450654,0.07574094401756315
2023-04-17,50000,56900,47600,52600,1240797,0.07346938775510203
2023-04-18,51900,58800,51900,53300,971916,0.013307984790874583
2023-04-19,53700,54600,51300,52200,341783,-0.0206378986866792
2023-04-20,51600,54400,49850,51400,318564,-0.01532567049808431
2023-04-21,51300,52000,47200,47350,293295,-0.0787937743190662
2023-04-24,46800,48600,46350,47200,169342,-0.0031678986272439813
2023-04-25,47250,47550,43700,44150,209419,-0.0646186440677966
2023-04-26,43800,44450,41750,42000,159098,-0.04869762174405434
2023-04-27,41100,44550,41050,44150,180663,0.05119047619047623
2023-04-28,44700,45600,42800,43700,149333,-0.010192525481313663
2023-05-02,43250,44600,43100,43700,93556,0.0
2023-05-03,46700,50900,43950,44350,599533,0.014874141876430214
2023-05-04,43950,44000,40000,40400,223858,-0.08906426155580605
2023-05-08,43000,43600,38500,38800,214111,-0.03960396039603964
2023-05-09,38700,39300,37450,38150,139600,-0.01675257731958768
2023-05-10,37900,38400,36600,37100,150935,-0.02752293577981646
2023-05-11,37500,37850,36050,36050,90011,-0.028301886792452824
2023-05-12,36050,36950,36000,36550,82073,0.01386962552011095
2023-05-15,36500,36500,34100,35550,119982,-0.02735978112175108
2023-05-16,35550,36100,34700,35500,65773,-0.0014064697609000865
2023-05-17,35200,36950,34300,36700,94671,0.033802816901408406
2023-05-18,37600,38650,37000,37000,104665,0.008174386920980936
2023-05-19,37100,37550,35550,35850,58096,-0.031081081081081097
2023-05-22,35800,36150,34050,35800,51487,-0.001394700139469962
2023-05-23,35900,38800,35900,37600,138985,0.05027932960893855
2023-05-24,37400,37400,35850,36450,67936,-0.030585106382978733
2023-05-25,36200,36650,35900,36100,36299,-0.009602194787380003
2023-05-26,36350,36850,35300,35500,49914,-0.0166204986149584
2023-05-30,35550,35750,34400,35000,52015,-0.014084507042253502
2023-05-31,35250,35800,34850,35600,43593,0.017142857142857126
2023-06-01,35500,35850,34550,34800,39388,-0.022471910112359605
2023-06-02,35100,37250,35050,36100,78413,0.03735632183908044
2023-06-05,36300,36800,35800,36450,39515,0.00969529085872578
2023-06-07,36200,37800,36100,37800,97503,0.03703703703703698
2023-06-08,38100,39300,37500,38450,144255,0.01719576719576721
2023-06-09,38900,39350,37800,38550,77086,0.002600780234070177
2023-06-12,38900,41900,38900,40450,269481,0.04928664072632949
2023-06-13,41000,41400,40100,40600,87104,0.003708281829418958
2023-06-14,40950,42100,38200,38400,183140,-0.054187192118226646
