Date,Open,High,Low,Close,Volume,Change
2023-04-04,7530,7590,7230,7320,530863,-0.027888446215139417
2023-04-05,7240,7450,7230,7280,272012,-0.005464480874316946
2023-04-06,7270,7290,7010,7290,371762,0.0013736263736263687
2023-04-07,7390,7570,7300,7420,420037,0.017832647462277196
2023-04-10,7460,7460,7130,7330,388321,-0.0121293800539084
2023-04-11,7440,7610,7270,7600,557503,0.03683492496589369
2023-04-12,7420,7430,7250,7300,763176,-0.03947368421052633
2023-04-13,7160,7270,7110,7180,376744,-0.016438356164383605
2023-04-14,7190,7230,6770,6900,840438,-0.03899721448467963
2023-04-17,6810,6850,6700,6790,377171,-0.01594202898550723
2023-04-18,6740,6780,6560,6670,377049,-0.0176730486008837
2023-04-19,6690,6920,6670,6910,373781,0.0359820089955023
2023-04-20,6910,6940,6750,6850,245104,-0.00868306801736618
2023-04-21,6850,6970,6770,6850,232303,0.0
2023-04-24,6900,6910,6600,6680,222961,-0.02481751824817513
2023-04-25,6690,6750,6520,6650,183191,-0.004491017964071808
2023-04-26,6550,6820,6550,6760,268029,0.016541353383458635
2023-04-27,6790,6840,6580,6810,143515,0.007396449704142105
2023-04-28,6850,6950,6750,6830,131561,0.002936857562408246
2023-05-02,6870,6910,6810,6890,145327,0.008784773060029227
2023-05-03,6820,6870,6740,6800,147495,-0.013062409288824406
2023-05-04,6750,6900,6660,6880,178824,0.0117647058823529
2023-05-08,6950,7100,6900,7080,335354,0.029069767441860517
2023-05-09,7080,7080,6810,6920,155650,-0.02259887005649719
2023-05-10,6920,6920,6800,6840,156015,-0.011560693641618491
2023-05-11,6860,6940,6760,6770,110806,-0.010233918128654929
2023-05-12,6740,6890,6680,6800,114907,0.004431314623338345
2023-05-15,6800,6800,6540,6700,136717,-0.014705882352941124
2023-05-16,6820,6870,6670,6730,101386,0.004477611940298498
2023-05-17,6720,6920,6720,6870,169079,0.02080237741456159
2023-05-18,6960,7070,6900,7070,264927,0.02911208151382816
2023-05-19,7170,7410,7130,7360,795773,0.04101838755304099
2023-05-22,7390,7410,7210,7260,326476,-0.013586956521739135
2023-05-23,7260,7280,7080,7260,219706,0.0
