Date,Open,High,Low,Close,Volume,Change
2019-06-18,16750,17000,16500,16800,143846,0.0059880239520957446
2019-06-19,17050,17050,16550,16650,101313,-0.008928571428571397
2019-06-20,16850,16850,16550,16800,84045,0.009009009009008917
2019-06-21,16950,17350,16800,16850,176124,0.0029761904761904656
2019-06-24,17000,17000,16300,16500,187404,-0.020771513353115778
2019-06-25,16600,17200,16600,16750,222205,0.015151515151515138
2019-06-26,17000,17300,16750,16800,140763,0.0029850746268655914
2019-06-27,16800,17350,16600,16950,188205,0.008928571428571397
2019-06-28,16750,16950,16400,16700,195644,-0.014749262536873142
2019-07-01,16800,17900,16750,17900,306957,0.0718562874251496
2019-07-02,17850,18750,17750,18250,563465,0.019553072625698276
2019-07-03,18100,18300,17550,17800,245804,-0.024657534246575352
2019-07-04,18800,19050,18050,18100,614975,0.016853932584269593
2019-07-05,18300,18750,17800,18600,280583,0.027624309392265234
2019-07-08,18600,18650,17200,17200,344785,-0.07526881720430112
2019-07-09,17200,17600,16450,16800,270943,-0.023255813953488413
2019-07-10,16900,17250,16700,16850,135094,0.0029761904761904656
2019-07-11,17050,18200,17000,17950,325409,0.06528189910979232
2019-07-12,17850,18750,17800,18200,420118,0.013927576601671321
2019-07-15,18300,18800,18050,18800,226049,0.03296703296703307
2019-07-16,18700,19550,18650,19100,561890,0.015957446808510634
2019-07-17,19100,19150,18200,18400,265152,-0.03664921465968585
2019-07-18,18400,19650,18300,19200,490065,0.04347826086956519
2019-07-19,19450,19500,18550,18750,274444,-0.0234375
2019-07-22,18700,19300,18450,18700,217908,-0.002666666666666706
2019-07-23,18700,18900,18050,18300,276570,-0.021390374331550777
2019-07-24,18400,18950,17900,18150,334431,-0.008196721311475419
2019-07-25,18100,18300,16650,16900,652616,-0.06887052341597799
2019-07-26,17100,17300,16400,16700,321288,-0.011834319526627168
2019-07-29,16550,16600,15450,15700,462296,-0.05988023952095811
2019-07-30,15700,16050,15550,15700,249241,0.0
2019-07-31,15550,15950,14900,15700,280522,0.0
2019-08-01,15550,15750,15000,15050,241916,-0.04140127388535031
2019-08-02,14650,15650,14450,15200,322336,0.009966777408637828
2019-08-05,15200,15250,13700,13700,377418,-0.09868421052631582
2019-08-06,13200,14350,12750,13550,424564,-0.010948905109489093
2019-08-07,13750,14150,13400,13950,234120,0.029520295202952074
2019-08-08,14100,14550,13950,14550,207444,0.043010752688172005
2019-08-09,14550,14650,14200,14200,160581,-0.02405498281786944
2019-08-12,14200,15400,14000,15150,228621,0.06690140845070425
2019-08-13,14850,15350,14850,15150,127808,0.0
2019-08-14,15500,15850,15050,15100,236362,-0.0033003300330033403
2019-08-16,14700,15750,14550,15450,294214,0.023178807947019875
2019-08-19,15650,15750,15300,15450,97286,0.0
2019-08-20,15550,15800,15450,15700,104482,0.016181229773462702
2019-08-21,15650,15950,15350,15400,131984,-0.019108280254777066
2019-08-22,15650,16250,15600,15700,342978,0.01948051948051943
2019-08-23,15550,15850,15200,15650,212593,-0.0031847133757961776
2019-08-26,15000,15350,14850,15000,150788,-0.04153354632587858
2019-08-27,15400,16000,15300,15850,296391,0.05666666666666664
2019-08-28,15950,16550,15950,16200,228677,0.02208201892744488
2019-08-29,16200,16250,15750,16000,89494,-0.012345679012345734
2019-08-30,16250,16300,15850,16200,164238,0.012499999999999956
2019-09-02,16150,16150,15800,16000,99368,-0.012345679012345734
