Date,Open,High,Low,Close,Volume,Change
2023-04-04,24450,24500,23700,23850,721144,-0.026530612244897944
2023-04-05,24150,24950,24000,24150,956008,0.012578616352201255
2023-04-06,24050,24050,22750,22900,1204427,-0.051759834368530044
2023-04-07,23150,23700,23050,23450,625894,0.024017467248908186
2023-04-10,23500,23700,23000,23550,664051,0.004264392324093924
2023-04-11,23700,24700,23400,23800,1293532,0.010615711252653925
2023-04-12,23800,23900,23200,23550,626838,-0.010504201680672232
2023-04-13,23500,23650,23050,23300,596115,-0.010615711252653925
2023-04-14,23700,23700,23250,23500,389940,0.008583690987124415
2023-04-17,23500,23550,22800,23100,625256,-0.017021276595744705
2023-04-18,23150,23600,22700,22800,528348,-0.012987012987012991
2023-04-19,22850,24000,22550,23900,886827,0.04824561403508776
2023-04-20,23900,24100,23050,23150,631490,-0.03138075313807531
2023-04-21,23200,24100,22900,23550,734457,0.017278617710583255
2023-04-24,23400,23500,22700,22850,628680,-0.02972399150743099
2023-04-25,22850,23250,22200,22600,506731,-0.01094091903719907
2023-04-26,22500,23300,22350,22750,390987,0.006637168141592875
2023-04-27,22650,23200,22500,23000,267073,0.01098901098901095
2023-04-28,23200,23900,22950,23050,528809,0.0021739130434783593
2023-05-02,23200,23400,22950,23350,232213,0.013015184381778733
2023-05-03,23000,23550,22950,23300,273679,-0.0021413276231263545
2023-05-04,23300,23350,21650,22050,1014406,-0.05364806866952787
2023-05-08,22450,24000,22450,23450,1685984,0.06349206349206349
2023-05-09,23400,23500,22750,23050,461141,-0.017057569296375252
2023-05-10,23050,23750,22800,23500,457240,0.01952277657266821
2023-05-11,23600,23800,23250,23550,512340,0.0021276595744681437
2023-05-12,23700,24800,23300,24300,1163030,0.031847133757961776
2023-05-15,24250,24300,23400,23700,449739,-0.024691358024691357
2023-05-16,23850,23850,22550,23150,876212,-0.02320675105485237
2023-05-17,23050,24050,23050,23600,636126,0.01943844492440605
2023-05-18,23650,24000,23350,23700,372976,0.004237288135593209
2023-05-19,23900,24450,23800,24350,913212,0.02742616033755274
2023-05-22,24350,24800,24000,24000,528967,-0.014373716632443578
2023-05-23,24000,24300,23650,24250,434187,0.01041666666666674
2023-05-24,24050,24750,23850,24550,538639,0.012371134020618513
2023-05-25,24850,25100,24250,24500,653838,-0.0020366598778004397
2023-05-26,24700,25000,24350,24350,602279,-0.006122448979591799
2023-05-30,24650,25600,24600,25550,1295733,0.04928131416837789
2023-05-31,25350,25850,24950,25100,810969,-0.017612524461839585
2023-06-01,25000,25350,24750,25250,466861,0.005976095617529875
2023-06-02,25600,26250,25250,26150,1164321,0.035643564356435675
2023-06-05,26200,26200,25350,25550,672011,-0.02294455066921608
2023-06-07,26100,27500,25800,27000,2250586,0.05675146771037176
2023-06-08,26550,26700,26100,26500,869332,-0.01851851851851849
2023-06-09,26600,26900,26100,26850,492525,0.013207547169811429
2023-06-12,27250,27500,26550,26950,661068,0.003724394785847407
2023-06-13,27200,27350,26600,26850,641778,-0.0037105751391465214
2023-06-14,26900,26950,25850,26250,1031839,-0.022346368715083775
2023-06-15,26250,27000,26150,26800,538526,0.020952380952381056
2023-06-16,26900,27350,26550,27200,552208,0.014925373134328401
2023-06-19,27300,29000,27100,28400,1778738,0.044117647058823595
2023-06-20,28650,29000,27200,27900,1144339,-0.017605633802816878
2023-06-21,27650,28300,26900,26950,589862,-0.03405017921146958
2023-06-22,26600,27000,26300,26500,422306,-0.016697588126159513
2023-06-23,26900,27100,26450,26750,354547,0.009433962264151052
2023-06-26,26700,27000,26350,26800,291820,0.0018691588785046953
2023-06-27,26550,27050,25800,27000,491251,0.00746268656716409
2023-06-28,27050,27400,26450,26500,311068,-0.01851851851851849
2023-06-29,26400,27050,26350,26700,405810,0.007547169811320753
2023-06-30,26850,27150,26150,27000,353110,0.011235955056179803
2023-07-03,27400,27950,27000,27600,584575,0.022222222222222143
2023-07-04,27850,28500,27750,28200,510615,0.021739130434782705
2023-07-05,28300,29200,28200,28550,635655,0.012411347517730542
2023-07-06,28350,29350,27800,28100,823795,-0.015761821366024553
2023-07-07,28350,28650,27800,28050,387563,-0.001779359430605032
2023-07-10,27850,28000,26750,26850,444771,-0.04278074866310155
2023-07-11,26900,27350,26350,27350,471730,0.01862197392923659
2023-07-12,27350,27400,26450,26800,439968,-0.020109689213894
2023-07-13,27000,27200,26600,26800,487735,0.0
2023-07-14,27300,28000,26600,27750,814832,0.035447761194029814
2023-07-17,27950,28150,27200,27400,474159,-0.012612612612612595
2023-07-18,27450,27500,26600,26900,453590,-0.018248175182481785
2023-07-19,27200,27900,26650,26900,714999,0.0
2023-07-20,26850,27050,26450,26650,411295,-0.009293680297397744
2023-07-21,26300,26850,25850,26300,370631,-0.013133208255159512
2023-07-24,26500,26750,26000,26400,325246,0.0038022813688212143
2023-07-25,26400,26750,25750,25800,402059,-0.022727272727272707
