Date,Open,High,Low,Close,Volume,Change
2023-04-04,25750,26400,25400,25600,245719,-0.0229007633587786
2023-04-05,25600,26250,25400,26150,111331,0.021484375
2023-04-06,26250,27800,26050,27500,320373,0.0516252390057361
2023-04-07,27700,29750,27700,29200,380941,0.0618181818181817
2023-04-10,28900,28900,27600,28200,305434,-0.0342465753424657
2023-04-11,28250,30550,27250,29950,429370,0.0620567375886524
2023-04-12,29950,32050,29200,31400,568705,0.0484140233722871
2023-04-13,32000,32450,29500,30650,475051,-0.0238853503184713
2023-04-14,30900,31400,30350,31200,214986,0.0179445350734095
2023-04-17,31750,32300,30750,31050,209693,-0.0048076923076922
2023-04-18,31000,31200,30050,30200,169983,-0.0273752012882447
2023-04-19,30550,31550,30100,30900,310045,0.0231788079470198
2023-04-20,30900,31000,29500,29800,214747,-0.0355987055016181
2023-04-21,29800,29950,28850,28950,179714,-0.0285234899328858
2023-04-24,29000,29450,27750,28000,179458,-0.0328151986183073
2023-04-25,27700,28500,26550,27300,217157,-0.025
2023-04-26,27800,28350,27250,27600,118078,0.0109890109890109
2023-04-27,27700,28350,27050,27800,98627,0.0072463768115942
2023-04-28,28050,28100,27200,27450,108008,-0.0125899280575539
2023-05-02,27450,27900,27150,27500,66554,0.0018214936247722
2023-05-03,27350,27350,26650,26850,82989,-0.0236363636363636
2023-05-04,26900,26950,26250,26900,78455,0.0018621973929235
2023-05-08,26800,27450,26400,26650,99088,-0.0092936802973977
2023-05-09,26300,26450,25500,26200,147454,-0.0168855534709193
2023-05-10,26100,26650,25950,26500,77851,0.0114503816793893
2023-05-11,26550,27350,26400,26650,100675,0.0056603773584906
2023-05-12,26700,26700,25700,26000,136446,-0.024390243902439
2023-05-15,25650,25750,24900,25550,159509,-0.0173076923076923
2023-05-16,25550,25900,25050,25300,69460,-0.0097847358121331
2023-05-17,25450,26100,25200,25850,87006,0.0217391304347827
2023-05-18,26150,27000,25950,26250,89481,0.0154738878143132
2023-05-19,26600,26700,26100,26650,78106,0.0152380952380952
2023-05-22,26700,26950,26000,26700,72944,0.0018761726078799
2023-05-23,26550,27450,26550,26950,111151,0.0093632958801497
2023-05-24,26900,27350,26550,27150,96373,0.007421150278293
2023-05-25,27250,27450,26550,26800,78696,-0.012891344383057
2023-05-26,26800,27150,26450,26600,58579,-0.0074626865671642
2023-05-30,26700,27250,26600,26950,93474,0.013157894736842
2023-05-31,26750,27350,26700,26850,75599,-0.0037105751391465
2023-06-01,26950,27100,26600,26850,53314,0.0
2023-06-02,26900,27100,26700,26850,67375,0.0
2023-06-05,26850,26900,26550,26750,77972,-0.0037243947858472
2023-06-07,26800,27450,26750,27350,106258,0.0224299065420561
2023-06-08,27150,27400,26800,27000,102422,-0.0127970749542961
2023-06-09,27000,30350,26800,29900,633843,0.1074074074074074
2023-06-12,30200,30750,29600,30550,225086,0.0217391304347827
2023-06-13,30600,31500,30400,30550,169428,0.0
2023-06-14,30550,30800,29800,29950,184134,-0.0196399345335515
2023-06-15,29950,30600,29600,29900,121848,-0.0016694490818029
2023-06-16,29850,30100,29450,29600,108595,-0.0100334448160535
2023-06-19,29600,29600,28900,29350,129919,-0.0084459459459459
2023-06-20,29550,29550,28400,28600,124550,-0.0255536626916524
2023-06-21,29800,30450,29350,29700,406867,0.0384615384615385
2023-06-22,29700,30300,29100,29700,186903,0.0
2023-06-23,30550,34650,30250,32550,2044196,0.095959595959596
2023-06-26,32550,33350,31700,32850,483963,0.0092165898617511
2023-06-27,33050,33550,32300,32750,271165,-0.0030441400304414
2023-06-28,32600,32750,31600,31850,309638,-0.0274809160305343
2023-06-29,31700,32200,31300,31750,162549,-0.0031397174254317
2023-06-30,32000,32000,31200,31850,142615,0.0031496062992126
2023-07-03,31850,32350,31500,31950,211059,0.0031397174254317
2023-07-04,31900,33250,31500,33000,300471,0.0328638497652582
2023-07-05,33300,33500,32500,33100,257590,0.0030303030303029
2023-07-06,33050,33350,31750,32100,263259,-0.0302114803625377
2023-07-07,31750,32100,31300,31800,177620,-0.0093457943925233
2023-07-10,33100,36350,32700,34900,1640463,0.0974842767295598
2023-07-11,35150,36650,34500,36650,581567,0.0501432664756447
2023-07-12,36700,37700,36050,36900,522272,0.0068212824010913
2023-07-13,36900,38250,36650,37800,333932,0.024390243902439
2023-07-14,38150,38400,36900,37950,266842,0.0039682539682539
2023-07-17,37550,39750,37300,39100,338426,0.0303030303030302
2023-07-18,39150,39550,38300,38900,290324,-0.0051150895140664
2023-07-19,38900,39500,37400,37750,419385,-0.0295629820051414
2023-07-20,37700,38400,37050,38150,271990,0.0105960264900661
2023-07-21,38150,39500,37350,39450,398658,0.0340760157273918
2023-07-24,40400,40550,38000,39100,662623,-0.008871989860583
2023-07-25,39100,39100,37750,38050,406568,-0.026854219948849
2023-07-26,37900,38050,34150,37100,895668,-0.0249671484888305
2023-07-27,37700,39000,35900,36500,514867,-0.0161725067385444
2023-07-28,34850,38200,34850,37550,371933,0.0287671232876711
2023-07-31,38150,38200,37100,37450,213748,-0.0026631158455392
2023-08-01,37200,37750,36750,37150,229526,-0.0080106809078771
2023-08-02,37150,37150,35600,35950,178830,-0.0323014804845221
2023-08-03,35400,36250,35050,35750,148827,-0.0055632823365785
2023-08-04,35750,36350,35300,36150,114043,0.0111888111888112
2023-08-07,36000,36000,34600,34800,215157,-0.0373443983402489
2023-08-08,35100,40050,34500,40050,446187,0.1508620689655173
2023-08-09,41000,43800,40100,42550,1351943,0.062421972534332
2023-08-10,42100,43300,41450,42850,393142,0.0070505287896591
2023-08-11,42300,43450,41500,43150,310635,0.0070011668611436
2023-08-14,41250,49850,41250,49500,1748381,0.1471610660486675
2023-08-16,49500,51800,48250,48700,701595,-0.0161616161616161
2023-08-17,48550,49600,46550,49050,383448,0.0071868583162217
2023-08-18,49050,52900,48500,50800,570613,0.0356778797145769
2023-08-21,52700,56300,51500,54500,668766,0.0728346456692914
2023-08-22,53800,56000,53700,54900,313809,0.0073394495412844
2023-08-23,55900,58500,54300,57700,394038,0.0510018214936247
2023-08-24,57700,58200,55900,57200,233421,-0.0086655112651646
2023-08-25,57200,59600,56300,57100,329745,-0.0017482517482517
2023-08-28,57600,57700,54000,54500,408297,-0.0455341506129597
2023-08-29,54500,57300,54100,56100,255253,0.0293577981651376
2023-08-30,56700,57500,55500,56200,158180,0.0017825311942958
2023-08-31,56400,59700,56400,59700,625517,0.0622775800711743
2023-09-01,59700,60000,57200,58000,290510,-0.0284757118927972
2023-09-04,57100,57200,53200,55000,612084,-0.0517241379310344
2023-09-05,55400,56500,54500,54700,267170,-0.0054545454545454
2023-09-06,54400,55000,52900,53000,276335,-0.0310786106032906
2023-09-07,52900,53700,50500,50900,406551,-0.0396226415094339
2023-09-08,50900,51900,50500,51100,188036,0.0039292730844793
2023-09-11,51600,51800,49350,50100,214521,-0.0195694716242661
2023-09-12,50400,51600,48500,49400,283108,-0.0139720558882235
2023-09-13,49000,50200,48500,49400,169666,0.0
2023-09-14,52000,56000,50100,52100,594891,0.0546558704453441
2023-09-15,52300,52900,51100,52300,202873,0.0038387715930903
2023-09-18,51600,52300,51000,51300,124861,-0.0191204588910134
