Date,Open,High,Low,Close,Volume,Change
2023-04-04,17510,17540,17000,17000,266700,-0.0235496840896036
2023-04-05,16900,17330,16890,17010,162195,0.0005882352941175
2023-04-06,17010,17070,16430,16580,218495,-0.0252792475014697
2023-04-07,16800,17500,16770,17460,272234,0.0530759951749095
2023-04-10,17540,17600,17090,17520,199010,0.0034364261168384
2023-04-11,17700,18540,17430,18520,662582,0.0570776255707763
2023-04-12,18890,18900,18120,18230,584290,-0.0156587473002159
2023-04-13,17930,17970,17390,17600,223887,-0.0345584201865057
2023-04-14,17800,17850,17350,17380,154022,-0.0124999999999999
2023-04-17,17210,17590,16860,17450,164955,0.0040276179516685
2023-04-18,17450,18800,17080,18590,656190,0.0653295128939828
2023-04-19,18960,18990,18000,18150,355842,-0.0236686390532544
2023-04-20,18120,18120,17430,17450,198012,-0.0385674931129476
2023-04-21,17460,17920,17200,17300,172478,-0.0085959885386819
2023-04-24,17400,17640,16700,16870,206901,-0.0248554913294797
2023-04-25,17170,17170,16560,16910,135697,0.0023710729104919
2023-04-26,16910,17200,16500,16600,94742,-0.0183323477232406
2023-04-27,16420,16850,16420,16740,59631,0.0084337349397589
2023-04-28,16860,16980,16500,16620,76953,-0.0071684587813619
2023-05-02,16510,16830,16330,16490,100709,-0.0078219013237064
2023-05-03,16300,16830,16280,16630,86453,0.0084899939357185
2023-05-04,16600,16780,16350,16400,61906,-0.0138304269392663
2023-05-08,16560,16820,16450,16740,97953,0.0207317073170731
2023-05-09,16750,16870,16210,16430,69746,-0.0185185185185184
2023-05-10,16580,16580,15860,15880,97754,-0.0334753499695679
2023-05-11,16280,16280,15620,15620,62753,-0.0163727959697732
2023-05-12,15700,16090,15590,15590,78399,-0.0019206145966709
2023-05-15,15800,15820,15240,15250,73888,-0.0218088518280948
2023-05-16,15380,15550,15080,15120,52803,-0.0085245901639344
2023-05-17,15120,15480,15080,15290,46131,0.0112433862433862
2023-05-18,15390,16260,15390,16250,102082,0.0627861347285807
2023-05-19,16420,16880,16400,16600,131181,0.0215384615384615
2023-05-22,16650,16790,16420,16680,81789,0.0048192771084336
2023-05-23,16680,16950,16480,16850,69852,0.0101918465227817
2023-05-24,16650,17080,16600,16950,85917,0.0059347181008901
2023-05-25,17190,17260,16550,16620,101837,-0.0194690265486725
2023-05-26,16880,17200,16690,16900,86946,0.016847172081829
2023-05-30,17140,17440,16670,16900,218033,0.0
2023-05-31,16900,17020,16570,16600,78592,-0.0177514792899408
2023-06-01,16550,16700,16280,16600,63432,0.0
2023-06-02,16750,16830,16500,16690,78680,0.0054216867469878
2023-06-05,16840,17040,16750,16800,74156,0.0065907729179148
2023-06-07,16700,16790,15700,16200,339082,-0.0357142857142857
2023-06-08,16200,16300,15940,16140,93189,-0.0037037037037036
2023-06-09,16140,16270,15960,16190,66690,0.0030978934324659
2023-06-12,16170,16350,15700,16210,80856,0.0012353304508956
2023-06-13,16230,16910,16230,16890,336277,0.0419494139420111
2023-06-14,17010,17340,16620,16890,344118,0.0
2023-06-15,16920,17330,16920,17130,163024,0.014209591474245
2023-06-16,17120,17340,16920,17340,131009,0.0122591943957968
2023-06-19,17330,17330,16910,17130,265277,-0.0121107266435985
2023-06-20,17120,17400,16850,17350,122726,0.0128429655575015
2023-06-21,17390,17940,17110,17260,291031,-0.0051873198847262
2023-06-22,17100,17430,17000,17300,89805,0.0023174971031285
2023-06-23,17190,17730,17050,17070,107341,-0.0132947976878612
2023-06-26,17050,17590,16980,17490,114308,0.0246045694200351
2023-06-27,17490,17490,17100,17330,70390,-0.0091480846197827
2023-06-28,17450,17750,17290,17530,152113,0.011540680900173
2023-06-29,17590,17990,17590,17920,221667,0.022247575584712
2023-06-30,18020,18410,17800,18320,272228,0.0223214285714286
2023-07-03,18450,19630,18210,19200,510263,0.0480349344978165
2023-07-04,19230,20650,19170,20200,683682,0.0520833333333332
2023-07-05,20350,20350,19430,19560,308467,-0.0316831683168317
2023-07-06,19450,19900,18930,19400,241589,-0.0081799591002045
2023-07-07,19300,19500,18800,19180,167944,-0.0113402061855669
2023-07-10,19370,19370,18780,18800,191760,-0.0198123044838373
2023-07-11,18990,19340,18870,19250,89550,0.023936170212766
2023-07-12,19280,20200,19280,20050,186143,0.0415584415584415
2023-07-13,20050,20500,19910,20250,201709,0.0099750623441396
2023-07-14,20500,21100,20250,20800,282279,0.0271604938271605
2023-07-17,21000,21950,20800,21100,273224,0.0144230769230768
2023-07-18,21100,22350,20950,21900,540804,0.0379146919431279
2023-07-19,21800,21950,20850,21050,218398,-0.0388127853881278
2023-07-20,20850,22550,20550,22250,478862,0.0570071258907363
2023-07-21,21950,22500,21400,22200,245723,-0.0022471910112359
2023-07-24,22950,24850,22350,24300,927670,0.0945945945945945
2023-07-25,24750,24750,23150,23250,281972,-0.0432098765432098
2023-07-26,23450,23600,21150,22150,335522,-0.0473118279569892
2023-07-27,22200,23900,21950,23650,279859,0.0677200902934538
2023-07-28,23750,25850,23500,25800,547234,0.0909090909090908
2023-07-31,26000,26350,25000,25600,338711,-0.0077519379844961
2023-08-01,25600,26100,24700,25750,205919,0.005859375
2023-08-02,25400,25900,24550,24800,285896,-0.0368932038834951
2023-08-03,24500,26900,24150,26450,720650,0.0665322580645162
2023-08-04,25850,26750,25450,26450,204140,0.0
2023-08-07,25900,27200,25550,26850,287994,0.0151228733459356
2023-08-08,26850,27250,25800,26250,237282,-0.0223463687150837
2023-08-09,26250,28850,21600,23950,3063196,-0.0876190476190476
2023-08-10,24500,25350,21850,22700,1384715,-0.0521920668058455
2023-08-11,22900,23550,22300,23100,489974,0.0176211453744492
2023-08-14,22400,22500,20850,20850,559563,-0.0974025974025973
2023-08-16,20700,21600,20400,20950,411577,0.0047961630695443
2023-08-17,22050,22850,20300,21000,853688,0.0023866348448686
