Date,Open,High,Low,Close,Volume,Change
2023-04-04,52700,52800,52400,52600,748,-0.00189753320683117
2023-04-05,52900,52900,52600,52700,177,0.0019011406844107182
2023-04-06,52700,52900,52300,52700,362,0.0
2023-04-07,52900,53000,52700,53000,417,0.005692599620493288
2023-04-10,53200,53300,52600,52600,1192,-0.007547169811320753
2023-04-11,52700,53000,52700,52800,632,0.0038022813688212143
2023-04-12,53100,53100,52600,52900,436,0.0018939393939394478
2023-04-13,53100,53100,52800,52900,129556,0.0
2023-04-14,52900,54000,52700,54000,1941,0.020793950850661602
2023-04-17,54100,54100,53500,53800,605,-0.0037037037037036535
2023-04-18,54100,54100,50600,53200,2031,-0.01115241635687736
2023-04-19,53400,53500,53200,53400,303,0.003759398496240518
2023-04-20,53500,53700,53300,53400,1238,0.0
2023-04-21,53700,54000,53000,53500,1276,0.001872659176029856
2023-04-24,53200,53500,53000,53400,308,-0.0018691588785046953
2023-04-25,53600,53700,52000,52600,1262,-0.014981273408239737
2023-04-26,52700,54500,52000,54500,1573,0.03612167300380231
2023-04-27,54000,54200,52500,53900,1621,-0.011009174311926606
2023-04-28,54500,54500,52700,54200,846,0.005565862708719838
2023-05-02,54200,54300,53000,53100,2030,-0.020295202952029467
2023-05-03,53100,53200,52400,52900,1333,-0.0037664783427495685
2023-05-04,52900,53200,52100,53200,2538,0.005671077504725952
2023-05-08,52600,53100,51800,51900,6249,-0.024436090225563922
2023-05-09,52600,52600,51900,52400,870,0.009633911368015502
2023-05-10,52300,52500,52100,52400,401,0.0
2023-05-11,52400,52500,51800,51900,1544,-0.009541984732824416
2023-05-12,52200,52200,50700,50900,6900,-0.019267822736030782
2023-05-15,50900,51300,50800,51100,106637,0.003929273084479323
2023-05-16,51200,51700,50600,51200,2348,0.001956947162426559
2023-05-17,51200,51400,50900,51000,3894,-0.00390625
2023-05-18,51200,51400,51000,51000,1414,0.0
2023-05-19,51000,51400,50900,51200,2817,0.0039215686274509665
2023-05-22,51300,51500,51100,51400,1688,0.00390625
2023-05-23,51400,51700,51300,51600,10563,0.0038910505836575737
2023-05-24,51400,52700,51100,51300,13580,-0.005813953488372103
2023-05-25,51300,51500,51100,51400,1968,0.0019493177387914784
2023-05-26,51400,51400,51200,51200,2310,-0.0038910505836575737
2023-05-30,51400,51500,51100,51400,539,0.00390625
2023-05-31,51400,51500,51100,51200,321253,-0.0038910505836575737
2023-06-01,51300,51300,51000,51100,1516,-0.001953125
2023-06-02,51300,51400,51200,51200,86059,0.001956947162426559
2023-06-05,51300,52400,51300,51800,2395,0.01171875
2023-06-07,51600,52100,51600,51900,1377,0.0019305019305020377
2023-06-08,51900,52000,51700,51800,2134,-0.0019267822736031004
2023-06-09,51900,52300,51800,51900,1826,0.0019305019305020377
2023-06-12,51900,52100,51800,51900,1400,0.0
2023-06-13,51900,52300,51900,52100,2499,0.003853564547206201
2023-06-14,52100,52200,51800,52100,2468,0.0
2023-06-15,51900,52000,51100,51700,1122,-0.007677543186180413
2023-06-16,51600,51900,51600,51800,841,0.0019342359767891004
2023-06-19,51900,53100,51500,52600,5107,0.015444015444015413
2023-06-20,52400,52600,52300,52500,1169,-0.0019011406844106071
2023-06-21,52100,52500,51800,52100,1456,-0.007619047619047636
2023-06-22,52100,52200,52000,52200,277,0.0019193857965451588
2023-06-23,52300,52300,51800,51800,641,-0.007662835249042099
2023-06-26,52000,52000,51200,51700,811,-0.0019305019305019266
2023-06-27,51700,51800,51300,51800,493,0.0019342359767891004
2023-06-28,51800,51900,51200,51300,3356,-0.009652509652509633
2023-06-29,51000,51400,51000,51100,1755,-0.003898635477582846
2023-06-30,51300,51300,51000,51100,498,0.0
2023-07-03,51300,51400,51000,51300,1073,0.00391389432485334
2023-07-04,51300,51300,50800,50800,865,-0.00974658869395717
2023-07-05,50800,50900,50700,50700,865,-0.0019685039370078705
2023-07-06,50600,50700,50300,50700,1064,0.0
2023-07-07,50200,50600,50200,50500,1251,-0.0039447731755424265
2023-07-10,50500,50600,50200,50600,345,0.001980198019801982
2023-07-11,50400,50500,50100,50300,1171,-0.005928853754940677
2023-07-12,50300,50700,50300,50400,602,0.001988071570576455
2023-07-13,50500,50800,50300,50400,547,0.0
2023-07-14,50300,50900,50100,50900,1219,0.009920634920634885
2023-07-17,50500,50700,50400,50600,338,-0.005893909626719096
2023-07-18,50600,50600,50400,50400,363,-0.0039525691699604515
2023-07-19,50400,50400,50300,50300,567,-0.001984126984126977
2023-07-20,50300,50400,50100,50300,463,0.0
2023-07-21,50300,50500,50200,50500,801,0.003976143141153132
2023-07-24,50500,50500,50200,50400,521,-0.001980198019801982
2023-07-25,50300,50400,49950,50200,1676,-0.003968253968253954
2023-07-26,50000,50200,48800,49150,3445,-0.020916334661354563
2023-07-27,49000,49550,49000,49300,1333,0.003051881993896277
2023-07-28,49300,49600,49100,49350,1323,0.0010141987829614951
2023-07-31,49350,49750,49350,49600,812,0.005065856129685908
2023-08-01,49600,49700,49100,49550,1277,-0.0010080645161290036
2023-08-02,49550,49750,49000,49650,7466,0.0020181634712410634
2023-08-03,49650,49650,49300,49600,387,-0.001007049345417954
2023-08-04,49600,50000,49450,49950,768,0.007056451612903247
2023-08-07,49900,49950,49700,49850,327,-0.002002002002001957
2023-08-08,49850,49950,49750,49800,309,-0.0010030090270812808
2023-08-09,49800,49950,49750,49950,284,0.003012048192771122
2023-08-10,49950,50100,49700,49900,1068,-0.0010010010010009784
2023-08-11,49900,49900,49650,49800,2002,-0.002004008016032066
2023-08-14,49800,49950,49600,49650,677,-0.003012048192771122
2023-08-16,49650,50500,49300,50000,3486,0.007049345417925457
2023-08-17,49750,49950,49650,49950,296,-0.0010000000000000009
2023-08-18,49950,50000,49050,49550,700,-0.00800800800800805
2023-08-21,49750,49900,49500,49800,519,0.005045408678102881
2023-08-22,49800,49850,49750,49800,455,0.0
2023-08-23,49800,49900,49600,49900,1810,0.002008032128514081
2023-08-24,49900,49950,49750,49750,188,-0.0030060120240480437
2023-08-25,49700,49850,49700,49750,257,0.0
2023-08-28,49700,50100,49700,49850,334,0.0020100502512563345
2023-08-29,50000,50400,49950,50200,1198,0.007021063189568633
2023-08-30,50300,50400,50100,50400,582,0.003984063745019917
2023-08-31,50400,50500,50200,50200,747,-0.003968253968253954
2023-09-01,50400,50500,50100,50100,763,-0.0019920318725099584
2023-09-04,50300,50400,49950,50100,534,0.0
