Date,Open,High,Low,Close,Volume,Change
2013-09-16,3395,3403,3342,3391,12579,
2013-09-17,3448,3448,3390,3408,16081,0.0050132704217045
2013-09-23,3492,3492,3346,3364,13123,-0.0129107981220657
2013-09-24,3364,3403,3319,3404,12671,0.0118906064209274
2013-09-25,3421,3448,3355,3400,10629,-0.0011750881316098
2013-09-26,3443,3448,3399,3430,8948,0.0088235294117646
2013-09-27,3448,3448,3359,3395,9230,-0.010204081632653
2013-09-30,3443,3474,3364,3382,12181,-0.0038291605301914
2013-10-01,3417,3417,3324,3351,17032,-0.0091661738616203
2013-10-02,3355,3430,3350,3395,7612,0.013130408833184
2013-10-04,3417,3417,3333,3360,17268,-0.0103092783505154
2013-10-07,3359,3359,3262,3271,13321,-0.0264880952380952
2013-10-08,3213,3249,3200,3223,10491,-0.0146744114949556
2013-10-10,3222,3235,3094,3139,38430,-0.0260626745268383
2013-10-11,3156,3262,3156,3178,13767,0.0124243389614526
2013-10-14,3182,3182,3138,3156,16623,-0.0069225928256765
2013-10-15,3249,3249,3138,3183,23624,0.0085551330798478
2013-10-16,3178,3178,3076,3081,35329,-0.0320452403393025
2013-10-17,3160,3160,2917,2966,70609,-0.0373255436546575
2013-10-18,3001,3006,2944,2975,23375,0.0030343897505056
2013-10-21,3094,3094,2957,2997,12518,0.0073949579831933
2013-10-22,2975,3032,2975,3010,8313,0.0043376710043376
2013-10-23,3010,3054,3001,3002,10620,-0.0026578073089701
2013-10-24,3014,3063,3001,3059,9635,0.018987341772152
2013-10-25,3063,3138,3041,3103,17894,0.0143837855508335
2013-10-28,3178,3178,3050,3064,12855,-0.0125684821140831
2013-10-29,3054,3094,3028,3037,15994,-0.0088120104438642
2013-10-30,3037,3085,3028,3059,9019,0.0072439907803754
2013-10-31,3041,3076,3037,3072,15098,0.0042497548218372
2013-11-01,3090,3090,3041,3059,9523,-0.0042317708333333
2013-11-04,3063,3121,3059,3068,7038,0.0029421379535796
2013-11-05,3094,3125,3019,3090,21576,0.0071707953063884
2013-11-06,3090,3090,3032,3046,5252,-0.0142394822006473
2013-11-07,3045,3050,3014,3028,18955,-0.0059093893630991
