Date,Open,High,Low,Close,Volume,Change
2023-04-04,18300,18330,17860,17880,60732,-0.020810514786418377
2023-04-05,17880,18430,17880,18250,50072,0.02069351230425065
2023-04-06,18250,18460,17860,17960,28432,-0.01589041095890409
2023-04-07,18000,18110,17700,17800,23521,-0.008908685968819552
2023-04-10,17750,17800,17570,17600,15840,-0.011235955056179803
2023-04-11,17600,17770,17360,17600,20197,0.0
2023-04-12,17610,17880,17520,17560,27330,-0.002272727272727315
2023-04-13,17530,17890,17520,17720,19766,0.009111617312072884
2023-04-14,17730,18050,17710,17800,21205,0.004514672686230181
2023-04-17,17900,18000,17670,17670,21604,-0.007303370786516883
2023-04-18,17720,17970,17350,17900,32324,0.013016411997736288
2023-04-19,17900,17990,17670,17720,13770,-0.010055865921787754
2023-04-20,17920,17920,17280,17300,60130,-0.023702031602708784
2023-04-21,17300,17440,17110,17390,20820,0.005202312138728349
2023-04-24,17410,17680,17300,17330,19673,-0.0034502587694077436
2023-04-25,17330,17560,17190,17270,76598,-0.0034622042700519495
2023-04-26,17280,17390,17210,17310,11499,0.0023161551823971394
2023-04-27,17320,17440,17250,17370,8720,0.0034662045060658286
2023-04-28,17370,17500,17340,17480,13624,0.0063327576280944875
2023-05-02,17400,17620,17390,17620,19365,0.008009153318077722
2023-05-03,17610,17610,17260,17270,22832,-0.01986379114642456
2023-05-04,17270,17370,17190,17290,15240,0.0011580775911985697
2023-05-08,17290,17570,17250,17460,18159,0.009832272990167645
2023-05-09,17580,18000,17410,17640,34357,0.010309278350515427
2023-05-10,17660,17880,17550,17790,32772,0.008503401360544283
2023-05-11,17820,17860,17630,17690,12253,-0.005621135469364824
2023-05-12,17780,17780,17450,17470,11766,-0.012436404748445429
2023-05-15,17470,17550,17160,17200,27929,-0.015455065827132186
2023-05-16,16990,16990,15800,16470,258902,-0.04244186046511633
2023-05-17,16470,16680,16250,16550,35159,0.004857316332726125
2023-05-18,16600,16640,16470,16480,68129,-0.004229607250755274
2023-05-19,16480,16690,16470,16660,9982,0.010922330097087318
2023-05-22,16600,16700,16460,16550,61063,-0.006602641056422609
2023-05-23,16660,16660,16470,16510,35140,-0.0024169184290030454
2023-05-24,16510,16550,16390,16500,28556,-0.0006056935190793533
2023-05-25,16500,16540,16380,16420,30236,-0.00484848484848488
2023-05-26,16590,16640,16420,16570,33772,0.009135200974421442
2023-05-30,16570,16680,16460,16560,23299,-0.0006035003017501595
2023-05-31,16560,16800,16410,16410,72113,-0.009057971014492794
2023-06-01,16410,16690,16410,16670,13662,0.01584399756246202
2023-06-02,16590,16670,16410,16430,32879,-0.014397120575884825
2023-06-05,16440,16550,16400,16490,12305,0.0036518563603165077
2023-06-07,16450,16700,16450,16490,20658,0.0
2023-06-08,16600,16600,16450,16510,13511,0.0012128562765312267
2023-06-09,16520,16700,16510,16620,25240,0.0066626287098727754
2023-06-12,16680,16690,16550,16590,30264,-0.0018050541516245744
2023-06-13,16640,16640,16370,16450,32811,-0.008438818565400852
2023-06-14,16450,16800,16250,16370,41124,-0.004863221884498503
2023-06-15,16370,16650,16280,16420,43167,0.0030543677458765295
2023-06-16,16360,16590,16360,16570,25709,0.009135200974421442
2023-06-19,16750,17020,16520,16940,57325,0.022329511164755678
2023-06-20,16940,17020,16570,16740,20013,-0.011806375442739103
2023-06-21,16740,17000,16500,16760,41482,0.0011947431302270495
2023-06-22,16770,16940,16580,16900,23643,0.00835322195704058
2023-06-23,16930,16940,16610,16610,11816,-0.017159763313609466
2023-06-26,16610,16940,16450,16830,29901,0.013245033112582849
2023-06-27,16800,17000,16450,16910,28797,0.004753416518122444
2023-06-28,16880,16950,16720,16870,16204,-0.0023654642223536193
2023-06-29,16750,17000,16670,16970,29635,0.005927682276229973
2023-06-30,16970,17160,16860,16990,18858,0.0011785503830288313
2023-07-03,16920,16970,16570,16620,19376,-0.021777516185991774
2023-07-04,16660,16670,16390,16490,16649,-0.007821901323706415
2023-07-05,16430,16500,16230,16230,23685,-0.01576713159490606
2023-07-06,16100,16300,15880,16090,34078,-0.008626001232285851
2023-07-07,16000,16090,15760,15830,40727,-0.01615910503418272
2023-07-10,15830,16150,15620,15630,29986,-0.012634238787113117
2023-07-11,15630,15780,15510,15600,15813,-0.0019193857965451588
2023-07-12,15740,15740,15030,15310,93117,-0.018589743589743635
2023-07-13,15450,15490,15120,15200,33098,-0.007184846505551956
2023-07-14,15210,15400,15090,15170,41303,-0.0019736842105263497
2023-07-17,15170,15170,15050,15160,37077,-0.0006591957811470373
2023-07-18,15150,15160,14720,14870,44176,-0.01912928759894461
2023-07-19,14940,14940,14330,14380,112642,-0.03295225285810355
2023-07-20,14480,14710,14320,14610,58909,0.01599443671766343
2023-07-21,14690,14690,14410,14550,24548,-0.004106776180698102
2023-07-24,14720,14720,14080,14090,36935,-0.03161512027491409
2023-07-25,14120,14170,13900,14050,34058,-0.002838892831795614
2023-07-26,13950,14000,13500,13610,80685,-0.03131672597864765
2023-07-27,13510,14000,13510,13840,33932,0.01689933872152838
2023-07-28,13670,13900,13650,13840,18572,0.0
2023-07-31,13840,14000,13770,13890,22611,0.0036127167630057855
2023-08-01,13980,14150,13910,14040,25774,0.010799136069114423
2023-08-02,14130,14130,14010,14100,7772,0.004273504273504258
2023-08-03,14190,14190,13920,14060,16081,-0.0028368794326241176
2023-08-04,14070,14260,14040,14220,15521,0.011379800853485111
2023-08-07,14220,14320,14180,14320,19048,0.007032348804500765
2023-08-08,14310,14340,14070,14070,31015,-0.017458100558659262
2023-08-09,14150,14210,14070,14160,13054,0.006396588486140775
2023-08-10,14150,14500,14140,14410,32368,0.017655367231638408
2023-08-11,14420,14840,14410,14530,46901,0.00832755031228305
2023-08-14,14420,14740,14420,14690,24954,0.0110116999311769
2023-08-16,14410,14410,14000,14090,72337,-0.04084411164057178
2023-08-17,14060,14100,13770,13960,26090,-0.009226401703335663
2023-08-18,13890,14260,13880,14210,36659,0.017908309455587412
2023-08-21,14210,14420,14210,14350,14114,0.009852216748768461
2023-08-22,14450,14450,14200,14230,21628,-0.00836236933797907
2023-08-23,14230,14470,14000,14410,20222,0.012649332396345692
2023-08-24,14500,14500,14300,14410,8416,0.0
2023-08-25,14410,14510,14100,14340,52961,-0.004857737682165131
2023-08-28,14340,14800,14280,14790,28951,0.03138075313807542
2023-08-29,14790,14810,14700,14780,15464,-0.0006761325219742931
2023-08-30,14670,14820,14650,14770,9763,-0.0006765899864682456
2023-08-31,14770,14800,14580,14580,23956,-0.012863913337846977
2023-09-01,14580,14580,14090,14200,55451,-0.026063100137174167
2023-09-04,14200,14330,14110,14330,33358,0.009154929577464888
2023-09-05,14330,14380,14040,14160,34433,-0.011863224005582707
2023-09-06,14130,14180,13910,13990,54934,-0.012005649717514166
2023-09-07,13980,13980,13700,13730,24522,-0.018584703359542543
2023-09-08,13700,13980,13690,13870,14084,0.010196649672250535
2023-09-11,13940,14120,13800,14100,16031,0.016582552271088735
2023-09-12,14100,14130,13920,14000,37504,-0.007092198581560294
2023-09-13,14000,14100,13920,14060,9382,0.004285714285714226
2023-09-14,14060,14750,14040,14750,39954,0.04907539118065429
2023-09-15,14680,14680,14460,14520,15885,-0.015593220338983027
2023-09-18,14520,14550,14440,14550,13900,0.0020661157024792765
2023-09-19,14520,14750,14470,14600,13688,0.0034364261168384758
2023-09-20,14760,14760,14510,14590,11507,-0.00068493150684934
2023-09-21,14650,14670,14210,14260,33093,-0.022618231665524346
2023-09-22,14160,14430,14140,14250,11048,-0.0007012622720897754
2023-09-25,14120,14420,14120,14230,10933,-0.0014035087719298511
2023-09-26,14380,14380,14050,14100,8684,-0.00913562895291642
2023-09-27,14170,14280,13900,14280,5693,0.012765957446808418
2023-10-04,14040,14280,13960,13970,27192,-0.02170868347338939
2023-10-05,13880,14180,13880,13940,12649,-0.0021474588403722628
2023-10-06,13850,14000,13850,13970,11302,0.002152080344332896
2023-10-10,14090,14090,13730,13800,14835,-0.012168933428775897
2023-10-11,13850,14000,13730,13820,20585,0.0014492753623187582
2023-10-12,13890,13930,13810,13870,8800,0.003617945007236001
2023-10-13,13950,13980,13460,13460,37318,-0.02956020187454944
2023-10-16,13460,13590,13210,13340,26607,-0.008915304606240682
