Date,Open,High,Low,Close,Volume,Change
2023-04-04,11210,11230,10940,11030,134120,-0.0018099547511312
2023-04-05,11000,11070,10730,10730,111327,-0.0271985494106981
2023-04-06,10730,10800,10350,10540,126835,-0.0177073625349487
2023-04-07,10540,10830,10460,10560,90963,0.0018975332068311
2023-04-10,10850,11130,10510,10540,165210,-0.0018939393939394
2023-04-11,10560,10940,10500,10790,83476,0.0237191650853889
2023-04-12,10760,10800,10370,10490,100765,-0.0278035217794253
2023-04-13,10420,10420,10100,10230,96993,-0.0247855100095328
2023-04-14,10390,10390,10150,10200,52640,-0.002932551319648
2023-04-17,10200,10320,9900,10040,91016,-0.0156862745098039
2023-04-18,10050,10140,9790,9920,87959,-0.0119521912350597
2023-04-19,9930,10130,9850,10110,64329,0.0191532258064515
2023-04-20,10200,10200,9700,9790,90058,-0.0316518298714144
2023-04-21,9790,9850,8950,9520,83997,-0.027579162410623
2023-04-24,9410,9800,9140,9740,118774,0.0231092436974789
2023-04-25,9760,10000,9680,9960,135662,0.0225872689938397
2023-04-26,9860,9990,9770,9890,77213,-0.0070281124497991
2023-04-27,9890,10000,9700,9960,86357,0.0070778564206268
2023-04-28,9960,10310,9910,9980,115330,0.002008032128514
2023-05-02,9980,10230,9980,10210,74289,0.0230460921843687
2023-05-03,10210,10320,10070,10070,70984,-0.0137120470127326
2023-05-04,10100,10190,9890,10030,64280,-0.0039721946375372
2023-05-08,10160,10220,10060,10120,42706,0.0089730807577268
2023-05-09,10120,10180,9880,10050,64799,-0.0069169960474307
2023-05-10,10050,10290,10020,10160,74183,0.0109452736318407
2023-05-11,10160,10370,10160,10250,52331,0.0088582677165354
2023-05-12,10250,10850,10150,10700,396101,0.0439024390243902
2023-05-15,11100,11100,10420,10590,195598,-0.0102803738317757
2023-05-16,10730,11410,10710,11240,395192,0.0613786591123701
2023-05-17,11270,11430,11050,11300,142395,0.0053380782918148
2023-05-18,11320,11730,11320,11600,235535,0.0265486725663717
2023-05-19,11590,12410,11560,12000,377668,0.0344827586206897
2023-05-22,12110,12520,12070,12450,236877,0.0375
2023-05-23,12790,12890,12210,12420,141765,-0.0024096385542168
2023-05-24,12290,12550,12050,12430,107144,0.000805152979066
2023-05-25,12790,12990,12510,12730,170159,0.0241351568785197
2023-05-26,12890,14090,12560,13960,568699,0.0966221523959152
2023-05-30,14350,17500,14100,17020,5418802,0.2191977077363895
2023-05-31,16850,17090,15880,16100,1025259,-0.054054054054054
2023-06-01,15910,15920,14800,15640,554450,-0.0285714285714285
2023-06-02,15560,15870,15010,15400,451804,-0.0153452685421995
2023-06-05,15390,15400,14780,14780,337786,-0.0402597402597402
2023-06-07,14900,14990,14590,14650,301341,-0.0087956698240866
2023-06-08,14460,14690,14150,14330,241153,-0.0218430034129692
2023-06-09,14420,15190,14220,15180,504233,0.0593161200279135
2023-06-12,15280,15290,14410,14950,344435,-0.0151515151515151
2023-06-13,15050,15510,14830,14940,381246,-0.0006688963210702
2023-06-14,15200,15450,14810,15160,357817,0.0147255689424363
2023-06-15,15200,15650,14960,15270,295545,0.0072559366754616
2023-06-16,15270,15600,15100,15490,212784,0.014407334643091
2023-06-19,15710,15870,14710,14970,260004,-0.0335700451904454
2023-06-20,14970,15670,14530,15480,347370,0.034068136272545
2023-06-21,15480,15500,14920,14950,129171,-0.0342377260981912
2023-06-22,14670,15050,14560,14900,76582,-0.0033444816053511
2023-06-23,14910,15090,14130,14390,163510,-0.0342281879194631
2023-06-26,14220,14680,13950,14580,127160,0.0132036136205697
2023-06-27,14380,14380,13900,14060,125240,-0.0356652949245541
2023-06-28,14110,14380,13740,13960,157636,-0.0071123755334281
2023-06-29,13980,14420,13980,14260,100237,0.0214899713467049
2023-06-30,14280,14350,13950,14110,64001,-0.0105189340813464
2023-07-03,14250,16390,14130,14810,1300889,0.0496102055279943
2023-07-04,14830,14900,14400,14630,191343,-0.0121539500337609
2023-07-05,14720,15340,14580,14630,302175,0.0
2023-07-06,14580,14630,13850,14050,168041,-0.0396445659603554
2023-07-07,13760,14150,13570,13570,94542,-0.0341637010676156
2023-07-10,13500,13850,13210,13560,89711,-0.0007369196757552
2023-07-11,13490,13720,13390,13680,64748,0.0088495575221239
2023-07-12,13730,13850,13530,13610,63209,-0.0051169590643275
2023-07-13,13870,14600,13700,14370,178870,0.0558412931667891
2023-07-14,14720,15170,14530,14580,341803,0.0146137787056368
2023-07-17,14410,14880,14240,14670,115508,0.0061728395061728
2023-07-18,14990,14990,14300,14300,103686,-0.0252215405589638
2023-07-19,14380,14530,13820,14340,105847,0.0027972027972027
2023-07-20,14340,14340,13870,14120,104821,-0.0153417015341701
2023-07-21,13810,13900,13450,13480,125425,-0.0453257790368272
2023-07-24,13480,13480,12780,13110,147214,-0.0274480712166171
2023-07-25,13180,13250,12550,12680,119485,-0.0327993897787948
2023-07-26,12700,12730,11740,12030,217753,-0.0512618296529968
2023-07-27,11890,12990,11890,12870,122732,0.0698254364089776
2023-07-28,12880,13310,12860,13080,96795,0.0163170163170163
2023-07-31,13170,13320,13010,13060,62190,-0.0015290519877675
2023-08-01,13090,13180,12480,12990,99269,-0.0053598774885145
2023-08-02,12890,12900,12380,12500,56614,-0.037721324095458
2023-08-03,12340,12440,12040,12340,75048,-0.0128
2023-08-04,12160,12460,12130,12240,37941,-0.0081037277147487
2023-08-07,12260,12440,11910,12370,50500,0.0106209150326797
2023-08-08,12400,13590,11970,12010,208035,-0.0291026677445432
2023-08-09,12110,12420,11910,12270,70779,0.0216486261448791
2023-08-10,12030,12200,11770,11840,60568,-0.0350448247758761
2023-08-11,11980,12320,11880,12170,78053,0.0278716216216217
2023-08-14,11850,11990,11420,11610,129392,-0.0460147904683648
2023-08-16,11360,11490,10500,10670,752023,-0.0809646856158483
2023-08-17,10410,10970,10410,10790,176491,0.0112464854732896
2023-08-18,10620,10710,10350,10430,145196,-0.0333642261353104
2023-08-21,10590,10770,10420,10500,131430,0.0067114093959732
2023-08-22,10670,10850,10360,10360,160318,-0.0133333333333333
2023-08-23,10400,10480,10250,10360,87767,0.0
2023-08-24,10700,10720,10380,10450,188008,0.0086872586872586
2023-08-25,10310,10310,10060,10080,207540,-0.0354066985645933
2023-08-28,10370,10790,10130,10720,235356,0.0634920634920634
2023-08-29,10860,11110,10670,11000,236908,0.0261194029850746
2023-08-30,11070,11270,10960,11080,174481,0.0072727272727273
2023-08-31,11100,11170,10960,10980,81107,-0.0090252707581227
2023-09-01,10980,11520,10890,11340,195460,0.0327868852459016
2023-09-04,11600,11700,11210,11320,241861,-0.0017636684303351
2023-09-05,11400,11510,11300,11370,119090,0.004416961130742
2023-09-06,11380,11430,11160,11200,104693,-0.0149516270888302
2023-09-07,11090,11250,11070,11100,105841,-0.0089285714285713
