Date,Open,High,Low,Close,Volume,Change
2019-06-18,6000,6060,5780,5780,69933,-0.036666666666666625
2019-06-19,5780,6010,5630,5970,89756,0.03287197231833905
2019-06-20,5970,6040,5850,6010,33592,0.00670016750418756
2019-06-21,6010,6080,5910,6060,77955,0.008319467554076532
2019-06-24,6100,6120,5980,6050,59028,-0.0016501650165016146
2019-06-25,6070,6070,5890,5900,41445,-0.024793388429752095
2019-06-26,5900,6090,5820,5950,92818,0.008474576271186418
2019-06-27,5950,6000,5790,5790,44334,-0.026890756302521024
2019-06-28,5790,5840,5710,5770,19634,-0.003454231433506094
2019-07-01,5750,5790,5680,5700,19198,-0.012131715771230511
2019-07-02,5710,5770,5660,5700,11195,0.0
2019-07-03,5700,5750,5600,5670,18109,-0.0052631578947368585
2019-07-04,5650,5720,5580,5640,26388,-0.005291005291005346
2019-07-05,5630,5700,5400,5590,40735,-0.00886524822695034
2019-07-08,5610,5610,5300,5340,40806,-0.04472271914132375
2019-07-09,5340,5490,5310,5480,38844,0.02621722846441954
2019-07-10,5480,5700,5410,5630,35624,0.027372262773722733
2019-07-11,5640,5700,5600,5690,16741,0.010657193605683846
2019-07-12,5640,5730,5620,5670,11802,-0.0035149384885764245
2019-07-15,5740,5740,5520,5540,17021,-0.022927689594356315
2019-07-16,5540,5550,5390,5480,20494,-0.010830324909747335
2019-07-17,5480,5480,5340,5400,14747,-0.014598540145985384
2019-07-18,5350,5460,5280,5420,31949,0.0037037037037037646
2019-07-19,5420,5540,5380,5420,20303,0.0
2019-07-22,5750,6090,5610,5700,686650,0.05166051660516602
2019-07-23,5670,5730,5510,5630,94801,-0.012280701754386003
2019-07-24,5610,5700,5550,5560,50807,-0.01243339253996445
2019-07-25,5520,5590,5440,5510,43059,-0.008992805755395739
2019-07-26,5560,5560,5290,5360,55346,-0.02722323049001818
2019-07-29,5360,5400,5080,5110,37156,-0.04664179104477617
2019-07-30,5010,5210,5010,5180,21621,0.013698630136986356
2019-07-31,5200,5200,5060,5160,17227,-0.0038610038610038533
2019-08-01,5170,5170,5080,5120,16007,-0.007751937984496138
2019-08-02,5060,5120,4930,5110,25247,-0.001953125
2019-08-05,5060,5060,4825,4860,40260,-0.048923679060665415
2019-08-06,4665,4880,4640,4790,39394,-0.014403292181069949
2019-08-07,4790,4800,4680,4775,52243,-0.0031315240083507057
2019-08-08,4775,5110,4775,4960,24993,0.03874345549738223
2019-08-09,5040,5040,4910,4970,14005,0.002016129032258007
2019-08-12,5010,5060,4940,5040,11268,0.014084507042253502
2019-08-13,5040,5040,4965,5000,9623,-0.007936507936507908
2019-08-14,5010,5170,4990,5170,31686,0.03400000000000003
2019-08-16,5160,5180,5100,5150,15805,-0.003868471953578312
2019-08-19,5170,5280,5130,5280,17835,0.025242718446601975
2019-08-20,5310,5330,5220,5320,8512,0.007575757575757569
2019-08-21,5340,5380,5260,5350,12107,0.005639097744360999
2019-08-22,5380,5380,5260,5360,18327,0.0018691588785046953
2019-08-23,5260,5350,5200,5260,22124,-0.018656716417910446
2019-08-26,5180,5180,5030,5100,15894,-0.03041825095057038
2019-08-27,5150,5170,5080,5100,13254,0.0
2019-08-28,5060,5150,5000,5060,31700,-0.007843137254901933
2019-08-29,5080,5160,5020,5160,14336,0.01976284584980248
2019-08-30,5230,5230,5130,5210,18337,0.009689922480620172
2019-09-02,5230,5270,5170,5270,17625,0.011516314779270731
2019-09-03,5280,5320,5170,5310,21549,0.007590132827324458
2019-09-04,5240,5360,5240,5330,15973,0.0037664783427495685
2019-09-05,5360,5390,5320,5350,10636,0.0037523452157599557
2019-09-06,5360,5410,5350,5380,10264,0.005607476635514086
2019-09-09,5400,5500,5350,5490,38491,0.020446096654274992
2019-09-10,5400,5480,5360,5470,18067,-0.0036429872495445936
2019-09-11,5410,5570,5410,5550,26494,0.014625228519195677
2019-09-16,5650,5650,5530,5570,16627,0.003603603603603567
2019-09-17,5580,5580,5470,5540,13192,-0.0053859964093356805
2019-09-18,5540,5540,5480,5530,11963,-0.0018050541516245744
2019-09-19,5550,5560,5470,5490,13405,-0.007233273056057921
2019-09-20,5570,5570,5450,5470,26626,-0.0036429872495445936
2019-09-23,5530,5530,5450,5450,9670,-0.003656307129798919
2019-09-24,5520,5540,5450,5530,29619,0.014678899082568808
2019-09-25,5530,5550,5480,5510,31305,-0.003616636528028905
2019-09-26,5540,5630,5500,5530,56441,0.003629764065335772
2019-09-27,5590,5650,5530,5580,36075,0.009041591320072317
2019-09-30,5590,5620,5520,5570,29442,-0.0017921146953404632
2019-10-01,5550,5610,5550,5610,18392,0.007181328545780907
2019-10-02,5610,5620,5510,5570,27214,-0.007130124777183555
2019-10-04,5570,5600,5510,5570,45713,0.0
2019-10-07,5600,5620,5540,5550,25637,-0.0035906642728904536
2019-10-08,5550,5620,5510,5600,19104,0.009009009009008917
2019-10-10,5600,5740,5560,5690,39772,0.016071428571428514
2019-10-11,5690,5910,5670,5850,74640,0.02811950790861162
2019-10-14,5850,5900,5800,5900,41262,0.008547008547008517
2019-10-15,5900,5900,5810,5830,26138,-0.011864406779661052
2019-10-16,5870,5870,5790,5850,15754,0.0034305317324185847
2019-10-17,5810,5880,5800,5820,25735,-0.00512820512820511
2019-10-18,5820,5910,5820,5900,26326,0.013745704467353903
2019-10-21,5890,6050,5880,6050,66114,0.025423728813559254
2019-10-22,6060,6070,6000,6070,35020,0.0033057851239668423
2019-10-23,6070,6070,5940,6000,26553,-0.011532125205930832
2019-10-24,6000,6040,5950,6010,12346,0.0016666666666667052
2019-10-25,6010,6120,5980,6100,57550,0.014975041597337757
2019-10-28,6110,6150,6080,6120,47389,0.003278688524590123
2019-10-29,6110,6180,6070,6160,55753,0.006535947712418277
2019-10-30,6160,6180,6080,6090,24675,-0.011363636363636354
2019-10-31,6100,6130,5980,6100,37695,0.0016420361247948545
2019-11-01,6090,6140,6050,6110,15873,0.0016393442622950616
2019-11-04,6060,6120,6040,6120,31738,0.0016366612111293755
2019-11-05,6130,6150,6040,6120,17759,0.0
2019-11-06,6120,6120,6020,6100,28923,-0.0032679738562091387
2019-11-07,6050,6110,5970,6070,65817,-0.004918032786885296
2019-11-08,6070,6090,5940,6020,21625,-0.008237232289950547
2019-11-11,6040,6040,5870,5970,34962,-0.00830564784053156
2019-11-12,5970,6040,5940,6040,14705,0.011725293132328396
2019-11-13,6050,6190,5970,6190,48187,0.024834437086092676
2019-11-14,6200,6780,6200,6700,414316,0.08239095315024225
2019-11-15,6730,6790,6580,6710,142417,0.0014925373134329067
2019-11-18,6710,6770,6680,6750,78748,0.005961251862891315
2019-11-19,6710,6800,6580,6800,61106,0.007407407407407307
2019-11-20,6800,7100,6740,6820,193669,0.002941176470588225
2019-11-21,6850,6910,6610,6730,75268,-0.01319648093841641
2019-11-22,6730,6730,6490,6560,143566,-0.025260029717682042
2019-11-25,6670,6820,6650,6820,71426,0.03963414634146334
2019-11-26,6830,7060,6820,6940,130108,0.017595307917888547
2019-11-27,7020,7060,6880,6920,67308,-0.0028818443804035088
2019-11-28,6920,6960,6830,6830,40687,-0.013005780346820761
2019-11-29,6830,6860,6680,6740,51893,-0.013177159590043952
2019-12-02,6740,6960,6700,6820,55534,0.011869436201780381
2019-12-03,6810,6950,6720,6860,53657,0.0058651026392961825
2019-12-04,6870,6900,6620,6670,93058,-0.0276967930029155
2019-12-05,6710,6840,6640,6730,69783,0.008995502248875464
2019-12-06,6730,7030,6730,6920,229286,0.028231797919762158
2019-12-09,6920,7060,6890,6980,75191,0.00867052023121384
2019-12-10,6960,7050,6910,6970,38998,-0.0014326647564469885
2019-12-11,7010,7150,7000,7080,298556,0.015781922525107683
2019-12-12,7130,7140,6970,7070,135742,-0.0014124293785310327
2019-12-13,7080,7190,7020,7150,162574,0.011315417256011262
2019-12-16,7150,7210,7110,7200,90688,0.006993006993007089
2019-12-17,7250,7750,7250,7750,603263,0.07638888888888884
2019-12-18,7750,7750,7460,7620,327019,-0.01677419354838705
2019-12-19,7650,7690,7520,7530,125205,-0.011811023622047223
2019-12-20,7490,7610,7480,7580,103514,0.006640106241699861
2019-12-23,7590,7590,7360,7430,93742,-0.01978891820580475
2019-12-24,7400,7560,7370,7500,92113,0.009421265141319024
2019-12-26,7510,7620,7450,7530,197416,0.0040000000000000036
2019-12-27,7300,7400,7220,7350,138885,-0.0239043824701195
2019-12-30,7360,7390,7190,7340,152532,-0.0013605442176870541
2020-01-02,7350,7360,7230,7330,104247,-0.0013623978201634523
2020-01-03,7330,7360,7240,7270,95842,-0.008185538881309684
2020-01-06,7270,7270,6970,7010,146458,-0.03576341127922966
2020-01-07,7040,7170,7020,7080,78358,0.009985734664764712
2020-01-08,7080,7080,6650,6720,195186,-0.05084745762711862
2020-01-09,6900,6970,6850,6940,97395,0.032738095238095344
2020-01-10,6930,7050,6910,6970,83178,0.004322766570605152
2020-01-13,6940,6970,6840,6910,82037,-0.008608321377331474
2020-01-14,7000,7130,6920,7020,104308,0.01591895803183796
2020-01-15,7060,7060,6970,7020,57029,0.0
2020-01-16,7210,7260,7000,7070,175930,0.007122507122507171
2020-01-17,7110,7180,7070,7090,66609,0.0028288543140029265
2020-01-20,7150,7180,7070,7110,105820,0.0028208744710860323
2020-01-21,7110,7160,6970,7010,83152,-0.01406469760900142
2020-01-22,7010,7060,6900,7000,56845,-0.0014265335235378318
2020-01-23,7040,7050,6880,6900,70018,-0.014285714285714235
2020-01-28,6690,6700,6330,6500,224965,-0.05797101449275366
2020-01-29,6590,6660,6500,6620,86044,0.01846153846153853
2020-01-30,6660,6660,6420,6470,59828,-0.0226586102719033
2020-01-31,6440,6540,6250,6330,89266,-0.021638330757341562
2020-02-03,6260,6360,6090,6210,120247,-0.018957345971563955
2020-02-04,6210,6480,6210,6380,66310,0.027375201288244666
2020-02-05,6520,6570,6370,6420,82774,0.006269592476489061
2020-02-06,6460,6540,6350,6530,82456,0.017133956386292892
2020-02-07,6530,6540,6440,6490,40933,-0.006125574272588086
2020-02-10,6480,6620,6400,6560,65975,0.01078582434514641
2020-02-11,6560,6670,6550,6600,60162,0.0060975609756097615
2020-02-12,6610,6900,6610,6880,161272,0.042424242424242475
2020-02-13,7010,7110,6850,6930,163503,0.007267441860465018
2020-02-14,6930,7080,6860,7040,103128,0.015873015873015817
2020-02-17,7080,7150,7010,7030,53683,-0.0014204545454545858
2020-02-18,7000,7050,6790,6830,90129,-0.028449502133712667
2020-02-19,6880,6910,6700,6840,62435,0.0014641288433381305
2020-02-20,6880,6880,6700,6760,69884,-0.011695906432748537
2020-02-21,6620,6770,6480,6510,100705,-0.03698224852071008
2020-02-24,6340,6440,6030,6100,135469,-0.06298003072196623
2020-02-25,5950,6300,5950,6260,110764,0.026229508196721207
2020-02-26,6150,6180,6050,6060,80265,-0.03194888178913735
2020-02-27,6040,6090,5800,5830,112295,-0.037953795379537913
2020-02-28,5690,5730,5420,5460,140086,-0.0634648370497427
2020-03-02,5460,5620,5360,5620,99924,0.0293040293040292
2020-03-03,5830,5850,5570,5570,72923,-0.008896797153024938
2020-03-04,5510,5810,5510,5780,96847,0.037701974865349985
2020-03-05,5800,5880,5770,5850,58158,0.01211072664359869
2020-03-06,5760,5880,5420,5700,45276,-0.02564102564102566
2020-03-09,5540,5620,5290,5320,87893,-0.06666666666666665
2020-03-10,5200,5380,5130,5330,99285,0.001879699248120259
2020-03-11,5290,5310,4970,5010,134472,-0.060037523452157626
2020-03-12,4930,5010,4650,4675,149051,-0.06686626746506985
2020-03-13,4085,4390,4045,4340,143159,-0.07165775401069518
2020-03-16,4390,4500,4070,4070,130593,-0.062211981566820285
2020-03-17,3795,4095,3795,3920,119781,-0.03685503685503688
2020-03-18,3925,4170,3805,3875,90275,-0.011479591836734748
2020-03-19,3905,3940,3300,3360,198206,-0.13290322580645164
2020-03-20,3325,3650,3325,3620,159018,0.07738095238095233
2020-03-23,3470,3490,3290,3290,101905,-0.09116022099447518
2020-03-24,3350,3515,3340,3515,94451,0.06838905775075999
2020-03-25,3640,3750,3630,3745,108141,0.06543385490753906
2020-03-26,3750,3945,3695,3855,142248,0.029372496662216196
2020-03-27,3980,4040,3835,3920,134575,0.016861219195849486
2020-03-30,3775,4050,3720,4030,74072,0.028061224489795977
2020-03-31,4130,4160,4040,4145,91554,0.028535980148883366
2020-04-01,4055,4310,4055,4130,130492,-0.003618817852834688
2020-04-02,4125,4190,4000,4185,89130,0.013317191283293006
2020-04-03,4250,4370,4200,4310,93619,0.029868578255675127
2020-04-06,4340,4590,4325,4550,83634,0.05568445475638062
2020-04-07,4690,4690,4510,4650,81090,0.0219780219780219
2020-04-08,4625,4850,4580,4760,119576,0.023655913978494647
2020-04-09,4870,5000,4845,4965,156707,0.04306722689075637
2020-04-10,5000,5120,4860,5000,135750,0.007049345417925457
2020-04-13,5030,5030,4815,4820,90701,-0.03600000000000003
2020-04-14,4850,4980,4850,4930,63880,0.022821576763485396
2020-04-16,4930,4985,4850,4985,72041,0.011156186612576002
2020-04-17,5050,5450,5050,5290,259216,0.0611835506519558
2020-04-20,5370,5410,5290,5330,142170,0.007561436672967936
2020-04-21,5320,5420,5100,5210,175311,-0.022514071294559068
2020-04-22,5110,5290,5020,5290,84767,0.015355086372360827
2020-04-23,5290,5390,5290,5300,40607,0.001890359168241984
2020-04-24,5300,5330,5150,5220,56737,-0.015094339622641506
2020-04-27,5200,5300,5190,5270,51983,0.009578544061302763
2020-04-28,5320,5390,5240,5330,55092,0.011385199240986799
2020-04-29,5330,5460,5310,5410,64014,0.015009380863039379
2020-05-04,5390,5420,5290,5360,44593,-0.009242144177449174
2020-05-06,5390,5460,5380,5430,43471,0.013059701492537323
2020-05-07,5440,5480,5400,5480,42897,0.009208103130755152
2020-05-08,5490,5670,5490,5580,81774,0.018248175182481674
2020-05-11,5600,5620,5420,5420,92222,-0.028673835125448077
2020-05-12,5410,5460,5220,5340,101013,-0.014760147601476037
2020-05-13,5300,5440,5270,5430,71945,0.016853932584269593
2020-05-14,5440,5460,5260,5320,46847,-0.02025782688766109
2020-05-15,5370,5410,5230,5400,73277,0.015037593984962516
2020-05-18,5550,5550,5360,5490,100531,0.016666666666666607
2020-05-19,5580,5650,5520,5620,110318,0.023679417122040025
2020-05-20,5600,5740,5600,5720,100042,0.017793594306049876
2020-05-21,5740,5950,5720,5910,142780,0.03321678321678312
2020-05-22,5940,6350,5870,6110,511740,0.03384094754653133
2020-05-25,6350,7620,6340,7110,2324564,0.16366612111292955
2020-05-26,7230,7990,7230,7870,1572019,0.10689170182841079
2020-05-27,7930,8440,7920,8060,1213322,0.02414231257941557
2020-05-28,8370,8370,7500,7790,371292,-0.03349875930521096
2020-05-29,7650,7650,7080,7320,538394,-0.060333761232349126
2020-06-01,7310,7460,7280,7330,440693,0.001366120218579292
2020-06-02,7390,7530,6670,6930,1088361,-0.054570259208731264
2020-06-03,6960,7040,6770,7000,353727,0.010101010101010166
2020-06-04,7010,7080,6700,6830,493100,-0.024285714285714244
2020-06-05,6830,6950,6800,6840,212692,0.0014641288433381305
2020-06-08,6900,6990,6730,6780,188876,-0.00877192982456143
2020-06-09,6810,6930,6780,6930,228767,0.022123893805309658
2020-06-10,6970,6970,6730,6780,229436,-0.02164502164502169
2020-06-11,6780,6870,6700,6810,169587,0.004424778761061843
2020-06-12,6470,6550,6120,6500,255367,-0.04552129221732748
2020-06-15,6500,6590,5960,5960,258198,-0.08307692307692305
2020-06-16,6160,6320,6070,6310,147262,0.0587248322147651
2020-06-17,6220,6390,6090,6350,135688,0.006339144215530945
2020-06-18,6370,6430,6220,6230,101151,-0.018897637795275646
2020-06-19,6250,6320,6120,6300,134588,0.011235955056179803
2020-06-22,6290,6580,6200,6490,198991,0.03015873015873005
2020-06-23,6590,6610,6340,6430,82577,-0.009244992295839749
2020-06-24,6430,6620,6410,6560,119969,0.02021772939346822
2020-06-25,6430,6510,6300,6390,88063,-0.02591463414634143
2020-06-26,6420,6500,6320,6420,46454,0.0046948356807512415
2020-06-29,6300,6350,6200,6280,59447,-0.02180685358255452
2020-06-30,6420,6420,6170,6190,54661,-0.014331210191082855
2020-07-01,6280,6280,6150,6180,47032,-0.001615508885298822
2020-07-02,6180,6240,6150,6230,39801,0.008090614886731462
2020-07-03,6230,6430,6220,6290,98338,0.009630818619582593
2020-07-06,6290,6420,6250,6410,56326,0.019077901430842648
2020-07-07,6430,6920,6430,6680,442336,0.04212168486739465
2020-07-08,6680,6880,6550,6820,188229,0.020958083832335328
2020-07-09,6880,6900,6730,6760,171687,-0.008797653958944274
2020-07-10,6760,6760,6530,6630,112911,-0.019230769230769273
2020-07-13,6640,6830,6590,6780,123286,0.02262443438914019
2020-07-14,6770,6950,6650,6900,239515,0.017699115044247815
2020-07-15,6910,7450,6860,7430,893045,0.07681159420289863
2020-07-16,7430,7920,7220,7510,1563041,0.010767160161507361
2020-07-17,7530,7650,7260,7360,419927,-0.01997336884154466
2020-07-20,7360,7360,7100,7290,223006,-0.009510869565217406
2020-07-21,7260,7380,7200,7300,229591,0.00137174211248281
2020-07-22,7280,7470,7140,7370,199051,0.009589041095890316
2020-07-23,7350,7640,7190,7530,646420,0.02170963364993206
2020-07-24,7520,7520,7210,7220,246159,-0.04116865869853914
2020-07-27,7110,7600,7100,7460,451429,0.0332409972299168
2020-07-28,7570,7570,7290,7370,168023,-0.012064343163538882
2020-07-29,7380,7570,7290,7390,221140,0.0027137042062415073
2020-07-30,7460,7690,7420,7580,757775,0.025710419485791558
2020-07-31,7610,7650,7400,7400,249621,-0.0237467018469657
2020-08-03,7510,7620,7400,7510,247040,0.014864864864864824
2020-08-04,7650,7850,7550,7580,586888,0.009320905459387463
2020-08-05,7580,7740,7580,7670,330016,0.01187335092348274
2020-08-06,7730,7940,7560,7590,458686,-0.010430247718383301
2020-08-07,7630,7700,7420,7700,235393,0.01449275362318847
2020-08-10,7700,7920,7650,7800,271295,0.01298701298701288
2020-08-11,7850,7880,7500,7510,355981,-0.03717948717948716
2020-08-12,7460,7510,7150,7180,270031,-0.04394141145139818
2020-08-13,7280,7400,7220,7270,146153,0.012534818941504211
2020-08-14,7340,7340,7090,7160,107818,-0.015130674002751032
2020-08-18,7030,7100,6580,6640,252524,-0.07262569832402233
2020-08-19,6700,6830,6650,6740,83173,0.015060240963855387
2020-08-20,6750,6800,6150,6180,316628,-0.08308605341246289
2020-08-21,6280,6310,6000,6190,162336,0.0016181229773462036
2020-08-24,6080,6270,6000,6260,138493,0.011308562197092087
2020-08-25,6310,6580,6310,6510,94765,0.039936102236421744
2020-08-26,6560,6560,6330,6410,103374,-0.015360983102918557
2020-08-27,6410,6480,6200,6290,99812,-0.018720748829953227
2020-08-28,6370,6420,6240,6350,57674,0.009538950715421324
2020-08-31,6360,6490,6360,6420,55211,0.011023622047244164
2020-09-01,6450,6570,6450,6520,96879,0.015576323987538832
2020-09-02,6530,6650,6530,6610,94914,0.013803680981595123
2020-09-03,6640,6710,6580,6610,58592,0.0
2020-09-04,6450,6540,6370,6450,96784,-0.024205748865355536
2020-09-07,6510,6560,6290,6520,164196,0.010852713178294504
2020-09-08,6600,6600,6400,6570,172621,0.0076687116564417845
2020-09-09,6530,6570,6440,6510,88911,-0.0091324200913242
2020-09-10,6620,6620,6540,6610,79108,0.015360983102918668
2020-09-11,6660,6670,6530,6600,81213,-0.001512859304084735
2020-09-14,6660,6800,6610,6800,111761,0.030303030303030276
2020-09-15,6820,6880,6730,6810,84766,0.0014705882352941124
2020-09-16,6830,6830,6680,6700,74892,-0.016152716593245242
2020-09-17,6700,6750,6540,6600,72606,-0.014925373134328401
2020-09-18,6720,6720,6530,6650,48983,0.007575757575757569
2020-09-21,6650,6690,6450,6550,81601,-0.015037593984962405
2020-09-22,6580,6580,6300,6320,108304,-0.03511450381679393
2020-09-23,6430,6430,6200,6270,52225,-0.007911392405063333
2020-09-24,6200,6230,6070,6130,67107,-0.022328548644338087
2020-09-25,6200,6220,6100,6150,45238,0.0032626427406199365
2020-09-28,6300,6330,6160,6320,39077,0.027642276422764178
2020-09-29,6350,6460,6340,6380,27422,0.009493670886076
2020-10-05,6350,6590,6310,6590,68339,0.03291536050156729
2020-10-06,6640,6650,6560,6600,32788,0.0015174506828528056
2020-10-07,6620,6650,6510,6650,39204,0.007575757575757569
2020-10-08,6660,6710,6590,6660,50729,0.0015037593984963404
2020-10-12,6700,6700,6610,6640,47797,-0.0030030030030030463
2020-10-13,6660,6700,6620,6670,36837,0.004518072289156683
2020-10-14,6670,6680,6550,6590,44488,-0.01199400299850073
2020-10-15,6590,6590,6380,6480,74519,-0.01669195751138086
2020-10-16,6500,6500,6270,6350,78355,-0.020061728395061706
2020-10-19,6330,6400,6310,6310,33327,-0.006299212598425252
2020-10-20,6300,6380,6210,6380,47386,0.011093502377178988
2020-10-21,6390,6520,6360,6520,35403,0.021943573667711602
2020-10-22,6520,6530,6390,6450,29821,-0.010736196319018454
2020-10-23,6530,6530,6360,6430,34165,-0.0031007751937984773
2020-10-26,6490,6490,6280,6320,35027,-0.017107309486780742
2020-10-27,6270,6380,6250,6320,28767,0.0
2020-10-28,6230,6400,6230,6390,27516,0.011075949367088667
2020-10-29,6260,6350,6230,6350,37538,-0.006259780907668211
2020-10-30,6380,6390,6210,6250,50381,-0.015748031496062964
2020-11-02,6290,6320,6110,6300,25410,0.008000000000000007
2020-11-03,6300,6450,6300,6400,48297,0.015873015873015817
2020-11-04,6490,6490,6330,6430,40405,0.004687499999999956
2020-11-05,6420,6540,6420,6500,32377,0.010886469673405896
2020-11-06,6580,6580,6390,6450,27347,-0.007692307692307665
2020-11-09,6520,6530,6440,6500,61173,0.007751937984496138
2020-11-10,6520,6570,6470,6560,69413,0.009230769230769154
2020-11-11,6560,6600,6530,6560,62479,0.0
2020-11-12,6560,6670,6550,6620,79509,0.009146341463414531
2020-11-13,6630,6630,6500,6600,50498,-0.0030211480362537513
2020-11-16,6640,6660,6580,6620,79108,0.003030303030302939
2020-11-17,6620,6720,6610,6650,77073,0.004531722054380571
2020-11-18,6650,6690,6610,6650,62660,0.0
2020-11-19,6650,6670,6570,6650,40285,0.0
2020-11-20,6650,6710,6610,6710,61637,0.009022556390977376
2020-11-23,6740,6740,6660,6700,55909,-0.0014903129657227732
2020-11-24,6700,6890,6700,6800,121813,0.014925373134328401
2020-11-25,6860,6870,6590,6700,129774,-0.014705882352941124
2020-11-26,6660,6700,6610,6680,54871,-0.0029850746268657025
2020-11-27,6690,6760,6640,6750,52927,0.010479041916167775
2020-11-30,6780,6850,6720,6750,57710,0.0
2020-12-01,6750,6780,6690,6750,38440,0.0
2020-12-02,6760,6920,6760,6840,130357,0.01333333333333342
2020-12-03,6860,6910,6780,6910,106856,0.01023391812865504
2020-12-04,7030,7870,7010,7130,3636677,0.03183791606367592
2020-12-07,7210,7440,7100,7310,400545,0.02524544179523147
2020-12-08,7300,7340,7100,7260,244347,-0.0068399452804377425
2020-12-09,7280,7690,7280,7620,525478,0.04958677685950419
2020-12-10,7530,7830,7530,7700,308695,0.01049868766404205
2020-12-11,7670,7840,7500,7580,250790,-0.01558441558441559
2020-12-14,7510,7570,7290,7390,227927,-0.02506596306068598
