Date,Open,High,Low,Close,Volume,Change
2019-06-18,6126,6662,6126,6612,833247,0.0604651162790697
2019-06-19,6587,6679,6361,6445,629500,-0.02525710828796124
2019-06-20,6461,7056,6361,6822,1365881,0.05849495733126453
2019-06-21,6821,7047,6703,6771,606814,-0.007475813544415177
2019-06-24,6947,6971,6436,6587,636246,-0.02717471569930585
2019-06-25,6586,6652,6175,6361,523549,-0.034310004554425344
2019-06-26,6377,6579,6235,6395,209327,0.005345071529633705
2019-06-27,6277,6553,6252,6495,325125,0.015637216575449475
2019-06-28,6445,6537,6168,6353,298851,-0.021862971516551144
2019-07-01,6276,6527,6243,6277,223856,-0.011962852195813056
2019-07-02,6368,6368,6092,6244,200885,-0.005257288513621172
2019-07-03,6243,6276,5983,6143,206016,-0.016175528507367032
2019-07-04,6075,6251,5967,6085,213680,-0.009441640892072223
2019-07-05,6009,6176,5807,6177,246722,0.015119145439605575
2019-07-08,6168,6168,5691,5834,218610,-0.05552857374129838
2019-07-09,5867,6068,5632,5684,296369,-0.02571134727459723
2019-07-10,5691,5816,5565,5767,196671,0.014602392681210441
2019-07-11,5816,6160,5733,6160,306706,0.06814634992196988
2019-07-12,6192,6393,6091,6277,275187,0.018993506493506507
2019-07-15,6252,6302,5850,6018,297125,-0.041261749243269086
2019-07-16,6034,6050,5833,5976,157581,-0.006979062811565351
2019-07-17,5974,5974,5782,5808,155036,-0.028112449799196804
2019-07-18,5699,6075,5699,6051,178494,0.04183884297520657
2019-07-19,6050,6083,5866,5959,133896,-0.01520409849611637
2019-07-22,5958,5958,5733,5834,137826,-0.02097667393858027
2019-07-23,5858,5975,5733,5767,156183,-0.01148440178265342
2019-07-24,5673,5757,5322,5382,290084,-0.06675914687012308
2019-07-25,5381,5481,5104,5382,258671,0.0
2019-07-26,5439,5439,5163,5290,105440,-0.017094017094017144
2019-07-29,5288,5288,5020,5063,145629,-0.04291115311909266
2019-07-30,4937,5254,4937,5147,108983,0.016590953979853884
2019-07-31,5104,5146,4870,5122,132046,-0.004857198367981375
2019-08-01,5095,5129,4878,4879,81790,-0.04744240531042565
2019-08-02,4727,5045,4610,4879,174758,0.0
2019-08-05,4879,4879,4428,4428,233591,-0.09243697478991597
2019-08-06,3998,4668,3998,4410,265541,-0.004065040650406471
2019-08-07,4410,4560,4301,4494,156464,0.01904761904761898
2019-08-08,4527,4878,4527,4837,295874,0.07632398753894076
2019-08-09,5020,5020,4694,4729,137560,-0.02232788918751294
2019-08-12,4728,4812,4702,4762,60378,0.006978219496722282
2019-08-13,4685,4744,4611,4695,53666,-0.01406971860562789
2019-08-14,4702,4870,4702,4821,115613,0.026837060702875393
2019-08-16,4745,4771,4603,4721,83074,-0.02074258452603195
2019-08-19,4728,4820,4661,4687,58654,-0.007201864011861847
2019-08-20,4694,4828,4678,4804,94017,0.024962662684019588
2019-08-21,4803,5003,4735,4971,158494,0.03476269775187335
2019-08-22,5113,5357,4896,5131,529134,0.032186682760008134
2019-08-23,5021,5365,4971,5365,382096,0.045605145195868335
2019-08-26,5272,5272,5004,5114,228891,-0.04678471575023302
2019-08-27,5112,5238,4995,5055,149623,-0.011536957371920176
2019-08-28,5021,5080,4862,4980,190265,-0.014836795252225476
2019-08-29,5012,5020,4493,4561,454663,-0.08413654618473898
2019-08-30,4602,4719,4569,4603,172362,0.009208506906380087
2019-09-02,4635,4686,4543,4687,87171,0.01824896806430587
2019-09-03,4687,4729,4603,4679,55367,-0.0017068487305312852
2019-09-04,4669,4678,4577,4628,146589,-0.010899764907031373
2019-09-05,4628,4770,4594,4662,150869,0.0073465859982713155
2019-09-06,4669,5120,4669,5105,417291,0.09502359502359492
2019-09-09,5122,5239,4871,4897,381387,-0.040744368266405484
2019-09-10,4896,4971,4804,4947,91418,0.010210332856851023
2019-09-11,4988,5440,4979,5089,1125168,0.028704265211239033
2019-09-16,5113,5365,5105,5231,478352,0.027903320888190253
2019-09-17,5230,5339,5021,5189,238821,-0.00802905754157901
2019-09-18,5180,5188,5071,5114,94884,-0.014453651956060853
2019-09-19,5121,5415,4929,5005,549020,-0.021314039890496628
2019-09-20,5062,5146,4995,5055,180986,0.009990009990010096
2019-09-23,5139,5265,5021,5081,269245,0.005143422354104921
2019-09-24,5047,5080,4971,5047,165731,-0.006691596142491596
2019-09-25,5055,5055,4679,4679,335836,-0.07291460273429762
2019-09-26,4687,4997,4687,4905,224638,0.04830091899978628
2019-09-27,4837,4971,4837,4913,52417,0.0016309887869521145
2019-09-30,4912,4962,4669,4729,148179,-0.037451658864237736
2019-10-01,4703,4770,4611,4662,111567,-0.014167900190315108
2019-10-02,4602,4611,4401,4553,284400,-0.023380523380523432
2019-10-04,4518,4576,4417,4452,91203,-0.022183175927959597
2019-10-07,4468,4577,4418,4545,108666,0.02088948787061984
2019-10-08,4544,4552,4402,4528,116951,-0.003740374037403793
2019-10-10,4527,4577,4435,4545,60244,0.0037544169611307687
2019-10-11,4594,4628,4485,4494,135108,-0.011221122112211268
2019-10-14,4519,4602,4510,4595,74406,0.022474410324877514
2019-10-15,4594,4611,4519,4578,77274,-0.0036996735582154328
2019-10-16,4627,4627,4543,4603,87456,0.005460899956312826
2019-10-17,4644,4644,4493,4503,135004,-0.02172496198131657
2019-10-18,4544,4720,4460,4612,343856,0.024206084832333996
2019-10-21,4619,4678,4427,4536,192611,-0.01647875108412833
2019-10-22,4493,4611,4493,4561,119100,0.005511463844797282
2019-10-23,4569,4593,4435,4511,91950,-0.010962508221881162
2019-10-24,4510,4577,4435,4536,121550,0.005542008423852884
2019-10-25,4577,4577,4460,4553,72801,0.0037477954144620185
2019-10-28,4578,4804,4511,4721,246431,0.03689874807819016
2019-10-29,4719,4753,4627,4653,136375,-0.014403728023723805
2019-10-30,4661,4711,4509,4561,86228,-0.01977218998495589
2019-10-31,4578,4620,4502,4520,60919,-0.008989256741942508
2019-11-01,4518,4518,4392,4410,169259,-0.02433628318584069
2019-11-04,4434,4459,4375,4402,119220,-0.0018140589569161092
2019-11-05,4402,4436,4234,4336,254555,-0.014993184915947255
2019-11-06,4360,4486,4302,4428,145656,0.02121771217712176
2019-11-07,4610,4627,4451,4452,273175,0.005420054200542035
2019-11-08,4485,4635,4485,4553,168147,0.022686433063791478
2019-11-11,4594,4594,4418,4503,98778,-0.010981770261366153
2019-11-12,4510,4535,4409,4469,50074,-0.007550521874306049
2019-11-13,4468,4586,4452,4578,176857,0.024390243902439046
2019-11-14,4578,4720,4536,4662,254677,0.0183486238532109
2019-11-15,4643,5246,4559,5147,1032523,0.10403260403260406
2019-11-18,5113,5415,5063,5415,649222,0.05206916650476012
2019-11-19,5423,5448,5264,5315,296269,-0.01846722068328721
2019-11-20,5373,5389,5189,5273,405532,-0.007902163687676378
2019-11-21,5272,5338,5070,5122,282521,-0.028636449838801425
2019-11-22,5120,5572,5120,5490,768998,0.07184693479109727
2019-11-25,5473,5624,5465,5608,399542,0.021493624772313202
2019-11-26,5616,5632,5415,5508,307794,-0.01783166904422251
2019-11-27,5631,5757,5430,5758,356107,0.045388525780682754
2019-11-28,5748,5974,5682,5808,377031,0.008683570684265396
2019-11-29,5825,5900,5616,5826,252472,0.0030991735537189147
2019-12-02,5857,6000,5707,5959,291230,0.02282869893580508
2019-12-03,5958,6033,5875,5951,268665,-0.0013425071320691817
2019-12-04,5950,6000,5816,5926,273082,-0.004200974626113241
2019-12-05,5933,6126,5925,6026,332318,0.01687478906513662
2019-12-06,6101,6445,5900,6353,571101,0.05426485230667111
2019-12-09,6435,6569,6268,6361,372308,0.001259247599559199
2019-12-10,6376,6418,6192,6285,238739,-0.011947806948592987
2019-12-11,6302,6360,6176,6244,192970,-0.0065234685759745226
2019-12-12,6193,6403,6193,6253,237168,0.0014413837283793196
2019-12-13,6219,6227,5775,6119,490037,-0.021429713737406098
2019-12-16,6185,6193,5866,5968,347575,-0.02467723484229445
2019-12-17,5908,6167,5908,6085,296349,0.01960455764075064
2019-12-18,6091,6108,5782,5808,312902,-0.04552177485620379
2019-12-19,5784,5892,5599,5692,278859,-0.01997245179063356
2019-12-20,5774,5774,5532,5658,206499,-0.005973295853829885
2019-12-23,5941,6141,5564,5800,1560309,0.025097207493814055
2019-12-24,5832,5916,5640,5716,360095,-0.014482758620689706
2019-12-26,5774,6134,5657,6060,596415,0.060181945416375004
2019-12-27,6059,6318,6059,6227,505540,0.027557755775577508
2019-12-30,6184,6276,5999,6277,465670,0.008029548739360903
2020-01-02,6276,6318,6151,6219,423325,-0.009240082842122077
2020-01-03,6301,6460,6109,6319,832363,0.016079755587715017
2020-01-06,6075,6251,5975,6085,478997,-0.03703117581895865
2020-01-07,6152,6294,6084,6152,278051,0.01101068200493005
2020-01-08,6075,6351,5983,6135,627065,-0.002763328998699577
2020-01-09,6277,6453,6252,6345,608335,0.03422982885085579
2020-01-10,6403,6587,6285,6579,675028,0.03687943262411353
2020-01-13,6579,6695,6344,6445,525587,-0.020367837057303495
2020-01-14,6528,6687,6419,6487,531005,0.006516679596586528
2020-01-15,6443,6518,6259,6319,334575,-0.025897949745645188
2020-01-16,6210,6695,6160,6437,927040,0.0186738407975946
2020-01-17,6443,6468,6225,6327,397750,-0.01708870591890632
2020-01-20,6443,6443,6159,6227,299219,-0.01580527896317374
2020-01-21,6277,6470,6169,6429,394438,0.032439376907017925
2020-01-22,6418,6518,6326,6453,456986,0.0037330844610359293
2020-01-23,6469,6979,6377,6855,1288007,0.0622966062296606
2020-01-28,6386,6561,6260,6495,1291748,-0.05251641137855578
2020-01-29,6544,6996,6276,6888,1220907,0.06050808314087752
2020-01-30,6988,7389,6828,6930,2042754,0.0060975609756097615
2020-01-31,6988,7147,6812,6972,924678,0.0060606060606061
2020-02-03,6779,7532,6570,7458,1243058,0.06970740103270234
2020-02-04,7515,7875,7389,7633,1143031,0.02346473585411646
2020-02-05,7785,7785,7282,7517,1037867,-0.01519717018210398
2020-02-06,7448,7683,7332,7458,734500,-0.007848875881335649
2020-02-07,7448,7448,7181,7299,548107,-0.021319388576025777
2020-02-10,7282,7432,6947,7006,821816,-0.040142485271955075
2020-02-11,7039,7190,6905,7190,576687,0.026263202968883848
2020-02-12,7206,7215,6956,6998,595925,-0.02670375521557722
2020-02-13,6997,7089,6503,6621,1873245,-0.05387253501000289
2020-02-14,6687,6787,6653,6713,540543,0.013895181996677275
2020-02-17,6830,7232,6771,7090,1372425,0.056159690153433584
2020-02-18,7172,7306,6821,6947,970705,-0.020169252468265175
2020-02-19,6989,7081,6536,6805,663617,-0.020440477904131282
2020-02-20,6837,6913,6511,6629,728919,-0.025863335782512875
2020-02-21,6460,6695,6444,6654,449998,0.0037713078895760255
2020-02-24,6386,6611,6210,6244,747941,-0.06161707243763148
2020-02-25,6185,6419,6110,6387,445454,0.0229019859064703
2020-02-26,6276,6276,5933,5984,820333,-0.06309691560983244
2020-02-27,5967,5983,5447,5482,915136,-0.08389037433155078
2020-02-28,5188,5381,5038,5114,818645,-0.0671287851149216
2020-03-02,5112,5364,5037,5306,541236,0.037543996871333585
2020-03-03,5499,5565,5239,5265,594518,-0.007727101394647606
2020-03-04,5179,5456,5154,5448,308611,0.03475783475783478
2020-03-05,5574,5574,5365,5466,339702,0.0033039647577093323
2020-03-06,5397,5397,5146,5248,348581,-0.03988291255031107
2020-03-09,5063,5164,4795,4813,492527,-0.08288871951219512
2020-03-10,4662,5021,4662,4997,499496,0.03822979430708506
2020-03-11,5021,5055,4234,4428,2595215,-0.11386832099259558
2020-03-12,4359,4476,3974,4084,878145,-0.07768744354110213
2020-03-13,3605,3848,3161,3728,934496,-0.08716944172380015
2020-03-16,3781,3844,3388,3389,899426,-0.09093347639484983
2020-03-17,3096,3389,3021,3302,676761,-0.025671289465919123
2020-03-18,3346,3405,2991,2992,598713,-0.09388249545729865
2020-03-19,2998,3078,2170,2510,1071769,-0.161096256684492
2020-03-20,2438,2676,2429,2665,830655,0.06175298804780871
2020-03-23,2426,2455,2271,2410,702542,-0.0956848030018762
2020-03-24,2502,2862,2414,2762,608691,0.14605809128630698
2020-03-25,2970,3100,2857,3046,707911,0.10282404055032579
2020-03-26,3096,3372,3025,3180,1066768,0.04399212081418247
2020-03-27,3337,3388,3166,3276,645594,0.030188679245283012
2020-03-30,3188,3344,3054,3344,380107,0.020757020757020683
2020-03-31,3439,3465,3318,3394,469254,0.014952153110047828
2020-04-01,3393,3669,3330,3377,554836,-0.005008839127872755
2020-04-02,3387,3438,3137,3439,435167,0.018359490672194223
2020-04-03,3463,3530,3345,3531,386819,0.02675196277987779
2020-04-06,3577,3928,3543,3929,944904,0.11271594449164546
2020-04-07,4083,4602,4004,4603,1675282,0.17154492237210484
2020-04-08,4636,4644,4393,4486,743223,-0.025418205518140335
2020-04-09,4519,4652,4493,4545,407287,0.01315202853321451
2020-04-10,4543,4543,4179,4402,520330,-0.03146314631463143
