Date,Open,High,Low,Close,Volume,Change
2013-09-16,5220,5220,5080,5150,12230,
2013-09-17,5090,5190,4990,5090,12530,-0.0116504854368931
2013-09-23,5070,5080,4875,4885,29910,-0.0402750491159135
2013-09-24,4875,4940,4845,4895,12450,0.0020470829068577
2013-09-25,4940,4945,4825,4945,13752,0.0102145045965271
2013-09-26,4960,4960,4860,4925,12940,-0.0040444893832153
2013-09-27,4885,4885,4820,4825,24080,-0.0203045685279187
2013-09-30,4800,4875,4730,4755,12333,-0.0145077720207253
2013-10-01,4760,4820,4705,4800,23991,0.0094637223974762
2013-10-02,4900,4900,4750,4790,23395,-0.0020833333333333
2013-10-04,4850,4850,4700,4705,31710,-0.0177453027139874
2013-10-07,4710,4860,4710,4760,43770,0.0116896918172157
2013-10-08,4795,4825,4720,4805,9100,0.009453781512605
2013-10-10,4850,4955,4780,4940,28600,0.028095733610822
2013-10-11,4940,5050,4845,4995,26500,0.0111336032388664
2013-10-14,4995,5030,4930,4955,35211,-0.008008008008008
2013-10-15,5020,5090,4940,4970,7860,0.0030272452068618
2013-10-16,4965,5090,4940,4995,3691,0.0050301810865192
2013-10-17,5040,5040,4850,4940,11060,-0.0110110110110109
2013-10-18,4905,5000,4895,4950,5540,0.0020242914979757
2013-10-21,4970,4990,4900,4920,8928,-0.0060606060606061
2013-10-22,5000,5000,4900,4900,6063,-0.0040650406504064
2013-10-23,4900,4945,4825,4860,4861,-0.0081632653061224
2013-10-24,4860,4860,4715,4805,8571,-0.0113168724279835
2013-10-25,4740,4950,4740,4930,13070,0.0260145681581684
2013-10-28,5000,5000,4900,4950,5850,0.0040567951318457
2013-10-29,5090,5090,4915,5010,7150,0.0121212121212122
2013-10-30,5010,5150,4820,5020,10880,0.0019960079840319
2013-10-31,5020,5080,4990,5030,5600,0.0019920318725099
2013-11-01,5100,5100,4980,5000,15430,-0.0059642147117295
2013-11-04,5000,5050,4975,4975,7955,-0.005
2013-11-05,5460,5720,5370,5720,151320,0.1497487437185929
2013-11-06,6120,6420,5880,6080,1451520,0.0629370629370629
2013-11-07,6180,6320,6050,6220,1066230,0.0230263157894736
2013-11-08,6070,6280,5980,6220,609947,0.0
2013-11-11,6280,6290,5380,5570,688718,-0.1045016077170417
2013-11-12,5620,5740,5500,5680,212768,0.0197486535008977
2013-11-13,5610,5670,5320,5320,245046,-0.0633802816901408
