Date,Open,High,Low,Close,Volume,Change
2023-04-04,6530,7170,6510,6850,4253499,0.014814814814814836
2023-04-05,6910,7360,6810,6990,3332390,0.020437956204379493
2023-04-06,6910,7670,6800,7040,5788669,0.007153075822603716
2023-04-07,7160,7200,6890,7020,1207091,-0.0028409090909090606
2023-04-10,7020,7220,6630,6630,1055106,-0.05555555555555558
2023-04-11,6700,6890,6570,6630,602486,0.0
2023-04-12,6670,7020,6640,6830,978106,0.030165912518853588
2023-04-13,6840,6840,6310,6570,491217,-0.0380673499267935
2023-04-14,6680,6810,6580,6640,392059,0.010654490106544845
2023-04-17,6590,6770,6500,6580,275746,-0.009036144578313254
2023-04-18,6580,6620,6360,6370,372476,-0.03191489361702127
2023-04-19,6380,6500,6330,6420,277982,0.007849293563579218
2023-04-20,6370,6400,6100,6110,445197,-0.048286604361370666
2023-04-21,6160,6210,6040,6050,218902,-0.009819967266775809
2023-04-24,6030,6150,5960,5990,156212,-0.00991735537190086
2023-04-25,5990,6430,5970,6100,1242151,0.01836393989983298
2023-04-26,6060,6080,5760,5760,446176,-0.05573770491803276
2023-04-27,5700,5760,5500,5680,257085,-0.01388888888888884
2023-04-28,5690,5870,5580,5690,232484,0.0017605633802817433
2023-05-02,5710,5860,5650,5800,139458,0.019332161687170446
2023-05-03,5690,5850,5670,5750,84249,-0.008620689655172376
2023-05-04,5700,6010,5680,5810,476379,0.01043478260869568
2023-05-08,5860,6050,5800,5810,218521,0.0
2023-05-09,5760,6020,5750,5840,281666,0.005163511187607606
2023-05-10,5820,6010,5790,5850,257641,0.001712328767123239
2023-05-11,5850,6110,5850,5890,425727,0.006837606837606813
2023-05-12,5900,6250,5890,6150,977288,0.04414261460101865
2023-05-15,6080,6490,6050,6210,1067876,0.009756097560975618
2023-05-16,6140,6270,5990,5990,297657,-0.03542673107890504
2023-05-17,5970,6100,5960,6010,198058,0.0033388981636059967
2023-05-18,6080,6230,6050,6200,220273,0.03161397670549082
2023-05-19,6200,6280,6160,6220,175859,0.003225806451612856
2023-05-22,6180,6210,6110,6140,206985,-0.012861736334405127
2023-05-23,6140,6250,6050,6110,280864,-0.004885993485342022
