Date,Open,High,Low,Close,Volume,Change
2023-04-04,10250,10290,10080,10180,67264,-0.007797270955165692
2023-04-05,10190,10390,10130,10250,84044,0.006876227897838927
2023-04-06,10250,10250,10060,10060,65214,-0.018536585365853675
2023-04-07,10060,10080,9980,10040,86236,-0.001988071570576566
2023-04-10,9990,10030,9850,9850,94934,-0.018924302788844605
2023-04-11,9750,10050,9750,10050,81650,0.020304568527918843
2023-04-12,10050,10380,9970,10280,114321,0.022885572139303534
2023-04-13,10300,10450,10100,10110,48831,-0.0165369649805448
2023-04-14,10130,10270,10100,10150,46279,0.003956478733926794
2023-04-17,10150,10170,10040,10140,47182,-0.0009852216748768017
2023-04-18,10140,10290,10020,10240,63258,0.009861932938856066
2023-04-19,10260,10300,10150,10270,63470,0.0029296875
2023-04-20,10300,10300,10060,10070,54092,-0.019474196689386547
2023-04-21,10070,10070,9910,9980,69328,-0.00893743793445878
2023-04-24,9950,10000,9840,9840,45468,-0.014028056112224463
2023-04-25,9750,9970,9750,9770,36959,-0.007113821138211351
2023-04-26,9720,9880,9700,9770,28363,0.0
2023-04-27,9760,9880,9600,9780,33137,0.0010235414534287557
2023-04-28,9850,9870,9770,9810,28926,0.0030674846625766694
2023-05-02,9720,9970,9720,9950,24945,0.014271151885830724
2023-05-03,9990,10000,9770,9770,33631,-0.018090452261306567
2023-05-04,9820,9900,9750,9780,20104,0.0010235414534287557
2023-05-08,9870,9870,9760,9760,25491,-0.002044989775051076
2023-05-09,9810,9840,9590,9620,39718,-0.014344262295082011
2023-05-10,9620,9870,9470,9570,53537,-0.00519750519750517
2023-05-11,9610,9990,9610,9950,68555,0.039707419017763756
2023-05-12,10010,10010,9710,9740,22127,-0.021105527638190957
2023-05-15,9760,9760,9590,9660,24530,-0.008213552361396315
2023-05-16,9660,9780,9510,9690,28433,0.0031055900621117516
2023-05-17,9740,9960,9670,9890,65738,0.02063983488132104
2023-05-18,9980,9980,9790,9830,24078,-0.006066734074823055
2023-05-19,9870,9930,9750,9920,58235,0.00915564598168861
2023-05-22,10000,10000,9850,9920,23962,0.0
2023-05-23,9830,9910,9790,9830,54740,-0.009072580645161255
2023-05-24,9850,9940,9760,9830,39367,0.0
2023-05-25,9840,9850,9760,9770,20867,-0.006103763987792443
2023-05-26,9770,9830,9590,9610,50201,-0.016376663254861867
2023-05-30,9720,9720,9550,9580,33701,-0.003121748178980255
2023-05-31,9550,9620,9500,9540,32040,-0.0041753653444676075
2023-06-01,9600,9600,9510,9510,33745,-0.0031446540880503138
2023-06-02,9510,9570,9470,9530,25149,0.002103049421661396
2023-06-05,9450,9660,9450,9590,25688,0.006295907660021083
2023-06-07,9560,9700,9540,9620,50979,0.0031282586027112647
2023-06-08,9700,9700,9500,9600,63997,-0.0020790020790020236
2023-06-09,9640,9650,9560,9590,21940,-0.0010416666666667185
2023-06-12,9420,9630,9400,9530,32698,-0.006256517205422307
2023-06-13,9530,9580,9460,9460,45247,-0.007345225603357819
2023-06-14,9500,9500,9300,9350,72040,-0.011627906976744207
2023-06-15,9350,9430,9260,9320,31957,-0.0032085561497325887
2023-06-16,9330,9510,9330,9490,42564,0.018240343347639465
2023-06-19,9490,9640,9490,9540,44611,0.005268703898840821
2023-06-20,9600,9760,9500,9520,83739,-0.002096436058700246
2023-06-21,9600,9600,9310,9310,46296,-0.022058823529411797
2023-06-22,9310,9390,9240,9280,21927,-0.0032223415682062218
2023-06-23,9320,9330,9150,9150,50819,-0.014008620689655138
2023-06-26,9150,9150,8980,9010,50587,-0.015300546448087426
2023-06-27,9010,9090,8830,8900,65034,-0.01220865704772478
2023-06-28,8990,8990,8920,8960,31376,0.006741573033707926
2023-06-29,9000,9040,8840,8890,32252,-0.0078125
2023-06-30,8910,8930,8880,8900,15641,0.0011248593925758943
2023-07-03,9070,9070,8860,8880,48114,-0.0022471910112359383
2023-07-04,8870,8900,8850,8880,32770,0.0
2023-07-05,8900,8940,8630,8690,110692,-0.021396396396396344
2023-07-06,8650,8650,8370,8600,109073,-0.010356731875719172
2023-07-07,8450,8740,8370,8500,66938,-0.011627906976744207
2023-07-10,8500,8910,7980,8840,84846,0.040000000000000036
2023-07-11,9000,9000,8740,8800,42944,-0.004524886877828038
2023-07-12,8870,8870,8660,8730,43455,-0.007954545454545436
2023-07-13,8930,9100,8730,8960,107553,0.026345933562428314
2023-07-14,9000,9210,8840,9050,67139,0.010044642857142794
2023-07-17,9050,9410,8960,9270,108954,0.024309392265193353
2023-07-18,9200,9500,9070,9320,76111,0.005393743257820827
2023-07-19,9270,9550,9100,9220,74531,-0.010729613733905574
2023-07-20,9150,9650,9150,9480,119051,0.02819956616052055
2023-07-21,9480,9820,9330,9390,96479,-0.009493670886076
2023-07-24,9390,9410,9150,9250,55414,-0.014909478168264156
2023-07-25,9140,9400,8980,9050,60850,-0.021621621621621623
2023-07-26,8910,9170,8600,8880,143111,-0.018784530386740328
2023-07-27,8730,9030,8730,8880,40159,0.0
2023-07-28,8790,9190,8790,9190,57100,0.03490990990990994
2023-07-31,9190,9200,8850,8970,42421,-0.02393906420021763
2023-08-01,8920,9060,8900,8970,26835,0.0
2023-08-02,9070,9070,8810,8880,45125,-0.010033444816053505
2023-08-03,8860,8860,8690,8710,32885,-0.019144144144144115
2023-08-04,8760,8760,8650,8710,30402,0.0
2023-08-07,8710,9000,8600,8860,53781,0.01722158438576349
2023-08-08,8800,8940,8680,8680,33126,-0.020316027088036148
2023-08-09,8700,8750,8600,8630,26706,-0.005760368663594417
2023-08-10,9330,9630,9090,9450,475089,0.09501738122827352
2023-08-11,9900,10470,9660,9830,972613,0.04021164021164014
2023-08-14,9920,10360,9920,10150,301869,0.03255340793489325
2023-08-16,10150,10160,9700,9960,99279,-0.01871921182266012
2023-08-17,9600,9900,9490,9710,90474,-0.025100401606425682
2023-08-18,9500,9960,9460,9460,63891,-0.025746652935118464
2023-08-21,9460,9460,9020,9110,66744,-0.03699788583509511
2023-08-22,9010,9170,8900,9050,51501,-0.00658616904500553
2023-08-23,9060,9160,8890,8940,44065,-0.012154696132596676
2023-08-24,8940,9070,8850,9070,39411,0.014541387024608499
2023-08-25,9070,9150,8990,9120,21199,0.005512679162072764
2023-08-28,9380,9560,9290,9450,68136,0.03618421052631571
2023-08-29,9470,9650,9200,9230,39348,-0.023280423280423235
2023-08-30,9260,9300,9190,9200,24209,-0.00325027085590468
2023-08-31,9210,9260,9000,9080,40086,-0.013043478260869601
2023-09-01,9200,9200,9020,9040,24642,-0.004405286343612369
2023-09-04,9190,9190,8940,9000,21434,-0.004424778761061954
2023-09-05,8960,9060,8930,8980,25311,-0.0022222222222222365
2023-09-06,8910,9050,8910,8930,24693,-0.0055679287305122616
2023-09-07,8930,8930,8700,8710,57980,-0.024636058230683044
2023-09-08,8760,8850,8700,8800,19165,0.010332950631458004
2023-09-11,8820,8860,8750,8780,22949,-0.002272727272727315
2023-09-12,8700,9160,8700,9080,78899,0.034168564920273425
2023-09-13,9130,9150,8850,8920,24904,-0.017621145374449365
2023-09-14,8920,9000,8800,8860,17933,-0.006726457399103158
2023-09-15,8860,9080,8810,8880,20143,0.0022573363431150906
2023-09-18,8950,8990,8880,8950,23677,0.007882882882882969
2023-09-19,8920,8940,8800,8810,18743,-0.015642458100558643
2023-09-20,8810,8990,8750,8760,16664,-0.005675368898978461
2023-09-21,8730,8810,8430,8490,45902,-0.03082191780821919
2023-09-22,8450,8620,8350,8450,17493,-0.004711425206124886
2023-09-25,8450,8720,8440,8470,16140,0.002366863905325367
2023-09-26,8490,8650,8250,8270,20717,-0.023612750885478206
2023-09-27,8260,8380,8220,8320,12050,0.006045949214026569
2023-10-04,8320,8480,7760,7780,87798,-0.06490384615384615
2023-10-05,7780,7920,7660,7660,24363,-0.015424164524421635
2023-10-06,7620,7800,7620,7700,25340,0.005221932114882533
2023-10-10,7670,7750,7430,7520,26331,-0.023376623376623384
2023-10-11,7550,7630,7540,7590,10985,0.009308510638297962
2023-10-12,7610,7730,7600,7630,15662,0.005270092226614009
2023-10-13,7650,7650,7510,7570,10413,-0.007863695937090465
2023-10-16,7590,7590,7380,7420,21776,-0.019815059445178362
2023-10-17,7450,7480,7300,7390,24839,-0.0040431266846361336
2023-10-18,7390,7410,7190,7190,27608,-0.02706359945872805
2023-10-19,7180,7240,6870,6870,43072,-0.0445062586926287
2023-10-20,6880,6970,6700,6780,38719,-0.013100436681222738
2023-10-23,6760,7040,6610,6650,46308,-0.019174041297935096
2023-10-24,6710,6810,6420,6800,31507,0.022556390977443552
2023-10-25,7130,7130,6810,6960,31094,0.0235294117647058
2023-10-26,6960,7000,6830,6950,48390,-0.001436781609195359
2023-10-27,6950,7080,6850,6940,16306,-0.0014388489208633226
2023-10-30,6940,7050,6920,6970,12529,0.004322766570605152
2023-10-31,7010,7780,7010,7460,114747,0.07030129124820661
2023-11-01,7460,7770,7050,7670,71979,0.02815013404825728
2023-11-02,7690,8190,7680,8120,71243,0.05867014341590604
2023-11-03,8040,8210,7990,8070,28702,-0.006157635467980316
2023-11-06,8070,8070,7850,7960,57461,-0.013630731102850069
2023-11-07,7960,8290,7780,8090,40296,0.01633165829145722
2023-11-08,8290,8800,7920,8690,108702,0.07416563658838071
2023-11-09,8690,8690,8310,8410,28275,-0.03222094361334871
2023-11-10,8310,8390,6710,7090,520624,-0.1569560047562426
2023-11-13,7200,7260,6950,7010,104064,-0.01128349788434413
2023-11-14,7060,7270,7060,7130,45844,0.017118402282453538
2023-11-15,7250,7320,7160,7190,45821,0.008415147265077083
2023-11-16,7250,7340,7150,7320,38538,0.018080667593880495
2023-11-17,7380,7380,7210,7210,25844,-0.015027322404371546
2023-11-20,7230,7410,7190,7400,28409,0.026352288488210807
2023-11-21,7410,7490,7360,7460,27771,0.008108108108108025
2023-11-22,7450,7570,7320,7440,25907,-0.002680965147453085
2023-11-23,7440,7480,7370,7420,11514,-0.0026881720430107503
2023-11-24,7480,7480,7350,7400,15486,-0.0026954177897574594
2023-11-27,7350,7450,7240,7270,30250,-0.01756756756756761
2023-11-28,7410,7410,7160,7180,25431,-0.012379642365887178
2023-11-29,7190,7250,7130,7200,26477,0.0027855153203342198
2023-11-30,7210,7220,7140,7150,17249,-0.00694444444444442
2023-12-01,7150,7220,7100,7140,15844,-0.0013986013986013734
2023-12-04,7150,7200,7100,7130,17548,-0.0014005602240896309
2023-12-05,7130,7170,7070,7080,20418,-0.007012622720897643
2023-12-06,7070,7100,7050,7060,13851,-0.0028248587570621764
2023-12-07,7100,7130,7060,7080,15137,0.0028328611898016387
2023-12-08,7100,7150,7080,7110,13155,0.004237288135593209
2023-12-11,7110,7180,7080,7100,13299,-0.0014064697609000865
2023-12-12,7150,7190,7000,7110,27601,0.0014084507042253502
2023-12-13,7110,7120,6990,6990,45735,-0.016877637130801704
2023-12-14,7060,7080,7000,7020,24975,0.0042918454935623185
2023-12-15,7030,7040,6950,7000,34951,-0.002849002849002802
2023-12-18,7020,7060,7000,7020,18455,0.0028571428571428914
2023-12-19,6990,7030,6960,7000,14848,-0.002849002849002802
2023-12-20,7010,7050,7000,7020,23120,0.0028571428571428914
2023-12-21,6980,7040,6980,6980,28344,-0.005698005698005715
2023-12-22,6990,7010,6940,6940,40226,-0.005730659025787954
2023-12-26,6940,6970,6880,6900,31026,-0.0057636887608069065
2023-12-27,6890,6950,6830,6890,19480,-0.0014492753623188692
