Date,Open,High,Low,Close,Volume,Change
2013-09-16,4764,4764,4702,4744,38105,
2013-09-17,4750,4778,4681,4765,28132,0.0044266441821247
2013-09-23,4764,4770,4716,4751,24557,-0.0029380902413431
2013-09-24,4750,4770,4695,4751,33361,0.0
2013-09-25,4750,4750,4695,4731,27132,-0.0042096400757735
2013-09-26,4709,4744,4653,4744,56537,0.0027478334390191
2013-09-27,4750,4750,4668,4751,46412,0.0014755480607082
2013-09-30,4744,4744,4668,4696,39369,-0.0115765102083771
2013-10-01,4633,4991,4633,4992,211522,0.0630323679727427
2013-10-02,5018,5108,4922,5061,264205,0.0138221153846154
2013-10-04,5040,5473,5025,5274,520237,0.042086544161233
2013-10-07,5397,5411,5204,5371,306095,0.0183921122487675
2013-10-08,5362,5370,5246,5364,161814,-0.0013032954757028
2013-10-10,5362,6045,5336,5805,697096,0.082214765100671
2013-10-11,5900,5900,5645,5667,296815,-0.0237726098191214
2013-10-14,5721,6120,5680,6094,458427,0.0753485089112404
2013-10-15,6189,6279,6065,6135,299254,0.0067279291106006
2013-10-16,6120,6300,6051,6300,253590,0.0268948655256724
2013-10-17,6334,6520,6099,6252,341843,-0.0076190476190476
2013-10-18,6216,6368,6162,6266,196222,0.0022392834293025
2013-10-21,6265,6265,6079,6080,202475,-0.0296840089371209
2013-10-22,6079,6210,5989,6135,124376,0.0090460526315789
2013-10-23,6134,6216,5962,5963,144903,-0.0280358598207008
2013-10-24,6017,6134,5948,6128,115219,0.0276706355861142
2013-10-25,6141,6196,6093,6177,72758,0.0079960835509138
2013-10-28,6231,6265,6010,6060,137598,-0.0189412336085478
2013-10-29,6086,6120,5955,6045,78867,-0.0024752475247524
2013-10-30,6079,6313,6058,6314,283237,0.0444995864350703
2013-10-31,6326,6706,6265,6652,521828,0.0535318340196389
2013-11-01,6581,6644,6437,6568,184367,-0.0126277811184606
2013-11-04,6698,6919,6575,6672,275469,0.0158343483556637
2013-11-05,6678,6919,6616,6886,326546,0.0320743405275778
2013-11-06,6919,6988,6733,6838,184533,-0.00697066511763
2013-11-07,6884,6884,6437,6576,273154,-0.03831529687043
2013-11-08,6492,6588,6417,6534,83678,-0.0063868613138685
2013-11-11,6506,6568,6361,6431,88430,-0.0157636975818794
2013-11-12,6430,6471,6306,6466,95531,0.005442388431037
2013-11-13,6478,6637,6368,6507,117723,0.0063408598824621
2013-11-14,6506,6843,6451,6844,124178,0.0517903795912093
2013-11-15,6836,7091,6596,6596,358035,-0.0362361192285213
2013-11-18,6540,6622,6334,6493,160492,-0.0156155245603395
2013-11-19,6554,6575,6368,6562,101039,0.0106268288926536
2013-11-20,6540,6953,6540,6955,253050,0.0598902773544651
2013-11-21,6988,7160,6871,7024,180003,0.0099209202012939
2013-11-22,7229,7229,6953,7024,159548,0.0
2013-11-25,6988,7195,6871,7024,130931,0.0
2013-11-26,6988,6988,6864,6886,136512,-0.0196469248291571
2013-11-27,6884,6988,6843,6920,120955,0.0049375544583212
2013-11-28,6919,7229,6884,7195,190519,0.0397398843930636
2013-11-29,7195,7298,7022,7126,189459,-0.0095899930507297
2013-12-02,7022,7126,6843,6851,279877,-0.0385910749368509
2013-12-03,7091,7711,7022,7058,1117121,0.0302145672164646
2013-12-04,7022,7057,6823,7058,263415,0.0
2013-12-05,7091,7091,6884,6955,149842,-0.0145933692264097
2013-12-06,6850,7091,6829,6886,146813,-0.0099209202012939
2013-12-09,6877,6919,6437,6542,372342,-0.0499564333430148
2013-12-10,6561,6602,6444,6542,96889,0.0
2013-12-11,6458,6581,6444,6527,93989,-0.0022928767960868
2013-12-12,6464,6843,6464,6789,128738,0.0401409529646086
2013-12-13,6795,6988,6650,6879,115798,0.0132567388422448
2013-12-16,6884,6919,6650,6803,82979,-0.0110481174589329
2013-12-17,6829,6864,6698,6700,61094,-0.0151403792444509
2013-12-18,6644,6802,6644,6803,82117,0.0153731343283582
2013-12-19,6850,6850,6616,6679,86622,-0.01822725268264
2013-12-20,6609,6664,6512,6521,85791,-0.0236562359634675
2013-12-23,6561,6726,6561,6700,59510,0.0274497776414659
2013-12-24,6678,6740,6609,6734,44626,0.0050746268656716
2013-12-26,6760,7435,6671,6817,257235,0.0123255123255123
2013-12-27,6884,6884,6719,6823,43917,0.000880152559777
2013-12-30,6850,6850,6747,6830,70935,0.0010259416678879
2014-01-02,6829,6871,6713,6775,55014,-0.0080527086383601
2014-01-03,6760,6774,6671,6741,45426,-0.0050184501845018
2014-01-06,6691,6795,6691,6741,56982,0.0
2014-01-07,6698,6816,6664,6706,60482,-0.0051921079958463
2014-01-08,6706,6829,6678,6830,76604,0.0184909036683567
2014-01-09,6850,7091,6850,6989,173067,0.0232796486090776
2014-01-10,6988,7022,6774,6782,156981,-0.0296179710974388
2014-01-13,6782,6836,6444,6452,229258,-0.0486582129165438
2014-01-14,6196,6664,6196,6555,296973,0.0159640421574704
2014-01-15,6778,6796,6537,6635,188661,0.0122044241037375
2014-01-16,6635,6635,6465,6483,90880,-0.0229088168801808
2014-01-17,6447,6528,6349,6421,41090,-0.0095634737004473
2014-01-20,6420,6572,6304,6528,65013,0.0166640710169756
2014-01-21,6581,6626,6447,6474,34485,-0.0082720588235294
2014-01-22,6546,6563,6429,6430,30332,-0.0067964164349706
2014-01-23,6447,6510,6259,6322,78040,-0.0167962674961119
2014-01-24,6277,6519,6277,6519,67354,0.031161024992091
2014-01-27,6349,6528,6349,6528,86383,0.0013805798435342
2014-01-28,6528,6546,6438,6528,39037,0.0
2014-01-29,6537,6617,6474,6591,51457,0.0096507352941177
2014-02-03,6671,6733,6590,6653,69342,0.0094067668032165
