Date,Open,High,Low,Close,Volume,Change
2023-04-04,35000,35050,32650,32950,4453426,-0.0808926080892608
2023-04-05,33450,34700,33200,34000,3324519,0.0318664643399089
2023-04-06,33750,36250,33250,34050,4520909,0.0014705882352941
2023-04-07,34100,34650,33700,34150,2251380,0.0029368575624082
2023-04-10,34400,35400,32100,32650,4160766,-0.0439238653001463
2023-04-11,33150,33200,29700,31150,3144158,-0.0459418070444104
2023-04-12,30850,31000,28200,28200,2891140,-0.0947030497592295
2023-04-13,27650,28700,26750,28200,2244385,0.0
2023-04-14,29000,29950,27900,28900,1970453,0.024822695035461
2023-04-17,29000,29750,28150,29050,1634084,0.005190311418685
2023-04-18,29500,31300,28600,29150,3489370,0.0034423407917383
2023-04-19,29200,29400,27600,27600,1589631,-0.0531732418524871
2023-04-20,27400,28200,26500,26850,1185447,-0.0271739130434782
2023-04-21,27150,27500,25800,25800,1231761,-0.0391061452513966
2023-04-24,25850,26650,25400,25800,1047329,0.0
2023-04-25,25800,26000,23950,24400,1505247,-0.0542635658914728
2023-04-26,24400,24800,23600,23600,1154978,-0.0327868852459016
2023-04-27,23350,24450,23100,24350,1233659,0.0317796610169491
2023-04-28,25150,25150,23050,23150,1354217,-0.0492813141683777
2023-05-02,22750,23450,22750,23100,778957,-0.0021598272138229
2023-05-03,22800,26900,22550,24450,4846949,0.0584415584415585
2023-05-04,24950,26600,24450,24950,2628663,0.0204498977505112
2023-05-08,25150,25400,23450,23450,858894,-0.0601202404809618
2023-05-09,23150,23350,21650,22250,1159755,-0.0511727078891257
2023-05-10,22100,22900,21800,21900,873805,-0.0157303370786516
2023-05-11,22700,23050,21400,21700,935173,-0.0091324200913242
2023-05-12,21600,22050,21500,21800,564482,0.0046082949308756
2023-05-15,21700,21950,20200,20850,1121700,-0.0435779816513761
2023-05-16,21000,21500,20500,20900,905432,0.0023980815347721
2023-05-17,20700,21550,20550,21300,603814,0.0191387559808613
2023-05-18,21850,22000,21300,21500,595718,0.0093896713615022
2023-05-19,21700,22500,20750,21550,978139,0.0023255813953488
2023-05-22,21600,24500,21450,23850,4048349,0.1067285382830627
2023-05-23,23950,25450,23550,24100,2570411,0.0104821802935011
2023-05-24,24350,24800,23850,24350,918198,0.0103734439834024
2023-05-25,24450,24500,23100,23100,635784,-0.0513347022587269
2023-05-26,23200,24200,23050,23200,755205,0.0043290043290042
2023-05-30,23400,23750,22550,23000,523180,-0.0086206896551723
2023-05-31,23100,24950,23050,24950,1489435,0.0847826086956522
2023-06-01,25200,25400,24500,24800,963182,-0.0060120240480961
2023-06-02,25000,25750,24750,25650,914642,0.034274193548387
2023-06-05,26150,27450,26000,26750,1643302,0.0428849902534114
2023-06-07,27100,27350,26250,26800,744552,0.0018691588785046
2023-06-08,26650,27000,25400,25550,1079932,-0.0466417910447761
2023-06-09,26050,26400,24850,26050,1032699,0.0195694716242662
2023-06-12,26200,26200,25050,25200,810770,-0.0326295585412668
2023-06-13,25400,25800,24500,25500,819362,0.0119047619047618
2023-06-14,25550,26400,24150,24200,1576953,-0.0509803921568627
2023-06-15,24750,25050,23550,23900,937374,-0.0123966942148759
2023-06-16,24050,24100,23450,23650,676375,-0.0104602510460251
2023-06-19,23400,23750,22900,23650,554141,0.0
2023-06-20,23800,23800,22700,22700,728621,-0.040169133192389
2023-06-21,22350,23100,22150,22400,665951,-0.0132158590308369
2023-06-22,22700,23000,22350,22450,617590,0.0022321428571427
2023-06-23,22350,22450,21450,21700,735081,-0.0334075723830734
2023-06-26,21850,23250,21700,22300,954991,0.0276497695852535
2023-06-27,22300,22300,21400,21800,494257,-0.022421524663677
2023-06-28,22250,23700,22250,22800,1449070,0.0458715596330274
2023-06-29,22800,23300,22000,22100,633454,-0.0307017543859648
2023-06-30,22050,22350,21650,22150,394960,0.002262443438914
2023-07-03,22550,24350,22550,24300,1408949,0.0970654627539504
2023-07-04,24500,24550,23350,23750,944672,-0.022633744855967
2023-07-05,23750,25400,23000,24750,1903855,0.0421052631578946
2023-07-06,24900,25000,23550,23700,871594,-0.0424242424242424
2023-07-07,23650,24650,23550,24350,783226,0.0274261603375527
2023-07-10,24550,24850,23650,23750,702451,-0.0246406570841889
2023-07-11,23750,24900,23600,24500,980924,0.0315789473684211
2023-07-12,24750,25350,24050,24200,927512,-0.0122448979591837
2023-07-13,24300,24600,23900,24200,585352,0.0
2023-07-14,24300,24650,23350,24500,868856,0.0123966942148761
2023-07-17,24800,28000,24600,28000,5733023,0.1428571428571428
2023-07-18,27300,27550,26300,26750,2901792,-0.044642857142857
2023-07-19,27050,27300,24750,25300,2046518,-0.0542056074766355
2023-07-20,25000,26100,24550,25450,998098,0.0059288537549406
2023-07-21,24700,25700,24650,25350,761399,-0.0039292730844793
2023-07-24,25950,27250,25100,27000,2700665,0.0650887573964498
2023-07-25,28500,30650,28100,28600,8088789,0.0592592592592593
2023-07-26,30400,30700,24900,25400,7382280,-0.1118881118881118
2023-07-27,26000,26350,22800,22950,2836317,-0.0964566929133858
2023-07-28,22200,24100,21850,23950,1292177,0.0435729847494552
2023-07-31,24100,25600,24050,24950,1089781,0.0417536534446765
2023-08-01,25350,25500,23500,24000,1103044,-0.0380761523046092
2023-08-02,23550,24100,22650,22750,764960,-0.0520833333333333
2023-08-03,22750,25400,22050,23450,1804658,0.0307692307692306
2023-08-04,23300,23350,22700,22950,467730,-0.021321961620469
2023-08-07,22450,22750,21650,21700,649617,-0.0544662309368191
2023-08-08,21750,22300,21350,21700,545584,0.0
2023-08-09,21600,22500,21600,22200,359866,0.0230414746543778
2023-08-10,22100,22200,21600,21950,267994,-0.0112612612612612
2023-08-11,22200,22400,21700,22000,335773,0.0022779043280183
2023-08-14,21600,22050,20850,21500,470762,-0.0227272727272727
2023-08-16,21100,21150,19970,20000,645128,-0.0697674418604651
2023-08-17,19800,20800,19400,20500,737996,0.0249999999999999
2023-08-18,20100,20200,19650,19900,408685,-0.0292682926829268
2023-08-21,19610,20550,19610,19990,340301,0.0045226130653266
2023-08-22,20600,20700,19600,19630,469250,-0.0180090045022511
2023-08-23,19640,19650,19040,19100,427007,-0.0269994905756495
2023-08-24,19200,19770,19140,19750,373384,0.0340314136125654
2023-08-25,19210,19780,19120,19340,296624,-0.020759493670886
2023-08-28,19400,20000,19400,19900,285626,0.0289555325749741
2023-08-29,20200,20400,19810,20400,322624,0.0251256281407035
2023-08-30,20600,20750,20000,20100,308566,-0.0147058823529411
2023-08-31,20150,20450,20000,20350,265995,0.0124378109452736
2023-09-01,20200,20200,19820,19910,319855,-0.0216216216216216
2023-09-04,19920,21350,19910,21100,629828,0.0597689603214464
2023-09-05,21300,21350,20550,21300,440931,0.009478672985782
2023-09-06,21200,21500,20450,20600,362126,-0.0328638497652582
2023-09-07,20300,20550,19900,19910,324991,-0.0334951456310679
2023-09-08,19920,20250,19480,19850,297189,-0.0030135610246107
2023-09-11,19850,19930,18500,18510,666934,-0.0675062972292191
2023-09-12,18660,18890,18180,18210,479039,-0.0162074554294975
2023-09-13,18010,18560,17980,17990,364879,-0.0120812740252608
2023-09-14,18000,18530,18000,18490,311192,0.0277932184546969
2023-09-15,18490,18790,18250,18500,261852,0.0005408328826392
2023-09-18,18450,18860,18230,18550,229590,0.0027027027027026
2023-09-19,18560,18650,18010,18090,196475,-0.0247978436657682
2023-09-20,17970,18330,17710,18250,254746,0.0088446655610834
2023-09-21,18120,18120,17520,17630,297804,-0.033972602739726
2023-09-22,17220,17640,17140,17450,268617,-0.0102098695405559
