Date,Open,High,Low,Close,Volume,Change
2013-09-16,13900,14000,13700,14000,20795,
2013-09-17,13850,14100,13800,14000,14726,0.0
2013-09-23,14100,14100,13800,14050,24158,0.0035714285714285
2013-09-24,13950,14200,13950,14100,20188,0.00355871886121
2013-09-25,14200,14200,14000,14150,15505,0.00354609929078
2013-09-26,14150,14450,14150,14450,26029,0.0212014134275617
2013-09-27,14500,14650,14300,14500,7413,0.0034602076124568
2013-09-30,14550,14600,14400,14550,20756,0.0034482758620688
2013-10-01,14550,14550,14200,14450,31374,-0.0068728522336769
2013-10-02,14500,14650,14400,14650,26806,0.0138408304498269
2013-10-04,14700,14700,14400,14500,13688,-0.0102389078498293
2013-10-07,14400,14650,14250,14450,18449,-0.0034482758620689
2013-10-08,14300,14450,14100,14200,8227,-0.0173010380622837
2013-10-10,13950,14250,13850,14000,27831,-0.0140845070422535
2013-10-11,14100,14150,13450,13650,43984,-0.025
2013-10-14,13700,13750,13050,13450,48583,-0.0146520146520146
2013-10-15,13400,13400,13000,13200,44654,-0.0185873605947954
2013-10-16,13050,13300,13050,13150,26265,-0.0037878787878787
2013-10-17,13250,13350,13100,13250,11548,0.0076045627376426
2013-10-18,13300,13300,13000,13200,30909,-0.0037735849056603
2013-10-21,13300,13350,12950,13150,23736,-0.0037878787878787
2013-10-22,13050,13300,13050,13150,14215,0.0
2013-10-23,13150,13200,12800,12900,29279,-0.0190114068441065
2013-10-24,12800,13000,12600,12700,57746,-0.0155038759689922
2013-10-25,12750,13150,12700,13000,49931,0.0236220472440944
2013-10-28,13000,13150,12900,13000,15321,0.0
2013-10-29,13150,14850,13150,13850,387913,0.0653846153846153
2013-10-30,13750,14000,13500,13800,71963,-0.0036101083032491
2013-10-31,13900,14050,13600,13650,32349,-0.0108695652173913
2013-11-01,13650,13750,13150,13400,36282,-0.0183150183150183
2013-11-04,13500,13900,13100,13750,45269,0.0261194029850746
2013-11-05,13750,13850,13500,13550,18950,-0.0145454545454545
2013-11-06,13700,14000,13500,13800,31111,0.0184501845018449
2013-11-07,13900,14350,13900,14350,77194,0.039855072463768
2013-11-08,14200,14650,14100,14500,44608,0.0104529616724737
2013-11-11,14650,14650,13750,13750,63633,-0.0517241379310344
2013-11-12,13700,14550,13700,14300,40640,0.04
2013-11-13,14300,14400,14050,14300,31580,0.0
2013-11-14,14300,15100,14150,15050,84922,0.0524475524475525
2013-11-15,15000,15350,14800,15000,42601,-0.0033222591362126
2013-11-18,15000,15050,14700,14900,50970,-0.0066666666666667
2013-11-19,15000,15200,14750,14950,29814,0.0033557046979866
2013-11-20,15000,15100,14500,14600,39697,-0.0234113712374581
2013-11-21,14650,14850,14600,14600,32686,0.0
2013-11-22,14600,14900,14600,14850,19686,0.0171232876712328
2013-11-25,14850,15150,14850,15050,28681,0.0134680134680134
2013-11-26,15150,15200,14950,15150,23438,0.0066445182724252
2013-11-27,15050,15150,14750,14750,17880,-0.0264026402640263
2013-11-28,14750,15100,14450,14650,58808,-0.0067796610169491
2013-11-29,14100,14450,13750,14400,122677,-0.0170648464163822
2013-12-02,14250,14600,13900,14150,32229,-0.0173611111111111
2013-12-03,14150,14350,14000,14300,17001,0.0106007067137809
2013-12-04,14250,14300,13900,14250,8320,-0.0034965034965035
2013-12-05,14100,14400,14050,14350,17768,0.0070175438596491
2013-12-06,14400,14400,14000,14250,13987,-0.0069686411149826
2013-12-09,14250,14300,13750,13900,30861,-0.0245614035087718
2013-12-10,13750,14050,13750,14000,24141,0.0071942446043165
2013-12-11,14000,14150,13800,14150,12393,0.0107142857142856
2013-12-12,14150,14200,13900,14100,15088,-0.0035335689045936
2013-12-13,14050,14050,13750,13850,10319,-0.0177304964539006
2013-12-16,13850,14000,13400,13700,24136,-0.0108303249097473
2013-12-17,13650,13900,13550,13900,11458,0.0145985401459853
2013-12-18,13850,13900,13650,13800,3744,-0.0071942446043165
2013-12-19,13800,14100,13700,14000,15027,0.0144927536231884
2013-12-20,14100,14100,13700,14000,5691,0.0
2013-12-23,13900,14350,13900,14200,27146,0.0142857142857142
2013-12-24,14500,14600,14300,14350,30097,0.0105633802816902
2013-12-26,14400,14550,14350,14450,38246,0.0069686411149825
2013-12-27,14100,14250,14050,14150,15341,-0.0207612456747404
2013-12-30,14150,14150,13850,14000,11694,-0.0106007067137808
2014-01-02,13850,14000,13700,13700,20789,-0.0214285714285714
2014-01-03,13800,14000,13600,13800,12297,0.0072992700729928
2014-01-06,13800,14000,13800,13900,12856,0.0072463768115942
2014-01-07,13900,14250,13850,14150,27520,0.0179856115107914
2014-01-08,14150,14200,13900,13950,18047,-0.0141342756183745
