Date,Open,High,Low,Close,Volume,Change
2013-09-16,11550,11550,11100,11200,54643,
2013-09-17,11250,11300,11050,11200,38241,0.0
2013-09-23,11300,11350,10950,11050,57152,-0.013392857142857
2013-09-24,10950,11200,10850,11050,57850,0.0
2013-09-25,11100,11300,10950,11200,31019,0.0135746606334841
2013-09-26,11150,11650,11100,11600,49472,0.0357142857142858
2013-09-27,11700,12050,11700,11900,90537,0.0258620689655173
2013-09-30,11900,11950,11650,11850,26165,-0.0042016806722688
2013-10-01,11800,12200,11800,12000,92748,0.0126582278481013
2013-10-02,12100,12250,11850,11950,37133,-0.0041666666666666
2013-10-04,11850,12000,11650,11900,39999,-0.0041841004184099
2013-10-07,11950,12100,11700,11950,48690,0.0042016806722688
2013-10-08,11850,12100,11850,12000,18371,0.0041841004184099
2013-10-10,12000,12100,11850,11850,37298,-0.0124999999999999
2013-10-11,12000,12000,11700,11900,51018,0.0042194092827003
2013-10-14,12050,12450,11600,12200,147006,0.0252100840336133
2013-10-15,12400,12400,12100,12250,41363,0.0040983606557376
2013-10-16,12100,12350,11800,11900,47147,-0.0285714285714285
2013-10-17,11950,12050,11350,11400,51013,-0.042016806722689
2013-10-18,11300,11500,11100,11350,69946,-0.0043859649122807
2013-10-21,11450,11750,11350,11600,73119,0.0220264317180616
2013-10-22,11600,11750,11600,11700,18327,0.0086206896551723
2013-10-23,11700,11700,11400,11550,37430,-0.0128205128205127
2013-10-24,11600,11600,11300,11400,68319,-0.0129870129870129
2013-10-25,11450,11900,11400,11750,77796,0.0307017543859648
2013-10-28,11800,11900,11550,11800,38503,0.004255319148936
2013-10-29,11800,11850,11550,11650,43594,-0.0127118644067796
2013-10-30,11650,11750,11400,11650,87002,0.0
2013-10-31,11600,11700,11400,11550,41654,-0.0085836909871244
2013-11-01,11550,12200,11250,12100,102147,0.0476190476190476
2013-11-04,12100,12250,11950,12000,45412,-0.0082644628099173
2013-11-05,12150,12200,11900,11900,33618,-0.0083333333333333
2013-11-06,12050,12100,11900,12000,158835,0.0084033613445377
2013-11-07,12200,12550,11650,11800,154235,-0.0166666666666667
2013-11-08,11600,12000,11550,11700,34990,-0.0084745762711864
2013-11-11,11750,11900,11100,11100,78028,-0.0512820512820513
2013-11-12,11100,11400,11050,11200,15140,0.0090090090090089
2013-11-13,11200,11250,11000,11150,29405,-0.0044642857142856
2013-11-14,11000,11350,10900,11100,52565,-0.0044843049327354
2013-11-15,11150,11250,10550,10750,95969,-0.0315315315315315
2013-11-18,10800,10900,10000,10100,149030,-0.0604651162790698
2013-11-19,10100,10300,9950,10000,95118,-0.0099009900990099
2013-11-20,10100,10350,10100,10150,45713,0.0149999999999999
2013-11-21,10150,10300,9660,9860,89525,-0.0285714285714285
2013-11-22,9880,10100,9650,9810,56804,-0.0050709939148072
2013-11-25,9810,9900,9480,9520,108778,-0.0295616717635066
2013-11-26,9620,10050,9620,10000,72248,0.0504201680672269
2013-11-27,10100,10300,9960,10250,45449,0.0249999999999999
2013-11-28,10250,10300,9990,10100,19520,-0.0146341463414634
2013-11-29,10150,10600,10050,10550,84899,0.0445544554455445
2013-12-02,10550,10550,10250,10400,15280,-0.014218009478673
2013-12-03,10300,10500,10050,10250,25133,-0.0144230769230768
2013-12-04,10250,10300,9960,10150,27457,-0.0097560975609756
2013-12-05,10100,10200,10000,10000,14148,-0.0147783251231526
2013-12-06,10000,10200,9950,10100,11843,0.01
2013-12-09,10100,10250,9930,9930,11526,-0.0168316831683168
2013-12-10,9950,10000,9600,9730,36903,-0.0201409869083585
2013-12-11,9730,9800,9620,9640,39857,-0.0092497430626926
2013-12-12,9640,9700,9200,9580,94309,-0.0062240663900414
2013-12-13,9580,9670,9500,9590,3763,0.0010438413361169
2013-12-16,9430,9660,9390,9420,11088,-0.0177267987486965
2013-12-17,9430,9560,9330,9440,10982,0.0021231422505307
2013-12-18,9600,9810,9510,9760,29530,0.0338983050847456
2013-12-19,9720,9890,9610,9750,25962,-0.0010245901639344
2013-12-20,9730,9820,9630,9750,22361,0.0
2013-12-23,9790,9790,9600,9600,28920,-0.0153846153846153
2013-12-24,9600,9760,9600,9690,10933,0.0093749999999999
2013-12-26,9690,9970,9660,9950,18345,0.0268317853457171
2013-12-27,9870,10000,9870,9940,12721,-0.0010050251256281
2013-12-30,10000,10150,9950,10000,18240,0.0060362173038228
2014-01-02,10000,10050,9800,9850,16785,-0.015
2014-01-03,9760,9920,9750,9800,19622,-0.0050761421319797
2014-01-06,9900,9900,9680,9800,28658,0.0
2014-01-07,9700,9900,9700,9800,15119,0.0
2014-01-08,9830,9860,9590,9590,24949,-0.0214285714285714
2014-01-09,9590,9700,9510,9580,18438,-0.0010427528675703
2014-01-10,9580,9660,9120,9330,61420,-0.0260960334029227
2014-01-13,9290,9410,9100,9190,54552,-0.015005359056806
2014-01-14,9100,9340,9040,9230,19708,0.0043525571273121
2014-01-15,9250,9570,9170,9560,32709,0.0357529794149511
2014-01-16,9740,9740,9360,9560,18432,0.0
2014-01-17,9620,9780,9480,9600,12296,0.0041841004184099
2014-01-20,9670,9670,9540,9550,3620,-0.0052083333333333
2014-01-21,9550,9600,9530,9570,11524,0.0020942408376962
2014-01-22,9570,9630,9500,9570,9570,0.0
2014-01-23,9570,9800,9520,9750,30089,0.0188087774294671
2014-01-24,9720,9800,9420,9680,23169,-0.0071794871794871
2014-01-27,9330,9470,9150,9190,36439,-0.0506198347107438
2014-01-28,9070,9300,9070,9210,6387,0.002176278563656
2014-01-29,9300,9630,9290,9530,22549,0.0347448425624321
2014-02-03,9520,9520,9290,9440,5657,-0.0094438614900315
2014-02-04,9160,9260,9120,9160,11624,-0.0296610169491525
2014-02-05,9200,9300,9180,9210,9251,0.0054585152838428
2014-02-06,9210,9310,9200,9200,7374,-0.001085776330076
2014-02-07,9230,9360,9230,9280,17058,0.0086956521739129
2014-02-10,9290,9350,9210,9290,18355,0.0010775862068965
2014-02-11,9300,9590,9300,9470,53677,0.0193756727664156
2014-02-12,9520,9520,9370,9400,61833,-0.0073917634635691
2014-02-13,9340,9460,9280,9300,17835,-0.0106382978723403
2014-02-14,9300,9390,9280,9380,21597,0.0086021505376343
2014-02-17,9380,9450,9250,9400,13029,0.0021321961620468
2014-02-18,9360,9410,9230,9250,23018,-0.0159574468085106
2014-02-19,9230,9250,9050,9110,57443,-0.015135135135135
2014-02-20,9100,9130,7960,8120,309762,-0.1086717892425905
2014-02-21,8300,8650,8300,8300,81946,0.022167487684729
2014-02-24,8310,8640,8270,8640,27683,0.0409638554216866
2014-02-25,8660,8700,8480,8620,19808,-0.0023148148148147
2014-02-26,8620,8750,8540,8650,7679,0.0034802784222738
2014-02-27,8610,8750,8610,8660,14430,0.0011560693641619
2014-02-28,8620,8630,8450,8610,21589,-0.0057736720554272
2014-03-03,8610,8900,8400,8550,29799,-0.0069686411149826
2014-03-04,8550,8550,8290,8410,55643,-0.0163742690058479
2014-03-05,8410,8480,8310,8400,23992,-0.0011890606420927
2014-03-06,8350,8800,8350,8730,52517,0.0392857142857143
2014-03-07,8850,8940,8690,8860,30148,0.0148911798396333
2014-03-10,8900,9100,8800,9010,45012,0.0169300225733635
2014-03-11,8910,9110,8910,9030,17334,0.002219755826859
2014-03-12,8970,9040,8850,8990,42837,-0.0044296788482834
2014-03-13,8990,8990,8850,8950,23376,-0.0044493882091212
2014-03-14,8950,9090,8810,8870,54426,-0.0089385474860335
2014-03-17,8880,9180,8800,8850,55330,-0.0022547914317925
2014-03-18,8830,8940,8780,8870,9186,0.0022598870056496
2014-03-19,8870,8940,8670,8740,14326,-0.0146561443066516
2014-03-20,8740,8880,8630,8860,11738,0.0137299771167047
2014-03-21,8810,8940,8790,8920,15024,0.0067720090293452
2014-03-24,8920,9060,8790,8840,20711,-0.0089686098654708
2014-03-25,8840,8870,8530,8660,38146,-0.0203619909502262
2014-03-26,8670,8760,8600,8680,18889,0.0023094688221709
2014-03-27,8680,8800,8580,8700,29614,0.0023041474654377
2014-03-28,8700,8860,8650,8730,31462,0.0034482758620688
2014-03-31,8770,8770,8550,8690,13416,-0.0045819014891179
2014-04-01,8680,8820,8520,8820,26349,0.0149597238204832
2014-04-02,8830,9170,8790,9050,43587,0.026077097505669
2014-04-03,9100,9700,8990,9570,88761,0.0574585635359115
2014-04-04,9520,9670,9430,9580,51946,0.0010449320794148
2014-04-07,9580,9680,9410,9590,49629,0.0010438413361169
2014-04-08,9590,9650,9500,9500,33328,-0.0093847758081334
2014-04-09,9550,9550,9350,9400,35027,-0.0105263157894737
