Date,Open,High,Low,Close,Volume,Change
2023-04-04,7280,7290,6910,7120,344330,-0.0246575342465753
2023-04-05,7110,7230,7010,7180,135368,0.0084269662921347
2023-04-06,7140,7140,6820,6820,213729,-0.0501392757660167
2023-04-07,6880,7220,6850,7150,190601,0.0483870967741935
2023-04-10,7150,7160,6820,6920,186216,-0.0321678321678321
2023-04-11,7020,7400,7020,7330,263926,0.0592485549132948
2023-04-12,7220,7280,7010,7160,138930,-0.0231923601637107
2023-04-13,7110,7140,6960,7090,61813,-0.0097765363128491
2023-04-14,7100,7210,7060,7100,69895,0.001410437235543
2023-04-17,7100,7130,6940,7110,71757,0.0014084507042253
2023-04-18,7200,7210,6970,6980,61765,-0.0182841068917017
2023-04-19,6980,7150,6940,7120,72607,0.0200573065902578
2023-04-20,7180,7190,6720,6810,109819,-0.0435393258426966
2023-04-21,6730,6940,6590,6690,114618,-0.0176211453744493
2023-04-24,6610,6670,6430,6490,72377,-0.0298953662182361
2023-04-25,6450,6680,6360,6610,99036,0.0184899845916794
2023-04-26,6610,6750,6520,6530,52778,-0.0121028744326777
2023-04-27,6530,6630,6390,6550,33770,0.003062787136294
2023-04-28,6640,6680,6340,6400,63368,-0.0229007633587786
2023-05-02,6460,6670,6400,6590,40174,0.0296875
2023-05-03,6570,6590,6430,6510,26297,-0.0121396054628224
2023-05-04,6440,6500,6390,6490,36471,-0.0030721966205836
2023-05-08,6470,6680,6470,6680,42021,0.0292758089368259
2023-05-09,6570,6700,6550,6620,19263,-0.0089820359281437
2023-05-10,6680,6680,6510,6570,16652,-0.0075528700906344
2023-05-11,6590,6690,6550,6560,18697,-0.0015220700152207
2023-05-12,6620,6620,6450,6530,36415,-0.0045731707317072
2023-05-15,6530,6530,6210,6260,43214,-0.0413476263399693
2023-05-16,6370,6410,6250,6280,22329,0.0031948881789136
2023-05-17,6280,6670,6280,6670,31130,0.0621019108280254
2023-05-18,6720,7150,6670,6940,156375,0.04047976011994
2023-05-19,6980,7440,6980,7310,308635,0.0533141210374639
2023-05-22,7550,7690,7460,7530,259228,0.0300957592339261
2023-05-23,7640,7730,7330,7380,143410,-0.0199203187250995
2023-05-24,7380,7450,7210,7280,59015,-0.0135501355013549
2023-05-25,7360,7540,7160,7350,78674,0.0096153846153845
2023-05-26,7350,7820,7270,7700,325022,0.0476190476190476
2023-05-30,7850,7970,7600,7800,255708,0.0129870129870128
2023-05-31,7800,7990,7530,7900,188906,0.0128205128205127
2023-06-01,7900,7920,7220,7770,139692,-0.0164556962025316
2023-06-02,7770,7880,7540,7710,58016,-0.0077220077220077
2023-06-05,7700,7780,7450,7480,100758,-0.0298313878080415
2023-06-07,7490,7540,7340,7400,83246,-0.0106951871657754
2023-06-08,7420,7500,7250,7480,68795,0.0108108108108107
2023-06-09,7480,7840,7420,7790,108318,0.0414438502673797
2023-06-12,7760,7860,7710,7760,68943,-0.0038510911424903
2023-06-13,7840,8120,7810,7880,150671,0.0154639175257731
2023-06-14,7940,7960,7560,7740,77924,-0.0177664974619289
2023-06-15,7670,8350,7670,8310,412680,0.073643410852713
2023-06-16,8410,8450,8080,8180,167528,-0.0156438026474127
2023-06-19,8100,8280,7920,8100,107373,-0.0097799511002445
2023-06-20,8100,8390,7920,8300,129629,0.0246913580246914
2023-06-21,8300,8430,8010,8220,105529,-0.0096385542168674
2023-06-22,7980,8220,7980,8030,57357,-0.0231143552311435
2023-06-23,8030,8190,8000,8020,48029,-0.0012453300124533
2023-06-26,7920,8390,7920,8320,110106,0.0374064837905236
2023-06-27,8370,8400,8150,8240,41992,-0.0096153846153845
2023-06-28,8270,8310,8190,8250,35681,0.0012135922330096
2023-06-29,8250,8380,8130,8190,79289,-0.0072727272727273
2023-06-30,8190,8210,7930,8210,56338,0.0024420024420024
2023-07-03,8210,9010,8210,8720,353469,0.0621193666260657
2023-07-04,8720,8750,8530,8740,69365,0.0022935779816513
2023-07-05,8740,8740,8220,8430,89826,-0.0354691075514874
2023-07-06,8330,8490,8030,8060,83178,-0.0438908659549228
2023-07-07,8060,8100,7740,7750,69529,-0.0384615384615384
2023-07-10,7670,7950,7570,7730,54499,-0.0025806451612903
2023-07-11,7750,8100,7750,8030,55049,0.0388098318240621
2023-07-12,8100,8960,8090,8710,307312,0.0846824408468243
2023-07-13,8890,9530,8870,9370,482302,0.0757749712973594
2023-07-14,9640,9800,9000,9040,262151,-0.0352187833511206
2023-07-17,8980,9280,8830,8950,138879,-0.0099557522123894
2023-07-18,9000,9020,8700,8740,102826,-0.023463687150838
2023-07-19,8870,8890,8480,8640,95752,-0.0114416475972539
2023-07-20,8530,8880,8500,8880,88567,0.0277777777777776
2023-07-21,8740,8740,8240,8240,125152,-0.0720720720720721
2023-07-24,8200,8200,8000,8100,87465,-0.0169902912621359
2023-07-25,8040,8260,7900,7930,60256,-0.0209876543209877
2023-07-26,8020,8020,7480,7590,107994,-0.0428751576292559
2023-07-27,7620,8130,7590,8050,143510,0.0606060606060605
2023-07-28,8150,8410,8130,8350,87690,0.0372670807453416
2023-07-31,8390,8420,8000,8100,117915,-0.029940119760479
2023-08-01,8020,8150,7900,8150,59633,0.0061728395061728
2023-08-02,7940,8140,7710,7740,73891,-0.0503067484662577
2023-08-03,7740,7760,7450,7690,43966,-0.0064599483204134
2023-08-04,7650,7660,7400,7490,64322,-0.0260078023407022
2023-08-07,7490,7790,7300,7680,96947,0.0253671562082777
2023-08-08,7590,7750,7430,7600,63475,-0.0104166666666666
2023-08-09,7580,7700,7490,7600,27185,0.0
2023-08-10,7430,7670,7320,7430,36452,-0.0223684210526315
2023-08-11,7500,7650,7430,7510,27469,0.0107671601615073
2023-08-14,7460,7510,7240,7370,32336,-0.0186418109187749
2023-08-16,7330,7340,7010,7100,48260,-0.0366350067842605
2023-08-17,7120,7310,6560,7200,39439,0.0140845070422535
2023-08-18,7220,7270,6940,7250,20577,0.0069444444444444
2023-08-21,7250,7380,7150,7250,53564,0.0
2023-08-22,7340,7380,6870,7190,56406,-0.0082758620689654
2023-08-23,7120,7350,7120,7170,21861,-0.0027816411682892
2023-08-24,7290,8690,7290,8030,867868,0.1199442119944211
2023-08-25,7870,8060,7650,7730,107491,-0.037359900373599
2023-08-28,7730,7780,7630,7720,39102,-0.001293661060802
2023-08-29,7710,7920,7660,7830,87227,0.0142487046632124
2023-08-30,7900,8500,7860,8200,213757,0.0472541507024266
2023-08-31,8170,8190,7930,8070,78746,-0.0158536585365853
2023-09-01,8200,9400,8070,9180,594878,0.1375464684014871
2023-09-04,9450,11390,9450,9580,2203842,0.0435729847494552
2023-09-05,9580,10500,9480,10250,732435,0.069937369519833
2023-09-06,10250,11200,9900,10770,658460,0.0507317073170732
2023-09-07,10670,11120,10200,10400,349049,-0.0343546889507891
2023-09-08,10420,10460,9550,9990,291081,-0.0394230769230768
2023-09-11,9920,10000,9500,9640,202557,-0.035035035035035
2023-09-12,9670,10380,9600,9940,219493,0.0311203319502073
2023-09-13,9830,10520,9700,10020,191161,0.0080482897384306
2023-09-14,10030,10710,10030,10410,211789,0.0389221556886227
2023-09-15,10480,10570,10180,10410,84493,0.0
2023-09-18,10200,10230,9600,9790,124972,-0.0595581171950048
2023-09-19,9810,10020,9570,9720,82300,-0.0071501532175689
2023-09-20,9630,9740,9370,9610,63673,-0.0113168724279835
2023-09-21,9520,9570,9000,9040,147000,-0.0593132154006244
2023-09-22,8920,9200,8760,8990,72547,-0.0055309734513274
2023-09-25,8900,9000,8710,8800,56260,-0.0211345939933259
2023-09-26,8840,8850,8500,8700,91394,-0.0113636363636363
2023-09-27,8590,8790,8570,8740,50914,0.0045977011494253
2023-10-04,8740,8740,8090,8200,94406,-0.0617848970251716
2023-10-05,8360,8780,8330,8550,87454,0.0426829268292683
2023-10-06,8550,8790,8160,8380,150261,-0.0198830409356725
