Date,Open,High,Low,Close,Volume,Change
2019-06-18,2560,2595,2525,2555,114864,-0.005836575875486361
2019-06-19,2560,2590,2510,2525,230867,-0.011741682974559686
2019-06-20,2540,2550,2510,2520,209396,-0.001980198019801982
2019-06-21,2530,2545,2520,2520,131320,0.0
2019-06-24,2530,2560,2520,2550,84782,0.011904761904761862
2019-06-25,2540,2565,2515,2525,96241,-0.009803921568627416
2019-06-26,2515,2535,2485,2490,112605,-0.013861386138613874
2019-06-27,2480,2530,2475,2490,111607,0.0
2019-06-28,2480,2510,2465,2490,86978,0.0
2019-07-01,2505,2520,2480,2510,58241,0.008032128514056325
2019-07-02,2490,2525,2490,2510,75471,0.0
2019-07-03,2520,2530,2465,2490,93023,-0.007968127490039834
2019-07-04,2510,2510,2450,2470,77064,-0.008032128514056214
2019-07-05,2470,2490,2460,2475,57817,0.002024291497975783
2019-07-08,2475,2495,2370,2380,122314,-0.03838383838383841
2019-07-09,2365,2395,2320,2320,210129,-0.025210084033613467
2019-07-10,2540,2885,2470,2580,7643494,0.11206896551724133
2019-07-11,2550,2660,2520,2605,1741170,0.009689922480620172
2019-07-12,2660,2795,2555,2580,3275048,-0.009596928982725572
2019-07-15,2620,2640,2515,2535,515394,-0.01744186046511631
2019-07-16,2530,2560,2470,2470,489213,-0.02564102564102566
2019-07-17,2450,2475,2340,2350,697399,-0.04858299595141702
2019-07-18,2340,2415,2340,2390,205032,0.017021276595744705
2019-07-19,2380,2405,2365,2395,188942,0.0020920502092049986
2019-07-22,2380,2430,2375,2405,142554,0.0041753653444676075
2019-07-23,2405,2430,2370,2380,132442,-0.01039501039501034
2019-07-24,2380,2395,2325,2335,156853,-0.018907563025210128
2019-07-25,2320,2335,2205,2235,281161,-0.04282655246252676
2019-07-26,2220,2235,2160,2175,253133,-0.02684563758389258
2019-07-29,2170,2170,1950,1955,790888,-0.10114942528735638
2019-07-30,1930,2055,1930,2025,266158,0.03580562659846542
2019-07-31,2010,2055,1980,2050,100090,0.012345679012345734
2019-08-01,2020,2055,1995,2000,97310,-0.024390243902439046
2019-08-02,2005,2020,1840,1950,228691,-0.025000000000000022
2019-08-05,1910,1920,1720,1770,682004,-0.09230769230769231
2019-08-06,1625,1755,1625,1665,762556,-0.05932203389830504
2019-08-07,1655,1720,1655,1680,333214,0.009009009009008917
2019-08-08,1710,1765,1705,1755,225116,0.044642857142857206
2019-08-09,1800,1800,1765,1785,130721,0.017094017094017033
2019-08-12,1760,1815,1750,1800,109031,0.008403361344537785
2019-08-13,1785,1800,1750,1800,162908,0.0
2019-08-14,2055,2160,1880,1895,1858131,0.05277777777777781
2019-08-16,1850,1875,1825,1870,292376,-0.01319261213720313
2019-08-19,1870,1930,1855,1920,207879,0.02673796791443861
2019-08-20,1920,1995,1920,1980,360358,0.03125
2019-08-21,1980,2045,1960,2025,594472,0.022727272727272707
2019-08-22,2015,2070,1990,2035,358506,0.004938271604938205
2019-08-23,2015,2080,1970,2000,733287,-0.017199017199017175
