Date,Open,High,Low,Close,Volume,Change
2018-12-14,9630,10200,7800,7800,13443311,
2018-12-17,7850,9120,7810,8200,8495871,0.0512820512820513
2018-12-18,8140,8190,7040,7170,2265832,-0.1256097560975609
2018-12-19,7020,7530,6930,7120,1569756,-0.00697350069735
2018-12-20,7350,8940,7330,8140,10151855,0.1432584269662922
2018-12-21,7950,10550,7860,10550,15304830,0.296068796068796
2018-12-24,10500,12700,10300,11050,13098217,0.04739336492891
2018-12-26,10800,11950,10600,11100,5309311,0.004524886877828
2018-12-27,11150,11850,10900,11350,4179202,0.0225225225225225
2018-12-28,11300,12350,10200,10350,6409718,-0.0881057268722467
2019-01-02,10600,11350,10200,10650,3518559,0.0289855072463767
2019-01-03,11400,12500,10650,11300,8374530,0.0610328638497652
2019-01-04,12050,12500,11350,12000,4124628,0.0619469026548673
2019-01-07,12250,14000,11500,13400,4363702,0.1166666666666667
2019-01-08,13200,14500,12750,13550,6487734,0.0111940298507462
2019-01-09,13700,14050,13150,13150,1801552,-0.029520295202952
2019-01-10,13300,13600,12250,12350,2045108,-0.0608365019011406
2019-01-11,12550,12750,11900,12600,1860746,0.0202429149797571
2019-01-14,12450,12600,11200,11250,2289361,-0.1071428571428571
2019-01-15,11300,11850,11050,11350,2190492,0.0088888888888889
2019-01-16,11400,11500,10750,11000,1628597,-0.0308370044052863
2019-01-17,11100,11250,10400,10500,1493924,-0.0454545454545454
2019-01-18,10700,11150,10400,10850,1530465,0.0333333333333334
2019-01-21,10950,11600,10500,11450,1874756,0.0552995391705068
2019-01-22,11350,11550,10950,10950,963286,-0.0436681222707423
2019-01-23,10950,10950,10600,10750,623247,-0.0182648401826484
2019-01-24,10700,11400,10500,11000,1446626,0.0232558139534884
2019-01-25,11250,12350,11150,11450,5650446,0.040909090909091
2019-01-28,11500,11650,11100,11100,912883,-0.0305676855895196
2019-01-29,11050,11450,10950,11250,848064,0.0135135135135135
2019-01-30,11250,11400,10650,10700,1001815,-0.0488888888888888
2019-01-31,10800,11050,10500,10850,662832,0.0140186915887849
2019-02-01,10800,10850,10450,10450,573748,-0.0368663594470045
2019-02-07,10500,10650,10400,10650,278985,0.0191387559808613
2019-02-08,10700,10900,10550,10700,318358,0.0046948356807512
2019-02-11,10750,11200,10650,11200,774877,0.0467289719626167
2019-02-12,11250,11450,11000,11300,817963,0.0089285714285713
2019-02-13,11450,11550,11100,11250,497014,-0.0044247787610619
2019-02-14,11400,11750,11250,11650,934900,0.0355555555555555
2019-02-15,11600,11900,11500,11550,780731,-0.0085836909871244
2019-02-18,11700,11700,11200,11200,604365,-0.0303030303030302
2019-02-19,11750,11850,11150,11200,1452807,0.0
2019-02-20,11300,11400,11100,11250,471957,0.0044642857142858
2019-02-21,11350,11350,10650,10700,474721,-0.0488888888888888
2019-02-22,10600,10950,10550,10800,291700,0.0093457943925232
2019-02-25,10900,11400,10750,11050,431392,0.0231481481481481
2019-02-26,11100,11200,10850,10900,188811,-0.0135746606334841
2019-02-27,10950,11150,10800,10800,190614,-0.0091743119266054
2019-02-28,10800,11150,10700,10800,472596,0.0
2019-03-04,11150,11450,11000,11450,716470,0.0601851851851851
2019-03-05,11350,11650,11200,11550,507929,0.0087336244541484
2019-03-06,11500,11600,11250,11300,290885,-0.0216450216450216
2019-03-07,11300,11350,10750,10900,399442,-0.0353982300884956
2019-03-08,10700,11200,10650,10850,247123,-0.0045871559633027
2019-03-11,10850,11200,10700,10900,406613,0.0046082949308756
2019-03-12,11150,11200,10850,10950,342864,0.0045871559633028
2019-03-13,11000,11000,10700,10850,292570,-0.0091324200913242
2019-03-14,10900,10950,10600,10750,384497,-0.0092165898617511
2019-03-15,10800,12100,10700,11900,3176141,0.1069767441860465
2019-03-18,11800,12700,11750,12450,3135543,0.046218487394958
2019-03-19,12650,12850,12300,12750,1799238,0.0240963855421687
2019-03-20,12950,13000,12350,12550,1232667,-0.0156862745098039
2019-03-21,12600,12800,11900,12050,1038390,-0.0398406374501991
2019-03-22,12050,12550,11900,12150,919085,0.0082987551867219
2019-03-25,11850,12600,11750,11750,841879,-0.0329218106995884
2019-03-26,11900,12400,11750,12300,796097,0.0468085106382978
2019-03-27,12500,12600,11950,12350,807853,0.0040650406504065
2019-03-28,12400,12550,11950,11950,528225,-0.0323886639676113
2019-03-29,12050,12150,10400,10950,1455780,-0.0836820083682008
2019-04-01,10950,11150,10700,11050,534546,0.0091324200913243
2019-04-02,11150,11400,10950,11250,606395,0.0180995475113121
2019-04-03,11200,11200,10900,10900,385154,-0.031111111111111
2019-04-04,11100,11600,10900,11000,806213,0.0091743119266054
2019-04-05,11100,11150,10850,11000,312603,0.0
2019-04-08,11100,11400,10900,11250,494604,0.0227272727272727
2019-04-09,11500,13950,11500,12900,11827242,0.1466666666666667
2019-04-10,12950,14100,12700,13200,4981941,0.0232558139534884
2019-04-11,13400,13400,12900,13350,1521999,0.0113636363636364
2019-04-12,13200,14350,13000,13550,3742582,0.0149812734082397
2019-04-15,13600,14150,13500,13800,2026226,0.0184501845018449
2019-04-16,13550,13600,12800,13050,1345079,-0.0543478260869565
2019-04-17,13250,14850,12900,13850,5925194,0.0613026819923372
2019-04-18,13750,13850,13050,13100,1155331,-0.0541516245487364
2019-04-19,13250,13600,12650,12750,947085,-0.0267175572519083
2019-04-22,12800,13050,12600,12950,489516,0.0156862745098038
2019-04-23,13000,13000,12450,12550,506748,-0.0308880308880309
2019-04-24,12600,13100,12400,12600,836631,0.0039840637450199
2019-04-25,12600,12700,12150,12250,500639,-0.0277777777777777
2019-04-26,12200,12300,11700,11900,458935,-0.0285714285714285
2019-04-29,11950,12750,11950,12600,525016,0.0588235294117647
2019-04-30,12750,13100,12650,12650,915096,0.0039682539682539
2019-05-02,12600,13350,12450,13000,860302,0.0276679841897233
2019-05-03,13000,13300,12800,13200,458680,0.0153846153846153
2019-05-07,12750,13250,12550,12600,448121,-0.0454545454545454
2019-05-08,12450,12850,12300,12550,370753,-0.0039682539682539
2019-05-09,12550,12900,11850,12000,465738,-0.043824701195219
2019-05-10,12000,12400,11500,12150,485833,0.0124999999999999
2019-05-13,14550,15750,13600,15100,10503947,0.2427983539094649
2019-05-14,14850,15250,13050,13200,5135947,-0.1258278145695364
2019-05-15,13400,14150,13200,13450,3651660,0.018939393939394
2019-05-16,13500,13500,12350,12400,1369281,-0.0780669144981413
2019-05-17,12500,12800,11850,11950,854055,-0.0362903225806451
2019-05-20,11900,12250,11600,11600,658612,-0.0292887029288703
2019-05-21,11950,12150,11500,11750,792749,0.0129310344827586
2019-05-22,12000,12250,11850,12100,573205,0.0297872340425531
2019-05-23,12200,13100,12000,12150,1474191,0.0041322314049587
2019-05-24,12050,12350,11800,12000,479337,-0.0123456790123457
2019-05-27,12200,12700,12150,12650,853644,0.0541666666666666
2019-05-28,12650,12950,12450,12900,864786,0.0197628458498024
2019-05-29,13450,13700,12600,12650,2152673,-0.0193798449612403
2019-05-30,12900,12950,12100,12200,849088,-0.0355731225296442
2019-05-31,12250,12550,12100,12150,503390,-0.0040983606557376
