Date,Open,High,Low,Close,Volume,Change
2013-09-16,28559,28559,28183,28309,138,
2013-09-17,28433,29310,28433,28559,118,0.0088311137800698
2013-09-23,29310,29310,27807,27933,383,-0.021919534997724
2013-09-24,28183,28308,27055,27557,755,-0.0134607811549063
2013-09-25,27557,27933,27056,27307,209,-0.0090721050912653
2013-09-26,27306,27933,26304,27933,597,0.0229245248471088
2013-09-27,27682,28183,27056,27056,779,-0.0313965560448215
2013-09-30,27557,27557,26931,27307,189,0.0092770549970431
2013-10-01,27807,28308,27306,27933,1198,0.0229245248471088
2013-10-02,28057,28057,26805,27682,212,-0.0089857874198976
2013-10-04,27431,27431,26805,27056,431,-0.022613972978831
2013-10-07,27056,29185,27056,27307,1321,0.0092770549970431
2013-10-08,27933,27933,25803,26931,525,-0.0137693631669535
2013-10-10,27432,27557,26680,27307,262,0.0139616055846423
2013-10-11,27306,27306,26053,26555,655,-0.027538726333907
2013-10-14,26555,26555,25552,26054,1132,-0.0188665034833365
2013-10-15,26054,27432,25803,26931,258,0.0336608582175481
2013-10-16,26430,27432,26179,27307,419,0.0139616055846423
2013-10-17,26554,28558,26429,28183,613,0.0320796865272641
2013-10-18,27807,27807,27056,27056,117,-0.0399886456374409
2013-10-21,28057,28057,25928,27181,1823,0.0046200473092843
2013-10-22,26054,27181,25803,26430,1101,-0.0276295942018321
2013-10-23,26805,27056,25803,25929,597,-0.0189557321225879
2013-10-24,26054,26430,26054,26430,756,0.0193219946777738
2013-10-25,26429,27557,25553,27432,953,0.0379114642451758
2013-10-28,27431,28183,26304,27056,423,-0.0137066200058325
2013-10-29,27556,27556,25803,26680,1287,-0.0138971023063275
2013-10-30,26680,26805,26053,26680,135,0.0
2013-10-31,27181,27181,26304,26931,192,0.0094077961019489
2013-11-01,27056,27181,26555,26931,253,0.0
2013-11-04,27056,27557,26554,27056,759,0.0046414912182985
2013-11-05,27056,27056,26054,26806,184,-0.0092400946185688
2013-11-06,27557,27557,26430,26430,234,-0.0140267104379616
2013-11-07,27181,27306,25552,27056,67,0.02368520620507
2013-11-08,26554,27431,26053,26179,1507,-0.0324142519219396
2013-11-11,26680,26805,25552,26555,1143,0.014362657091562
2013-11-12,26554,26554,25552,26179,1255,-0.0141592920353982
2013-11-13,26179,27306,25427,25678,1125,-0.0191374766033843
2013-11-14,25803,26053,25176,25678,493,0.0
2013-11-15,25678,26555,25678,26555,51,0.0341537502920787
2013-11-18,26304,26304,25302,25929,723,-0.0235737149312746
2013-11-19,25928,26053,25302,25302,507,-0.0241814184889506
2013-11-20,25928,25928,25176,25302,108,0.0
2013-11-21,25302,25553,24050,24050,1535,-0.0494822543672437
2013-11-22,23949,24801,23798,24801,989,0.0312266112266113
2013-11-25,24801,25051,24225,24225,529,-0.0232248699649207
2013-11-26,24299,24650,23849,23849,583,-0.0155211558307533
2013-11-27,23924,25052,23548,25052,316,0.0504423665562496
2013-11-28,25026,25026,23899,24175,489,-0.0350071850550853
2013-11-29,24625,24625,23899,23899,79,-0.0114167528438469
2013-12-02,23999,24425,22972,24425,629,0.0220092890915937
2013-12-03,23448,25027,23373,25027,708,0.0246468781985671
2013-12-04,23799,24300,23673,23799,278,-0.0490670076317577
2013-12-05,23297,23297,22370,22421,4474,-0.0579015925038867
2013-12-06,22872,22872,21068,22296,3488,-0.0055751304580526
2013-12-09,22496,22496,21819,21995,1177,-0.0135001794043774
2013-12-10,22195,25051,21318,22396,1207,0.0182314162309615
2013-12-11,22295,23999,22070,22847,1385,0.0201375245579567
2013-12-12,22772,24250,22696,24175,1828,0.0581257933207861
2013-12-13,24801,25051,23072,24651,1194,0.0196897621509823
2013-12-16,23748,24926,23748,24325,526,-0.0132246156342541
2013-12-17,25051,25301,24124,24901,415,0.0236793422404932
2013-12-18,25026,25051,24450,24576,157,-0.0130516846712983
2013-12-19,25803,26054,24551,25929,1666,0.0550537109375
2013-12-20,26680,27056,24576,25428,534,-0.0193219946777739
2013-12-23,26429,26429,25177,26054,1184,0.0246185307535
2013-12-24,26555,26555,24826,25428,1407,-0.0240270208029477
2013-12-26,25428,26304,25052,25428,844,0.0
2013-12-27,25928,26179,24926,26179,290,0.0295343715589113
2013-12-30,26304,26304,25678,26054,463,-0.0047748195118224
2014-01-02,26304,26805,26179,26179,1078,0.0047977277961157
2014-01-03,26805,26805,26179,26179,560,0.0
2014-01-06,26179,26805,25928,26555,201,0.014362657091562
2014-01-07,27056,27056,26680,26931,211,0.0141592920353983
2014-01-08,26930,27181,26304,27056,254,0.0046414912182985
2014-01-09,27181,27808,26304,27307,451,0.0092770549970431
2014-01-10,26805,28309,26805,27808,86,0.0183469440070311
2014-01-13,27056,27682,26555,26931,237,-0.0315376869965478
2014-01-14,26554,26930,26429,26680,143,-0.0093201143663436
2014-01-15,26555,26806,26179,26806,431,0.0047226386806595
2014-01-16,27056,27557,26554,27056,502,0.0093262702380063
2014-01-17,27055,27556,25803,25803,1021,-0.0463113542282672
2014-01-20,26053,26304,25677,25803,344,0.0
2014-01-21,25803,26054,25678,26054,244,0.0097275510599543
2014-01-22,25803,26179,24801,24927,1292,-0.0432563138097796
2014-01-23,24951,25052,24576,25002,117,0.0030087856541098
2014-01-24,24150,25027,24150,24927,252,-0.0029997600191984
2014-01-27,24926,24976,24425,24425,218,-0.0201388053115095
2014-01-28,24951,24951,24300,24776,25,0.0143705220061411
2014-01-29,24750,24976,24324,24425,237,-0.0141669357442686
2014-02-03,24826,24826,24776,24776,109,0.0143705220061411
2014-02-04,24776,24776,24075,24551,98,-0.0090813690668388
2014-02-05,24901,24901,24299,24826,37,0.0112011730683068
2014-02-06,24826,25928,24550,25052,498,0.0091033593812936
2014-02-07,25928,25928,24576,25002,159,-0.0019958486348394
2014-02-10,23849,24977,23849,24927,336,-0.0029997600191984
2014-02-11,26179,26179,24250,25027,128,0.00401171420548
2014-02-12,26304,26304,24099,25177,337,0.0059935269908499
2014-02-13,25177,25177,24400,24501,122,-0.0268499026889621
2014-02-14,24600,25051,24375,24801,4,0.012244398187829
2014-02-17,25026,25677,23798,24425,138,-0.0151606790048788
2014-02-18,23473,24901,23473,24776,511,0.0143705220061411
2014-02-19,25301,25301,24299,24350,47,-0.0171940587665482
2014-02-20,25052,25052,24175,24952,201,0.0247227926078028
2014-02-21,25051,25051,24024,24776,360,-0.0070535428021801
2014-02-24,24299,24875,24299,24400,102,-0.0151759767516952
2014-02-25,24651,25553,24050,25002,455,0.024672131147541
2014-02-26,25001,25051,24475,24626,104,-0.0150387968962483
2014-02-27,24400,24977,24300,24977,162,0.0142532282952976
2014-02-28,24801,25002,24451,24927,78,-0.0020018416943587
2014-03-03,26304,26304,24450,25027,112,0.00401171420548
2014-03-04,25929,26054,24450,24476,311,-0.0220162224797219
2014-03-05,24575,25302,24575,24601,23,0.0051070436345808
2014-03-06,25928,25928,24350,24350,50,-0.0102028372830372
2014-03-07,24475,24951,24300,24776,291,0.017494866529774
2014-03-10,25928,26053,24550,24801,118,0.0010090410074266
2014-03-11,24801,24876,24500,24701,85,-0.0040320954800209
2014-03-12,25928,25928,24200,24576,528,-0.0050605238654305
2014-03-13,24801,25026,24400,24551,107,-0.0010172526041666
2014-03-14,26053,26053,24400,24676,75,0.0050914423037757
2014-03-17,24450,24776,24099,24701,137,0.0010131301669638
2014-03-18,24425,24526,23799,24501,1080,-0.0080968381846888
2014-03-19,24550,24650,24350,24350,106,-0.0061630137545406
2014-03-20,24450,24525,23849,24200,486,-0.0061601642710472
2014-03-21,23874,25677,23874,24350,672,0.006198347107438
2014-03-24,25552,25552,23924,24400,252,0.002053388090349
2014-03-25,24400,24400,23974,24375,213,-0.0010245901639344
2014-03-26,24976,24976,24324,24375,4,0.0
2014-03-27,25026,25026,24124,24300,87,-0.003076923076923
2014-03-28,23824,24550,23824,24300,199,0.0
2014-03-31,24274,24550,24274,24450,142,0.0061728395061728
2014-04-01,24550,24550,24274,24450,128,0.0
2014-04-02,24750,24750,24299,24450,252,0.0
2014-04-03,24550,24550,24074,24300,111,-0.0061349693251533
2014-04-04,24275,24275,23799,24250,160,-0.0020576131687243
2014-04-07,24249,24275,24049,24275,8,0.0010309278350515
2014-04-08,24224,24275,24124,24250,468,-0.0010298661174047
2014-04-09,24250,24250,24125,24125,60,-0.0051546391752577
2014-04-10,24274,24300,24074,24300,84,0.0072538860103625
2014-04-11,24300,24576,24050,24050,291,-0.0102880658436214
2014-04-14,24175,24175,23523,23549,792,-0.0208316008316008
2014-04-15,23698,23698,23272,23298,237,-0.0106586266932778
2014-04-16,23899,23899,22772,23223,272,-0.0032191604429564
2014-04-17,23523,23673,22846,23423,74,0.0086121517461137
2014-04-18,23673,23724,23648,23724,373,0.012850616914998
2014-04-21,23673,23848,23373,23373,188,-0.0147951441578149
2014-04-22,24299,24299,23397,23498,552,0.0053480511701535
2014-04-23,23573,23573,23047,23198,870,-0.0127670440037449
2014-04-24,22997,23398,22772,23073,121,-0.0053883955513406
2014-04-25,23072,23172,23022,23022,404,-0.0022103757638798
2014-04-28,23373,23373,22796,22822,91,-0.0086873425419163
2014-04-29,23748,23748,22796,23047,88,0.0098589080711593
2014-04-30,23047,23222,22796,22847,439,-0.0086779190350153
2014-05-02,22847,22997,22421,22772,231,-0.0032827067010986
2014-05-07,23173,23173,22446,23173,114,0.017609344809415
2014-05-08,22146,22847,22146,22622,478,-0.0237776722910283
2014-05-09,22546,22947,22195,22772,319,0.0066307134647687
2014-05-12,22320,23648,22295,22571,244,-0.0088266291937466
2014-05-13,22797,23298,22571,22597,75,0.0011519206060874
2014-05-14,22596,23047,22571,22647,383,0.0022126830995263
2014-05-15,22746,22746,21819,22571,94,-0.003355852872345
2014-05-16,22621,22621,22420,22546,45,-0.0011076159673918
2014-05-19,23097,23097,22521,22747,526,0.0089151068925752
2014-05-20,23047,23047,22671,22797,2,0.0021980920560953
2014-05-21,22170,22546,21895,22371,692,-0.0186866692985919
2014-05-22,22345,24024,22095,22446,836,0.0033525546466406
2014-05-23,22546,23047,22471,22897,20,0.0200926668448722
2014-05-26,22797,22797,22196,22647,71,-0.0109184609337468
2014-05-27,22546,22546,21794,21995,847,-0.0287896851680133
2014-05-28,23147,23222,21769,21920,573,-0.0034098658786088
2014-05-29,23297,23297,21544,22371,483,0.020574817518248
2014-05-30,22371,23297,20893,22346,1253,-0.0011175182155469
2014-06-02,22245,23147,21544,21895,1351,-0.0201825830126196
2014-06-03,21544,21920,21544,21770,173,-0.0057090659968028
2014-06-05,21920,21920,21469,21745,200,-0.0011483693155719
2014-06-09,21920,21920,20792,21770,1072,0.0011496895838123
2014-06-10,21744,21744,21393,21569,1589,-0.009232889297198
2014-06-11,21594,21995,21193,21419,813,-0.0069544253326533
2014-06-12,20943,21794,20943,21369,253,-0.0023343760212894
2014-06-13,21494,21970,20792,21294,549,-0.0035097571248069
2014-06-16,21368,21869,21042,21619,41,0.0152625152625152
2014-06-17,21619,21995,21168,21369,138,-0.0115639021231324
2014-06-18,21719,22045,21168,21394,102,0.0011699190416023
2014-06-19,21068,22020,18989,21419,552,0.0011685519304478
2014-06-20,22872,22872,20592,20918,560,-0.0233904477333208
2014-06-23,21093,21093,20567,20768,92,-0.0071708576345731
2014-06-24,20993,21820,20066,20793,512,0.0012037750385207
2014-06-25,21919,22044,20366,20642,554,-0.0072620593468956
2014-06-26,21969,21969,20341,20542,256,-0.0048444918128088
2014-06-27,20441,22020,20041,20041,113,-0.0243890565670333
2014-06-30,19389,21293,19389,20116,284,0.0037423282271342
2014-07-01,19790,21994,19088,20166,154,0.0024855836150328
