Date,Open,High,Low,Close,Volume,Change
2013-09-16,40292,40292,39589,39969,10856,
2013-09-17,39697,39968,39265,39914,18641,-0.0013760664514999
2013-09-23,39805,39914,39318,39374,17589,-0.0135290875382071
2013-09-24,39318,39914,39048,39482,18543,0.0027429268044902
2013-09-25,39859,39914,39103,39265,13546,-0.0054961754723671
2013-09-26,39210,40833,39103,40834,43551,0.0399592512415636
2013-09-27,40941,42131,40400,41537,36757,0.0172160454523191
2013-09-30,41699,41861,40400,41537,50484,0.0
2013-10-01,40617,42942,40617,42240,42471,0.0169246695717071
2013-10-02,42456,44349,41915,44350,83301,0.0499526515151516
2013-10-04,44349,44998,43321,44837,44656,0.0109808342728296
2013-10-07,44619,44944,43862,44350,32652,-0.0108615652251489
2013-10-08,44186,44836,43591,44079,24573,-0.0061104847801578
2013-10-10,44078,44457,42510,43051,44551,-0.0233217631978946
2013-10-11,43159,43753,42780,43755,41693,0.0163526979628811
2013-10-14,43753,43753,42727,43106,24162,-0.0148325905610787
2013-10-15,43159,43375,41104,41537,74010,-0.0363986452002041
2013-10-16,41536,42402,41266,41808,55833,0.0065243036329056
2013-10-17,42186,42186,41104,42186,28063,0.0090413318025257
2013-10-18,42240,42510,41320,42133,27056,-0.0012563409661973
2013-10-21,42078,42672,41536,42673,19950,0.0128165570930149
2013-10-22,42672,43104,42023,42781,24543,0.0025308743233425
2013-10-23,42834,42834,40671,41484,59222,-0.0303171968864682
2013-10-24,41158,42348,40779,42186,32062,0.016922186867226
2013-10-25,42186,42510,41536,42186,25894,0.0
2013-10-28,42078,42348,41158,41267,16985,-0.0217844782629308
2013-10-29,41536,41536,40563,40726,20801,-0.0131097487096226
2013-10-30,40563,42186,40563,41862,26322,0.0278937288218827
2013-10-31,41536,42293,41158,41862,21094,0.0
2013-11-01,41699,42564,41699,42510,19866,0.0154794324208111
2013-11-04,42618,42618,41915,42133,16478,-0.0088685015290519
2013-11-05,42456,42510,41645,41808,12547,-0.007713668620796
2013-11-06,41645,42456,41104,42295,21421,0.0116484883275929
2013-11-07,42293,42348,40995,41484,24885,-0.0191748433620995
2013-11-08,40995,41482,40400,40564,18487,-0.0221772249541991
2013-11-11,40833,41482,39914,40618,14925,0.0013312296617691
2013-11-12,41104,41212,40400,41051,9482,0.0106602983898764
2013-11-13,40779,40833,39859,40347,21109,-0.0171493995274171
2013-11-14,40130,40995,40130,40564,12776,0.0053783428755544
2013-11-15,40833,41049,40184,40564,22667,0.0
2013-11-18,40941,40941,39968,40456,16832,-0.0026624593235381
2013-11-19,40563,40563,39373,39374,34713,-0.0267451057939489
2013-11-20,39752,39968,39481,39644,15164,0.0068573170112256
2013-11-21,39373,39968,39156,39482,18908,-0.0040863686812632
2013-11-22,39805,40563,39373,40293,13037,0.0205410060280635
2013-11-25,40671,40725,40184,40510,9238,0.0053855508400963
2013-11-26,40238,41266,40022,41105,17086,0.0146877314243396
2013-11-27,40779,41645,40779,41375,14650,0.0065685439727527
2013-11-28,41536,41753,40887,41754,26151,0.0091601208459215
2013-11-29,41807,42456,41212,42403,45681,0.0155434209896057
2013-12-02,42240,42727,41482,42457,27549,0.0012734947998962
2013-12-03,42456,42456,40887,41267,66072,-0.0280283581034929
2013-12-04,41212,41807,40076,41754,35668,0.0118011970824145
2013-12-05,41915,41915,40995,41375,27347,-0.0090769746611103
2013-12-06,41212,41699,40671,41537,16553,0.0039154078549847
2013-12-09,41428,41861,41158,41537,15275,0.0
2013-12-10,41374,41645,40076,40456,32969,-0.0260249897681584
2013-12-11,40346,40725,39535,39644,30110,-0.0200711884516511
2013-12-12,39643,40076,39373,39699,14123,0.0013873473917869
2013-12-13,40400,40995,39589,39752,35273,0.0013350462228267
2013-12-16,39210,39697,38832,38888,35821,-0.0217347554840008
2013-12-17,38940,39103,37317,38130,65557,-0.0194918740999794
2013-12-18,37588,39210,37588,39158,23718,0.0269603986362443
2013-12-19,39210,39265,37913,38454,24997,-0.0179784462944991
2013-12-20,38183,38724,37967,38239,10298,-0.0055910958547875
2013-12-23,38237,39373,37967,39374,13969,0.0296817385391876
2013-12-24,39643,39643,38724,39158,18862,-0.0054858536089805
2013-12-26,39427,39968,38562,39752,31472,0.0151693140609836
2013-12-27,39557,41502,39557,40725,23053,0.0244767558864962
2013-12-30,41178,41957,40854,41504,17880,0.0191282995702886
2014-01-02,41568,41697,40336,41374,27928,-0.0031322282189668
2014-01-03,40984,41373,40400,40596,14438,-0.018804079856915
2014-01-06,40270,40789,39363,39882,30241,-0.0175879396984924
2014-01-07,39622,40465,39428,40466,27518,0.0146431974324257
2014-01-08,40594,40725,39752,40531,26139,0.0016062867592547
2014-01-09,39622,40076,36963,38391,174392,-0.0527990920529964
2014-01-10,37936,38260,36379,37483,76819,-0.0236513766247297
2014-01-13,37482,39428,36963,39104,55220,0.0432462716431449
2014-01-14,39103,39233,37741,38455,39892,-0.0165967675941079
2014-01-15,38455,38973,38066,38650,26531,0.0050708620465478
2014-01-16,38455,39039,38455,38520,18073,-0.0033635187580853
2014-01-17,38520,38779,37871,37872,12306,-0.016822429906542
2014-01-20,37547,38001,37093,37547,17975,-0.0085815378115757
2014-01-21,37612,37871,37223,37678,19563,0.0034889605028365
2014-01-22,37871,37871,37028,37483,19131,-0.0051754339402303
2014-01-23,37352,37936,37223,37678,13227,0.0052023584024758
2014-01-24,37612,38649,36574,37872,28124,0.0051488932533574
2014-01-27,37028,37871,36963,37807,18570,-0.0017163075623151
2014-01-28,37287,37871,36899,37289,21052,-0.0137011664506573
2014-01-29,37287,38325,37287,37872,31668,0.0156346375606746
2014-02-03,37806,38260,37482,38067,13138,0.0051489226869454
2014-02-04,37547,38001,36704,37483,26526,-0.0153413717918406
2014-02-05,37612,37741,37028,37483,10468,0.0
2014-02-06,37482,37547,36250,36251,33014,-0.0328682335992316
2014-02-07,36768,36768,35731,35991,29828,-0.0071722159388706
2014-02-10,35991,36185,34953,34954,39997,-0.0288127587452419
2014-02-11,35083,35861,34953,35797,24657,0.0241174114550553
2014-02-12,36250,36250,35471,36186,17801,0.0108668324161242
2014-02-13,35796,36250,35666,36121,15800,-0.0017962748024097
2014-02-14,36120,36899,35731,36640,17402,0.0143683729686332
2014-02-17,36250,37158,36120,37159,14477,0.014164847161572
2014-02-18,36639,38909,36510,37807,31363,0.0174385747732717
2014-02-19,37806,38001,37093,37937,10906,0.0034385166768058
2014-02-20,37936,38195,37223,37223,13602,-0.0188206763845322
2014-02-21,37223,37936,37158,37223,10417,0.0
2014-02-24,37158,37547,36768,36964,11289,-0.0069580635628508
2014-02-25,36963,37871,36963,37289,14209,0.0087923384915051
2014-02-26,37806,37936,37352,37937,12931,0.0173777789696694
2014-02-27,38131,38325,37676,38326,14779,0.0102538418957744
2014-02-28,38260,39039,37741,39039,26380,0.0186035589417106
2014-03-03,39687,39946,38714,39947,30453,0.0232587924895617
2014-03-04,39363,40206,39298,39947,23531,0.0
2014-03-05,40206,40336,38844,39363,22249,-0.0146193706661326
2014-03-06,39039,39752,38131,38650,39389,-0.0181134567995325
2014-03-07,38195,38973,37936,38780,26941,0.0033635187580853
2014-03-10,38844,38844,37936,38326,22870,-0.0117070654976791
2014-03-11,38131,39298,38066,39299,22094,0.0253874654281689
2014-03-12,39557,39557,38260,38261,23515,-0.0264128858240667
2014-03-13,38779,39039,38325,39039,15715,0.0203340215885627
2014-03-14,38390,39039,38390,38715,17125,-0.0082993929147775
2014-03-17,38649,39103,38520,39039,16298,0.0083688492832234
2014-03-18,39039,39168,38325,38586,13223,-0.01160378083455
2014-03-19,38584,38909,38066,38455,13465,-0.0033950137355517
2014-03-20,38455,38455,37417,38131,13228,-0.008425432323495
2014-03-21,37871,38390,37676,37937,9862,-0.0050877238991896
2014-03-24,38260,38260,37676,37872,5575,-0.0017133668977515
2014-03-25,37676,38131,37093,37353,14385,-0.0137040557667934
2014-03-26,37417,37612,36899,37029,12478,-0.0086740020881856
2014-03-27,37093,37806,36704,37029,10058,0.0
2014-03-28,36834,37871,36768,37613,8754,0.0157714223986604
2014-03-31,37482,37482,36055,36834,29055,-0.0207109244144312
2014-04-01,36768,36963,35991,36705,22573,-0.0035021990552207
2014-04-02,37158,37158,36574,36705,7903,0.0
2014-04-03,36899,36963,36055,36056,19098,-0.0176815147800026
2014-04-04,38390,39168,35666,35926,116294,-0.0036055025515864
2014-04-07,35666,35666,34953,35343,35378,-0.0162278015921616
2014-04-08,35277,35926,34434,35148,43501,-0.0055173584585349
2014-04-09,34694,35796,34694,35797,25331,0.0184647775122339
2014-04-10,35796,35861,35083,35473,20504,-0.0090510377964634
2014-04-11,35018,35277,34823,35018,18006,-0.0128266568939756
2014-04-14,35018,35471,34758,35343,7980,0.0092809412302243
2014-04-15,35666,35731,34888,35278,23973,-0.0018391194861783
2014-04-16,35407,35602,34823,35473,23243,0.0055275242360677
2014-04-17,35342,35537,35018,35537,15512,0.0018041891015703
2014-04-18,35342,35861,35213,35537,19186,0.0
2014-04-21,35277,35666,34888,34954,33008,-0.0164054365872189
2014-04-22,35018,35213,33721,34046,61015,-0.0259769983406763
2014-04-23,34045,34369,33591,33787,32541,-0.007607354755331
2014-04-24,33591,33915,32942,32944,38260,-0.0249504247195666
2014-04-25,33008,33915,33008,33397,19030,0.0137506070908208
2014-04-28,33267,33915,33137,33397,10399,0.0
2014-04-29,33202,34110,33137,34046,16047,0.0194328831931012
2014-04-30,34110,34110,33591,34046,16288,0.0
2014-05-02,34110,34110,33072,33203,24049,-0.0247606179874287
2014-05-07,33137,33397,32067,32230,20532,-0.0293045809113634
2014-05-08,31645,32424,31645,32230,13881,0.0
2014-05-09,31938,32424,31808,32036,15435,-0.0060192367359602
2014-05-12,32034,32164,31256,31290,23575,-0.0232863029092271
2014-05-13,31419,31581,30641,31063,43434,-0.0072547139661233
2014-05-14,30900,31354,30575,30803,32266,-0.0083700865982035
2014-05-15,30803,31062,30641,30706,24515,-0.003149043924293
2014-05-16,30641,31483,30608,30965,31734,0.0084348335830131
2014-05-19,31127,31159,30381,30544,20745,-0.0135959954787663
2014-05-20,30381,30705,28857,30188,92147,-0.0116553169198533
2014-05-21,30154,31127,29895,31096,29892,0.030078176758977
2014-05-22,31062,33332,31062,33138,76338,0.0656676099819912
2014-05-23,33397,33656,32489,32813,51135,-0.0098074717846581
2014-05-26,33137,33656,32229,33397,36537,0.0177978240331575
2014-05-27,33397,33526,32748,33073,17364,-0.0097014701919334
2014-05-28,32748,33656,32553,33527,19060,0.0137272095062437
2014-05-29,33137,33915,33072,33397,22125,-0.0038774718883287
2014-05-30,33461,34499,33137,34500,41140,0.0330269185855016
2014-06-02,34499,34694,33786,34629,22077,0.0037391304347826
2014-06-03,34434,34888,33526,34046,32513,-0.0168356002194692
