Date,Open,High,Low,Close,Volume,Change
2019-01-30,10145,13154,10145,11416,16329883,
2019-01-31,11650,12469,10530,10664,4652100,-0.0658724597056762
2019-02-01,10714,10747,9661,9761,1926682,-0.0846774193548387
2019-02-07,9844,9861,9326,9427,721093,-0.0342178055527098
2019-02-08,9527,9778,9427,9561,993407,0.0142144902938368
2019-02-11,9995,11332,9778,10530,4604346,0.101349231251961
2019-02-12,10597,10797,10062,10246,878996,-0.0269705603038936
2019-02-13,10246,10363,10045,10363,511825,0.0114190903767323
2019-02-14,10195,10246,9895,9962,518544,-0.0386953584869246
2019-02-15,9861,10112,9794,9828,292488,-0.0134511142340895
2019-02-18,9911,9928,9560,9778,324777,-0.0050875050875051
2019-02-19,9895,10262,9844,10263,876241,0.049601145428513
2019-02-20,10162,10212,9995,10179,361290,-0.0081847413037123
2019-02-21,10229,10346,10095,10330,428096,0.0148344631103252
2019-02-22,10312,10329,10012,10029,364963,-0.0291384317521781
2019-02-25,10028,10129,9828,9828,238586,-0.0200418785521986
2019-02-26,9861,9961,9844,9895,127173,0.0068172568172568
2019-02-27,9961,10012,9811,9929,137038,0.0034360788276908
2019-02-28,10012,10062,9025,9511,229855,-0.0420989022056601
2019-03-04,9510,9644,9460,9494,206244,-0.0017874040584586
2019-03-05,9443,9544,9276,9360,194960,-0.0141141773751842
2019-03-06,9493,9493,9226,9310,129578,-0.0053418803418803
2019-03-07,9310,9360,9209,9260,131585,-0.0053705692803437
2019-03-08,9193,9310,9076,9277,133751,0.0018358531317494
2019-03-11,9343,9343,9009,9059,150057,-0.0234989759620567
2019-03-12,9059,9142,9009,9059,105365,0.0
2019-03-13,9126,9126,8959,8993,115572,-0.0072855723589799
2019-03-14,8992,9126,8975,9093,86451,0.011119759813188
2019-03-15,9142,9610,9142,9427,437405,0.036731551743099
2019-03-18,9493,9560,9276,9444,186351,0.0018033308581733
2019-03-19,9493,9744,9460,9695,402828,0.0265777213045319
2019-03-20,9828,9828,9493,9695,277666,0.0
2019-03-21,9761,9794,9527,9661,169883,-0.0035069623517276
2019-03-22,9594,9677,9527,9594,85512,-0.0069350998861401
2019-03-25,9443,9477,9159,9293,152393,-0.0313737752762143
2019-03-26,9243,9376,9209,9377,69843,0.0090390616593134
2019-03-27,9259,9393,9092,9093,94423,-0.0302868721339447
2019-03-28,9092,9226,9059,9093,91485,0.0
2019-03-29,9159,9193,9042,9193,83250,0.0109974705817661
2019-04-01,9193,9326,9076,9277,106691,0.0091373871423909
2019-04-02,9360,9376,9259,9277,101791,0.0
2019-04-03,9343,9343,9209,9260,83388,-0.0018324889511696
2019-04-04,9276,9276,9142,9227,65484,-0.0035637149028078
2019-04-05,9226,9393,9126,9227,146314,0.0
2019-04-08,9193,9310,9126,9143,104309,-0.0091037173512518
2019-04-09,9025,9209,9025,9160,74895,0.0018593459477196
2019-04-10,9209,9343,9076,9344,104585,0.0200873362445415
2019-04-11,9376,9410,9259,9310,74581,-0.0036386986301369
2019-04-12,9310,9360,9193,9293,70363,-0.0018259935553168
2019-04-15,9343,9761,9293,9644,427579,0.0377703647907026
2019-04-16,9761,9794,9544,9728,249867,0.0087100788054748
2019-04-17,9778,9811,9393,9611,288417,-0.0120271381578946
2019-04-18,9610,9794,9410,9494,160443,-0.0121735511393195
2019-04-19,9493,9594,9393,9594,75131,0.010532968190436
2019-04-22,9610,9610,9410,9461,80085,-0.0138628309360017
2019-04-23,9427,9427,9243,9293,65218,-0.0177571081281048
2019-04-24,9343,9477,9243,9310,57174,0.0018293339072419
2019-04-25,9293,9293,9176,9293,50282,-0.0018259935553168
2019-04-26,9259,9259,9126,9126,70306,-0.0179705154417303
2019-04-29,9042,9243,9042,9176,51820,0.0054788516326977
2019-04-30,9025,9142,9009,9110,113843,-0.0071926765475152
2019-05-02,9109,9193,9059,9093,76855,-0.0018660812294182
2019-05-03,9209,9243,9092,9110,90217,0.0018695699989002
2019-05-07,9025,9126,8959,9093,94800,-0.0018660812294182
2019-05-08,9025,9142,8959,9110,94249,0.0018695699989002
2019-05-09,9059,9126,8791,8792,135028,-0.0349066959385291
2019-05-10,8691,8858,7939,8257,332976,-0.0608507734303912
2019-05-13,8257,8273,7755,7906,157709,-0.0425093859755358
2019-05-14,7571,7906,7571,7856,56528,-0.0063243106501391
2019-05-15,7855,8023,7805,7856,58610,0.0
2019-05-16,7939,8106,7822,7973,45648,0.0148930753564153
2019-05-17,7906,7972,7855,7856,26797,-0.0146745265270287
2019-05-20,8023,8023,7588,7672,48113,-0.0234215885947046
2019-05-21,7588,7989,7555,7906,45708,0.0305005213764337
2019-05-22,7906,7939,7672,7756,22498,-0.0189729319504173
2019-05-23,7755,7772,7371,7488,65724,-0.0345538937596698
2019-05-24,7304,7521,7120,7187,50435,-0.0401976495726495
2019-05-27,7187,7371,6936,6953,52316,-0.0325587866982051
2019-05-28,6986,7053,6919,7037,35600,0.0120811160650078
2019-05-29,7020,7204,6819,6820,39151,-0.0308370044052863
2019-05-30,6819,6886,6401,6469,137026,-0.051466275659824
2019-05-31,6502,6602,6385,6552,55338,0.0128304220126758
2019-06-03,6502,7287,6502,6786,92987,0.0357142857142858
2019-06-04,6786,6853,6702,6786,27554,0.0
2019-06-05,6802,6936,6802,6886,29773,0.0147362216327733
2019-06-07,6936,7137,6853,7104,38726,0.0316584374092361
2019-06-10,7103,7153,6986,7070,19866,-0.004786036036036
2019-06-11,7020,7070,6970,7054,26459,-0.0022630834512022
2019-06-12,7003,7087,6886,7037,33195,-0.0024099801531046
2019-06-13,7036,7087,7003,7070,18041,0.0046894983657808
2019-06-14,7020,7070,6936,7054,13557,-0.0022630834512022
2019-06-17,6953,7053,6786,6786,27401,-0.0379926282960022
2019-06-18,6886,6903,6518,6619,65670,-0.0246094901267315
2019-06-19,6635,6752,6635,6686,38924,0.010122374981115
2019-06-20,6685,6869,6669,6870,43629,0.0275201914448099
2019-06-21,6886,6986,6752,6886,27928,0.0023289665211063
2019-06-24,6986,6986,6769,6820,14299,-0.0095846645367412
2019-06-25,6819,6819,6719,6803,19510,-0.0024926686217008
2019-06-26,6702,6853,6652,6719,30276,-0.0123474937527561
2019-06-27,6669,6752,6568,6719,37108,0.0
2019-06-28,6652,6719,6585,6619,21993,-0.014883167137967
2019-07-01,6602,6752,6602,6686,12767,0.010122374981115
2019-07-02,6685,6752,6502,6636,21960,-0.0074783128926114
2019-07-03,6635,6685,6468,6502,41619,-0.0201928872814949
2019-07-04,6502,6602,6351,6552,66331,0.0076899415564442
2019-07-05,6585,6585,6451,6535,13225,-0.0025946275946275
2019-07-08,6535,6535,6301,6301,45295,-0.0358071920428462
2019-07-09,6167,6301,6117,6168,30811,-0.021107760672909
2019-07-10,6184,6284,6100,6285,11891,0.0189688715953306
2019-07-11,6351,6368,6217,6335,17287,0.0079554494828957
2019-07-12,6418,6418,6034,6318,15047,-0.0026835043409628
2019-07-15,6318,6468,6184,6452,20102,0.0212092434314656
2019-07-16,6451,6451,6067,6352,13021,-0.0154990700557966
2019-07-17,6318,6318,6134,6268,22812,-0.0132241813602015
2019-07-18,6268,6318,6100,6285,23587,0.0027121888959795
2019-07-19,6351,6351,6217,6301,19055,0.0025457438345266
2019-07-22,6217,6351,6184,6352,10760,0.0080939533407395
2019-07-23,6351,6401,6184,6268,14975,-0.0132241813602015
2019-07-24,6368,6368,6167,6285,21795,0.0027121888959795
2019-07-25,6284,6334,6117,6201,21179,-0.0133651551312649
2019-07-26,6084,6234,6017,6101,20081,-0.0161264312207708
2019-07-29,6034,6067,5716,5733,40064,-0.0603179806589083
2019-07-30,5816,5833,5499,5716,61473,-0.0029652886795743
2019-07-31,5616,5632,5465,5583,33061,-0.0232680195941217
2019-08-01,5582,5716,5532,5666,22130,0.014866559197564
2019-08-02,5549,6017,5365,5984,70570,0.0561242499117542
2019-08-05,5833,5833,5265,5265,82831,-0.1201537433155079
2019-08-06,5047,5148,4863,5081,89323,-0.0349477682811015
2019-08-07,5081,5298,4914,5115,28732,0.0066915961424915
2019-08-08,5181,5265,5064,5165,37811,0.0097751710654936
2019-08-09,5164,5415,5148,5349,43785,0.0356243949661181
2019-08-12,5382,5382,5164,5282,18271,-0.0125257057393904
2019-08-13,5315,5315,5164,5282,11403,0.0
2019-08-14,5331,5331,5047,5131,41200,-0.0285876561908368
2019-08-16,5047,5164,5014,5081,20294,-0.0097446891444162
2019-08-19,5131,5148,5047,5115,14092,0.0066915961424915
2019-08-20,5114,5198,5081,5198,10138,0.0162267839687193
2019-08-21,5214,5398,5131,5399,41990,0.0386687187379761
2019-08-22,5348,5465,5281,5349,17120,-0.0092609742544915
2019-08-23,5331,5348,5181,5332,20111,-0.0031781641428304
