Date,Open,High,Low,Close,Volume,Change
2023-04-04,47450,47800,47150,47750,782773,0.009513742071881603
2023-04-05,47850,48300,47750,47850,833675,0.0020942408376962707
2023-04-06,47800,47850,46600,46650,1505185,-0.025078369905956133
2023-04-07,46800,47350,46450,47000,635365,0.007502679528403
2023-04-10,46550,47200,46450,46550,846981,-0.009574468085106425
2023-04-11,46900,47300,46550,46950,1028805,0.00859291084854985
2023-04-12,46750,47150,46550,46900,1613515,-0.0010649627263046302
2023-04-13,46650,47300,46450,47200,1165017,0.006396588486140775
2023-04-14,47700,49200,47550,48650,1848926,0.03072033898305082
2023-04-17,49000,49050,48000,48400,860465,-0.005138746145940343
2023-04-18,48200,48950,47700,48400,856233,0.0
2023-04-19,48550,49650,48550,49450,1367592,0.02169421487603307
2023-04-20,49550,50500,49200,50400,1445434,0.01921132457027297
2023-04-21,50200,50400,49850,50100,1050932,-0.005952380952380931
2023-04-24,49800,50200,49050,49200,1162617,-0.017964071856287456
2023-04-25,49500,50300,49100,49750,1100293,0.011178861788617933
2023-04-26,49450,49500,48600,48950,849300,-0.016080402010050232
2023-04-27,48900,49000,48100,48250,1062246,-0.01430030643513791
2023-04-28,48550,49700,48550,49500,2432073,0.02590673575129543
2023-05-02,48850,49650,48800,49500,890785,0.0
2023-05-03,49000,49150,48100,48300,814233,-0.024242424242424288
2023-05-04,48350,48850,47900,48700,1429517,0.008281573498964745
2023-05-08,48750,49600,48700,49250,1339222,0.011293634496919891
2023-05-09,48900,49450,48550,49150,1107796,-0.0020304568527919065
2023-05-10,48900,49100,48050,48600,758119,-0.011190233977619535
2023-05-11,49050,49650,48950,49200,2004475,0.012345679012345734
2023-05-12,49000,49000,48400,48600,2291609,-0.012195121951219523
2023-05-15,49100,49200,48400,48800,762706,0.004115226337448652
2023-05-16,49150,49800,49050,49300,1293549,0.010245901639344357
2023-05-17,49250,49450,48850,48850,655832,-0.009127789046653123
2023-05-18,49300,49600,49200,49500,802540,0.013306038894575156
2023-05-19,49350,49650,49150,49500,1151186,0.0
2023-05-22,49450,49950,49200,49350,871022,-0.00303030303030305
2023-05-23,49600,49750,49350,49400,1007078,0.0010131712259371373
2023-05-24,49300,49550,49100,49300,667443,-0.002024291497975672
2023-05-25,48850,49000,48200,48300,1212363,-0.020283975659229236
2023-05-26,48100,48300,47800,47950,823036,-0.007246376811594235
2023-05-30,48250,48500,47900,48350,1016913,0.008342022940563076
2023-05-31,48000,48600,47850,48000,2285762,-0.007238883143743546
2023-06-01,47550,48000,46800,46800,1985923,-0.025000000000000022
2023-06-02,47200,47500,47000,47450,1151593,0.01388888888888884
2023-06-05,48000,49000,48000,48550,1567190,0.023182297154899834
2023-06-07,49100,49150,48400,48400,1483010,-0.003089598352214229
2023-06-08,48350,48700,48250,48450,1865047,0.0010330578512396382
2023-06-09,48750,49450,48550,49450,1606416,0.02063983488132104
2023-06-12,49100,49400,48600,48750,733154,-0.014155712841253831
2023-06-13,48900,48950,48450,48500,895510,-0.00512820512820511
2023-06-14,48550,48750,48250,48550,1010571,0.0010309278350515427
2023-06-15,48850,49050,48050,48200,960450,-0.007209062821833201
2023-06-16,48900,49050,48200,48300,1233079,0.0020746887966804906
2023-06-19,48350,48500,48050,48150,590340,-0.0031055900621117516
