Date,Open,High,Low,Close,Volume,Change
2023-04-04,15570,15720,15410,15650,115029,0.0077269800386348
2023-04-05,15730,15820,15340,15410,198769,-0.0153354632587859
2023-04-06,15400,15400,15000,15060,221869,-0.0227125243348474
2023-04-07,15090,15250,14910,15110,95430,0.0033200531208499
2023-04-10,15380,16320,15130,16210,481311,0.0727994705493051
2023-04-11,17520,18000,17130,17520,2177793,0.080814312152992
2023-04-12,17610,17650,17130,17180,348948,-0.0194063926940639
2023-04-13,17180,17420,17110,17280,217455,0.0058207217694994
2023-04-14,17230,17300,17060,17110,177621,-0.0098379629629629
2023-04-17,17110,17180,16870,17100,293941,-0.0005844535359439
2023-04-18,17020,17430,17020,17390,280161,0.0169590643274852
2023-04-19,17420,17490,17200,17420,277481,0.0017251293847038
2023-04-20,17420,17680,17420,17550,345523,0.007462686567164
2023-04-21,17510,17680,17300,17410,285919,-0.007977207977208
2023-04-24,17410,17550,17350,17480,148256,0.0040206777713958
2023-04-25,17500,17800,17430,17590,360898,0.0062929061784897
2023-04-26,17600,17720,17250,17660,267275,0.0039795338260375
2023-04-27,17670,17860,17610,17860,307475,0.0113250283125707
2023-04-28,17860,17860,16890,16940,182095,-0.051511758118701
2023-05-02,16890,17470,16630,17400,64062,0.0271546635182999
2023-05-03,17120,17480,16910,16950,95961,-0.0258620689655172
2023-05-04,16700,16850,16320,16650,434674,-0.0176991150442478
2023-05-08,16590,16850,16330,16700,196027,0.003003003003003
2023-05-09,16850,17390,16680,17270,222368,0.034131736526946
2023-05-10,17240,17300,16840,16880,278429,-0.0225825130283728
2023-05-11,16880,18410,16800,18160,771901,0.0758293838862558
2023-05-12,17950,18230,17530,17660,188292,-0.0275330396475771
2023-05-15,17760,18400,17440,17750,335405,0.0050962627406567
2023-05-16,17970,17970,17010,17140,216918,-0.0343661971830986
2023-05-17,17100,17100,16660,16720,186678,-0.0245040840140022
2023-05-18,16730,16820,16650,16690,69927,-0.0017942583732057
2023-05-19,16700,16830,16530,16550,109457,-0.0083882564409826
2023-05-22,16690,16720,16360,16490,178909,-0.0036253776435045
2023-05-23,16490,16580,16340,16340,122343,-0.0090964220739842
2023-05-24,16330,16330,15860,15980,211508,-0.02203182374541
2023-05-25,15980,15980,15720,15740,171960,-0.0150187734668335
2023-05-26,15770,16220,15770,15890,183296,0.0095298602287166
2023-05-30,16110,16290,15710,15930,118119,0.0025173064820642
2023-05-31,15920,16100,15830,15910,128853,-0.0012554927809165
2023-06-01,16040,16040,15700,15800,78884,-0.0069138906348208
2023-06-02,15830,15840,15630,15680,102644,-0.0075949367088608
2023-06-05,15870,16460,15820,16330,177873,0.0414540816326529
2023-06-07,16350,16520,16110,16120,111838,-0.0128597672994488
2023-06-08,16130,16550,16040,16410,158930,0.0179900744416874
2023-06-09,16550,16550,16100,16280,124807,-0.007921998781231
2023-06-12,16290,16360,16130,16310,88869,0.0018427518427517
2023-06-13,16390,16390,16240,16300,60209,-0.0006131207847945
2023-06-14,16290,16650,16190,16600,143808,0.01840490797546
2023-06-15,16620,16620,16320,16400,117830,-0.0120481927710843
2023-06-16,16440,17990,16440,17880,818405,0.0902439024390244
2023-06-19,17850,18700,17850,18620,496942,0.041387024608501
2023-06-20,18660,18990,18460,18760,259712,0.0075187969924812
2023-06-21,18810,18810,18320,18450,166591,-0.0165245202558634
2023-06-22,18480,18780,18460,18640,119252,0.0102981029810298
2023-06-23,18670,19330,18240,18400,151035,-0.0128755364806867
2023-06-26,18420,18640,18250,18410,101630,0.0005434782608695
2023-06-27,18840,19900,18760,19800,606561,0.0755024443237371
2023-06-28,19790,21200,19500,20950,733838,0.0580808080808081
2023-06-29,20750,21300,20500,21000,426882,0.0023866348448686
2023-06-30,20850,21900,20850,21450,341221,0.0214285714285713
2023-07-03,21250,21600,20350,20850,292235,-0.027972027972028
2023-07-04,20750,21300,20650,20850,239647,0.0
2023-07-05,20850,21200,20500,20600,178309,-0.0119904076738609
2023-07-06,20350,20550,19540,19750,418361,-0.04126213592233
2023-07-07,19620,20200,19510,19760,171094,0.000506329113924
2023-07-10,19760,19840,18970,18970,163398,-0.0399797570850202
2023-07-11,19010,19200,18680,19030,203354,0.0031628887717447
2023-07-12,19000,19840,19000,19710,179881,0.0357330530740935
2023-07-13,19750,19850,18870,18900,263768,-0.0410958904109589
2023-07-14,18910,19220,18690,18950,123510,0.0026455026455025
2023-07-17,19020,19130,18570,18680,92290,-0.0142480211081794
2023-07-18,18850,18990,18290,18440,117159,-0.012847965738758
2023-07-19,18370,18690,18050,18100,97715,-0.0184381778741865
2023-07-20,18100,18430,17920,18220,85910,0.0066298342541435
2023-07-21,18330,18880,17900,18480,157180,0.0142700329308451
2023-07-24,18480,18500,17970,18150,120256,-0.0178571428571429
2023-07-25,18320,18320,17980,18000,66849,-0.0082644628099173
2023-07-26,17950,17980,17330,17380,147865,-0.0344444444444445
2023-07-27,17130,18290,17130,17910,145494,0.0304948216340621
2023-07-28,17740,18520,17500,18190,121160,0.0156337241764377
2023-07-31,18250,18280,17710,17930,105736,-0.0142935678944474
2023-08-01,17930,18400,17790,18000,79512,0.0039040713887339
2023-08-02,18010,18090,17500,17740,124169,-0.0144444444444444
2023-08-03,17890,17900,17410,17760,85696,0.0011273957158963
2023-08-04,17580,19960,17580,19390,608897,0.0917792792792793
2023-08-07,19290,20450,18610,20000,366998,0.0314595152140277
2023-08-08,19700,20050,19210,19210,173613,-0.0394999999999999
2023-08-09,19400,19550,19200,19200,62528,-0.0005205622071837
2023-08-10,19280,20850,19200,20050,399236,0.0442708333333332
2023-08-11,20100,20750,19780,20300,255888,0.0124688279301745
2023-08-14,20700,21800,20550,21800,416742,0.0738916256157635
2023-08-16,21600,21750,20350,21150,332721,-0.0298165137614678
2023-08-17,20900,21300,20400,20950,97658,-0.0094562647754137
2023-08-18,20700,21400,20650,20950,87936,0.0
2023-08-21,20950,21100,20400,20650,76081,-0.0143198090692123
2023-08-22,20700,20800,20100,20350,148606,-0.0145278450363196
2023-08-23,20100,20100,18580,18950,430808,-0.0687960687960688
2023-08-24,18960,19170,18810,18890,156866,-0.0031662269129287
2023-08-25,18800,19190,18510,18930,213303,0.0021175224986764
2023-08-28,19250,20300,18950,19330,269982,0.0211304807184362
2023-08-29,19330,19500,19000,19470,141962,0.0072426280393171
2023-08-30,19810,19810,19210,19480,151184,0.0005136106831022
2023-08-31,19480,19580,19170,19520,80612,0.002053388090349
2023-09-01,19530,20300,19420,20150,157041,0.0322745901639345
2023-09-04,20100,20600,19950,20200,117481,0.0024813895781636
2023-09-05,20200,21350,20100,21150,282628,0.047029702970297
2023-09-06,20800,20850,20050,20350,163371,-0.0378250591016549
2023-09-07,20150,21050,20150,20850,165883,0.0245700245700246
2023-09-08,21250,21250,20500,20800,88286,-0.0023980815347721
2023-09-11,20800,21700,20450,21600,179737,0.0384615384615385
2023-09-12,21700,22100,20700,21200,193526,-0.0185185185185184
2023-09-13,21250,21450,20400,20600,88291,-0.0283018867924528
2023-09-14,20800,22050,20800,22050,257348,0.0703883495145631
2023-09-15,22000,22000,21100,21250,173400,-0.0362811791383219
2023-09-18,21250,21400,20800,21000,58328,-0.0117647058823529
2023-09-19,20800,21150,20050,20750,133110,-0.0119047619047618
2023-09-20,20550,21000,20350,20800,100510,0.0024096385542169
2023-09-21,20500,20750,20050,20400,78748,-0.0192307692307692
2023-09-22,20000,20450,19710,20200,113477,-0.0098039215686274
2023-09-25,20200,21150,19910,20900,145104,0.0346534653465346
2023-09-26,20550,20900,19500,19760,139915,-0.0545454545454545
2023-09-27,19610,20150,19480,19700,82231,-0.0030364372469635
2023-10-04,19320,19700,19010,19440,99720,-0.0131979695431472
2023-10-05,19480,19500,18600,19060,175510,-0.0195473251028807
2023-10-06,19060,19480,19010,19130,36210,0.0036726128016788
2023-10-10,19370,19630,18660,18770,68175,-0.0188186095138526
2023-10-11,18870,19540,18810,19500,112869,0.0388918486947256
2023-10-12,19550,19740,19060,19500,83907,0.0
2023-10-13,19240,19590,19060,19280,66821,-0.0112820512820512
2023-10-16,19200,19360,18970,19120,53013,-0.0082987551867219
2023-10-17,19530,19530,19130,19270,58819,0.0078451882845187
2023-10-18,19530,21200,19420,20600,333525,0.0690192008303061
2023-10-19,20350,21200,20000,21100,181195,0.0242718446601941
2023-10-20,21100,21100,19520,20250,165349,-0.0402843601895734
2023-10-23,20900,21750,20600,20750,227749,0.0246913580246914
2023-10-24,20200,21350,20050,21100,156397,0.0168674698795181
2023-10-25,21300,22050,21100,21700,170617,0.028436018957346
2023-10-26,21700,21750,20950,21300,83970,-0.0184331797235023
2023-10-27,21500,21500,20500,20850,61255,-0.0211267605633802
2023-10-30,20850,21350,20600,20950,42378,0.0047961630695443
2023-10-31,21400,23800,21400,22850,1333705,0.090692124105012
2023-11-01,23000,23050,22050,22600,334164,-0.010940919037199
2023-11-02,22400,22750,21250,22600,448879,0.0
2023-11-03,22800,23200,22200,22200,191471,-0.0176991150442478
2023-11-06,22400,22950,21350,22900,268011,0.0315315315315314
2023-11-07,22450,23100,22350,22700,138066,-0.0087336244541484
2023-11-08,22750,23250,22650,22950,83615,0.0110132158590308
2023-11-09,22900,24450,22850,24000,378598,0.0457516339869281
2023-11-10,23700,23750,23050,23050,101822,-0.0395833333333333
2023-11-13,22950,24300,22500,23200,290173,0.0065075921908894
2023-11-14,23150,23550,22250,22250,275157,-0.0409482758620689
2023-11-15,22600,22750,22050,22350,183809,0.0044943820224718
2023-11-16,22850,23950,22500,23000,327879,0.0290827740492169
2023-11-17,23650,24500,23050,23350,391058,0.0152173913043478
2023-11-20,23800,23900,22950,23050,113891,-0.012847965738758
2023-11-21,23250,23850,22750,23550,105605,0.0216919739696312
