Date,Open,High,Low,Close,Volume,Change
2013-09-16,10450,10600,10350,10550,71528,
2013-09-17,10600,10850,10600,10800,114367,0.0236966824644548
2013-09-23,10700,10850,10550,10750,60090,-0.0046296296296296
2013-09-24,10700,10850,10700,10750,72849,0.0
2013-09-25,10800,11000,10700,10900,84670,0.013953488372093
2013-09-26,10900,10900,10700,10800,58252,-0.0091743119266054
2013-09-27,10950,11100,10700,10900,81939,0.0092592592592593
2013-09-30,10800,11150,10750,11050,112063,0.0137614678899082
2013-10-01,11100,11100,10600,10850,87041,-0.0180995475113122
2013-10-02,10850,10900,10550,10550,52572,-0.0276497695852534
2013-10-04,10500,10600,10350,10450,72759,-0.0094786729857819
2013-10-07,10450,10650,10400,10550,27328,0.0095693779904306
2013-10-08,10400,10750,10250,10750,70963,0.0189573459715639
2013-10-10,10600,10700,10250,10500,74871,-0.0232558139534884
2013-10-11,10650,10850,10600,10750,39991,0.0238095238095237
2013-10-14,10850,10850,10450,10600,56198,-0.0139534883720929
2013-10-15,10650,10950,10600,10850,43612,0.0235849056603774
2013-10-16,10850,11200,10750,11050,134366,0.0184331797235022
2013-10-17,11150,11550,10850,10950,202083,-0.009049773755656
2013-10-18,11050,11300,10950,11050,80284,0.0091324200913243
2013-10-21,11200,11200,10700,10800,126221,-0.0226244343891403
2013-10-22,10700,10900,10550,10550,105760,-0.0231481481481481
2013-10-23,10550,10900,10350,10900,206962,0.0331753554502369
2013-10-24,10900,11150,10650,11000,110467,0.0091743119266054
2013-10-25,11050,11300,10950,11100,83032,0.009090909090909
2013-10-28,11100,11550,11050,11450,203766,0.0315315315315314
2013-10-29,11350,11400,10900,11150,118303,-0.0262008733624453
2013-10-30,11250,11250,10950,11000,66274,-0.0134529147982063
2013-10-31,11000,11150,10950,11000,42263,0.0
2013-11-01,11150,11250,10850,11100,70457,0.009090909090909
2013-11-04,11150,11300,11000,11100,35148,0.0
2013-11-05,11100,11150,10650,10800,63704,-0.0270270270270269
2013-11-06,10800,10850,10550,10600,33666,-0.0185185185185184
2013-11-07,10650,10700,10000,10150,67993,-0.0424528301886792
2013-11-08,10150,10300,9910,9910,33986,-0.0236453201970443
2013-11-11,9760,10650,9760,10300,108507,0.0393541876892027
2013-11-12,10300,10500,10200,10350,19640,0.0048543689320388
2013-11-13,10200,10300,10000,10050,42283,-0.0289855072463768
2013-11-14,10100,10450,10100,10400,27281,0.0348258706467661
2013-11-15,10350,10650,10300,10450,79036,0.0048076923076922
2013-11-18,10450,10500,9950,10150,34436,-0.0287081339712919
2013-11-19,10100,10150,9880,9980,37884,-0.0167487684729064
2013-11-20,9980,10100,9590,9690,51586,-0.0290581162324649
2013-11-21,9730,10000,9610,9990,22646,0.0309597523219813
2013-11-22,9860,10100,9860,9940,17271,-0.005005005005005
2013-11-25,9890,10200,9890,10000,18990,0.0060362173038228
2013-11-26,10000,10200,10000,10050,17548,0.0049999999999998
2013-11-27,10000,10100,9910,10000,11088,-0.0049751243781094
2013-11-28,9950,10250,9850,10200,44353,0.02
2013-11-29,10050,10600,10050,10550,77680,0.0343137254901961
2013-12-02,10700,10700,10250,10250,36147,-0.0284360189573459
2013-12-03,10250,10450,10250,10450,22787,0.0195121951219512
2013-12-04,10350,10450,10200,10350,17519,-0.0095693779904306
2013-12-05,10250,10550,10250,10550,11155,0.0193236714975846
2013-12-06,10500,10600,10400,10400,14232,-0.014218009478673
2013-12-09,10400,10700,10250,10450,13386,0.0048076923076922
2013-12-10,10400,10550,10200,10300,9119,-0.0143540669856458
2013-12-11,10300,10450,10100,10100,10170,-0.0194174757281553
2013-12-12,10000,10350,9960,10150,13750,0.0049504950495049
2013-12-13,10050,10200,9950,10100,6038,-0.0049261083743842
2013-12-16,10100,10150,9990,10050,10181,-0.0049504950495049
2013-12-17,10050,10200,9810,9940,9132,-0.0109452736318408
2013-12-18,9940,10000,9900,9950,7518,0.0010060362173038
2013-12-19,9950,10050,9870,9930,8088,-0.0020100502512563
2013-12-20,9840,10300,9840,9940,7462,0.0010070493454179
2013-12-23,9890,10150,9880,10050,8885,0.011066398390342
2013-12-24,10050,10100,9950,10050,6761,0.0
2013-12-26,10000,10150,9880,9990,14979,-0.0059701492537312
2013-12-27,9990,10050,9930,9980,5995,-0.0010010010010009
2013-12-30,9980,10000,9810,9810,13977,-0.0170340681362725
2014-01-02,9850,9910,9750,9880,10976,0.0071355759429154
2014-01-03,9640,9880,9640,9790,11454,-0.0091093117408906
2014-01-06,9790,9870,9630,9780,5926,-0.0010214504596527
2014-01-07,9760,9990,9700,9840,12769,0.0061349693251533
2014-01-08,9900,9900,9700,9760,6141,-0.008130081300813
2014-01-09,9760,9850,9490,9490,14842,-0.0276639344262294
2014-01-10,9500,9720,9240,9280,17506,-0.0221285563751316
2014-01-13,9240,9600,9140,9590,39564,0.0334051724137931
2014-01-14,9550,9580,9360,9380,12670,-0.021897810218978
2014-01-15,9380,9550,9230,9300,36258,-0.0085287846481876
2014-01-16,9300,9390,8900,9030,101962,-0.0290322580645161
2014-01-17,9090,9090,8760,8820,63456,-0.0232558139534884
2014-01-20,8820,8950,8760,8920,31010,0.0113378684807257
2014-01-21,8870,8990,8840,8950,25507,0.0033632286995515
2014-01-22,8950,8990,8650,8680,76063,-0.0301675977653631
2014-01-23,8750,8820,8650,8690,37398,0.0011520737327188
2014-01-24,8640,8790,8360,8360,109761,-0.0379746835443037
2014-01-27,8320,8430,8150,8330,88052,-0.0035885167464114
2014-01-28,8320,8330,8030,8030,68696,-0.0360144057623049
2014-01-29,8130,9000,8130,8920,198211,0.1108343711083437
2014-02-03,8850,8890,8570,8660,49531,-0.0291479820627802
2014-02-04,8580,8580,8140,8440,29651,-0.0254041570438798
2014-02-05,8450,8500,8290,8360,47055,-0.0094786729857819
2014-02-06,8360,8800,8320,8700,42117,0.0406698564593301
2014-02-07,8800,8820,8560,8590,37088,-0.0126436781609194
2014-02-10,8580,8580,8240,8280,106908,-0.0360884749708964
2014-02-11,8300,8560,8240,8460,70307,0.0217391304347827
2014-02-12,8470,8600,8430,8480,43063,0.0023640661938533
2014-02-13,8480,8800,8480,8770,89848,0.034198113207547
2014-02-14,8800,8900,8700,8740,35768,-0.0034207525655644
2014-02-17,8800,8830,8730,8780,61131,0.0045766590389015
2014-02-18,8710,8890,8710,8830,16916,0.0056947608200454
2014-02-19,8900,8950,8860,8900,54764,0.0079275198187995
2014-02-20,8850,8970,8800,8890,23677,-0.001123595505618
2014-02-21,8890,8950,8870,8910,33626,0.0022497187851517
2014-02-24,8870,9050,8850,8920,29596,0.0011223344556678
2014-02-25,8930,9050,8810,8900,20853,-0.0022421524663677
2014-02-26,8880,8960,8710,8800,22108,-0.0112359550561798
2014-02-27,8800,8840,8690,8740,22200,-0.0068181818181818
2014-02-28,8710,8890,8700,8750,30778,0.0011441647597254
2014-03-03,8750,8830,8510,8710,24729,-0.0045714285714285
2014-03-04,8610,8800,8540,8590,24599,-0.0137772675086107
2014-03-05,8590,8750,8470,8540,58728,-0.0058207217694994
2014-03-06,8600,8830,8590,8800,48513,0.0304449648711944
2014-03-07,8800,8860,8740,8830,40024,0.0034090909090909
2014-03-10,8870,8930,8790,8840,30967,0.0011325028312569
2014-03-11,8790,8950,8790,8930,24535,0.010180995475113
2014-03-12,8990,9020,8850,8960,23885,0.0033594624860022
2014-03-13,8960,8970,8910,8950,16998,-0.0011160714285713
2014-03-14,8880,8890,8750,8820,14331,-0.0145251396648045
2014-03-17,8820,8840,8510,8770,25678,-0.0056689342403628
2014-03-18,9120,9740,9120,9370,210392,0.0684150513112884
2014-03-19,9350,9570,9300,9400,51047,0.0032017075773747
2014-03-20,9400,9570,9300,9390,34042,-0.001063829787234
2014-03-21,9580,9800,9420,9740,84341,0.0372736954206602
2014-03-24,9910,10300,9900,10000,220904,0.0266940451745378
2014-03-25,10000,10000,9650,9900,74086,-0.01
2014-03-26,9810,10050,9720,10000,62301,0.0101010101010101
2014-03-27,9950,10000,9770,9800,38279,-0.02
2014-03-28,9800,9900,9670,9800,50894,0.0
2014-03-31,9790,9800,9500,9540,46791,-0.0265306122448979
2014-04-01,9540,9730,9390,9420,69336,-0.0125786163522012
2014-04-02,9410,9700,9370,9600,76381,0.019108280254777
2014-04-03,9700,9710,9370,9600,56442,0.0
2014-04-04,9600,9710,9500,9700,41642,0.0104166666666667
2014-04-07,9720,9730,9480,9540,35668,-0.0164948453608247
2014-04-08,9430,9540,9160,9220,73328,-0.0335429769392033
2014-04-09,9350,9390,9200,9210,11454,-0.0010845986984815
2014-04-10,9310,9310,9030,9110,40160,-0.01085776330076
2014-04-11,9030,9270,9030,9190,33120,0.0087815587266739
2014-04-14,9190,9300,9140,9230,24292,0.0043525571273121
2014-04-15,9260,9400,9220,9320,38385,0.0097508125677139
2014-04-16,9410,9410,9240,9380,21353,0.0064377682403433
2014-04-17,9380,9390,9270,9330,21127,-0.0053304904051172
2014-04-18,9330,9410,9280,9370,10946,0.0042872454448017
2014-04-21,9440,9440,9330,9350,19212,-0.0021344717182497
2014-04-22,9370,9560,9250,9560,34737,0.0224598930481283
2014-04-23,9560,9560,9350,9360,19906,-0.0209205020920502
2014-04-24,9350,9650,9170,9650,52160,0.0309829059829058
2014-04-25,9640,9650,9390,9610,18277,-0.0041450777202072
2014-04-28,9440,9560,9370,9470,14201,-0.0145681581685743
2014-04-29,9420,9470,9200,9310,31759,-0.0168954593453009
2014-04-30,9310,9350,9120,9150,29918,-0.0171858216970999
2014-05-02,9110,9250,9110,9240,10215,0.0098360655737705
2014-05-07,9190,9190,9040,9040,12730,-0.0216450216450216
2014-05-08,8950,9120,8800,8860,23601,-0.0199115044247787
2014-05-09,8860,9030,8790,9030,12349,0.0191873589164786
2014-05-12,9030,9090,8850,8950,12962,-0.0088593576965669
2014-05-13,8950,9090,8950,9030,12176,0.0089385474860335
2014-05-14,9090,9090,8900,9000,17694,-0.0033222591362126
