Date,Open,High,Low,Close,Volume,Change
2023-04-04,11800,11800,10990,10990,103,-0.0443478260869565
2023-04-05,11800,11800,11800,11800,1,0.0737033666969972
2023-04-06,10500,12000,10220,10500,21,-0.1101694915254237
2023-04-07,11000,11000,11000,11000,11,0.0476190476190476
2023-04-10,11900,11900,11000,11000,48,0.0
2023-04-11,11490,11490,11000,11000,3,0.0
2023-04-12,10990,10990,10990,10990,0,-0.0009090909090908
2023-04-13,10990,10990,10990,10990,0,0.0
2023-04-14,11000,11000,10000,10440,392,-0.0500454959053685
2023-04-17,10000,10490,10000,10030,62,-0.0392720306513409
2023-04-18,10030,10450,10000,10440,1198,0.040877367896311
2023-04-19,10500,10800,10000,10750,2859,0.0296934865900382
2023-04-20,11000,11000,10000,10000,2300,-0.0697674418604651
2023-04-21,10010,11000,10010,10020,7117,0.002
2023-04-24,10970,10970,10040,10490,203,0.0469061876247505
2023-04-25,10990,10990,10070,10070,11,-0.0400381315538608
2023-04-26,10200,10700,10020,10100,165,0.0029791459781529
2023-04-27,10990,10990,10100,10200,270,0.0099009900990099
2023-04-28,10200,10990,10030,10050,255,-0.0147058823529411
2023-05-02,10990,10990,10060,10200,536,0.0149253731343284
2023-05-03,10200,10990,10010,10010,287,-0.0186274509803922
2023-05-04,11000,11000,10000,10010,1618,0.0
2023-05-08,10500,10500,9950,10100,2231,0.008991008991009
2023-05-09,10440,10440,10000,10010,1753,-0.0089108910891089
2023-05-10,10480,10480,10000,10100,912,0.008991008991009
2023-05-11,10010,10290,10000,10000,303,-0.0099009900990099
2023-05-12,10490,10490,9870,10290,3207,0.0289999999999999
2023-05-15,10480,10480,10000,10000,841,-0.0281827016520893
2023-05-16,10500,10500,10000,10000,2044,0.0
2023-05-17,10000,10280,9800,10000,67,0.0
2023-05-18,10000,10000,10000,10000,143,0.0
2023-05-19,10480,10480,9950,10000,1058,0.0
2023-05-22,10500,10500,10000,10240,235,0.024
2023-05-23,10490,10490,8710,10490,1095,0.0244140625
2023-05-24,10250,10490,10200,10200,101,-0.0276453765490943
2023-05-25,10200,10200,10190,10190,159,-0.0009803921568627
2023-05-26,10500,10600,10000,10000,665,-0.0186457311089303
2023-05-30,10490,10490,10490,10490,1,0.0489999999999999
2023-05-31,10190,10190,10190,10190,48,-0.0285986653956148
2023-06-01,10500,10990,10040,10970,601,0.0765456329735034
2023-06-02,11000,12000,10790,11500,6334,0.048313582497721
2023-06-05,11000,11500,10510,11500,58,0.0
2023-06-07,11500,12000,11100,11590,555,0.0078260869565216
2023-06-08,11550,12000,11550,11900,1841,0.0267471958584986
2023-06-09,11500,11800,10990,11800,1276,-0.0084033613445377
2023-06-12,11700,11700,11400,11700,2286,-0.0084745762711864
2023-06-13,11690,11690,11690,11690,105,-0.0008547008547008
2023-06-14,11700,11700,11700,11700,148,0.0008554319931566
2023-06-15,11900,11900,11800,11800,2,0.0085470085470085
2023-06-16,11750,12550,11500,12000,7240,0.0169491525423728
2023-06-19,11980,12500,11700,12480,6039,0.04
2023-06-20,11500,12500,11000,12500,31,0.001602564102564
2023-06-21,12500,12500,11500,12470,2203,-0.0023999999999999
2023-06-22,11900,12380,11900,12350,60,-0.0096230954290297
2023-06-23,12450,12450,12390,12400,279,0.0040485829959513
2023-06-26,12370,12380,12370,12380,10,-0.0016129032258064
2023-06-27,12450,12450,12400,12400,342,0.0016155088852989
2023-06-28,12010,12400,12000,12380,126,-0.0016129032258064
2023-06-29,12380,12380,12380,12380,0,0.0
2023-06-30,12440,12440,12440,12440,1,0.0048465266558965
2023-07-03,12440,12440,11800,12390,837,-0.0040192926045016
2023-07-04,12370,12380,12370,12380,93,-0.0008071025020177
2023-07-05,12380,12380,12380,12380,126,0.0
2023-07-06,12000,12440,12000,12440,605,0.0048465266558965
2023-07-07,12500,12500,12010,12490,53,0.0040192926045015
2023-07-10,12500,12500,12000,12500,584,0.0008006405124099
2023-07-11,12500,12500,12010,12500,194,0.0
2023-07-12,12050,13500,12050,13490,111,0.0791999999999999
2023-07-13,14000,14000,12000,13500,567,0.000741289844329
2023-07-14,13500,13800,12510,13790,2649,0.0214814814814814
2023-07-17,14000,14000,12820,14000,1839,0.015228426395939
2023-07-18,13480,14400,13480,13850,2332,-0.0107142857142856
2023-07-19,14000,14000,13990,14000,1528,0.0108303249097472
2023-07-20,14500,15100,14100,14990,1378,0.0707142857142857
2023-07-21,15500,17000,15100,17000,2006,0.1340893929286191
2023-07-24,17500,19550,17500,19550,12929,0.1499999999999999
2023-07-25,19550,22000,17500,20950,3512,0.0716112531969308
2023-07-26,20950,21000,18000,19880,2971,-0.0510739856801909
2023-07-27,20000,20000,18480,18480,603,-0.0704225352112676
2023-07-28,19000,19490,17600,18000,1621,-0.0259740259740259
2023-07-31,18010,20000,18000,18990,305,0.0549999999999999
2023-08-01,18500,18990,18000,18990,429,0.0
2023-08-02,18980,18990,18980,18990,270,0.0
2023-08-03,19000,19290,19000,19290,7,0.0157977883096367
2023-08-04,19390,19400,19000,19390,246,0.0051840331778123
2023-08-07,19390,19400,19390,19390,664,0.0
2023-08-08,19390,19390,19390,19390,1,0.0
2023-08-09,19000,21800,19000,21550,21,0.111397627643115
2023-08-10,21550,21550,19500,20150,357,-0.0649651972157773
2023-08-11,19960,21950,19960,21450,252,0.064516129032258
2023-08-14,20500,20500,19200,20000,237,-0.0675990675990676
2023-08-16,20000,20000,19000,19980,157,-0.001
2023-08-17,19980,19980,19000,19000,249,-0.049049049049049
2023-08-18,19000,19490,19000,19000,92,0.0
2023-08-21,18500,19090,18000,18500,321,-0.0263157894736841
2023-08-22,18500,19000,18500,19000,14,0.0270270270270269
2023-08-23,18990,18990,18500,18990,103,-0.0005263157894737
2023-08-24,18500,18990,18010,18990,124,0.0
2023-08-25,18990,18990,18010,18960,139,-0.0015797788309637
2023-08-28,18500,18940,18500,18940,111,-0.0010548523206751
2023-08-29,18940,18940,18490,18500,161,-0.0232312565997887
2023-08-30,18500,18500,18000,18490,232,-0.0005405405405405
2023-08-31,18490,18490,17900,18490,207,0.0
2023-09-01,18500,19000,18000,18490,164,0.0
2023-09-04,18490,18490,18440,18440,64,-0.0027041644131963
2023-09-05,18000,18490,18000,18450,66,0.0005422993492407
2023-09-06,18400,19000,18000,18450,316,0.0
2023-09-07,18450,18450,18000,18440,93,-0.0005420054200542
2023-09-08,18500,18500,18500,18500,1,0.0032537960954446
2023-09-11,19000,19000,18000,18480,181,-0.001081081081081
2023-09-12,18000,18440,17400,17510,256,-0.0524891774891774
2023-09-13,17600,18990,17000,18500,389,0.05653912050257
2023-09-14,18000,18500,17500,18300,130,-0.0108108108108108
2023-09-15,18000,18300,17500,17840,255,-0.0251366120218579
2023-09-18,18000,18500,17200,18340,92,0.0280269058295963
2023-09-19,17600,18500,17210,18500,146,0.0087241003271538
2023-09-20,18500,18500,18500,18500,112,0.0
2023-09-21,19000,19000,17520,18480,111,-0.001081081081081
2023-09-22,18480,18480,17500,18480,26,0.0
2023-09-25,18480,18480,17800,18450,227,-0.0016233766233766
2023-09-26,18500,18500,18500,18500,2,0.0027100271002709
2023-09-27,18500,19000,18000,18990,413,0.0264864864864864
2023-10-04,18000,19000,18000,19000,36,0.0005265929436546
2023-10-05,19000,19200,19000,19200,38,0.0105263157894737
2023-10-06,19500,19500,19000,19200,289,0.0
2023-10-10,18500,19000,18500,18990,514,-0.0109375
2023-10-11,18950,18950,18950,18950,375,-0.0021063717746182
2023-10-12,19200,19200,19000,19000,274,0.0026385224274405
2023-10-13,18800,18990,18800,18800,317,-0.0105263157894737
2023-10-16,18800,19000,18500,18500,981,-0.0159574468085106
2023-10-17,18500,19000,18500,18990,3,0.0264864864864864
2023-10-18,19020,19020,18500,18890,328,-0.0052659294365455
2023-10-19,18000,18890,18000,18890,5,0.0
2023-10-20,18300,18880,18000,18870,112,-0.0010587612493382
2023-10-23,18010,19000,17610,18880,497,0.0005299417064121
2023-10-24,18890,18890,18000,18500,244,-0.0201271186440678
2023-10-25,18790,18800,18790,18790,419,0.0156756756756757
2023-10-26,18110,18490,17550,18450,52,-0.0180947312400212
2023-10-27,18500,18900,18500,18900,11,0.024390243902439
2023-10-30,19000,19000,18000,18890,403,-0.0005291005291004
2023-10-31,18900,18900,18000,18470,368,-0.0222339862361037
2023-11-01,18490,18490,18000,18430,75,-0.002165674066053
2023-11-02,18500,19000,18300,18500,795,0.0037981551817689
2023-11-03,18900,18900,18300,18600,851,0.0054054054054053
2023-11-06,18500,18500,18100,18500,205,-0.0053763440860215
2023-11-07,18500,18800,18500,18700,1918,0.0108108108108107
2023-11-08,18800,19200,18800,19000,3695,0.0160427807486631
2023-11-09,18800,18800,18500,18800,715,-0.0105263157894737
2023-11-10,18120,21500,18120,19270,217,0.0249999999999999
2023-11-13,18640,19260,18000,18200,484,-0.0555267254800208
2023-11-14,18200,18200,17750,18180,153,-0.001098901098901
2023-11-15,18500,18500,17700,18100,798,-0.0044004400440044
2023-11-16,18100,18500,17000,18000,86,-0.005524861878453
2023-11-17,17520,18000,16990,17990,11053,-0.0005555555555555
2023-11-20,18000,18000,15500,15500,1406,-0.1384102279043912
2023-11-21,17480,17800,17480,17600,493,0.1354838709677419
2023-11-22,18000,18000,17800,17950,185,0.0198863636363635
2023-11-23,18500,19500,17990,17990,33,0.0022284122562674
2023-11-24,18500,18500,18000,18430,184,0.0244580322401333
2023-11-27,18500,19500,18000,18450,705,0.001085187194791
2023-11-28,18500,18500,18000,18000,7,-0.024390243902439
2023-11-29,18500,18500,17500,18300,129,0.0166666666666666
2023-11-30,18500,18500,18000,18000,614,-0.0163934426229508
2023-12-01,18500,18500,18000,18000,2030,0.0
2023-12-04,18500,18500,16630,18000,443,0.0
2023-12-05,18400,18500,17000,17990,586,-0.0005555555555555
2023-12-06,17990,17990,16500,17780,656,-0.0116731517509727
2023-12-07,18000,18400,18000,18300,8,0.0292463442069741
2023-12-08,18500,18900,16880,17970,550,-0.0180327868852459
2023-12-11,18000,18400,16500,17940,248,-0.0016694490818029
2023-12-12,18000,18000,17680,17800,188,-0.007803790412486
2023-12-13,18010,18500,18000,18000,3,0.0112359550561798
2023-12-14,18000,18000,18000,18000,1,0.0
2023-12-15,18100,18100,17890,17990,16,-0.0005555555555555
2023-12-18,17990,17990,16000,17480,1377,-0.028349082823791
2023-12-19,17960,18000,16510,17990,227,0.0291762013729977
2023-12-20,18000,18000,16500,17380,410,-0.0339077265147303
2023-12-21,18000,18000,17000,17320,119,-0.003452243958573
2023-12-22,18500,18500,16650,17360,286,0.0023094688221709
2023-12-26,17510,18000,17000,17930,135,0.0328341013824884
2023-12-27,18000,18000,17490,17940,148,0.0005577244841048
2023-12-28,18110,18300,17500,17990,188,0.0027870680044592
2024-01-02,18200,18280,18000,18070,18,0.0044469149527515
2024-01-03,18200,18300,18000,18300,223,0.0127282789153293
2024-01-04,18200,21000,17010,19750,884,0.0792349726775956
2024-01-05,19400,19900,19000,19730,638,-0.0010126582278481
2024-01-08,19760,20000,19730,20000,438,0.0136847440446021
2024-01-09,20500,21500,19700,20850,2847,0.0424999999999999
2024-01-10,20850,20950,20850,20950,25,0.0047961630695443
2024-01-11,20950,20950,19900,20500,874,-0.0214797136038186
2024-01-12,20900,21000,19990,21000,1629,0.024390243902439
2024-01-15,21500,22000,20000,20500,1225,-0.0238095238095238
2024-01-16,20900,22000,20900,21000,286,0.024390243902439
2024-01-17,21500,22000,21000,21400,721,0.0190476190476189
2024-01-18,21900,21900,21000,21000,725,-0.0186915887850467
2024-01-19,21000,21000,20000,20900,2428,-0.0047619047619047
2024-01-22,20900,20900,20050,20850,307,-0.0023923444976076
2024-01-23,20900,20900,20000,20500,1213,-0.0167865707434052
2024-01-24,21000,21000,20050,20450,672,-0.0024390243902439
2024-01-25,21000,21000,20000,20500,869,0.0024449877750611
2024-01-26,21000,21000,20850,21000,578,0.024390243902439
2024-01-29,21500,21500,20950,21000,327,0.0
2024-01-30,21500,21800,20500,21500,5488,0.0238095238095237
2024-01-31,21900,22000,20900,21700,2373,0.0093023255813953
2024-02-01,21900,22000,21750,22000,816,0.0138248847926267
2024-02-02,22500,22500,21650,22000,728,0.0
2024-02-05,22200,22200,21500,22100,612,0.0045454545454546
2024-02-06,22200,25200,22050,22850,737,0.0339366515837105
2024-02-07,23100,23950,22100,23000,91,0.0065645514223193
2024-02-08,23500,24000,23000,23000,19,0.0
2024-02-13,23100,23500,22500,23500,5755,0.0217391304347827
