Date,Open,High,Low,Close,Volume,Change
2019-06-18,9760,9850,9550,9600,167026,-0.016393442622950838
2019-06-19,9750,9810,9600,9710,152996,0.011458333333333348
2019-06-20,9710,9990,9630,9880,157441,0.01750772399588052
2019-06-21,9900,10000,9660,9660,189134,-0.022267206477732837
2019-06-24,9720,9740,9540,9700,148059,0.0041407867494824835
2019-06-25,9740,9760,9490,9570,163256,-0.013402061855670055
2019-06-26,9570,9600,9400,9430,184385,-0.014629049111807735
2019-06-27,9390,9530,9290,9320,181260,-0.01166489925768821
2019-06-28,9320,9560,9280,9290,195576,-0.0032188841201716833
2019-07-01,9290,9430,9270,9330,100714,0.0043057050592034685
2019-07-02,9290,9430,9210,9240,141888,-0.009646302250803873
2019-07-03,9260,9320,9070,9140,163053,-0.010822510822510845
2019-07-04,9360,9400,9060,9180,153416,0.004376367614879584
2019-07-05,9180,9270,9070,9270,85111,0.009803921568627416
2019-07-08,9110,9250,8830,8950,233515,-0.034519956850053934
2019-07-09,8950,9030,8600,8670,231331,-0.031284916201117285
2019-07-10,8570,8760,8570,8730,113983,0.006920415224913601
2019-07-11,8780,9030,8650,8900,184064,0.019473081328751363
2019-07-12,8850,9230,8840,9160,138653,0.02921348314606731
2019-07-15,9140,9820,9020,9690,335469,0.05786026200873362
2019-07-16,9680,9810,9480,9690,315739,0.0
2019-07-17,9690,9690,9200,9300,263076,-0.04024767801857587
2019-07-18,9290,9370,9100,9320,132842,0.0021505376344086446
2019-07-19,9310,10150,9310,9750,1050206,0.04613733905579398
2019-07-22,9750,10100,9630,10050,499374,0.03076923076923066
2019-07-23,10100,10400,9990,9990,577461,-0.005970149253731294
2019-07-24,10100,10200,9940,9960,324214,-0.0030030030030030463
2019-07-25,10050,10200,9960,9990,355471,0.003012048192771122
2019-07-26,10050,10350,9650,9770,634922,-0.02202202202202197
2019-07-29,9780,10050,9340,9340,338947,-0.04401228249744116
2019-07-30,9370,10050,9370,10050,510292,0.07601713062098492
2019-07-31,10050,10200,9600,9760,412242,-0.028855721393034828
