Date,Open,High,Low,Close,Volume,Change
2013-09-16,6500,6500,6300,6460,15929,
2013-09-17,6520,6630,6440,6630,14245,0.0263157894736842
2013-09-23,6630,6630,6470,6570,8460,-0.009049773755656
2013-09-24,6660,6660,6370,6430,7499,-0.0213089802130898
2013-09-25,6490,6580,6350,6410,2792,-0.0031104199066873
2013-09-26,6580,6580,6350,6400,2021,-0.001560062402496
2013-09-27,6510,6510,6330,6440,3087,0.00625
2013-09-30,6450,6550,6440,6500,5396,0.0093167701863354
2013-10-01,6460,6530,6450,6500,5595,0.0
2013-10-02,6590,6590,6510,6530,5829,0.0046153846153846
2013-10-04,6560,6630,6530,6610,3931,0.0122511485451761
2013-10-07,6480,6700,6470,6680,4553,0.0105900151285931
2013-10-08,6680,6680,6490,6640,6352,-0.0059880239520958
2013-10-10,6710,6710,6530,6530,1082,-0.0165662650602409
2013-10-11,6550,6560,6490,6520,5056,-0.001531393568147
2013-10-14,6500,6500,6400,6460,4780,-0.00920245398773
2013-10-15,6440,6500,6260,6440,5562,-0.0030959752321981
2013-10-16,6390,6430,6200,6330,1912,-0.0170807453416148
2013-10-17,6330,6330,5970,5970,29317,-0.0568720379146919
2013-10-18,6170,6170,5910,5910,13870,-0.0100502512562814
2013-10-21,6000,6230,5910,6190,4699,0.0473773265651438
2013-10-22,6190,6190,6080,6160,935,-0.0048465266558965
2013-10-23,6070,6110,5940,5970,15067,-0.0308441558441558
2013-10-24,6030,6070,5930,6070,10107,0.016750418760469
2013-10-25,6130,6130,6000,6070,9083,0.0
2013-10-28,6100,6100,5980,5980,4880,-0.014827018121911
2013-10-29,6100,6100,5890,5890,19047,-0.0150501672240802
2013-10-30,5990,5990,5850,5850,7445,-0.0067911714770797
2013-10-31,5850,5880,5700,5730,23392,-0.0205128205128205
2013-11-01,5760,5800,5720,5770,8380,0.006980802792321
2013-11-04,5150,5780,5150,5590,15062,-0.0311958405545926
2013-11-05,5650,5660,5480,5480,7288,-0.0196779964221824
2013-11-06,5590,5590,5490,5550,3791,0.0127737226277371
2013-11-07,5550,5550,5410,5530,10163,-0.0036036036036035
2013-11-08,5400,5450,5360,5430,7853,-0.0180831826401446
2013-11-11,5430,5720,5430,5500,9388,0.0128913443830571
2013-11-12,5650,5710,5510,5510,4131,0.0018181818181817
2013-11-13,5510,5690,5470,5580,9620,0.012704174228675
2013-11-14,5490,6220,5440,6200,31096,0.1111111111111111
2013-11-15,6200,6240,6000,6200,8397,0.0
2013-11-18,6250,6250,6060,6100,28706,-0.0161290322580645
2013-11-19,6100,6260,6030,6180,1519,0.0131147540983607
2013-11-20,6260,6260,6070,6180,768,0.0
2013-11-21,6260,6260,6000,6100,15419,-0.0129449838187701
2013-11-22,6100,6200,5960,6050,16853,-0.0081967213114754
2013-11-25,5940,6050,5940,6040,898,-0.0016528925619834
2013-11-26,6050,6100,6000,6100,464,0.009933774834437
2013-11-27,6150,6200,6100,6190,1651,0.0147540983606557
2013-11-28,6200,6200,6080,6180,4578,-0.0016155088852988
2013-11-29,6180,6220,6050,6220,8477,0.006472491909385
2013-12-02,6260,6260,6060,6100,523,-0.0192926045016077
2013-12-03,6240,6240,6140,6190,4049,0.0147540983606557
2013-12-04,6260,6700,5410,6370,54858,0.0290791599353796
2013-12-05,6370,7300,6370,7300,167523,0.1459968602825745
2013-12-06,7650,7940,6710,6900,240977,-0.0547945205479452
2013-12-09,7100,7300,6820,7060,105602,0.0231884057971014
2013-12-10,7140,7900,6710,6800,724052,-0.036827195467422
2013-12-11,6650,6790,6050,6250,179452,-0.0808823529411765
2013-12-12,6050,6370,6050,6200,57608,-0.008
2013-12-13,6120,6490,6100,6450,56814,0.0403225806451612
2013-12-16,6450,6710,6320,6410,24867,-0.0062015503875969
2013-12-17,6380,6590,6200,6530,43469,0.0187207488299532
2013-12-18,6860,6860,6400,6400,16377,-0.0199081163859111
2013-12-19,6610,6610,6000,6000,39595,-0.0625
2013-12-20,5990,6090,5900,6000,18424,0.0
2013-12-23,6050,6090,5950,6000,20144,0.0
2013-12-24,6000,6080,5920,6000,8064,0.0
2013-12-26,6050,6050,5920,6000,5808,0.0
2013-12-27,5980,6140,5950,6090,10225,0.0149999999999999
2013-12-30,6050,6100,6000,6090,3635,0.0
2014-01-02,6100,6140,6020,6020,3015,-0.0114942528735632
2014-01-03,6020,6090,5820,5890,5558,-0.021594684385382
2014-01-06,5890,6020,5840,5840,6113,-0.0084889643463497
2014-01-07,5610,5870,5610,5840,31432,0.0
2014-01-08,6400,6710,6360,6710,105784,0.148972602739726
2014-01-09,7200,7490,6480,6480,1072226,-0.0342771982116244
2014-01-10,6440,6540,6130,6240,199567,-0.037037037037037
2014-01-13,6340,6340,6060,6060,76573,-0.0288461538461538
2014-01-14,6030,6270,6020,6200,73029,0.023102310231023
2014-01-15,6190,6470,6190,6240,50962,0.0064516129032257
2014-01-16,6240,6400,6240,6390,60885,0.0240384615384614
2014-01-17,6370,6520,6310,6440,44400,0.0078247261345851
2014-01-20,6440,6530,6340,6380,23172,-0.0093167701863353
2014-01-21,6400,6470,6190,6230,35821,-0.0235109717868338
2014-01-22,6340,6340,6140,6200,35674,-0.0048154093097912
2014-01-23,6260,6260,6100,6220,37538,0.0032258064516128
2014-01-24,6090,6260,6000,6140,41448,-0.0128617363344051
2014-01-27,6010,6120,5910,5950,50566,-0.0309446254071661
2014-01-28,5960,6060,5900,5920,26125,-0.0050420168067226
2014-01-29,5800,6140,5800,5920,18611,0.0
2014-02-03,5900,6050,5850,5990,36529,0.0118243243243243
