Date,Open,High,Low,Close,Volume,Change
2023-04-04,4205,4375,4160,4320,55786,0.0140845070422535
2023-04-05,4310,4310,4150,4280,53310,-0.0092592592592593
2023-04-06,4315,4315,4135,4300,54296,0.0046728971962617
2023-04-07,4260,4355,4205,4270,43032,-0.0069767441860465
2023-04-10,4230,4270,4150,4190,50195,-0.0187353629976581
2023-04-11,4190,4235,4100,4230,64890,0.0095465393794749
2023-04-12,4230,4260,4155,4250,36718,0.0047281323877068
2023-04-13,4250,5150,4250,5010,822002,0.1788235294117646
2023-04-14,5010,5060,4635,4660,232909,-0.0698602794411177
2023-04-17,4685,4685,4460,4585,83986,-0.0160944206008584
2023-04-18,4590,4845,4490,4690,136195,0.0229007633587785
2023-04-19,4690,4765,4550,4625,71260,-0.0138592750533048
2023-04-20,4625,4625,4415,4550,77383,-0.0162162162162161
2023-04-21,4535,4970,4535,4785,280898,0.0516483516483516
2023-04-24,4785,4850,4510,4805,134609,0.0041797283176594
2023-04-25,4760,4760,4470,4505,82981,-0.0624349635796045
2023-04-26,4505,4505,4135,4225,192845,-0.0621531631520533
2023-04-27,4185,4575,4150,4515,124653,0.0686390532544378
2023-04-28,4515,4800,4515,4575,107269,0.0132890365448505
2023-05-02,4530,4700,4530,4635,104409,0.0131147540983607
2023-05-03,4630,4775,4560,4680,65685,0.0097087378640776
2023-05-04,4655,4800,4630,4660,57832,-0.0042735042735042
2023-05-08,4505,4685,4505,4635,48428,-0.0053648068669528
2023-05-09,4585,4585,4410,4410,54491,-0.0485436893203883
2023-05-10,4410,4455,4260,4260,27619,-0.0340136054421769
2023-05-11,4280,4690,4165,4335,201786,0.0176056338028169
2023-05-12,4440,4440,4220,4290,37667,-0.0103806228373702
2023-05-15,4305,4400,4130,4205,43478,-0.0198135198135198
2023-05-16,4205,4205,3900,4100,85413,-0.0249702734839476
2023-05-17,4140,4300,4120,4175,43071,0.0182926829268292
2023-05-18,4300,4435,4215,4375,32425,0.0479041916167664
2023-05-19,4385,4545,4385,4510,28719,0.0308571428571429
2023-05-22,4520,4540,4430,4490,31771,-0.0044345898004434
2023-05-23,4490,4505,4305,4310,30865,-0.0400890868596881
2023-05-24,4310,5290,4310,5000,914326,0.1600928074245939
2023-05-25,5000,5290,4715,4790,233028,-0.042
2023-05-26,4830,5020,4570,5020,96974,0.0480167014613779
2023-05-30,5020,5020,4790,4980,61136,-0.0079681274900398
2023-05-31,4940,4990,4750,4800,108284,-0.036144578313253
2023-06-01,4725,5200,4700,5080,135051,0.0583333333333333
2023-06-02,5080,5280,5080,5170,121159,0.0177165354330708
2023-06-05,5180,5210,4930,5030,79597,-0.0270793036750484
2023-06-07,4980,4985,4855,4950,57440,-0.0159045725646123
2023-06-08,4905,4965,4700,4700,78091,-0.0505050505050505
2023-06-09,4825,5150,4655,4655,168967,-0.0095744680851064
2023-06-12,4800,4920,4735,4885,85262,0.0494092373791621
2023-06-13,4885,4980,4835,4940,42566,0.0112589559877174
2023-06-14,4840,5010,4785,4960,50361,0.0040485829959513
2023-06-15,4910,4915,4805,4910,48163,-0.0100806451612903
2023-06-16,4910,4935,4730,4770,33595,-0.0285132382892057
2023-06-19,4770,5000,4715,4860,46485,0.0188679245283018
2023-06-20,4860,4950,4845,4865,31343,0.0010288065843622
2023-06-21,4865,5050,4840,4910,38741,0.0092497430626927
2023-06-22,4885,4910,4780,4885,16752,-0.005091649694501
2023-06-23,4900,4910,4800,4875,31147,-0.0020470829068577
2023-06-26,4815,5050,4810,4860,35733,-0.003076923076923
2023-06-27,4950,5000,4815,4955,35650,0.0195473251028805
2023-06-28,4915,5050,4870,5030,35961,0.0151362260343088
2023-06-29,4985,5100,4975,5020,31573,-0.0019880715705765
2023-06-30,5020,5100,4660,5030,56741,0.0019920318725099
2023-07-03,5030,5040,4840,4850,55979,-0.0357852882703777
2023-07-04,4875,4880,4765,4855,27641,0.0010309278350515
2023-07-05,4855,4890,4770,4850,22880,-0.0010298661174047
2023-07-06,4830,4830,4705,4750,30556,-0.0206185567010309
2023-07-07,4700,4720,4635,4720,25604,-0.0063157894736841
2023-07-10,4660,4700,4610,4650,26257,-0.0148305084745762
2023-07-11,4640,4640,4470,4630,49568,-0.0043010752688171
2023-07-12,4630,4630,4535,4615,45765,-0.0032397408207343
2023-07-13,4620,5140,4590,5140,170316,0.113759479956663
2023-07-14,5230,6570,5160,6210,1317701,0.2081712062256808
2023-07-17,5190,5500,4760,4960,645528,-0.2012882447665056
2023-07-18,5040,5310,4970,5200,291596,0.0483870967741935
2023-07-19,5140,5250,4890,5020,118357,-0.0346153846153846
2023-07-20,5030,5050,4700,4930,90594,-0.0179282868525896
2023-07-21,4840,5110,4810,4840,142745,-0.0182555780933062
2023-07-24,4875,5070,4700,5050,86802,0.0433884297520661
2023-07-25,5050,5560,5010,5100,194454,0.0099009900990099
2023-07-26,5100,5220,4820,5060,79709,-0.0078431372549019
2023-07-27,5020,5330,5010,5230,123188,0.033596837944664
2023-07-28,5190,5400,5080,5200,51959,-0.0057361376673039
2023-07-31,5200,5320,4955,4995,57511,-0.0394230769230768
2023-08-01,4995,5090,4965,4990,29523,-0.0010010010010009
2023-08-02,4990,5520,4990,5280,151184,0.0581162324649298
2023-08-03,5210,5520,5210,5430,101778,0.0284090909090908
2023-08-04,5450,5500,4960,5410,102208,-0.003683241252302
2023-08-07,5360,5660,5230,5550,69877,0.0258780036968577
2023-08-08,5550,5810,5270,5270,143990,-0.0504504504504504
2023-08-09,5230,5500,5210,5340,61584,0.0132827324478177
2023-08-10,5340,5440,5270,5310,35416,-0.0056179775280899
2023-08-11,5310,5410,5180,5220,33081,-0.0169491525423728
2023-08-14,5200,5480,5020,5420,56432,0.0383141762452108
2023-08-16,5360,5820,5330,5350,99811,-0.0129151291512915
2023-08-17,5350,5480,5250,5410,42518,0.0112149532710279
2023-08-18,5200,5800,5200,5680,176536,0.0499075785582254
2023-08-21,5680,5680,5520,5590,31557,-0.0158450704225352
2023-08-22,5600,5700,5450,5680,40890,0.0161001788908765
2023-08-23,5630,5660,5490,5630,29367,-0.0088028169014084
2023-08-24,5530,5700,5510,5640,23545,0.0017761989342806
2023-08-25,5610,5610,5500,5570,17198,-0.0124113475177305
2023-08-28,5570,5760,5570,5580,20738,0.0017953321364452
2023-08-29,5580,5630,5500,5590,25253,0.0017921146953405
2023-08-30,5540,5590,5200,5420,35685,-0.0304114490161001
2023-08-31,5420,5560,5230,5290,29793,-0.0239852398523985
2023-09-01,5290,5440,5270,5350,22043,0.0113421550094519
2023-09-04,5350,5450,5250,5420,35404,0.0130841121495326
2023-09-05,5420,5510,5250,5320,25566,-0.0184501845018449
2023-09-06,5430,5430,5090,5250,64688,-0.0131578947368421
2023-09-07,5250,5250,5050,5180,64241,-0.0133333333333333
2023-09-08,5180,5340,5120,5340,27879,0.0308880308880308
2023-09-11,5490,5490,5180,5230,33831,-0.0205992509363296
2023-09-12,5230,5290,5110,5230,36659,0.0
2023-09-13,5110,5150,4990,5000,89254,-0.0439770554493308
2023-09-14,5000,5140,4990,5040,22543,0.008
2023-09-15,5050,5250,4910,5200,28594,0.0317460317460318
2023-09-18,5140,5180,5060,5070,27766,-0.025
2023-09-19,5020,5110,5020,5070,14841,0.0
2023-09-20,5070,5110,5010,5030,46790,-0.0078895463510848
2023-09-21,5000,5070,4955,5000,66776,-0.0059642147117295
2023-09-22,5000,5050,4975,5000,12179,0.0
2023-09-25,5000,5100,4900,5010,30741,0.002
2023-09-26,4985,5510,4985,5200,97086,0.0379241516966066
2023-09-27,5200,5390,5150,5250,30139,0.0096153846153845
2023-10-04,5230,5320,5050,5100,54711,-0.0285714285714285
2023-10-05,5090,5130,5000,5020,43264,-0.0156862745098039
2023-10-06,5030,5540,5030,5360,78414,0.0677290836653385
2023-10-10,5360,5840,5360,5440,98654,0.0149253731343284
2023-10-11,5350,5650,5350,5600,75584,0.0294117647058822
2023-10-12,5600,6260,5460,5640,488809,0.0071428571428571
2023-10-13,5780,7330,5780,6800,1516965,0.2056737588652482
2023-10-16,8840,8840,8840,8840,282691,0.3
2023-10-17,11000,11140,7060,7600,4225660,-0.1402714932126696
2023-10-18,7470,8190,7130,7510,986446,-0.0118421052631578
2023-10-19,7330,9410,7300,8530,3579075,0.1358189081225034
2023-10-20,8310,9040,7360,8400,1244399,-0.0152403282532239
2023-10-23,8610,8900,7800,8150,370040,-0.0297619047619047
2023-10-24,8040,8310,7780,8070,224736,-0.0098159509202454
2023-10-25,8010,8770,7940,8080,298722,0.0012391573729864
2023-10-26,7990,8460,7990,8150,199903,0.0086633663366335
2023-10-27,8060,8410,8060,8140,155887,-0.0012269938650306
2023-10-30,8150,8900,8150,8730,321390,0.0724815724815723
2023-10-31,8700,8930,8550,8660,181592,-0.0080183276059564
2023-11-01,8640,8850,7780,8360,233573,-0.0346420323325634
2023-11-02,8310,8920,8050,8850,161953,0.0586124401913874
2023-11-03,8850,9700,8810,9450,384810,0.0677966101694915
2023-11-06,9480,9540,8940,9260,139650,-0.02010582010582
2023-11-07,9250,9280,8450,9100,221944,-0.0172786177105831
2023-11-08,8920,9320,7820,7820,340451,-0.1406593406593407
2023-11-09,7780,7790,5640,6020,1438702,-0.2301790281329923
2023-11-10,6060,6250,5800,5940,318528,-0.0132890365448504
2023-11-13,6000,7470,6000,7050,1091473,0.1868686868686868
2023-11-14,7060,7550,6910,7350,162486,0.0425531914893617
2023-11-15,7360,8150,7350,8130,156086,0.1061224489795917
2023-11-16,8200,8540,8000,8350,180588,0.0270602706027061
2023-11-17,8350,8490,8040,8150,78404,-0.0239520958083832
2023-11-20,8220,8290,8020,8030,58392,-0.0147239263803681
2023-11-21,8030,8200,6550,7310,425871,-0.0896637608966376
2023-11-22,7310,7510,6780,7300,225247,-0.0013679890560875
2023-11-23,7270,7990,7180,7610,266720,0.0424657534246575
2023-11-24,7610,8420,7370,8380,256466,0.1011826544021023
2023-11-27,8250,8460,7820,7820,146103,-0.0668257756563246
2023-11-28,7820,8000,7770,7820,54868,0.0
2023-11-29,7800,8190,7720,8080,92545,0.0332480818414322
2023-11-30,8080,8290,7880,8000,52093,-0.0099009900990099
2023-12-01,7990,8090,7430,7710,79197,-0.03625
2023-12-04,7710,7990,7440,7580,43595,-0.0168612191958495
2023-12-05,7490,7610,7340,7470,36781,-0.0145118733509235
2023-12-06,7470,8040,7370,7860,80674,0.0522088353413654
2023-12-07,8070,8070,7700,7960,64053,0.0127226463104326
2023-12-08,8120,8120,7590,7590,142006,-0.0464824120603014
2023-12-11,7590,8990,7500,8860,595193,0.1673254281949934
2023-12-12,9070,9490,8540,8750,370961,-0.0124153498871332
2023-12-13,8780,9090,8570,8900,180532,0.0171428571428571
2023-12-14,8950,9610,8950,9510,445445,0.0685393258426967
2023-12-15,9410,10350,8700,9630,371257,0.0126182965299683
2023-12-18,9640,10000,9530,9760,154263,0.0134994807892003
2023-12-19,9810,9990,9690,9700,116915,-0.0061475409836065
2023-12-20,9700,9870,8740,9240,223436,-0.0474226804123711
2023-12-21,9240,9240,8700,8920,127834,-0.0346320346320346
2023-12-22,8840,9080,7900,7950,254290,-0.1087443946188341
2023-12-26,7720,8410,7500,7850,114934,-0.0125786163522012
2023-12-27,7750,8230,7750,8080,37073,0.0292993630573248
2023-12-28,8290,8380,7980,8030,71623,-0.0061881188118811
2024-01-02,8030,8190,8000,8070,57512,0.0049813200498132
2024-01-03,8110,8200,7460,8100,99239,0.003717472118959
2024-01-04,8020,8320,7950,8240,88118,0.0172839506172839
2024-01-05,8240,8800,8240,8800,93510,0.0679611650485436
2024-01-08,8980,8980,8030,8300,177555,-0.0568181818181817
2024-01-09,8490,8490,8070,8150,66062,-0.0180722891566265
2024-01-10,8140,8370,8050,8150,94575,0.0
2024-01-11,8140,8560,7950,8420,153394,0.0331288343558282
2024-01-12,8420,8860,8300,8760,157726,0.0403800475059381
2024-01-15,8810,9600,8810,9480,312145,0.0821917808219179
2024-01-16,9480,9680,9190,9460,128654,-0.0021097046413501
2024-01-17,9270,9830,9260,9690,252562,0.0243128964059196
2024-01-18,9600,9840,9560,9800,95706,0.0113519091847265
2024-01-19,9800,9850,9450,9600,119215,-0.0204081632653061
2024-01-22,9600,9940,9420,9640,205677,0.0041666666666666
2024-01-23,9470,9640,8820,9600,274250,-0.0041493775933609
2024-01-24,9470,9650,9220,9220,104218,-0.0395833333333333
2024-01-25,9220,9540,8850,9000,211161,-0.0238611713665943
2024-01-26,9000,9310,8860,8920,123559,-0.0088888888888888
2024-01-29,9080,9080,7670,8000,326903,-0.1031390134529147
2024-01-30,7760,8200,7580,8040,202573,0.0049999999999998
2024-01-31,8050,9160,8040,8760,362210,0.0895522388059701
2024-02-01,8510,8950,8370,8550,130169,-0.023972602739726
2024-02-02,8850,9100,8150,8260,178429,-0.0339181286549707
2024-02-05,8560,8790,8300,8340,132109,0.0096852300242131
2024-02-06,8470,8470,8030,8180,56648,-0.0191846522781774
2024-02-07,8120,8510,7710,7770,229650,-0.050122249388753
2024-02-08,8000,8600,7500,8590,341859,0.1055341055341054
2024-02-13,8590,8910,8410,8580,215522,-0.0011641443538998
2024-02-14,8580,8600,8090,8580,136807,0.0
2024-02-15,8450,8540,8150,8200,147289,-0.0442890442890443
2024-02-16,8390,8430,8120,8400,87928,0.024390243902439
2024-02-19,8400,8550,8080,8280,120340,-0.0142857142857142
2024-02-20,8220,8280,8030,8120,116309,-0.0193236714975845
2024-02-21,8060,8230,7870,7900,101661,-0.0270935960591133
2024-02-22,7900,8070,7790,7920,74018,0.0025316455696202
2024-02-23,7800,7870,7270,7410,238858,-0.0643939393939394
2024-02-26,7500,8070,7480,8050,182752,0.0863697705802968
2024-02-27,8040,8660,7590,7650,380722,-0.0496894409937888
2024-02-28,7650,8170,7600,8100,132479,0.0588235294117647
2024-02-29,8110,8220,7720,7730,134146,-0.045679012345679
2024-03-04,7740,8160,7740,7800,61782,0.0090556274256143
2024-03-05,7800,8000,7550,7930,84401,0.0166666666666666
